Source,Title,Link,Date,Summary,Text,Like,id
Dcard,#請益 #內有選手 蜜粉選擇障礙,https://www.dcard.tw/service/api/v2/posts/237714150,2021-12-20T10:36:35.154Z,,"最近手上這顆之前muf 活動送的小樣蜜粉快用完了
所以想買新的蜜粉～有兩位選手！
膚況：混合肌 夏天T字出油比較嚴重 冬天不太會出油


選手①kaibeauty 柔霧持妝蜜粉餅
https://i.imgur.com/i2DOocY.jpg
是被Astor燒到的😍毛孔柔霧感覺很厲害！！很輕薄的感覺 也有說適合混合肌使用 只是不知道夏天出油比較厲害一點能不能撐住 爬過低卡沒看到什麼人分享這顆🥲

選手②蘿拉蜜思 煥顏透明蜜粉
https://i.imgur.com/huXRvM9.jpg
大家都知道的冠軍蜜粉😍評價很多 柔霧效果好 控油力也夠 持妝度也不錯 夏天比較容易出油用這個感覺很讚！有些人是說會有點面具感（？
而且這顆新出的粉紅色也燒到我⋯上面寫適合修飾蠟黃害我很心動⋯⋯
https://i.imgur.com/ypAbWQw.jpg
想上來問問大家的意見～謝謝妳們🥰",20,237714150
Dcard,#分享 療癒乾荒肌的克蘭詩蘭花乳,https://www.dcard.tw/service/api/v2/posts/237694081,2021-12-17T13:16:40.754Z,,"今天想來分享近期很愛的克蘭詩蘭花乳
前陣子天氣開始冷之後都靠它～
目前已經累積一空瓶的戰績✌
https://i.imgur.com/ONmzI70.jpg
我一開始是看YouTuber Astor介紹的！
分別是蘭花油跟植萃乳的搭配
算是雙激萃的同屬不同種的親戚👭
https://i.imgur.com/5q3YWPG.jpg
這罐剛出的時候，爬文是說不用每天用
想讓皮膚肌斷食的時候可以深層修護擦的！
但我後來去櫃上領每個月的會員禮的時候有問櫃姐
她是說是可以替代一般乳液或是乳霜來用
不過就要看自己的膚質跟使用習慣調整～
我自己大概是一週用個3-4天的頻率，加強滋潤跟修護一下
https://i.imgur.com/rkuUqYe.jpg
味道很芳療，有淡淡的草本精油味超好聞💕
一開始以為這罐會太潤澤，質地很怕過於濃稠、厚重
其實認真不會，只是要確實照櫃姐教的
在手上溫熱之後用按壓得拍在臉上
只要有搓開就認真覺得他超好吸收的～
 
我本人是混合臉頰偏乾，所以臉頰都會加強按摩
眼周、鼻子啊 這些容易乾燥脫皮的地方也會加強保濕
隔天早上真的臉會自帶光澤感～～摸起來也嫩嫩的XD
https://i.imgur.com/X5wqCMZ.jpg
在最近換季皮膚稍微沒顧好就會粗糙的情況下
認真對他超滿意～～最近有寒流也要靠它了！
推推❤️",42,237694081
Dcard,#分享 四款酸類心得👼,https://www.dcard.tw/service/api/v2/posts/237547625,2021-11-27T13:23:02.662Z,,"哈囉大家
好久不見
真的好久不見
林北終於重新運轉
上一篇還在那邊說要多發文
笑死了 小騙子

好的 那就開始我的心得

這個實測大概是一罐測兩至三個禮拜
但這些東西是早就有的
所以之前的心得+這次的密集實測所統整出來

膚質是中性 或混合偏乾

我的使用方式
幾乎是做一休一
因為流動性很高 所以是使用化妝棉擦拭
洗完澡臉擦乾直接塗
吹頭髮（6、7分鐘）並等待酸類吸收
再看皮膚狀況加強保濕
基本都是上一層精華
結束

因為我已經用酸類至少有兩年了
所以我忘記哪些是新手不太懂的點
我當初也是很抗拒酸類的
聽到爆痘跟脫皮真的會嚇死
不過後來努力做功課還是踏入了這個世界～
入門是Astor跟Dr.Ivan的影片幫助我很多
（酸類方面）
大家可以直接去看
或是下方留言一定有各路高手可回答

這是6月拍得照片（但不是6月開始測得 我也忘了）
https://i.imgur.com/Egg58EO.jpg
左至右
Dr.Hsieh 達特醫 10%杏仁酸深層煥膚精華/15ml
Dr.Wu 杏仁酸亮白煥膚精華 18%/30ml
Dr.FreeVenus 藝群 10%杏仁酸嫩膚精華露/30ml
The Ordinary 甘醇酸化妝水/240ml

這是經過實測 11月拍得 
https://i.imgur.com/tVfPOLM.jpg
少了多少 只有Dr.Hsieh跟The Ordinary看得出來
真是可惜

依照我購入的先後順序介紹

Dr.FreeVenus 藝群 10%杏仁酸嫩膚精華露/30ml
（寶雅賣得）（常有買一送一）（好像可以不同品項）（不確定）
https://i.imgur.com/g7wcC3s.jpg
很黏喔
👃🏻沒有味道
剛開始在dcard看到它被推薦
說臉頰下方、靠近下顎線 一粒一粒的擦他好很多
（我是因為髮油長很多內胞在下顎的位置，但之前不懂是髮油導致，所以這當然不會有用，後來不用髮油就好了)
而且也買不起最紅的Dr.wu
所以就先買這個試試看 杏仁酸到底是什麼鬼咧～
這個真的是很溫和很溫和
我幾乎用了2/3罐整張臉才在慢慢發光、顆粒感減少
我覺得真的有夠神奇 有感受到什麼叫拋光
對杏仁酸的第一印象算是很不錯
不過太慢了
至少用了一個月才有效果
所以這個我不知道要不要推薦
主要就是很便宜（499買一送一）
完全無爆痘期（我整臉擦都沒有）
也沒脫皮
喔對！感覺可以推給乾肌
因為他還有添加玻尿酸
偏油肌不用太太加強保濕
我測試的兩個禮拜
後續沒有再擦東西也沒有脫皮
不過有痘痘的用這個可能會生氣
真的太～慢～啦
想對抗痘痘跟內胞真的算是無效
適合第一次嘗試酸類入啦
但不建議買兩罐
我第一罐完全用空
第二罐用了1/3就被Dr.Wu燒到跑票了
因為最近使用才有進展 用完不會回購了 

Dr.wu 杏仁酸亮白煥膚精華 18%（dcard揪團購入）
https://i.imgur.com/BkDlwub.jpg
可能的適用人群:
囊腫痘急救型
內胞粉刺絕對代謝不掉 屢試不爽
👃🏻小悶味 

是因為astor說囊腫痘用這個很有效才買的
最初我是拿棉花棒擦在痘痘上而已
所以根本沒遇過什麼爆痘期
硬硬的囊腫痘 超快就被代謝掉
嚐到甜頭就開始大面積使用
結果就爆痘
他會把痘痘都代謝出來
我只是要把東西帶走
反而更多朋朋跑出來
而且長達一個禮拜才會慢慢好轉
要用的人真的是要有心理準備
代謝的日子都會蠻癢 紅腫的
蠻明顯的
完全不想化妝
然後不知情的人還會說你為什麼長那麼多痘痘
：）好哦

其他優點:
之前化妝 鼻子上一粒一粒的 超級容易卡粉
也不是粉刺
保濕做足也沒用
認真推薦使用看看這罐 完妝妝感會到另一個境界
年代久遠我已經忘記卡粉的樣子了 手邊也沒有圖
總之用完真的非常光滑
我姐都會問我是不是出油
真是無知^_^  

用這個急不得
不可以每天用（看肌膚 我中性）
就算痘痘都爆出來也不要每天用
只會越來越癢 痘痘脫皮 
我之前沒有在做一休一
一長痘痘就很急著想要它離開
那陣子臉一摩擦就感覺不舒服
卸妝或是擦化妝水都是
所以有段時間我是改成卸妝凝膠或者是卸妝乳
溫和的帶走妝
一用這罐就會知道角質真的沒有很厚
還有在用什麼磨砂去角質都給我停掉
會變敏感肌 
還有另一個部分是
我有感覺我的兩頰毛孔因為酸類使用不當而變大
皮膚在每天用的那陣子 出油變很猖狂
雖然不是非常嚴重
但想告訴大家這個後果
請最多做一休一就好❤

說實話這罐的心得真的變來變去
一開始我是在寶雅購入兩罐5ml的小罐裝
確定我喜歡、並且需要他 才在dcard揪團購買
後來反而讓我皮膚無法維穩
把痘痘爆出來 卻沒有把它代謝掉的能力
之前有看過有人的心得
說它是渣男 不負責任
覺得蠻好笑又蠻認同的
用Dr.wu杏仁酸快兩年  
不敢說推薦它了
市面上優秀的產品越來越多 有更多選擇

Dr.Hsieh 達特醫 10%杏仁酸深層煥膚精華
（我忘記花多少錢了）
https://i.imgur.com/4TDjoLS.jpg
因為想說Dr.Wu18%不要太常用（算急救）
想買一個日常保養用的
跟藝群一樣是10%
我想說 沒加保濕成分
試試看代謝功能怎麼樣
所以就買了 也沒查評價
之前用沒幾次 覺得超級無感就收起來了
（那時候DR.WU還沒遇到爆痘期 眼裡只有他一人）
現在為了打心得文再用一次
我覺得是有用的
Dr.Wu對於內胞粉刺真的無解
完全代謝不出來
後來我休息兩天 只擦保濕精華
確定痘痘代謝不掉換成使用dr.hsieh 
才一天就代謝掉了
所以他可能對內胞比較有用 

ok這個算是用了三個禮拜
我覺得它沒有拋光的效果
之前用Dr.wu臉會被拋光到 覺得毛孔超大（很亮）
但這款是讓我的肌膚回到最原始的那種 健康？
（剛剛去查發現裡面有積雪草成分）
皮膚真的維持的很穩定 這三個禮拜用下來
算有讓我刮目相看
它用起來不像是酸類的感覺
使用感很像我之前推的 I dew care瑜伽喵喵那種
維穩的感覺非常像
使用期間也沒有脫皮
算是喜歡
而且最驚喜的是 我的鼻頭有一顆跟著我好幾個月有的很深層的內胞粉刺
但是用這個居然代謝出來了 超！級！扯！
https://i.imgur.com/Ln8M1xa.jpg
https://i.imgur.com/WtTu4W0.jpg
事發突然
我甚至覺得有點空虛（無聊的時候會摳他）
而且我也沒有很在意那個粉刺
畢竟人類就是很愛放大自己的缺點
內胞弄掉了我一定會去注意其他肌膚問題
蠻沒有必要的 所以一直平常心
但被代謝掉了真的屌爆不知道要說什麼好
有興趣、預算限制可以試試看
（官網是寫400 我絕對沒買這麼貴）
不過他非常非常臭
👃🏻油漆味 
我再說一次 它真的很臭。

The Ordinary Glycolic Acid 7% Toning Solution 
https://i.imgur.com/RLuYxPx.jpg
也是因為Astor淚推買的
反正看到酸類就想收
記憶中 是代謝老化角質吧好像
買之前想說要是用臉太刺激
就拿去擦毛囊角化啊沒關係
不過我擦上臉真的什麼事都沒發生：）
什麼很刺之類的 沒
而且使用時間真的很謎
看人家好像一個禮拜才用一次
也有人早晚用 每天用 
使用方法也是很謎
我真的搞不懂要不要等它乾再上後續保養
對這款的不了解程度真的太高
以至於我買到的那時候
只用兩個禮拜（兩次^^）就收起來
對於手、腳毛囊角化（每天擦）也是沒什麼用
到準備這篇文章才拿出來
好的 用的這幾個禮拜也是讓我刮目相看
對於內胞跟囊腫痘都很有效
晚上擦
到隔天 痘痘會很明顯退紅 明顯！超明顯！
內胞也會平掉
我覺得很厲害很讚
但 這個我就是每天擦了
（抱歉 使用方式我真的還是搞不懂）
幾乎平了就變做一休一
比較保守 所以也是等5.6分鐘才上後續保濕
沒有脫皮
而且有明顯拋光 （但沒有Dr.wu那麼拋）
我覺得很像我早期用Dr.wu的感覺
維穩皮膚的感覺
我覺得很重要的就是！
👃🏻它沒味道 完全沒有 這真的超讚==
怎麼會這麼好用我現在才發現
變愛用品 ㄏ
好 那這個就是推薦給敏感肌以外的皮膚
好像有些油肌用這個是會刺還是怎麼樣
所以不管乾或油 請是健康肌膚再做使用
而且對於痘疤我覺得也是有越來越淡的趨勢
整張臉乾淨很多（也有可能是心理作用 不曉得）
cp值超高
240ml我買540（代購價）

以上就是花了一堆時間結果心得很零碎的文章
本來還一直想買寶拉珍選的水楊酸
（真的被丹妮婊姐還有斐莉燒到不行）
不過果然真愛就在身邊
目前不會再太去想買其他酸類了

最後想跟大家聊聊
你們會很少再來逛美妝版了嗎
前陣子我有收到dcard寄來的信
是在調查為什麼比較少發文了
但我覺得原因很多很錯綜複雜（個人意見）
怎麼講 
我好像沒跟大家分享過
最開始 是為什麼開始打文章
從高中我就很喜歡來dcard看各種美妝文
大家都很用心
東西也都是我平常看得到、買得到的
到後來我的消費習慣就是
要買東西之前 
都先來dcard找評價
久而久之 這種 被幫助到的感覺就萌芽
所以我才想來分享
我看文章的習慣
比較不是快時尚 
是想要一個產品才去找心得
會找到那種很多年很多年以前的文章
就算我按了愛心原po也不會知道
但心裡還是很感激那些 
願意花時間出來分享心得的人
所以有人留言、跟我討論
我覺得是一個很棒的過程
到近期我才算是歸類出
為什麼我很少來美妝版了吧
跨境電商本來就一直在成長
疫情的原因變得越來越成熟
基本上一定要跟電商扯上關係 才有競爭力
不過我的消費習慣就是 實體店面、貨到付款
我追蹤的youtuber做一些可以官網直送的業配
或者是自己購買的東西是來自境外
我真的是完全沒有興趣 也會當作她們沒有更新
（好極端🥲）
導致我真的一點養分都沒有吸收到
（美妝相關是我真的好喜歡也很需要的療癒東西）
所以一切都變得好無聊
我也沒有想要的東西
所以我也不會來看dcard有什麼新東西
因為dcard更的通常都是youtuber買什麼
然後大家的多元心得
而且我現在也快畢業了 
有感受到重心在轉移
感覺好多人都是畢業了之後就需要考慮現實面
沒有空再回來更新 這真的好可惜
有時候我也會有一兩個想分享的東西
不過篇幅不長 
但只有單一用品 就不是可以在dcard發的東西啊😡
（還是我自己設限了）

還有一個就是
dcard人會變少
也是因為有其他app是大家更熱烈討論的吧
像是小紅書 然後東西就從淘寶買
之前在留言看過說 怎麼大家一直在買大陸的東西
就是電商崛起 應該吧 而且我們語言相通
資訊交流本來就會很快

我以後應該是跟不上流行的人吧（現在就是 雞掰）
蝦皮海外包裹我買過一次花知曉就再也沒碰過了
真的 好不愛這種感覺喔
代購還是我比較喜歡的購買來源

好啦總之
以下開始介紹我僅有的療癒來源
Dcard 、IG、YouTube

Dcard
Ting
(@y112358)
有想法的人、用心，說自己很忙結果還是很認真產文（比起我） 

敗家Jane的剁手日記
(@buy13buy___jane)
底妝控
文章都屌到不行超級詳細
看到覺得我自己都親身用過了 

BK（@zbuke）
就是一個很愛MIT的人吧
看她的文章總是覺得 哇 好初心的感覺
所以很喜歡 

ゆち（@o4wu6）
文章都超可愛 照片簡潔有力 還會有全臉照試色影片
我很喜歡的文章類型
但好像也是好忙一陣子沒看到了 

紫愛你（@at.the.moment）
這個我超愛！超級愛！
她大爆買的東西我都超有興趣
算是購物方面很有共鳴
而且文章都是一次給我砸出來 好爽 砸死我

不要叫我買東西(@nobuy)
超級敢講話
爛就是爛 aka.避雷大師
很讚很喜歡 

dcard的就先到這邊
絕對不只這些只是我忘了還有哪些 

IG
@beauty_andthe_boy
最愛 真的超愛
一見鍾情的程度
到底為什麼會有這麼舒服的合作文章
而且還可以兼顧自己想發什麼文
總是可以做一些我喜歡的主題
反正就很讚
超級有想法
知道自己在幹嘛、有什麼感覺、想要什麼、不想要什麼，是我心目中很理想的大人
也會很常回訊息
是從一起玩囅品那裡知道的 

@ruodiant
很認真的人 
從文字都可以看出她的責任感 IG就是很日常很棒
之前是在dcard年度愛用被她吸引
還有在美妝文底下介紹漫畫
真的很特別 也很好聊
推薦 

Youtube

FuFu MurMur
用心做片！ 我最愛的GRWM 讚！ 

Yuna
真的少數會把公關品全拍了的用心youtuber
真心希望她會這樣子下去
很多公關品只有出現在一些人的限時
然後從此消失 也找不到心得
這時候就是看Yuna就對了 
12/1想編輯一下這裡
今天看到Yuna新影片提到公關品的問題
感覺是看到我提出的疑問
所以我想要道個歉
我沒有想的很周全
如果每次收到公關品如果都詳細分享
會影響到合作機會減少
還有到底youtuber一天到底收到多少公關品
我也不清楚
以後講話會再注意一點 留有餘地 多理解別人立場 
如果有讓人感到不舒服很抱歉
也謝謝Yuna願意花時間去解釋 我有看到了!


FrankieLazy
有正職的記者工作
還有小孩
可以每周六準時上片 很屌
雖然影片主題不是每個都愛 畫質也不是很好
但就只是 單純分享 所以我也會看

Mia Lou Lou
很掙扎要不要把她分享出來
因為我好喜歡 哈哈哈哈哈
很有靈氣的人 就是彩妝師
影片很多GRWM 手法好細好細
覺得失去能量我就會重新去看影片

真的完全離題
希望大家可以跟我分享
你們很少來dcrad的原因
（很少來就不會看到這篇文欸😍）
啊如果有來的人平常都是在看什麼
或是跟我分享你們愛的小眾美妝帳 非常歡迎
拜託了～那就先醬！ 晚ㄤ",489,237547625
Dcard,#情報 #情報 I’m meme唇釉11元和其他買一送一,https://www.dcard.tw/service/api/v2/posts/237405048,2021-11-08T10:48:58.406Z,,"之前為了新會員折價券載了MEMEBOX的app
剛好11月生日有折價券所以難得的逛了一下
真的被這個價格嚇死
https://i.imgur.com/8A3iikU.jpg
https://i.imgur.com/TwrGq0j.jpg
https://i.imgur.com/n55Lvfs.jpg
https://i.imgur.com/is3vRx0.jpg
https://i.imgur.com/yyUoub3.jpg

昨天有看到Astor推薦他們家I dew care的產品
之前我朋友有報名他們家的開箱大使說還蠻好用的
這次我應該會趁買一送一來試試看

補個美妝點
Pony effect我買過妝前乳
真的是很好用很服貼
上一條妝前乳是資生堂怡麗絲爾
還不錯但我覺得沒有pony的清爽
乾肌用怡麗絲爾還是覺得黏黏的
這次打算趁買一送一囤貨pony( ´▽` )ﾉ",32,237405048
Dcard,11月 自我覺察-線上體驗課,https://www.dcard.tw/service/api/v2/posts/237359489,2021-11-02T06:59:12.056Z,,"大家好
我們即將推出一堂『自我覺察』的線上課程
目前即將於11月的兩個星期日，推出線上體驗課來收集大家的回饋。
上課時間：11月14日(日) & 28(日)下午14-15:30
上課方式：Zoom meeting

詳細內容請搜尋🔍 臉書粉絲團- 教育！向東走？向西走？網址如下：https://www.facebook.com/educationtoeastorwest
裡面有報名資訊提供大家報名參加


什麼叫『自我覺察』呢？
其實就是以第三者的角度去觀察自己的生活，處理事情的動機以及自身感受。以不批判的角度去觀察自己的行為模式，培養專注於當下的能力，成為大腦的管理員，讓我們在面對人生大大小小的事情中，能夠活在當下，而不是被情緒掌控著。
 
在現今社會，我們的生活中充斥了許多壓力，很多事情都必須提早做規劃準備，稍有出差錯，就容易有負面情緒，有時甚至會影響當下的決定和事情的結果。覺察自己的過程中，我們可以很清楚地發現自己的問題所在，為什麼每次碰到這種事，我的壓力和情緒會有如此反應？當下次遇到同樣情況時，我還有哪些方法可以處理？這件事情背後的情緒是什麼？我為何會有這些情緒？當下我該怎麼處理情緒並能順利地解決問題？在體驗課中，我們會以簡單又輕快的方式帶領大家，覺察自己，並開心地渡過一個美好的週日下午。歡迎大家一起來體驗，動起手指按下報名網址和我們線上相見吧！",0,237359489
Dcard,#PS5 等了那麼久到底還要不要繼續等？,https://www.dcard.tw/service/api/v2/posts/237293820,2021-10-24T04:20:41.867Z,,"去年開賣的PS5到現在還在缺貨，現在也看到網上蠻多人在排隊說要買，甚至不惜買黃牛價，不禁讓我這個玩了幾個月後就不怎麼玩的人開始思考PS5真的有那麼值得大家花這麼多錢購入嗎？還是單純因為比別人先拿到覺得很厲害(ㄉㄧㄠˇ）所以才搶著要？在這邊就分享一下我個人玩過之後的心得，在這邊也祝各位早日排到！
先簡單說一下我有一台一般版PS4，網上大家討論很熱烈的遊戲我基本上全都買來玩過，比如：FIFA, 2K, 魔物, GTA, 戰神, 惡靈古堡, 地平線等，遊戲真的是多到我媽如果知道我在遊戲上花那麼多錢一定會把我吊起來蒙著眼睛然後跟打彩虹小馬一樣狂尻猛尻，好像打爆我之後會有錢掉出來一樣。為了避免與家人日後的紛爭以及我未來老婆的性命，開始社畜人生，對每一筆開銷都斤斤計較，甚至連之前都不會注意的刷卡回饋，分期利率都有了些研究(這部分版上有很多人比我專業可以去參考他們的文章)。終於！在生日過後沒多久就收到了遲來的生日禮物！
 
進入正文
收到貨之後當然是小心翼翼的把老婆捧在手心上愛護，一頓安裝之後開始了我的甜蜜時光，不得不說在玩到有地圖細節或一堆特效的畫面時，那個流暢度真的是順到一個不行，跟之前玩PS4時LAG到想摔把手，還有延遲的BUG，通通都沒有了，整個戰鬥過程變得更流暢，畫面更華麗，打起來超順手，還好當初在挑電視的時候就直接挑SONY BRAVIA系列的，完美體驗了「4K畫質+ 120FPS」。讀/存取速度真的也超有感，用內建的ASTOR’S PLAYROOM舉例來說，根本不用手動存檔，只要通過讀取點系統自動幫你存檔，甚至死掉之後也可以馬上重來，不用再等系統讀取資料，搖桿的部分在體驗上也超棒，我自己當初也被搖桿發出的音效嚇到，就一個搖桿可以有這樣的音質真的無可挑剔，還有在遊玩時細緻的震動反饋(我朋友說是高級按X棒!?)，最後就是R2跟L2竟然有了重力效果！這點真的讓人更融入遊戲，想當初剛開始玩蜘蛛人的時候嚇到
，以為搖桿怎麼剛買到就壞了，怎麼那麼難按，結果是我自己太白癡忘記有這個新功能。
 
總結來說，遊玩過程中真的能從細節上感受到PS5跟PS4的差異性，也有很多全新的感受，尤其是內附的ASTOR’S PLAYROOM一定要玩！除了遊戲裡面用到所有PS5的特點外，所有PS系列的彩蛋都在裡面，關卡全部破完之後還有最終彩蛋，在這邊我就不多說了，各位自己去買來完就知道了。最後其實也因為現階段都是屬於套裝居多，我自己研究了幾間銀行刷卡回饋後才下手，自己算起來是感覺蠻划算的(如果沒有算錯的話)，但如果不比回饋的話個人覺得可以等之後單買主機就好，而且因為現在PS5的遊戲還沒有很多，所以基本上也都是玩PS4的遊戲，也因為這樣所以玩起來也沒有差到哪裡去，感覺比較早買到也沒有特別享受的感覺，但先拿到確實是感覺很爽。
希望這些心得可以幫助到線上的各位，歡迎各位留言分享到底繼續排隊等待值得嗎？還是覺得晚點再買也可以，或者留下ID一起組隊玩都可以！

發文不附圖 此風不可長
https://i.imgur.com/64FJNHQ.jpg
附上可愛又會跳舞的小人
https://i.imgur.com/GWHoWF8.jpg
完成收集的PS系列
https://i.imgur.com/v0q9kvr.jpg
白色雖然好看但真的超容易髒",4,237293820
Dcard,#討論 蘭蔻零粉感色號選擇,https://www.dcard.tw/service/api/v2/posts/237266479,2021-10-20T08:32:40.121Z,,"因為本人色弱，網路上爬了很多文，看了也難以決定，住的地方又沒有百貨公司，網購比較方便🥲🥲🥲，所以上來問問大家推薦色號，臉上請家人自然光下幫看比較沒有黃感，皮膚偏粉偏紅的色調比較多。

目前使用的粉底：
GA水慕斯 5.5 當初靠櫃櫃哥選的，很襯我的膚色，剛剛好，沒有過深過淺。
圖片來自Astor影片截圖
https://i.imgur.com/Tan1q7P.jpg

想問零粉感的話，哪一個色號會比較符合，謝謝大家🙏我肉眼看是O-02 PO-02那附近
https://i.imgur.com/2mwRTFy.jpg
圖片來源：
查理的影片截圖

有用Findation網站測他推薦的是PO-02
https://i.imgur.com/HS1GEkU.png",24,237266479
Dcard,#閒聊 有多少人會跟家人一起共用粉底？,https://www.dcard.tw/service/api/v2/posts/237230190,2021-10-15T08:52:13.306Z,,"YT的神秘演算法剛好跑出來Astor這個影片
分享零粉感上不同年齡的肌膚都很適合
https://i.imgur.com/RfJZjKF.jpg

根本就是在講我跟我媽😂
我是偏油肌，我媽是偏乾肌，也都會一起共用粉底
蘭蔻的零粉感除了冬天，她妝前保濕會需要上多一點
其他時間用這瓶妝感都還算蠻OK的～是真的比較不挑膚質！
週年慶要來等媽媽刷魔法小卡來補貨
有一個愛漂亮的媽媽真是不錯😂
還有一個好處就是粉底消耗比較快
不會用到過期還沒用完（以前她買過小香的擺到過期……
好奇有人也是會跟家人一起共用粉底的嗎？",44,237230190
Dcard,誠徵對古著穿搭有興趣ㄉ小幫手！(ᐡɞ̴̶̷ ·̮ ɞ̴̶̷ᐡ),https://www.dcard.tw/service/api/v2/posts/237137670,2021-10-03T10:02:59.787Z,,"跟各位學弟妹們分享一個很棒的打工機會！排班彈性適合禮拜四五沒有課的人呦！歡迎各位喜歡古著也喜歡穿搭拍照的朋友們加入\( ᐙ )/有問題可以詢問我喲～


#徵 曼圖古著徵工讀小幫手 !


我們是Mandala Vintage 曼圖古著，目前需要一名認真負責熱愛古著的夥伴🐈如果你熱愛穿搭、沉迷古著的圖騰與花紋，歡迎你一起加入我們🙌 

⛰上班地點 : 逢甲碧根廣場2f之B1
⛰上班時間 : 週四~週日，一週約15個小時上下
時間是15:00～21:00
⛰工作薪資 : 法定薪資&供晚餐，銷售獎金 

工作內容主要是拍攝及穿搭上架商品，及門市銷售，可以到IG看看平常的我們都在做什麼🐈，有問題也可以來IG詢問呦
（@mandala_vintage_store)


🎏 歡迎想加入我們的朋友
⛰簡單的自我介紹及身高
⛰5張以上的生活穿搭照(個人IG或滿意的攝影作品)
⛰目前的課表及可上班時間
⛰其他想告訴我們的加分內容
____
請將以上的訊息傳送到mandalastoreroom@gmail.com 
____
適合者一個禮拜內會收到面試通知
期待你的加入🙌",37,237137670
Dcard,彰師大APP 自製,https://www.dcard.tw/service/api/v2/posts/237090016,2021-09-27T17:37:52.139Z,,"~更~
1️⃣ 網頁版開放參觀 B19
（網頁版可提供iOS和電腦用戶使用）
https://sites.google.com/view/ncuelink/
2️⃣ 三星 Galaxy Store 開放測試APP B25
http://apps.samsung.com/betastore/openAppDetail.as?appId=com.gmail.anguscheng0618.ncuepass&cId=000005950259
雖然APP還有很多地方我會再修改
但我覺得提前公開讓大家一起測試應該更好

如果有任何問題可以直接在這邊留言或是利用APP裡面的建議回饋，謝謝各位🙇🏻‍♂️

~9/30 更~
在努力研究之下
APP即將引進「行動彰師」！！！
此功能是借助小生物的力量:D
https://i.imgur.com/EWOBwZ4.jpg



以下原文

大家好，其實我是轉學生，有鑑於彰師各個網站分立
因此我想要簡單做一個APP把一些主要的網站整合在一起
想在這邊詢問一下各位的意見～

👇 目前APP的功能如下：
首頁有常用的「PassTix」、「1922實聯制 (也可以掃上課點名的QR-Code)」、「彰師小生物」
https://i.imgur.com/sCoNG5d.jpg


側邊欄拉開就是幾個常用到的網站 (如下)
點進去可以直接在APP內顯示該網站

https://i.imgur.com/B3vxQOq.jpg

我的APP不像行動彰師那麼強大可以串接學校伺服器
它主要就是一個瀏覽器而已 (還可以掃QR-Code.傳簡訊)
但我覺得把幾個常用的網站整合在一個APP裡面應該很方便（？

不知各位的想法如何？
還有什麼常用的網站我沒加到？
或是各位覺得還可以增加什麼功能？

謝謝各位🙇🏻‍♂️",111,237090016
