Source,Title,Link,Date,Summary,Text,Like
PTT,Re: [問卦] cheap是歷史最頂的嗎？,https://www.ptt.cc/bbs/Gossiping/M.1633089688.A.D2F.html,2021-10-01 20:01:16,,cheap是講得生動，他是有用心找專屬美術設計人員幫忙做影片，所以可接受度蠻高的，自己也讀過很多書，但是畢竟非本科出身，內容偏向敘述性，比較缺少分析類作品。要說歷史的話，我還可以推薦幾個不亞於cheap的作者，算是各擅勝場，cheap找設計師作圖這個用心其他人比較少。第一個是史大郎，他使用影視截圖，地圖跟光榮插畫來做畫面設計，但他似乎是歷史學系出身，會看很多資料交叉驗證說明，然後會有很多主觀分析觀點，但是又能旁徵博引各種參考資料，不是隨便亂扯。講述範圍主要以中國歷史為主，日本歷史為輔。(這樣才有光榮插圖可用？)第二個是信息素，信息素是結合地理地圖來分析歷史事件，尤其是著重於戰爭歷史，其考據之仔細與用心，無人能出其右，尤其是是二戰歷史，根本就像是玩鋼鐵雄獅，歐陸風雲這種等級遊戲一樣。主要歐洲與中國的戰爭歷史為主。另外，元滅宋之戰，蒙古帝國遠征，宋遼之戰，元滅金之戰，元末起義的戰史都非常非常精彩第三個是歷史面面觀，這個缺點是美術設計比較差一點，主要重複影視作品的內容，另外早期還用電腦合成聲音，不過優點是可以當成podcast來聽，主要都在說中國歷史。第四個瑞森老哥，其實嚴格來說他是比較像是綜合說書型的頻道，歷史只是他提的其中一個主題而已，但是他的歷史故事都是說一些很有趣的典故並且五花八門，主要以西方歷史為主，美術設計生動活潑原創，不亞於cheap。第五個是史圖館，這個是以地圖出發介紹歷史地圖的演變，而且不僅僅是中國，而是世界任何歷史都會介紹，對於地圖歷史的考究沒有頻道可以超過-----SentfromJPTTonmyRealmeRMX2144.--,90
PTT,[問卦] Cheap其實可以算圖文網紅了吧,https://www.ptt.cc/bbs/Gossiping/M.1637922234.A.C39.html,2021-11-26 18:23:52,,歷史系YoutuberCheap幾乎算是台灣講歷史最頂的Youtuber雖然在八卦板有點小黑因為他偏綠但每部影片的質感還是都很高業配也完全不反感不過除了內容之外他每次影片的圖我都覺得超可愛的不是那種從圖庫跟網路上抓的都是跟內容相互配合的而且一部影片的圖片真的超多我沒印象他有沒有提過這些圖都是誰畫的是他自己畫的嗎？這個圖文水平幾乎屌打一堆圖文網紅了吧有沒有Cheap的圖的八卦？--原來有說過插畫來源喔不過也是因為他影片產量真的太高了一直翻舊影片看都還沒看完所以沒注意到有解釋過,55
PTT,[問卦] Cheap講話的語調是不是很特別?,https://www.ptt.cc/bbs/Gossiping/M.1631635582.A.D58.html,2021-09-15 00:06:20,,我拿Cheap的影片給我大陸朋友看都說這個人講話的語調非常特別注意不是腔調，是語調幾乎都是一句話從頭開始起音比較高，然後越講越低直到下一句話才又起個高音，然後越講越低，不斷loop有人也那麼覺得的嗎?--,1
PTT,Re: [問卦] cheap是歷史講古最頂的嗎？,https://www.ptt.cc/bbs/Gossiping/M.1633088491.A.E3A.html,2021-10-01 19:41:29,,他有一集主題是中國跟美國誰在國際舞台上比較霸道下的結論是中國比較霸道原因是因為美國有國會監督，中國沒有人監督我不知道原來美國國會還會替其他國家著想真的很有深度--,10
PTT,Re: [問卦] cheap是歷史最頂的嗎？,https://www.ptt.cc/bbs/Gossiping/M.1633087362.A.C4C.html,2021-10-01 19:22:40,,原來寫的是歷史系後來修改成歷史學者越改越不對勁==我寫個分級給你參考1.歷史盲：對歷史概念全無2.國高中歷史課有稍微聽一下：大概知道從前發生過哪些大事，但是不是很清楚，也不想搞清楚；多數人的屬於這個層級3.歷史宅：對特定類型的歷史事實感興趣並深入研究，比如三國史宅、軍事史宅等，對該領域以外的歷史基本上沒有概念4.歷史普及愛好者：對歷史甚至歷史學感興趣，也讀過不少歷史書，會自己查資料，不過沒有受過更專業的訓練；多數歷史相關ytr屬於這邊，當然不排除他們是為了觀眾方便沒有講更深的東西5.認真的歷史系學生：在大學接受較多的歷史學訓練，對各種理論有一定的了解，但尚未擁有獨立進行和完成歷史學研究的能力；從這層級開始進入歷史學的範圍，尚未畢業的歷史所碩士生多數也屬於這裡6.歷史學研究者：在碩班乃至博班接受完整的歷史學訓練，能在自己擅長的領域獨立完成學術研究，但尚未取得重大的學術成果；這層開始可以稱為學者，簡單的說就是踏入學界了7.大佬：對學術界有重大貢獻，反正就是這行的頂尖人士以上純屬個人分類方式其實若要細分還可以分個地方文史工作者出來但是很麻煩而且可能會戰起來還是算了==--,2
PTT,Re: [問卦] cheap是歷史講古最頂的嗎？,https://www.ptt.cc/bbs/Gossiping/M.1633088113.A.A24.html,2021-10-01 19:35:11,,"歷史頻道當然要推李天豪阿有深度有內容還不用看葉配連最近的""時事討論""單元都能以古喻今不帶立場要不然也可以看產量很少的""信息素""圖片講解標註得清清楚楚以前看二戰史書地理觀念薄弱都不太懂地理位置現在人家都幫你找出圖對照的好好的我是覺得看這些頻道最開心無葉配有內容何必看一些工商又帶立場的歷史頻道呢?--李天豪有日俄戰爭系列信息素的西線閃擊戰系列我都喜歡cheap你有推薦的嗎?我也是之前也會看痾....",6
PTT,Re: [問卦] cheap是歷史講古最頂的嗎？,https://www.ptt.cc/bbs/Gossiping/M.1633090451.A.F13.html,2021-10-01 20:14:09,,在歷史講解影片的話，歐美的Youbute影片質感還是好非常多。TheGreatWar主要是講一戰，不過現在也包含戰間期跟二戰了。KingsandGeneralsBazBattles專注在講戰役的歷史影片，裡面的動畫真的非常細緻。Invicta另一個我也很喜歡的歷史頻道。如果英聽能力好的又對歷史有興趣，很推薦上面幾個頻道。也是希望台灣講歷史的可以像上面那些頻道一樣，講得又好影片又精緻。--哎唷，沒被推播過。收藏起來感謝。,1
PTT,[問卦] cheap是歷史最頂的嗎？,https://www.ptt.cc/bbs/Gossiping/M.1633085244.A.1E3.html,2021-10-01 18:47:22,,最近常上網看cheap說書發現懂歷史根本超方便業配的任何人、事、物，都有它的故事背景，透過適度的編撰，歷史影片最後搭配相關產品業配，無違和感。而且可以做的單元範圍超廣，永遠不怕沒題材。能把歷史講得淋漓盡致，cheap算是之光了吧？--沒錯連立可白都能業配我服了有時候片尾的業配有驚喜感搭配一些ptt梗就是好吸收哪需要藏什麼我只是一時不知道該怎麼稱呼而已不是歷史系，那就歷史說書人吧別想太多,38
PTT,Re: [問卦] cheap是歷史講古最頂的嗎？,https://www.ptt.cc/bbs/Gossiping/M.1633091144.A.3B7.html,2021-10-01 20:25:42,,如果是日本戰國粉的話可以看權兵衛這個頻道訂閱數還很少，但作者非常用心不管是敘事的口條或是內容的考據都很仔細，故事也都搭配圖片或地圖來呈現毛利系列/尼子系列/井伊系列都非常精彩是長篇小說式的，介紹一個家族的興亡再來是日本的youtuberYUKIMURACHANNEL因為我聽不懂日文，所以只能用圖像來猜測故事同樣是大量的歷史圖片+地圖+強大的BGM主要重點放在解說日本戰國時期各重大戰役一集通常都40~60分鐘，甚至還有90分鐘的如果是日本戰國粉，那千萬不要錯過這兩個頻道--,1
PTT,Re: [問卦] cheap是歷史講古最頂的嗎？,https://www.ptt.cc/bbs/Gossiping/M.1633093044.A.F2F.html,2021-10-01 20:57:20,,如果真的要比較的話最頂肯定不是的cheap頻道有很多優點比如說廢話很少講重點循序漸進脈絡清楚這可能跟他的語文背景有關但說到底還是個自媒體不過抨擊自媒體不中立這件事其實滿好笑的自媒體就是挾帶私貨來賺你的流量的你想上課或覺得不對你的味那就關掉不要看阿認真一點你也能夠找到很多立場完全相反的互相比較阿從我個人觀點來說cheap的內容產出幾個小小小小的問題是1.沒有很好的做到田野調查雖然說這就是個給小白看的歷史科普但對於稍微有深入了解一點的觀眾就會看的出來這其實只是一家之言尤其是扯到近代史的時候2.對於史實的評價未能區分個人觀點與事實很多他講的歷史事件發生是發生了也沒有講錯但最後的結語和評價卻會直接偷偷塞入整個故事內讓cheap個人的主觀意見變相的客觀輸出就如我上述所說的挾帶私貨販售本身沒什麼問題但問題是會有很多的不動腦觀眾進而輕易的被拉進他的史觀世界像這個問題最嚴重的就是台灣吧其他什麼影像品質方面的沒什麼好講的就不提了總而言之是個優秀的科普頻道但真的想學到點什麼東西的話肯定是不夠且容易走歪的--大哥你是有什麼閱讀障礙我沒說有問題啊,5
