Source,Title,Link,Date,Summary,Text,Like,id
Dcard,橘子提告Dinter,https://www.dcard.tw/service/api/v2/posts/237693766,2021-12-17T12:38:02.838Z,,"https://i.imgur.com/2ilvKSn.jpg
上市公司怎麼扛",152,237693766
Dcard,#新聞 遊戲橘子發聲明決定提告丁特,https://www.dcard.tw/service/api/v2/posts/237692383,2021-12-17T09:14:45.896Z,,"知名遊戲實況主，《英雄聯盟》BYG戰隊老闆Dinter（丁特）今年九月槓上遊戲橘子，起因為丁特遊玩遊戲橘子旗下代理遊戲《天堂M》，砸了上百萬抽取神話裝用的道具紫布，不過因實測與官方公布機率有所出入，他對此不滿要求公司出面回應，並打算推動台灣轉蛋法通過。

　●　原文連結：https://games.yahoo.com.tw/dinter-gamania-080029334.html?fbclid=IwAR3JJasHoC5MpRE1UdhoCeBiZRI1La3mpDTdfJ00JUfcV8OLJkpiduPb4e0

後續十月橘子出面回應不可能自行調機率，也支持轉蛋法通過，不過事情並未就此落幕，遊戲橘子今（17）日再發聲明，表示：「丁特持續散布不實資訊詆毀本公司，雖本公司始終保持善意、開放的態度多次與其溝通、說明，但該直播主仍變本加厲繼續一意孤行，已嚴重危害本公司股東權益及商譽。」並指控丁特藉此流量獲利，針對這些點，已於12月10日對丁特提起民事訴訟，未來將遵行司法程序與判斷，不會主動發佈或回應本案件之相關訊息。

https://i.imgur.com/hKAjgJ9.jpg

以下為官方聲明原文：

https://i.imgur.com/lmLlMkX.jpg
（來源：遊戲橘子）

－

遊戲橘子忍無可忍決定開告啦！
大家怎麼看這件事情ㄋ 🤔",48,237692383
Dcard,#新聞 BYG Maoan 涉嫌賭博，遭R社處分禁賽，老闆丁特：若為事實直接開除,https://www.dcard.tw/service/api/v2/posts/237183844,2021-10-09T00:10:27.992Z,,"https://i.imgur.com/15NQ0Q9.jpg

在今日凌晨時分，由知名實況主Dinter創辦的電競戰隊BYG，在冰島舉辦的S11 英雄聯盟世界賽上，於入圍賽的淘汰階段，對上來自土耳其的GS戰隊，剛實現令人振奮的讓二追三之後，就爆出BYG的中路選手Maoan於賽前洩露給友人戰隊選角，相當於報明牌，卻慘遭出賣，雖自身沒有下注，也未主動要求選角，但其行為涉嫌賭博行為，而在爆料中還提及隊上不只一名選手涉賭。
https://i.imgur.com/pMqMLNm.jpg

老闆丁特當時正在開台，當下聽聞此事也立刻做出行動，今早於臉書發文和BYG的粉絲們道歉，並承諾會持續調查，揪出事件實情和爆料者，也提及若為事實會對茂安進行應該有的懲處，現階段以不影響戰隊比賽為主，同時會遵循官方的程序來處理；主辦方Riot於10/09（六）早晨6 ：45在官方推特發文，暫時將茂安禁賽，也會再額外進行調查與懲處。

https://i.imgur.com/lHa3Dh5.jpg",48,237183844
Dcard,Dinter 10/9 開除byg中路備份,https://www.dcard.tw/service/api/v2/posts/237183726,2021-10-08T22:42:20.684Z,,"https://youtu.be/poF4zCEpEs0
Vod直播備份
https://youtu.be/trKxGU6PzHE
完整版vod 直播

看完真的好難過😫",92,237183726
Dcard,LOL七宗罪,https://www.dcard.tw/service/api/v2/posts/237112562,2021-09-30T05:55:40.51Z,,"LoL七宗罪
Toyz      貪婪 愛錢大麻煩
Stanley 暴食 最大奶台 哭啊
柏茲   嫉妒 金牌冠軍打野
Dinter   色慾 拔拔我好冷
摸使  怠惰 打撲克n年不開台
統神   暴怒 拖椅子的狗
BeBe  傲慢 無敵的吧

LoL七宗罪 TPA+兩小丑上榜
https://i.imgur.com/NfP6WmP.jpg
哭啊 無情單殺 無情雙殺 c麻",273,237112562
Dcard,與toyz友好名單整理,https://www.dcard.tw/service/api/v2/posts/237111177,2021-09-30T02:52:12.433Z,,"奎丁
谷阿莫
瑀希
孫生&反骨n人
stanly
dinter
湘湘
蝴蝶兒
謝和弦",1350,237111177
Dcard,#討論 特哥要告橘子,https://www.dcard.tw/service/api/v2/posts/237104690,2021-09-29T08:55:22.087Z,,"還不了解事情經過的可以先看這篇報導
https://www.ttshow.tw/article/84314?fbclid=IwAR0KsNpp7n2o5tb3rLZ1xRpHImQeBvn4UgnaZCaPTFPp2fMaiL530sfGooI

簡單來說就是特哥玩天堂M刷了120萬元台幣抽寶
抽了175次只中了4次
機率只有2.28%
但橘子曾表示台版抽寶機率和韓版一樣都是10%
不服氣的特哥又再實驗了一次
結果機率一樣是2.3%左右

事後特哥怒搜一波證據 去行政院消保會申訴
希望橘子能公開正確的抽寶機率並負起社會責任
對於橘子欺騙消費者的行為
特哥表示：「難道台灣人的收入是韓國的四倍嗎？」、
「還是台灣人的智商只有韓國人的1/4可以縱容你這樣欺騙消費者？」

Dinter臉書發文
https://www.facebook.com/DinTerlol/posts/406498684167894

這波爭議許多玩家紛紛力挺
認為該給黑橘一個教訓了
但真的告得起來ㄇ
我是覺得時間久了大家就會遺忘黑橘過去幹過的事情
然後繼續課金了",174,237104690
Dcard,有人知道這網紅是在幹嘛嗎？,https://www.dcard.tw/service/api/v2/posts/236836992,2021-08-29T14:22:05.963Z,,"更-
好多人把Diner看成Dinter 
先改掉 以免誤會

然後
我沒刷過抖音 
不知道有什麼漫畫腰挑戰
也沒罵她怎麼露奶露腰什麼的
我也沒限制她不能發這種影片-.-
而且帳號也是公開的
某些樓在兇什麼

發上來只是好奇問問看
有沒有人看得懂這影片想表達啥
跟漫畫腰還有正確使用沙發有什麼關聯

我是有看沒懂






-
有人知道這網紅在衝殺嗎？ 0.0
男生看的開心 女生看的問號❓
教你如何正確使用沙發? 災謀


拍謝 哇母災 0..0

https://www.dcard.tw/v2/vivid/videos/2fff86c7-25ec-4103-8be7-65a491b0316b?r=1.4814814814814814











https://i.imgur.com/9g49BCN.jpg",1465,236836992
Dcard,這次他真的做到了,https://www.dcard.tw/service/api/v2/posts/236834161,2021-08-29T07:11:25.084Z,,"六年前HKE的訪問和特哥那個沒能達成的夢想
https://i.imgur.com/olGz5EA.jpg

這一次由特哥的戰隊BYG做到了
https://youtu.be/0EJSUhENYYQ

老實說我是支持PSG的
畢竟過去曾經是半個狼粉
他們在PCS賽區也有很明顯的宰制力


但看到Dinter這樣一個願意為台灣電競付出的人
能夠獲得回報還是讓人為他感到開心的
也希望這次BYG和PSG在世界賽上都能好好表現發揮
PCS加油!!",441,236834161
Dcard,ㄧ更-十天簡易版-統椅之爭總整理,https://www.dcard.tw/service/api/v2/posts/236577425,2021-07-26T09:22:00.623Z,,"簡單幫大家做個整理，不太會排版很少發文，所以畫面很亂畫面很亂，請見諒，歡迎大家在留言區補充各種主線支線

>>>7/15統椅之戰一觸即發
1.toyz:家園、社交、點我頭像、拜訪家園
2.toyz:痾痾痾 嗚嗚嗚 是喔
3.統神：畫面很亂 畫面很亂，主辦單位要不要管一下啊
3.單手打爆統神bo7，只求一敗未嘗一敗
4.打輸不改名toyz的狗，只改名垃圾職業丐幫，賴皮
5.工商結束統神大爆氣，在直播上把003 （統神老婆，主要負責經紀事務）叫來站好罵爆，同時嘴幹廠商
7.統神：respect you know


>>>7/17天涯明月刀集體工商
1.toyz跟dinter冷嘲熱諷toyz的狗
2.統神依舊打很爛，跟不上隊友，功力最低，死在毒圈


>>>7/18 toyz上片7/15工商精華
1.剪片上片神速，攻擊性小，污辱性極大
2.(此片此時已下架)


>>>7/19 張家兄弟上館長直播
1.統神找館長哭訴
2.抖出一拳超人工商，toyz遲到一小時的舊帳
3.解釋冷凍小丑的原因，扯toyz假賽疑雲
4.直播完統神公司（蹦蛙娛樂）記給toyz版權警告


>>>7/20 toyz直播說明事件（剪輯成精華7/21上片）
1.詳細說明當天及後續事件
2.對自己的狗道歉，認為自己效果做過頭，沒想到統神氣量這麼小會檢舉頻道版權。
3.阿扣（謝和弦）為同為台灣人的統神道歉，但toyz嘴臭阿扣呼麻
（支線）7/20 阿扣在臉書發文臭嘴toyz政治傾向
1.但之後兩人在留言區和好，阿扣挺toyz


>>>（支線）7/21 dinter國動大和解
1.雙方對於統椅之戰在直播評論，提到以往年輕小動的不成熟，現在特別找dinter道歉
2.國動承諾不會檢舉dinter使用國動素材


>>>7/22統神在003聊天室幹破他娘 
1.003私密toyz加賴，toyz傳張跳繩柴犬狗圖，直接被幹破祖宗18代
２．toyz將聊天內容上傳至臉書貼文引起群情譁然
3.統神在臉書控訴toyz斷章取義，同時聲明003在亂回覆，給她一張紙送回老家
>>>（支線）7/22桶椅之戰梗蔓延電競圈
1.湯米小熊鬼之工商
2.主播賽評無情消費


>>>7/24上館長直播
1.主要就是前面事件敘述而已
2.最後放一把火，幫小亮討債，小亮五萬成主線
7/24統神向dinter控訴小亮
1.倚老賣老控訴小亮不尊重他
2.向dinter提議要換掉小亮的位置


>>>7/25統神小亮單挑
1.倚老賣老施壓小亮
2.統神友誼賽玩鱷魚被卡密兒康特反之亦然
3.統神不做效果說五萬怎麼辦，然後說要用燒的，小亮高EQ回覆
4.統神被小亮打哭還是被五萬貴哭不得而知


>>>加註：7/25統神直播
1.叫003下跪道歉，003問認真的嗎？之後才補一句開玩笑的還嬉皮笑臉
2.看館長與toyz的直播爆氣，認為toyz心虛會舔嘴唇，上館長直播一直說謊心虛一直舔
統神：又舔！又舔！又..又舔嘴唇！（暴怒+舔嘴唇）
3.五萬還的心不甘情不願，說明用五萬看清一個人
4.終於天涯明月刀改名為，toyzA吿
（支線）7/25館長匯十萬給 dinter幫統神還債


>>>最新-
7/26   003發文抱怨爲什麼要拿五萬，目前不知道有沒有被送回老家
7/26小亮發文表示將五萬捐給國際災難協會

7/26因為基隆東直播靠北，小亮爆氣又把五萬匯回去給統神
1.統神又上館長直播解釋小亮事件，同時也跟003表示歉意，並且請館長幫他約toyz一起談談
2.dinter前去跟館長面交10萬贊助
3.小亮發文到此為止基隆東有道歉了，並呼籲大家不要再去基隆東的炸雞店刷負評了",40,236577425
