Source,Title,Link,Date,Summary,Text,Like,id
Dcard,脂漏防曬,https://www.dcard.tw/service/api/v2/posts/236914169,2021-09-08T05:27:48.702Z,,"大家好！我本身有脂漏性皮膚炎 最近開始接觸一些保養美妝 想問dr.wu 這款防曬適合脂漏嗎？
我爬文很多人有脂漏的人都推薦珂潤防曬 但幾乎沒有看到這款防曬 從Dr. Ivan 6的影片裡得知這罐防曬 物理性小孩也能使用 所以想多瞭解是否有脂漏性皮膚炎的人也有使用這款防曬！ 謝謝大家
https://i.imgur.com/RO0CElf.jpg",1,236914169
Dcard,#分享 週年慶前要知道的保養品選購指南（男女通用）,https://www.dcard.tw/service/api/v2/posts/236906920,2021-09-07T08:05:56.27Z,,"哈囉，沒想到週年慶前我會更新吧！（我也想不到呢，最近真的是太忙了ＸＤ 畢竟博班的申請都在年底，要加緊時間啃專業書～）

ps,欠下的空空瓶測評過幾天再來發～

其實這是一個我一直都蠻想寫的話題，作為一個專櫃美妝品的超級比價機（我記憶數字的本領比較好，平常週年慶都會慣性跟機場比價，基本上只要我在機場特別瞄過的商品，我都能記住價格），每年週年慶總有人有問我哪個品牌的哪個商品比較划算、比較值得買的。加上最近身邊好幾個男性朋友都問過我入坑妝保養的相關問題後，我決定從一個比較有系統性的角度來講講保養那些事兒（畢竟我學費也繳了不少啊～）。

https://i.imgur.com/WFEC0lo.jpg
（放一張正對著中關村的向日葵，這一瓶向日葵治療了我因為一上午搞不明白音系學題目而鬱鬱寡歡的心情，希望今天看到它的人都有好運氣～）

另，我的保養觀念雖然建立得早（國中的時候被我媽要求），但真正開始尋找自己習慣的命定商品並認真正視保養這件事情是在我大三大四時（可以回頭看我以前的文章啦，連結放下面惹），那時候100％做到經濟獨立並且有固定的存款，有了餘裕才開始關注課業、工作以外的領域（但並不是說我一直到大三大四才開始保養，只是之前我用的商品都是我媽媽跟我阿姨買給我的，我自己是懶得關注這一塊，連用法都是她們提供給我的～ 說這段的目的只是強調，保養是一個週期很長的投資，非常注重「持續性」，所以千萬千萬要把「堅持」放在首位）。
https://i.imgur.com/tHETZzj.jpg
獻出一張研究所入學後沒多久拍的照片（忽略我凌亂的宿舍，畢竟這可能是整個海淀區最破最便宜（也是我唯一住得起）的宿舍了），現在還真懷念那時候的嬰兒肥啊！（誤）


1⃣️ 入坑保養的第一步——設定預算

雖說談錢比較傷感情也比較功利，但很抱歉的是保養本身就是個比較有功利性的事兒，你花時間花力氣卻得不到任何功效難道是在做公益嗎= =？
所以我向來都跟要入坑保養的新手朋友們說，一定要設定好每個月固定花多少錢在「保養」這件事情上（不包含彩妝喔！），之前提到過，保養本身反饋週期很長，效果往往不是光靠一天兩天甚至一個月兩個月可以看出來的，如果有，這說明：

（1） 您買的商品有效成分很高、配方真的很不錯，但相對的，合格的有效產品單價也很高（這就牽涉到了購買產品前可能還需要配備一些相關知識概念，下面會分節討論）。
（2） 商品有鬼（廢話，便宜又有效，您得想想他們加了啥，這麼有用要醫美幹啥？）。

就因為保養是長線投資，每個月的預算絕對是第一重要的。初期購買產品的時候很難抓預算，在預算不充足的時候可以用一些方法有效避雷，躲掉一些不必要的花費（這個在之後產品選購的章節會提到）。
就我個人來舉例，我每個月放在保養的預算其實是1w起跳（確實是比一般人高），畢竟我是一個會想嘗試不同專櫃產品（我沒有習慣買開架產品），比較以後寫文章的人，如果買到我不喜歡的產品，還有我媽媽、我妹妹、我奶奶可以接手，所以預算放得比較高。


2⃣️ 根據需求選擇產品——各種試用大法

前面也提到，保養其實本身世代有功利性的，所以我們要建立在最小預算最大效果的理想上來選擇產品。我個人建議任何產品一定要經過試用才能帶回家，保養品除了按照功效選擇外，最重要的是上臉的感受自己喜不喜歡，如果上臉的質地/感受讓自己感到不舒服，就很難談長期堅持了。

我覺得臺灣大部分的櫃姐都蠻人美心善的，即便你沒有立即消費的意向，櫃姐也會很耐心為你上產品跟講解，我自己靠櫃非常多次Chanel，基本上每次都是試用，很難得購買（主要是因為每次看到新產品都會腦衝，但試用以後就覺得自己對該產品的需求不大），如果櫃姐很有耐心也願意花時間為我介紹商品的話，我想購買的時候絕對會回去找同一個人。我個人也覺得靠櫃不要有太大的心理壓力，我個人比較直接，靠櫃的時候我不會預設自己要不要消費（除非我就是奔著打折去的），我常常會跟櫃姐說我只是XX快用完了，隨便看一下，這樣櫃姐也能自由選擇讓我自己看或是忙別的。
千萬不要覺得拿試用很厚臉皮，你都沒仔細用過，怎麼會知道這個產品值不值得投資呢！

去年因為剛從北京回來，身邊保養品不太適合臺灣的氣候，我就視各種靠櫃拿試用包，一夏天拿了整整一鞋盒（還要感謝我身邊各種親朋好友陪我填資料拿試用）。有很多產品是廣告很好看、介紹很驚艷、靠櫃體驗也滿分，但上臉以後不是很舒服，這就只能靠回家試用才能感覺出來了。畢竟家裡的溫度、濕度跟百貨公司的環境不一樣，要選擇最合適的居家保養還是建議將產品帶回家試用。


3⃣️ 購買保養品前需要配備的基礎知識——品牌定位、系列功能、商品成分


🌈品牌定位

每一個保養品品牌都有自己主打的客戶群體，而且也不見得所有的保養品品牌本身都是以保養品起家的（長處也很可能不在這），像Chanel、Dior、Givenchy原本就是從成衣起家的，保養品反而是品牌有了名氣以後才發展起來的。我並不是說這樣的牌子經營的保養品就必定比較差，只是你要想想你所花的錢有多少是在替他們的品牌買單～
另外還有像M.A.C、植村秀、NARS這一類以彩妝見長的品牌，雖然植村秀近年還有轉戰保養品市場的跡象，但總體表現跟口碑依然沒辦法跟本身就是保養品起家的品牌相論。
要了解品牌定位其實不難，平常出去喝咖啡或吃早午餐可以順手翻一下美妝類雜誌，新上市的產品跟一些訪談都可以看一下，另外像小紅書之類的app上常常可以看到這樣的圖：

https://i.imgur.com/bylhCMA.jpg
https://i.imgur.com/ZnQmKq9.jpg
我就拿大名鼎鼎的雅詩蘭黛集團跟資生堂集團來舉例，平常我們聽到雅詩蘭黛都會直覺想到Estee Lauder，資生堂則是SHISEIDO（しせいどう）嘛！但其實它們是兩家很大的跨國集團，底下經營的品牌各種各樣，當然也就分成了不同的定位跟等級。了解品牌定位可以知道不同的品牌線主打的客戶群體、產品的基礎定價以及產品大致的主力功能。比方像我很喜歡的肌膚之鑰CPB是資生堂的頂級品牌，所以常被戲稱貴婦品牌，主打的客戶就是對保養、抗老跟無瑕妝感要求較高又願意花錢在這上面的群體（所以CPB的超厲害乳霜粉底才能貴成那樣orz）。

🌈系列功能

這裡指的就是同一個品牌的內部了，一個品牌內會分為各種不同的系列，不同系列的產品主打的客群跟功能都不一樣，這個概念平常會買保養品的人一定很清楚，同樣都是乳液，主打抗老的系列總是比較貴。
拿愛牌香緹卡舉例，等級價位排序大概是：黃金系列>鑽石系列>花妍系列
（在大部分的品牌官網上也會按照系列區分產品，所以有時候記一下自己偏好品牌的各種系列名稱確實是有必要的）
黃金系列主打抗老、抗敏，鑽石的話主要是抗老、提拉，花妍大概就是抗初老跟保濕了，也就是如果肌膚敏感度更高的人在香緹卡勢必要花更多錢去買不容易引起敏感的成份，這也說明了，在這個品牌中，產品成分的穩定性跟價格是成正比的。

另，很多人保養都是有很明確的訴求的，比方：
抗老、縮小毛孔、清潔、淡斑、美白
了解各種產品線主打的功能比較能對症下藥啦～ 通常主打美白功能的系列使用的美白成分也會比其他系列更好（有時候是配方的問題）～ 至於實際上是不是真的很有效果，看的就是下面提到的成份～

🌈商品成分

商品成分的話，由於本人不是化學系科班畢業的，只能算是個業餘還會看看相關書籍自娛自樂的人，在這邊我推薦我比較喜歡的一本書（這是我學食品化學的朋友推薦我的）：
《最敢說的化妝品評鑑報告：專櫃小姐不告訴你的真相，全球「最具公信力的化妝品警察」說給你聽！》

https://i.imgur.com/Iq8e0Gb.jpg
https://www.books.com.tw/products/0010479020?sloc=main

雖然我向來覺得書名取太長說明這本書重點續亂，但這本書作為化妝品成分的入門讀物還可以，出版年份有點舊了，這本是我高中的時候讀的，我想當時的我都能讀下去，應該可以說她寫得很平易近人吧～

另外推薦一個頻道：
Dr. Ivan

https://www.youtube.com/c/DrIvan6

一開始是因為青春露的測評開始關注這個頻道，Ivan本身是讀化學的，注重成分的選取跟講解，也會從科學角度來談保養的方法，這是我比較欣賞的。（本人雖然愛美，但其實是個很膽小的人，能透過堅持抹保養品跟運動的方式來保持自己的狀態的話，我就絕對不會考慮任何侵入性的方式…… 各種科學變美辦法當然是用好用滿啊～）

最後，我個人在購買一些產品的時候也會習慣上這個網站查成份，本人算半敏感肌，所以會避開各種說不清道不明的奇怪成分～

https://www.cosdna.com/cht/


而且同一個成分或配方對不同的人的影響也不一樣，所以配方跟成分雖然可以作為參考（並求心安），但個人覺得還是少不了試用的步驟啦～


最後最後，很多人都會覺得保養是在收智商稅，我覺得見仁見智吧～
如果沒有辦法騰出固定預算來保養，我真的會覺得不要免強自己，同樣的錢如果做其他事情能夠讓你獲得更大的滿足跟更多的快樂，那就真的不要浪費在你不知道能否堅持的保養上，畢竟出錢出力就是期望得到效果，就是這麼功利，有效果才能形成正面循環再度堅持（當然，如果你一直很有心保養但卻看不到效果，可能真的需要尋求專業人士的幫忙了～）。


🐛多說幾句話（真囉唆的我ＸＤ）：
最近在Dcard上常常會看到一些描述外表焦慮或是批評別人外表的文章，有時候覺得蠻荒誕的，一些人打著外貌至上的旗號批評/指責他人的外表時，自己也陷入了大眾定義的單一古板的審美標準（而且說話最大聲的未必是定義下的受益者）。
以前我是一個比較容易陷入自我焦慮跟自我指責的人（所以在談戀愛的時候我其實屬於討好型人格），我不得不承認在祈求他人認同的同時，我會不斷修正自己以符合社會期許的框架，但也是在這個過程中我深刻明白自己的外在並不是大眾定義的那種「好看」，儘管如此，這都不影響我在追尋自然、健康的「好看」時獲得的滿足感跟成就感，將這些微小的努力都變成日常例行的小確幸，過得很有儀式感也算是對得起自己的努力了。


前陣子一起學希臘語的學妹分享給我她在網易的公眾號上看到一組圖片，結尾的幾段話我很喜歡，分享給各位：

鋪天蓋地的營銷
看似無力抵抗
但是，只要我們從此刻起
拒絕單一的審美，拒絕單一的價值取向
我們終有一天，會改變潮水的方向
我不想說
「自信最美」「活出本色最美」
這種便宜的大道理
最後就以一段
鼓舞了很多女生的話
做為結尾吧

（這個定調是很網易沒錯啦～ 但確實說出了我內心最喜說的話，我非常喜歡《月薪嬌妻（逃避可恥但是有用）》中在化妝品公司工作的百合子姊姊的一個觀點，她當時不滿公司的廣告找了年輕女性代言，並且宣揚女性應該為了男性打扮（諸如此類）的主流觀念，她覺得打扮的意義在於取悅自己、讓自己更有自信，為自己努力的同時所散發出來的光芒會更美麗～）
https://i.imgur.com/5PsBHEx.jpg

最後最後放上距離上一張大臉照三年後的現在（這是近期唯一一張被我龜毛同學誇好看的ＸＤ），話說，很謝謝我在遠百遇到的朋友們（已經被兩個讀者認出來了，雖說我蠻害羞的ＸＤ），謝謝你們認為我的文章有用～ 業餘分享能夠帶給別人幫助真的是很開心很開心呢（獻上一張姨母笑）～ 
https://i.imgur.com/dzRwGfj.jpg",87,236906920
Dcard,請問有沒有推薦的 知識型YT頻道,https://www.dcard.tw/service/api/v2/posts/236635146,2021-08-03T05:24:22.952Z,,"我本身喜歡看知識的、專業分析開箱之類的頻道
但不要太嚴肅，太嚴肅看不下去

類似
綜口味
理科太太
Dr. Ivan 6
阿淇博士 Dr. Achi
77老大
好味營養師品瑄
高敏敏營養師
黃君聖Sunny營養師
營養師愛碎念
Taiwan Bar
蒼藍鴿的醫學天地


-----------------------

不喜歡太過嚴肅類似
木屐哥
營養師有「樺」要說
RICKY營養師
趙函穎營養師
Donna營養師-陳怡錞 營養保健專家


後疫情期間
不想看廢片
也想稍微豐富知識
希望可以再推薦我
幾個比較好笑的或是符合我喜歡的類型
大感謝",12,236635146
Dcard,#請益 氨基酸洗面乳 成份選擇,https://www.dcard.tw/service/api/v2/posts/236444388,2021-07-09T04:24:32.559Z,,"最近被氨基酸洗面乳燒得不要不要的🔥
實際入手之後發現真是個好東西👍🏻
我是買 MAGICOM 35%胺基酸潔顏霜

最近看到 Dr. Ivan 6 分享 TKLAB 氨基酸油肌版潔顏霜 又想試試
不過我查了一下成分發現
我用的 MAGICOM 和大家討論度很高的 freeplus 氨基酸洗面奶 成分更單純

由於剛踏入保養品成分領域，實在還沒辦法分辨到底哪個好
想請問有研究保養品成分的老手們會比較推薦哪一款呢？


成分連結 ⬇️

選手❶：TKLAB 氨基酸油肌版潔顏霜
https://i.imgur.com/tar07mY.jpg
https://www.cosdna.com/cht/cosmetic_25a4564000.html


選手❷：MAGICOM 35%胺基酸潔顏霜
https://i.imgur.com/3UPCFJC.jpg
https://www.cosdna.com/cht/cosmetic_eb1c463643.html


選手❸：freeplus 氨基酸洗面奶
https://i.imgur.com/eb159aT.jpg
https://www.cosdna.com/cht/cosmetic_3d08509020.html



氨基酸洗面乳真的這一生沒用過會後悔
還沒用過氨基酸洗面乳快用起來🙌🏻",33,236444388
Dcard,外國商品在台灣的價格,https://www.dcard.tw/service/api/v2/posts/235045485,2020-12-24T16:58:18.496Z,,"今天看到Dr. Ivan 6推薦的冬季保養品，
其中他推薦的一款身體護膚油對敏感肌很友善讓我很心動，

https://i.imgur.com/rDWAHHN.jpg

連結了台灣購買網站發現不便宜

https://i.imgur.com/Mdfqjnu.png
但我又查了在美國賣的價格

https://i.imgur.com/JFmJoro.png
換算約台幣6百多而已。

感覺在台灣很多東西只要是國外進口的價格就會翻倍了，像kiehl's 跟倩碧在美國都在算平價產品，在台灣就變很貴
可是台灣薪水又比國外的低很多

才發現自己過去都傻傻地被當盤子了。",13,235045485
Dcard,分享我愛的西洋Collaboration上🖤,https://www.dcard.tw/service/api/v2/posts/234361242,2020-09-05T17:45:16.701Z,,"我真的真的很愛聽音樂，想讓更多我喜歡的歌和歌手被更多人認識，所以來音樂版推薦，也希望大家可以推薦自己的取向給我呀🖤
其實我才在版上推薦我大愛的兩個樂團5SOS、LANY，耐不住看到真的有人回應我，又來推薦一下了😂

1. All I Want🖤 Daniel Skye ft. Cameron Dallas 

https://youtu.be/6zrYmWmcfGw

2. Anxiety🖤 Julia Michaels ft. Selena Gomez 

https://youtu.be/Q33DvcjXA7M

3. As You Are🖤 Charlie Puth ft. Shy Carter 

https://youtu.be/sjKlK0njMcw

4. Babe🖤 Sugarland ft. Taylor Swift 

https://youtu.be/l25AL0BdD6w

5. Be Like That🖤 Kane Brown ft. Swae Lee, Khalid 

https://youtu.be/GEAy7eXb2lo

6. Black Beatles🖤 Rae Sremmurd ft. Gucci Mane 

https://youtu.be/b8m9zhNAgKs

7. Call You Mine🖤 The Chainsmokers ft. Bebe Rexha 

https://youtu.be/3XCVM3G3pns

8. Colour🖤 MNEK ft. Hailee Steinfeld 

https://youtu.be/ZMmwDy-27AM

9. Come & Go🖤 Juice WRLD ft. Marshmello 

https://youtu.be/5Di20x6vVVU

10. Don’t Call Me Angel🖤 Ariana Grande ft. Miley Cyrus, Lana Del Rey 

https://youtu.be/leopt__ATR0

11. Don’t Check On Me🖤 Chris Brown ft. Justin Bieber, Ink 

https://youtu.be/_EAZkeldmWI

12. Don’t Look Down🖤 Martin Garrix ft. Usher 

https://youtu.be/nJSdYlAFKqA

13. Everyday🖤 A$AP Rocky ft. Rod Stewart, Miguel, Mark Ronson 

https://youtu.be/KfVIRigPyws

14. Falling Skies🖤 YUNGBLUD ft. Charlotte Lawrence 

https://youtu.be/M37slfD3MRg

15. Find You🖤 Zedd ft. Matthew Koma, Miriam Bryant 

https://youtu.be/IgGjUjQRAxw

16. fragile🖤 gnash ft. wrenn 

https://youtu.be/nb58YzOzQ0g

17. fuck, i’m lonely🖤 Lauv ft. Anne-Marie 

https://youtu.be/_cmORZMgv6I

18. F****d Up, Kinda🖤 Julia Michaels ft. ROLE MODEL 

https://youtu.be/qmPjrekn2iU

19. Go Legend🖤 Big Sean ft. Travis Scott 

https://youtu.be/xNO5CKZE_jc

20. Godzilla🖤 Eminem ft. Juice WRLD 

https://youtu.be/9XvXF1LrWgA

21. Good As Hell🖤 Lizzo ft. Ariana Grande 

https://youtu.be/G5xa-XAvErw

22. Good Life🖤 Kehlani ft. G-Eazy 

https://youtu.be/FG9M0aEpJGE

23. Goodbyes🖤 Post Malone ft. Young Thug 

https://youtu.be/ba7mB8oueCY

24. Hall Of Fame🖤 The Script ft. will.i.am

https://youtu.be/mk48xRzuNvA

25. Hard On Yourself🖤 Charlie Puth ft. blackbear 

https://youtu.be/bRAS8T6j3pM

26. Hate Me🖤 Ellie Goulding ft. Juice WRLD 

https://youtu.be/UZwi9SHgzGY

27. Heartless🖤 Diplo ft. Morgan Wallen 

https://youtu.be/LOQnx1HBmiI

28. Help Me Out🖤 Maroon 5 ft. Julia Michaels

https://youtu.be/JA2JdSP7wyg

29. Hold My Hand🖤 Michael Jackson ft. Akon 

https://youtu.be/-oCCnxBos10

30. I Don’t Fuck With You🖤 Big Sean ft. E-40

https://youtu.be/cZaJYDPY-YQ

31. I Feel It Coming🖤 The Weeknd ft. Daft Punk 

https://youtu.be/qFLhGq0060w

32. I Need Your Love🖤 Calvin Harris ft. Ellie Goulding 

https://youtu.be/AtKZKl7Bgu0

33. i’m so tired...🖤 Lauv ft. Troye Sivan 

https://youtu.be/boUl0jPZMdg

34. if i were u🖤 blackbear ft. Lauv 

https://youtu.be/R2nUret6utQ

35. imagine if🖤 gnash ft. ruth b.

https://youtu.be/yKcAWyVnyGw

36. Inside Friend🖤 Leon Bridges ft. John Mayer 

https://youtu.be/Vh9Qy8qVLnA

37. Let It Be Me🖤 Steve Aoki ft. Backstreet Boys 

https://youtu.be/Vk-VHOCyrTI

38. Lie To Me🖤 5SOS ft. Julia Michaels 

https://youtu.be/wY6lXrwZiR4

39. Lighters🖤 Bad Meets Evil ft. Bruno Mars 

https://youtu.be/YWt4wmZ_EMI

40. Like To Be You🖤 Shawn Mendes ft. Julia Michaels 

https://youtu.be/9HQ-bC3g-Jw

41. Limousine🖤 Christopher ft. Madcon 

https://youtu.be/d5YAUzkmdUY

42. Lonely🖤 Diplo ft. Jonas Brothers 

https://youtu.be/9JcUIgBhOgY

43. Lost In Your Light🖤 Dua Lipa ft. Miguel 

https://youtu.be/r-AuLm7S3XE

44. Love🖤 Cody Simpson ft. Ziggy Marley 

https://youtu.be/jI_9ARmMIPc

45. Lover (Remix)🖤 Taylor Swift ft. Shawn Mendes 

https://youtu.be/b5Zay_Hd_7Q

46. Mai Tais🖤 Train ft. Skylar Grey 

https://youtu.be/MXFbrb1AQ9U

47. Meant To Be🖤 Bebe Rexha ft. Florida Georgia Line

https://youtu.be/zDo0H8Fm7d0

48. Next To You🖤 Chris Brown ft. Justin Bieber 

https://youtu.be/EEuQU6a90Pc

49. Nobody🖤 Martin Jensen ft. James Arthur

https://youtu.be/Z5YbF8CN4u8

50. No Diggity🖤 Blackstreet ft. Dr. Dre, Queen Pen 

https://youtu.be/3KL9mRus19o

以上是上部🖤🖤 歡迎大家分享自己的歌單，或是評論這50首我的愛曲🖤🖤",20,234361242
Dcard,討論 Dr. Ivan 6 #理性討論,https://www.dcard.tw/service/api/v2/posts/233345816,2020-03-26T07:46:27.796Z,,"他之前有幾隻影片有風波跟本身身分疑似造假的問題
很像導致這裡只要看到他的影片直接地圖砲
我是覺得沒必要啦
我的想法是
不管他說自己是什麼研發顧問什麼的
只要自己不是皮膚科醫師
我就把他當成一般ytbr來看啦
就是他講他的 然後看了後如果我覺得對我有用我就去試 如果沒用就算了
畢竟整天看youtube 還有美妝版 不管是保養也好 化妝步驟也好 最後也是要自己去試
而且線上的ytbr 不管是美上美什麼的很像都有一點爭議 大多也都是有牽扯到私利 只是事大事小而已
真的要奢望部落客們完全不為私利吃誠實豆沙包不如多看幾家的影片對比 
（搞這個完全沒有業配只為提升國民衛教素養 這種堪稱用愛發電的事我是不信 何況他們多半都是有醫學背景的 當ytbr保證賠死）
然後再來是他之前很紅
他會紅應該代表他以前的影片內容對很多人來說有用吧
像是之前的凡士林我自己試就覺得還不錯
可是這邊很像會因為他的風波而去否定他過去所有的內容
我覺得有點沒必要啦
就像med partner 最早之前的文章品質是真的不錯
我不會因為他們後面的文章品質下降跟爆卦事件
而去否定他們前面的文章內容

大家都是怎麼看",34,233345816
Dcard,可以信任的專業皮膚保養YOUTUBER,https://www.dcard.tw/service/api/v2/posts/232208342,2019-10-01T11:57:51.138Z,,"跟保養品有關可以發在這裡吧
因為防曬開啟保養之路
當然從簡單YOUTUBER開始
不斷爬文 也會從PTT看
各種爆料
發現太多打著專業的名號 偷拐搶騙也太誇張
像是Dr. Ivan 6 (dcard也找得到文章)
還想說博士很專業 結果根本
還被皮膚科莊醫師另PO影片打臉
(最近竟然又復出了...傻眼

至於Medpartner 簡單有趣的圖文印象深刻
也爆料團隊只有一個醫師 貪得無厭
(這位醫師名聲超差 還有性侵 猥褻等新聞)
藥師跟營養師早就出走
之後的文都是 碩士寫手代打的...
 蒼藍鴿是說文章都有附參考文獻 還ok

超誇張  整個震撼
現在只看陳皮文章 莊盈彥醫師的影片
大家還有推薦的嗎",59,232208342
Dcard,這群人雙胞胎新片與Dr. Ivan 6？,https://www.dcard.tw/service/api/v2/posts/232061916,2019-09-11T14:05:04.975Z,,"這是一篇討論+請教文（只是非常好奇整件事的全貌），請大家不要戰🙏🏻

今天一如往常地在滑YouTube，發現YouTube向我推播了群人雙胞胎的新片，仔細一看影片是與Dr. Ivan 6合作的，下面的留言有非常多爭議的聲音，當然支持、反對的都有。
然後今天晚上我就在IG上面看到展瑞潑了一篇長文，內文如下：

http://i.imgur.com/QOGULyl.jpg
其實我之前就有耳聞Dr. Ivan 6的爭議，但是並沒有關注這件事。
看完展瑞的文章之後，出自好奇我就把網路上面針對Dr. Ivan 6的文章看了一遍。
先前Dcard上面有幾篇文章指出Dr. Ivan 6誇大自己的學經歷、散播錯誤的保養觀念等，
比如說這幾篇文章：
https://www.dcard.tw/f/makeup/p/229578278
https://www.dcard.tw/f/makeup/p/229572977
https://www.dcard.tw/f/makeup/p/229632236
後來又爆出在PTT上面用分身帳號替自己刷熱度、洗白：
https://www.ptt.cc/bbs/BeautySalon/M.1547913746.A.8B4.html
https://www.dcard.tw/f/makeup/p/230538743

但是相對來說，也有人指出PTT上面也有美的好朋友大軍在對Dr. Ivan 6潑髒水：
（這三篇文章有點瑣碎，看得我頭有點暈，不知道我的理解對不對）
https://www.ptt.cc/bbs/BeautySalon/M.1552671728.A.7FC.html
https://www.ptt.cc/bbs/BeautySalon/M.1552733412.A.D03.html
https://www.ptt.cc/bbs/MakeUp/M.1552888847.A.D91.html

看完這些之後我有點懵，總覺得讀完所有文章之後反而看不清事情的全貌了，感覺整件事根本峰迴路轉......
我大概只理解他確實是交大化學博士畢業，學歷並未造假，但是關於「顧問」這件事卻有誇大的嫌疑，然後他的資訊確實有傳遞不實的情形。
然後後來的發展我就有點難釐清了，有好心的網友可以幫忙解答一下嗎？🙏🏻",88,232061916
Dcard,令我有所深刻啟發的英文演講/訪談推薦,https://www.dcard.tw/service/api/v2/posts/231956133,2019-08-28T13:38:49.521Z,,"為練英文聽力、學習新知，我常聽英文演講/訪談，推薦大家令我有所深刻啟發的。歡迎你也推薦我你喜歡、推薦的演講/訪談等

A life of purpose | Rick Warren
https://www.ted.com/talks/rick_warren_on_a_life_of_purpose

There's more to life than being happy | Emily Esfahani Smith
https://www.ted.com/talks/emily_esfahani_smith_there_s_more_to_life_than_being_happy

Lessons from past presidents | Doris Kearns Goodwin
https://www.ted.com/talks/doris_kearns_goodwin_on_learning_from_past_presidents

The breathtaking courage of Harriet Tubman | Janell Hobson
https://www.ted.com/talks/janell_hobson_the_breathtaking_courage_of_harriet_tubman

Donald Trump talks about Success and Happiness
https://youtu.be/1xuAO0zKRAk

The future we're building -- and boring | Elon Musk
https://youtu.be/zIwLWfaAg-8

Elon Musk's Legendary Commencement Speech
https://youtu.be/MxZpaJK74Y4

风雨哈佛路原作者Liz Murray演讲高清版
https://youtu.be/tG8MLeCw4nI

How to live before you die | Steve Jobs
https://www.ted.com/talks/steve_jobs_how_to_live_before_you_die

Rich Dad,Poor Dad – How To Invest In Yourself | Robert Kiyosaki
https://londonreal.tv/e/robert-kiyosaki-rich-dadpoor-dad-how-to-invest-in-yourself/?freshLRtvReg

The Invisible Force - self-image – enables you to achieve great goals | Dan Lok
https://youtu.be/C5dyGh3oMVQ

The Unstoppable Force - The Real Difference Between Success and Failure | Dan Lok
https://youtu.be/qvNyo1-AK6o

Randy Pausch Last Lecture: Achieving Your Childhood Dreams
https://youtu.be/ji5_MqicxSo

Randy Pausch在Carnegie Mellon 大學的畢業典禮演講
https://youtu.be/iB3ikC9rOLs

丹佐．華盛頓為2011年賓州大學畢業生演講
https://youtu.be/paPeq7liP8o

力克·胡哲：我和世界不一樣 | Nick Vujicic
https://youtu.be/_leyYopIzE4

How the worst moments in our lives make us who we are | Andrew Solomon
https://www.ted.com/talks/andrew_solomon_how_the_worst_moments_in_our_lives_make_us_who_we_are

The skill of self confidence | Dr. Ivan Joseph 
https://youtu.be/w-HYZv6HzAs

The Most Inspiring Speech: The Wisdom of a Third Grade Dropout Will Change Your Life | Rick Rigsby
https://youtu.be/Bg_Q7KYWG1g

What I learned from 100 days of rejection | Jia Jiang
https://youtu.be/-vZXgApsPCQ

3 things I learned while my plane crashed | Ric Elias
https://www.ted.com/talks/ric_elias#t-272338

How to Make Yourself Immune to Pain | David Goggins on Impact Theory
https://youtu.be/78I9dTB9vqM

Living beyond limits  |  Amy Purdy
https://www.ted.com/talks/amy_purdy_living_beyond_limits

The 3 A's of awesome | Neil Pasricha
https://www.ted.com/talks/neil_pasricha_the_3_a_s_of_awesome

Be passionate. Be courageous. Be your best | Gabby Giffords and Mark Kelly
https://www.ted.com/talks/gabby_giffords_and_mark_kelly_be_passionate_be_courageous_be_your_best

The journey through loss and grief | Jason B. Rosenthal
https://www.ted.com/talks/jason_b_rosenthal_the_journey_through_loss_and_grief

Grit: The power of passion and perseverance | Angela Lee Duckworth
https://www.ted.com/talks/angela_lee_duckworth_grit_the_power_of_passion_and_perseverance

Disabled War Survivor Tells It All | Richard Pimentel
https://youtu.be/uYIqNtPWnP4

Top 5 Most POWERFUL Speeches You Need To Hear Today | Goalcast
https://youtu.be/k6hTa5ti35E

A call to men | Tony Porter
https://www.ted.com/talks/tony_porter_a_call_to_men

How we can bring mental health support to refugees | Essam Daod
https://www.ted.com/talks/essam_daod_how_we_can_bring_mental_health_support_to_refugees

The bridge between suicide and life | Kevin Briggs
https://www.ted.com/talks/kevin_briggs_the_bridge_between_suicide_and_life

Don't suffer from your depression in silence | Nikki Webber Allen
https://www.ted.com/talks/nikki_webber_allen_don_t_suffer_from_your_depression_in_silence

We train soldiers for war. Let's train them to come home, too | Hector Garcia
https://www.ted.com/talks/hector_garcia_we_train_soldiers_for_war_let_s_train_them_to_come_home_too

How humans and animals can live together | Jane Goodall
https://www.ted.com/talks/jane_goodall_at_tedglobal_07

Best Speech You Will Ever Hear - Gary Yourofsky
https://youtu.be/es6U00LMmC4

Toward Rational, Authentic Food Choices | Melanie Joy 
摒棄肉食主義，迎向理性──真誠的食物選擇 | 瑪蘭妮 · 喬伊
https://youtu.be/o0VrZPBskpg",22,231956133
