Source,Title,Link,Date,Summary,Text,Like
ettoday,林宥嘉吃播狂吸5百萬人搶看 清唱《兜圈》網嚇：吃火鍋還是吃CD？,https://www.ettoday.net/news/20211214/2145962.htm,2021-12-14 14:20,林宥嘉日前宣布將在12月25日舉辦「XIANG YU YI YANG」線上直播演唱會，10日特別開跨夜直播邀請歌迷一起大啖麻辣鍋，店裡正巧播放到《說謊》及《兜圈》，他隨即把筷子當麥克風清唱起來，驚艷線上網友並狂刷留言大讚「你是在吃火鍋還是吃CD？怎麼這麼好聽！」林宥嘉則笑回：「千萬不要以為我很久沒有讓你聽到我唱歌，我就退步了，雖然我自己也會擔心這個問題，但我有在練習哦！」 (影劇 / 2021-12-14 14:20),,0
ettoday,運鏡配樂都超強！「YouTuber清流」鄉民一致點名他：最後的淨土,https://www.ettoday.net/news/20211115/2123992.htm,2021-11-15 11:38,台灣YouTuber如雨後春筍般冒出，若有負評或是負面舉動，可能都會失去觀眾。就有網友好奇詢問，YouTuber越來越多，現在的清流是誰呢？貼文一出，立刻引發熱烈討論，就有不少網友紛紛點名這位「台灣阿北」，直呼他是YT界的「最後淨土」。(生活 / 2021-11-15 11:38),,0
ettoday,中華電信振興「5」購利！Hami Video影視雙享包、網紅館半價限時優惠,https://www.ettoday.net/news/20211112/2112078.htm,2021-11-12 12:00,中華電信與民眾一起慶祝振興，祭出Hami Video「影視雙享包」半價超省優惠，即日起申辦Hami Video「影視雙享包」可享月租下殺5折價188元（原價367元，租期24/30/36個月），一天不用10元，花小錢就可隨時觀賞電視館超過90個頻道。(消費 / 2021-11-12 12:00),,0
ettoday,《棒棒堂》小祿認愛放閃超正女友！街頭牽手躺肩全被拍：有點小害羞,https://www.ettoday.net/news/20211102/2114853.htm,2021-11-02 15:54,劉祿存（小祿）曾是《模范棒棒堂》節目班底，憑著歌唱實力成為「棒棒堂二軍」，並組成偶像男團「Choc7」超克7，如今在主持領域表現得相當亮眼，最近令粉絲又驚又喜的是，他的感情生活似乎也有了新進度，接連PO出和女友的放閃照，被笑虧「偷偷來」時，他連忙解釋：「沒有偷偷啦～。」間接承認戀情。(影劇 / 2021-11-02 15:54),,0
ettoday,仁武保母遭私刑「女嬰爸認了動手」：影片公布非常好！好友鳳梨回應4字,https://www.ettoday.net/news/20211102/2114882.htm,2021-11-02 15:18,高雄一名11個月大的女嬰日前被送到保母家照顧，卻突然因腦部受到撞擊死亡，蔡姓保母事後未被收押，除了引發女嬰家屬的不滿，網路上最近還傳出保母遭4名男子私刑動粗的影片，引發各界關注。網紅鳳梨（吳泓逸）身為女嬰父親的朋友，得知此事後也出聲了。(影劇 / 2021-11-02 15:18),,0
ettoday,阿翔老婆驚覺：男女想的真不同！搭高鐵一脫罩…夫妻冒「對比反應」,https://www.ettoday.net/news/20211102/2114717.htm,2021-11-02 14:03,中央流行疫情指揮中心因應本土疫情趨緩，各項管制措施今（2）起再鬆綁，包括高鐵車廂能暫時脫口罩飲食，阿翔（陳秉立）和老婆Grace稍早體驗了這件睽違已久的事情，沒想到摘下口罩的那瞬間，夫妻倆冒出完全不一樣的反應，妻子事後發文表示：「啊啊！一樣事兩樣情，男女想的真不同。」(影劇 / 2021-11-02 14:03),,0
ettoday,腸爆裂住ICU剛出院！《戲說》李宇柔驚吐「被虐待」：折磨到發瘋,https://www.ettoday.net/news/20211102/2114735.htm,2021-11-02 13:09,李宇柔是《戲說台灣》御用演員，日前半夜突發腸爆裂，被送往醫院急救，幸好在抗戰10多天後，終於能出院，她1日凌晨還發文透露即將進攝影棚錄影，沒想到在其中一則留言中，她情緒激動地Tag某網友：「就是你一句『她有加護病房症候情況』，我被徹底放生一個禮拜沒人相信我被虐待！」(影劇 / 2021-11-02 13:09),,0
ettoday,3個月前打AZ「站不起來」冒3副作用！韓瑜再打第2劑：剛下針就痛…吐擔憂,https://www.ettoday.net/news/20211102/2114657.htm,2021-11-02 11:46,韓瑜出演八點檔《天之驕女》的同時，仍不時會和粉絲分享生活點滴，她2日便在社群網站PO出認證照宣布：「AZ第二劑完成！」想起接種第一劑後的3個副作用，她附上一個笑臉的表情符號說：「希望能絲滑無痛感的渡過。」玩笑話中似乎藏了一絲不安。(影劇 / 2021-11-02 11:46),,0
ettoday,《2分之一強》金炳秀爆劈腿！「女大生為他墮胎」鬆口認了：需要錢我都負責,https://www.ettoday.net/news/20211102/2114556.htm,2021-11-02 10:41,來自南韓的金炳秀曾是《2分之一強》的班底，如今節目收攤，他在Instagram簡介欄透露正擔任位於台中的科大、家商的韓文老師，高帥外型獲得不少學生喜愛，怎料近日被爆料他同時劈腿多名女性發生性關係，更有人為他墮胎，對此，他否認劈腿一事，但他坦言的確有女生瞞著他墮胎。(影劇 / 2021-11-02 10:41),,0
ettoday,貝童彤驚現《全明星3》名單！「想起小鬼」深夜PO合照：一定要扛住,https://www.ettoday.net/news/20211102/2114479.htm,2021-11-02 09:20,《全明星運動會》1日公開第3季選手陣容，男藝人有賀軍翔、邱勝翊（王子）、楊奇煜、無尊和陳勢安等人，女明星則有黃沐妍、林思宇（宇宙）等人，格外引起討論的是，從《我愛黑澀會》出道的貝童彤也有參賽，讓不少粉絲又驚又喜，她當晚曬出與好友小鬼（黃鴻升）的合照，似乎希望對方能保佑自己，「接下來4個月一定要扛住！」(影劇 / 2021-11-02 09:20),,0
ettoday,賴銘偉「眼球爆血」：不是萬聖節特效… 日操12小時自曝驚悚近照,https://www.ettoday.net/news/20211101/2114133.htm,2021-11-01 16:27,歌手賴銘偉（Yuming）2008年參加《超級星光大道2》拿下冠軍，同年與黃美珍組團「神木與瞳」出道，也曾入圍金曲獎「最佳台語男歌手」，深受粉絲喜愛。他日前在社群平台自曝「眼球滲血」的照片，並表示「不是特效」，引來許多網友的關心。(影劇 / 2021-11-01 16:27),,0
ettoday,HowHow罕見同框鄧福如！老婆「低胸裝Cosplay史努比」網驚艷：好辣,https://www.ettoday.net/news/20211101/2114106.htm,2021-11-01 15:51,YouTuber HowHow（陳孜昊）和鄧福如穩交4年後，在2019年情人節當天正式登記結婚，過了近2年更迎來寶貝兒子，獲得許多粉絲的祝福，只可惜小倆口鮮少PO同框恩愛照，直到10月31日才難得上傳了「一家四口」的正面照，萬聖節裝扮超吸睛，Cosplay史努比的老婆單穿低胸上衣，讓不少粉絲驚呼：「媽媽好辣！」(影劇 / 2021-11-01 15:51),,0
ettoday,外國人也讚美！「零負評YouTuber」鄉民一致點名她：沒有爭端,https://www.ettoday.net/news/20211019/2104516.htm,2021-10-19 11:35,在演藝圈生存，一舉一動都可能被外界放大檢視；在YouTuber界也是，若有負評、負面舉動，都可能失去觀眾。最近YouTuber小玉（朱玉宸）爆出換臉賣謎片非法牟利，引發網路熱議，就有網友好奇，「負評最少的台灣YouTuber是誰？」貼文一出，立刻吸引大票網友熱烈討論。(生活 / 2021-10-19 11:35),,0
ettoday,謝忻曬逆天長腿「我美不美」 老爸毒舌回6字…當場傻眼,https://www.ettoday.net/news/20211005/2094484.htm,2021-10-05 13:43,藝人謝忻擁有火辣身材，時常透過社群網站分享運動、潛水美照。她近日和爸爸一起運動，父女感情非常好，不過此時卻笑虧「真的不知道他在練什麼？」(影劇 / 2021-10-05 13:43),,0
ettoday,名叫「吳一凡」工作生活慘了…求警察改名！2613位「吳亦凡」陷網路追殺,https://www.ettoday.net/news/20211005/2094248.htm,2021-10-05 10:39,大陸藝人吳亦凡8月因涉嫌誘姦未成年女性被警方調查，目前被北京檢方批准逮捕，全面消失螢光幕已經將近2個月。然而有位男子卻因他苦到找上警察，因為名字叫做「吳一凡」，工作生活都受到極大的影響，為此到派出所求救改名。(影劇 / 2021-10-05 10:39),,0
ettoday,「不倫腳鍊」毀32年女神！篠原涼子2夯劇續集停拍…新廣告卡關了,https://www.ettoday.net/news/20211005/2094120.htm,2021-10-05 08:47,日本女星篠原涼子和丈夫市村正親離婚，兩個兒子都由72歲的前夫撫養，隨後被媒體爆出已婚時和小14歲韓團「超新星」的金光秀交往，並且擁有成對「腳鍊」。她否認不倫仍陷入輿論風波，出道32年建立的女神地位受到嚴重考驗。(影劇 / 2021-10-05 08:47),,0
ettoday,PTT表特正妹被控霸凌同學！受害者痛揭羞辱惡行：她眼睛大大卻充滿惡意,https://www.ettoday.net/news/20211005/2094101.htm,2021-10-05 07:13,大陸網紅「七七」漆昱辰（Duebass）長相甜美，散發清新氣質，曾多次登上台灣PTT表特版，電倒鄉民稱「看到正妹就兩岸一家親」、「鼻子以下像結衣」、「戀愛了」。然而她近日被爆料霸凌同學，，令陸網驚呼「好毒的一顆心」。(影劇 / 2021-10-05 07:13),,0
ettoday,「龍K之亂」掀兩派論戰 金鐘主持護喜劇人：幽默≠不能諷刺人,https://www.ettoday.net/news/20211004/2093941.htm,2021-10-04 19:33,脫口秀演員龍龍日前控訴薩泰爾成員老K言語霸凌，老K被無限期停薪仍堅不道歉，雙方持續隔空互嗆。金鐘紅毯主持人黃豪平同為喜劇演員出身，他4日也對於「龍K之亂」造成的現象分享自己的想法，認為「『幽默』不等於不能嘲諷任何人事物」。(影劇 / 2021-10-04 19:33),,0
ettoday,HowHow爆參戰龍K之亂！群組對話「OK」暗諷龍龍雞排妹…謝和弦+1,https://www.ettoday.net/news/20211004/2093577.htm,2021-10-04 12:13,「龍K之亂」戰圈擴大！脫口秀演員龍龍日前控訴薩泰爾成員老K言語霸凌，引發薩泰爾老闆博恩聲淚俱下道歉，老K被懲處無限期停薪仍堅不道歉，龍龍再被反控「喜劇圈毒瘤」，持續隔空互嗆，現在連百萬網紅HowHow也「參戰」。(影劇 / 2021-10-04 12:13),,0
ettoday,姊姊就是醫護！萬芳加入「給力量音樂會」 療癒系週五夜圈粉百萬,https://www.ettoday.net/news/20210730/2043679.htm,2021-07-30 11:46,療癒系Friday Night又來了！為應援醫護，文化總會和角頭音樂策劃的「給力量－線上音樂會」觀看人次突破百萬，今（30）日晚間8點將播出第4集，邀請到金曲入圍7項的萬芳，還有阿爆、電音組合April Red紅等，其中萬芳的姊姊就是醫護人員，她深知這段時間醫護都在第一線承受壓力，讓她相當心疼，希望透過她的歌曲，帶給醫護人員一些出口。(生活 / 2021-07-30 11:46),,0
