Source,Title,Link,Date,Summary,Text,Like
ettoday,HowHow罕見同框鄧福如！老婆「低胸裝Cosplay史努比」網驚艷：好辣,https://www.ettoday.net/news/20211101/2114106.htm?from=pctaglist,2021-11-01 15:51,YouTuber HowHow（陳孜昊）和鄧福如穩交4年後，在2019年情人節當天正式登記結婚，過了近2年更迎來寶貝兒子，獲得許多粉絲的祝福，只可惜小倆口鮮少PO同框恩愛照，直到10月31日才難得上傳了「一家四口」的正面照，萬聖節裝扮超吸睛，Cosplay史努比的老婆單穿低胸上衣，讓不少粉絲驚呼：「媽媽好辣！」,,0
ettoday,HowHow爆參戰龍K之亂！群組對話「OK」暗諷龍龍雞排妹…謝和弦+1,https://www.ettoday.net/news/20211004/2093577.htm?from=pctaglist,2021-10-04 12:13,「龍K之亂」戰圈擴大！脫口秀演員龍龍日前控訴薩泰爾成員老K言語霸凌，引發薩泰爾老闆博恩聲淚俱下道歉，老K被懲處無限期停薪仍堅不道歉，龍龍再被反控「喜劇圈毒瘤」，持續隔空互嗆，現在連百萬網紅HowHow也「參戰」。,,0
ettoday,HowHow買到機王：氣死！半夜PO筆電畫面「螢幕闔上不會待機」揭3缺失,https://www.ettoday.net/news/20210710/2027346.htm?from=pctaglist,2021-07-10 09:55,HowHow（陳孜昊）是百萬YouTuber，無厘頭的招牌風格讓不少網友留下深刻印象，平常除了透過影片和粉絲互動，私底下也不時會透過Instagram分享生活點滴，他10日凌晨就在限時動態無奈地說，「氣死，我真的買到機王！」,,0
ettoday,牙膏、洗面乳擠不出來？　HowHow揭「超省撇步」：至少可再洗10次,https://www.ettoday.net/news/20210630/2018909.htm?from=pctaglist,2021-06-30 08:43,HowHow（陳孜昊）有百萬粉絲追蹤，無厘頭風格成了招牌特色，是年輕人相當喜愛的YouTuber。在網路上有著高人氣的他，近來難得公開私底下節儉一面，大方分享平時洗面乳快用完時，只要一個動作「至少可以再洗個十次」。,,0
ettoday,HowHow原唱面前飆唱《當》！　動力火車神吐槽1句…網全笑翻,https://www.ettoday.net/news/20210522/1988272.htm?from=pctaglist,2021-05-22 11:47,HowHow（陳孜昊）有百萬粉絲追蹤，無厘頭風格成了招牌特色，是年輕人相當喜愛的YouTuber。積極經營頻道的他，推出系列節目《雙聲道之間》後，邀來許多大咖名人擔任嘉賓，最新一集更請來知名演唱團體「動力火車」，再度展現幽默互動，逗樂大批網友。,,0
ettoday,HowHow阿嬤過世「無法送最後一程」　翻出合體拍片檔案笑著淚崩！,https://www.ettoday.net/news/20210519/1986241.htm?from=pctaglist,2021-05-19 21:20,HowHow（陳孜昊）有百萬粉絲追蹤，無厘頭風格成了招牌特色，是年輕人相當喜愛的YouTuber，和鄧福如（阿福）穩定交往4年後，在2019年登記結婚，1月底時迎來兒子誕生，獲得許多粉絲的祝福，一直以來都以樂觀形象示人的他，19日晚間透露阿嬤過世的消息，發出長文向奶奶告白，感動的文字逼哭了大批網友。,,0
ettoday,徐乃麟摔麥走人「我不錄了」！　遭HowHow狂虧「輸不起」瞬間變臉,https://www.ettoday.net/news/20210507/1976361.htm?from=pctaglist,2021-05-07 10:19,徐乃麟（乃哥）2017年錄《天才衝衝衝》時，曾失控對著唐從聖飆罵多句髒話，事件一度鬧大，所幸雙方最終和解，他卻也被貼上「輸不起」標籤。近來他與網紅HowHow（陳孜昊）合作拍攝影片時，多次遭對方戳痛點，最後變臉大喊「我不錄了」，甚至摔麥走人，不過其實這只是2人事前Set好的橋段，並非真的錄出火氣。,,0
ettoday,金穗獎「網紅評審團」超強大！　唐綺陽、HowHow、反正我很閒助陣,https://www.ettoday.net/news/20210427/1969458.htm?from=pctaglist,2021-04-27 19:51,第43屆金穗獎頒獎典禮將於6月5日舉行，除了由李烈帶領的評審團將選出得主，為了幫助入圍新鋭提高能見度，也透過不同的觀點來鼓勵更多好作品，今年也增設幾個會外獎，包括唐綺陽、HowHow、反正我很閒、HOOK將選出「社群名人推薦獎」。部長、一頁華爾滋、翁煌德、孫志熙、林子翔則選出「影評人推薦獎」。,,0
ettoday,鄧福如遭控外遇！　疑美甲師友人揭穿爆料真相：打離婚官司需用錢,https://www.ettoday.net/news/20210419/1963427.htm?from=pctaglist,2021-04-19 13:52,藝人鄧福如被一名女性美甲師指控外遇，日前和老公HowHow同時發聲，強調「沒有對不起任何人」，將透過法律處理此事。然而，近日Dcard一則文章被懷疑是美甲師友人所發，內容疑指美甲師是為了打離婚官司急需用錢，才會發出「非事實的無聊爆料」，雖然文中隻字未提相關字眼，但仍引發外界揣測與議論。對此，美甲師也做出回應了。,,0
ettoday,快訊／鄧福如遭控外遇怒喊告　美甲師火大曝「有不雅照」：已提供律師,https://www.ettoday.net/news/20210416/1961798.htm?from=pctaglist,2021-04-16 15:45,鄧福如（阿福）和Howhow結婚2年多，1月才喜迎兒子出生，但她上週被一名美甲師控訴外遇，且讓人流產，今夫妻倆各自發聲明，表示要採取法律途徑，Howhow更出面護愛，表示與阿福感情很好很幸福，稍早美甲師也發出聲明，強硬表示：「對於這幾天的留言輿論、人身攻擊以及當事人申明不實指控，我方全部否認以及全部交由律師處理，我也不會再顧及任何以小孩發展之理由，而再姑息婚外情卻反咬人之當事人。」,,0
