Source,Title,Link,Date,Summary,Text,Like
PTT,[問卦] how哥平常會講dirty talk 嗎,https://www.ptt.cc/bbs/Gossiping/M.1618563232.A.D1B.html,2021-04-16 16:53:50,,如題Dirtytalk實屬女人的大忌長期以來的壓迫導致夫妻關係不和不曉得如果是幽默風趣的how哥平常有沒有講dirtytalk的習慣啊！？--,4
PTT,[問卦] How哥yt的留言怎麼這麼平靜,https://www.ptt.cc/bbs/Gossiping/M.1618562985.A.19F.html,2021-04-16 16:49:43,,乳題喇好幾年沒看How哥的影片了剛剛看yt首頁有出現他的新影片一部講yahoo知識+的就點進去看了一下留言內容都是討論知識+或是討論影片裡的笑聲翻了快10分鐘就只有看到三個跟現在新聞有關的留言為啥他的留言區不會血流成河阿有沒有八卦-----SentfromJPTTonmyOPPOCPH1917.--最近新聞佔滿多版面的吧早就有第一個了齁現在只能當第四個也是有可能我看到的可能是漏網之魚,6
PTT,[問卦] HOW哥怎麼那麼猛?,https://www.ptt.cc/bbs/Gossiping/M.1618574337.A.8C9.html,2021-04-16 19:58:53,,昨天新聞都爆棚了今天業配還是照上HowFun/我的手不受控制了這是什麼意思不愧是全台業配之神----,
PTT,Re: [問卦] 為何how哥能拍出這樣低成本的廣告,https://www.ptt.cc/bbs/Gossiping/M.1619332110.A.FC9.html,2021-04-25 14:28:28,,其實他賣的是早期的鄉民哽還有一些動漫元素可是怎麼拍就是那樣現在的話吃老本還有早期粉絲不過他也有善用這些紅利包括出影片素材google小姐語音包帶動二創來讓他維持在螢幕前不過這些都是早期的基礎現在要複製這種模式幾乎不太可能--他創的很多是自嘲哽包括指考60分這點其實跟實況主貝莉莓-四姨有點像而且他的好朋友蔡哥最近也去跟她feat了感覺之後howhow和四姨合作頗有搞頭,3
PTT,[問卦] 二師兄跟How哥誰才是業配王者牙?,https://www.ptt.cc/bbs/Gossiping/M.1619073174.A.2CE.html,2021-04-22 14:32:52,,以多重影分身術為著名的How哥跟探究廠商心理而聞名的二師兄二者有很大的共同點94自導自演那揪竟誰才是葉佩界的王者咧百萬訂閱百萬點閱的How哥王者般的觸及率會獲勝還是跟上時事騷法適用的二師兄以超爆幹多的業配量取勝咧?卦否--,17
PTT,[問卦] How哥跟阿福怎麼認識的？,https://www.ptt.cc/bbs/Gossiping/M.1618811604.A.2CF.html,2021-04-19 13:53:09,,How哥從業配影片起家然後一直拍片一直業配中間也很少Feat誰沒聽過How哥跟演藝圈或是歌手圈有交集為何突然就跟阿福在一起了？有沒有資深How粉能出來講解過程？----,4
PTT,[問卦] how哥是怎麼走到這一步的？,https://www.ptt.cc/bbs/Gossiping/M.1618588725.A.5B5.html,2021-04-16 23:58:43,,吶吶本肥how哥學弟辣想當初也是蠻愛看how葛的影片美國行比現在好笑多了葉大方跟how葛的合作更是白爛到笑但後期越來越難笑了How葛4哪一部走錯？找藍亦明進來時嗎？--,1
PTT,[問卦] How哥跟江宏傑的回答是不是驚人的相似??,https://www.ptt.cc/bbs/Gossiping/M.1618579383.A.FDA.html,2021-04-16 21:23:01,,一個月前小傑小愛事件媒體傳的很誇張當時小傑說:我們知道的事情就好啦!鄉民還瘋狂護航直到小愛跟大谷被拍到如今換成how哥HOW:我們都很好啊怎麼有種既視感歷史難道真的是驚人的相似嗎0.0--,9
PTT,[問卦] 為何how哥能拍出這樣低成本的廣告,https://www.ptt.cc/bbs/Gossiping/M.1619331222.A.BCB.html,2021-04-25 14:13:40,,How哥拍了很多低成本的廣告而且越來越多廠商找他了他的成功可以複製嗎？有人可以比how哥更戲劇性嗎--,3
PTT,[問卦] How哥跟宏傑是不是台男的優良代表,https://www.ptt.cc/bbs/Gossiping/M.1618580680.A.168.html,2021-04-16 21:44:38,,女口題目所描述的咱們大How哥跟桌球國手宏傑是不是咱們新生代台男的代表溫柔，暖，愛老婆，善於搞笑女權是不是最喜歡這種男人當老公？愛家又溫柔，又大度最重要的是癡情有八卦嗎？推文請小心喔--我婆予晞--,6
PTT,[問卦] HOW哥頭頂現在是薛丁格的綠色嗎?,https://www.ptt.cc/bbs/Gossiping/M.1618739735.A.BB9.html,2021-04-18 17:55:29,,"(幹東森星光雲網址1963017這篇記者李湘文抄文章有先寫信問我嗎?)(職業道德勒?薪水要不要給我一半?說話R=_=)6天前被美甲師爆料阿福當小三還害人小產的八卦2天前HOW哥用IG的全家福小手照回應此事說要提出法律告訴美甲師又說自己也提供""不雅照片""給他的律師準備戰請問現在劇本寫到哪裡了越來越搞不懂這齣戲在演小首先誰出軌啊?誰流產啊?誰當誰小三啊?美甲師是誰啊?那個曖昧的南方是誰啊?都完全撲朔迷離欸這樣子HOW哥到底要算是有綠光罩頂?還是沒有綠光罩頂?薛丁格的綠帽搞得我好亂啊!!!!有沒有八卦啦!!!!----剛才上K島看到有人流出美甲師的男友對話欸==怕被告所以不貼了你們自己找神秘數字148343懂的人就懂不懂的人可以找KOMICOLLE再問自殺畢竟6成都是支那人臥底啊(望向某篇文章說ㄉ可能有心人從中作梗吧我不確定現在他們在演哪齣戲==美甲師本身講話也沒頭沒尾的證明有唸書跟沒唸書談吐真的差很多...HOW哥本身很認真學習啊其實他是努力型的本身又踏實在發片想新的梗而且算是少數在PTT發跡白手起家的網紅清流了(幾乎沒緋聞欸...)",37
PTT,[問卦] Howhow的巔峰是how哥宇宙嗎？,https://www.ptt.cc/bbs/Gossiping/M.1637921814.A.C76.html,2021-11-26 18:16:50,,以前的how真的很對我胃口土鳳梨酥之類的很無厘頭HOW哥宇宙更是一口氣把HOW推向了巔峰但之後隨著葉配產品過度增加，創意好像也逐漸枯竭雖然還是偶有佳作，但好像回不去惹以前只要有新品一出必定會看的我也默默取消了訂閱HOW的巔峰是不是HOW哥宇宙？--,6
