Source,Title,Link,Date,Summary,Text,Like
ettoday,余秉諺妻驚「我確診了？」5症狀爆發 第二劑才打完8天咳到失眠,https://www.ettoday.net/news/20211215/2146973.htm,2021-12-15 16:23,模特兒出身的王依蕾2013年嫁給同門師兄余秉諺，近來經營直播賣貨相當成功，不過，她13日突然因身體微恙取消直播，並在隔日發文驚呼：「我確診了？」分享打疫苗後症狀連發，看醫生之後才知道是虛驚一場。(影劇 / 2021-12-15 16:23),,0
ettoday,小甜甜素顏開直播「產後沒朋友」 曝老公增胖10公斤：像Joeman,https://www.ettoday.net/news/20211215/2146928.htm,2021-12-15 15:31,李岳於17LIVE的直播節目《李岳週五夜》日前邀請小甜甜（張可昀）連線，這是小甜甜產後首次上直播節目，笑說：「媽媽時間真的變得很少，我產後都完全沒跟人視訊，連好朋友都沒有，所以我現在很興奮！」李岳驚訝小甜甜竟以素顏登場，對此小甜甜表示：「當了媽媽的人，通常不太能化妝，抱小孩如果小孩碰到或親到，有任何化學藥品都不行。」(影劇 / 2021-12-15 15:31),,0
ettoday,「好市多賣300萬元電視」以為看錯價格！內行喊不識貨：買完變郭董,https://www.ettoday.net/news/20211206/2139461.htm,2021-12-06 09:58,好市多（costco）是民眾公認高CP值的大賣場，也常常推出爆紅新品，引發一股搶購潮，近來有網友發現，好市多官網開賣一款面板尺寸超巨大的120吋電視，價格為299萬9999元，300萬元有找，讓他驚呆了，不過有眼尖的網友發現，該電視與鴻海創辦人郭台銘家裡的一樣，直呼「買完變郭董」。(財經 / 2021-12-06 09:58),,0
ettoday,Joeman「31歲存到5000萬退休」！ 他揭5大致富原因：月收至少200萬,https://www.ettoday.net/news/20211202/2136751.htm,2021-12-02 10:10,知名Youtuber Joeman（九妹）訂閱數超過200萬，日前賣掉800萬的藍寶堅尼小牛，還透露31歲就達到退休目標金額，存款至少有5000萬元，引起熱議。至於他為何能年紀輕輕就有豐厚收入，名嘴分析「成功的5大原因」，更推算他月收至少有200到250萬，讓人相當意外。(影劇 / 2021-12-02 10:10),,0
ettoday,郭董家也有「好市多299萬電視」 網突見「驚爆價」：已下單10台,https://www.ettoday.net/news/20211130/2135272.htm,2021-11-30 18:01,本站曾報導《「好市多299萬電視」全台最狂！郭董家也有1台　網紅驚：太浮誇了》，指出好市多賣場有販售夏普「120吋真8K顯示器」，且郭董家客廳也有一台，如今有鄉民發現，該款電視下殺30萬，紛紛胡鬧一片，「買！一定是標錯價才會折30萬！」(房產雲 / 2021-11-30 18:01),,0
ettoday,他問「YouTuber收入算不算太超過？」 網點破真相：失敗例子一堆,https://www.ettoday.net/news/20211129/2134736.htm,2021-11-29 22:41,隨著各大社群平台的崛起，許多人靠著在網路上生產各文章、影音等闖出名堂，成為知名網紅、YouTuber等。近日，有男大生在Dcard提問「YouTuber算不算收入太超過的職業？」認為成為YouTuber「門檻很低、收入超過付出太多」，遭到許多網友砲轟，直呼這根本是「倖存者偏差」。 (影劇 / 2021-11-29 22:41),,0
ettoday,被爆31歲存到5千萬！Joeman「神回1句」藏玄機 網秒懂：更羨慕了,https://www.ettoday.net/news/20211129/2134083.htm,2021-11-29 16:08,網紅Joeman（九妹）日前透露，他本來打算35歲退休，想不到31歲就達到退休目標金額；而在「WACKYBOYS 反骨男孩」酷炫的追問下，Joeman雖沒明說自己存到多少錢，但1句話也曝光存款至少有5000萬元。消息曝光後，引發網友熱議，Joeman事後也在臉書上神回，讓一票人更羨慕了。(財經 / 2021-11-29 16:08),,0
ettoday,幼稚園通知帶魚！小男童阿嬤霸氣「給整盆」…網笑炸：加菜嗎？,https://www.ettoday.net/news/20211129/2134130.htm,2021-11-29 10:13,現在幼兒園為了增加更多的親子互動機會，會有許多邀請學童家長一起投入的作業設計，讓孩子的學習過程更豐富，但也因此笑料百出，成為網友討論焦點。日前有網友在「爆廢公社」臉書社團分享，有一所幼稚園要小朋友，「帶魚」來學校，沒想到一位男同學卻超霸氣，帶來學校的魚非常與眾不同，也讓網友看了笑彎了腰。(生活 / 2021-11-29 10:13),,0
ettoday,31歲就存到目標退休金！Joeman曝金額「至少8位數」PTT震驚,https://www.ettoday.net/news/20211128/2133657.htm,2021-11-28 11:54,百萬YouTuber「WACKYBOYS 反骨男孩」日前參加第3屆走鐘獎時，藉機拍攝訪問企劃，題目則是「YouTuber覺得幾歲退休最適合？」被問到的Joeman就說，他本來是打算35歲退休，沒想到31歲就已經存到退休金目標金額。在酷炫的追問下，Joeman雖沒有直接透露自己存到多少錢，但一句話曝光至少有5千萬，讓網友驚呆。(財經 / 2021-11-28 11:54),,0
ettoday,朋友調侃另一半停車技術差！他問「男生很在意嗎」網受不了開噴,https://www.ettoday.net/news/20211126/2131893.htm,2021-11-26 10:03,情侶相處之間，不免會有玩笑話，只是對男生而言，最不喜歡的就是被比較，日前就有一對情侶檔，因女方稱讚其他男生「停車技術很好」，並下意識說「你看人家」，讓男方頗為尷尬，經過這件事後，不經讓這名網友思考「男生是不是很在意自己的停車技術」，並在Dcard論壇上引起熱烈討論。(ET車雲 / 2021-11-26 10:03),,0
ettoday,Joeman賠賣小牛網問「超跑有多難養」？老司機：掛R牌不是為省錢,https://www.ettoday.net/news/20211125/2131395.htm,2021-11-25 10:26,日前知名網紅Joeman將才買了1年的「小牛超跑」給賣了，並透過影片分享養超跑不為人知的甘苦談；對於常人來說，很少有人知道擁有千萬豪車的壓力，近期就有節目對此進行深入探討，而過去網傳「掛租賃R牌」是租車來打腫臉充胖子、或只是為了省錢節稅，老司機也解答了「還有一個重要功能」是什麼(ET車雲 / 2021-11-25 10:26),,0
