Source,Title,Link,Date,Summary,Text,Like
ettoday,炭烤青蔥醬　料理男神MASA嚇：太厲害了,https://www.ettoday.net/news/20210911/2074508.htm?from=pctaglist,2021-09-11 12:00,全聯《料理之王2》本週進行珠寶盒挑戰賽，這場總冠軍前哨戰最終決定六強名單，六人也將於下集角逐《料理之王2》總冠軍。,,0
ettoday,日本百萬YouTuber現身《料理2》評分標準「有沒有開心」,https://www.ettoday.net/news/20210910/2076423.htm?from=pctaglist,2021-09-10 21:10,全聯《料理之王2》今（10日）晚間9點播出「總冠軍前哨戰」，將選出最終六強晉級決賽。鍵一役特別邀請「日本快樂料理男神」MASA，以及品嚐過無數美食的王世均擔任飛行饕客。,,0
ettoday,三十分鐘做佛跳牆　廚佛Fred：我都要做三天了！,https://www.ettoday.net/news/20210909/2074474.htm?from=pctaglist,2021-09-09 12:00,全聯《料理之王2》進入總冠軍前哨戰，將選出最後六強晉級決賽。關鍵一役特別邀請日本料理男神MASA以及品嚐過無數美食的王世均執行長擔任飛行饕客。選手需要用首席導師們指定的珠寶盒(神秘箱)食材製作創意料理，包含台灣小吃臭豆腐、豬血糕等，以及三十分鐘做出佛跳牆，超高難度考題逼瘋選手們。,,0
ettoday,居家抗疫「煮到沒靈感」？上傳招牌菜照跟網友尬起來「再抽購物金」,https://www.ettoday.net/news/20210618/2008216.htm?from=pctaglist,2021-06-18 17:58,居家防疫吃來吃去都是一樣的菜色嗎？不論是在家裡負責翻鍋鏟的大廚，或是離鄉背井的遊子，最近難免懷念起過去家裡的招牌菜滋味。油品大廠泰山發現疫情下人們對於料理菜色的渴望與需求，特別在臉書祭出「我家的招牌菜」暖心PO文活動！,,0
ettoday,知名日本廚師體驗料理不怕油煙纏身　櫻花AI風控油煙機讓你料理更省心,https://www.ettoday.net/news/20210423/1960315.htm?from=pctaglist,2021-04-23 11:00,每回外出聚餐最怕走出餐廳時，全身沾滿濃濃的食物異味，現今受到疫情影響，多數人選擇在家自行做料理，同樣會擔心煮完飯後，全身油煙味揮之不去，甚至居家環境瀰漫著一股油耗味。別擔心，現在櫻花推出智能AI風控歐化除油煙機，要幫煮婦煮夫在家優雅烹飪、輕鬆上桌。,,0
ettoday,焦脆肉香太誘人！台北傳統墨西哥料理　塔可餅配綠莎莎醬超美味,https://www.ettoday.net/news/20210403/1947726.htm?from=pctaglist,2021-04-03 15:00,新開幕一陣子的塔可專賣店，店名是否聯想起以前日料的那間「MASA」？玉米餅是從玉米開始自製，可以選擇餅皮、軟餅的氣味獨特，配料則多偏鹹酸濃厚，調味如果再稍稍放輕，也許更能感受玉米餅的風味？總之覺得不錯～可以再來。,,0
ettoday,【廣編】食欲の秋　泰山均衡369 X MASA養生料理,https://www.ettoday.net/news/20201025/1839489.htm?from=pctaglist,2020-10-25 18:27,週六(10/24) 知名油品大廠泰山旗下均衡369品牌，攜手擁有百萬粉絲的日籍主廚MASA老師，現身MITSUI OUTLET PARK台中港，為注重健康、享受生活的大眾帶來【食欲の秋：泰山均衡369XMASA養生料理】，現場同步邀請程涵宇營養師分享養生秘訣。,,0
ettoday,選對「麵條」料理苦手變神手！質感主廚MASA教你輕鬆做和風洋食,https://www.ettoday.net/news/20200828/1795015.htm?from=pctaglist,2020-08-28 15:01,近期社交型態流行約三五好友到家中用餐。然而，對許多料理苦手而言，要準備「上得了檯面」的餐點，恐怕相當傷腦筋！質感大廚MASA老師就接獲友人求救，不服輸想挑戰和風料理速成班，希望下次朋友聚會時能自信端出令人驚豔的好味道，因此MASA老師決定教他用好勁道千羽拉麵輕鬆製作兩道不失敗料理！,,0
ettoday,芝麻創意吃法爭奪賽　百位素人挑戰多元料理饗味蕾,https://www.ettoday.net/news/20180817/1237033.htm?from=pctaglist,2018-08-17 08:30,芝初SesaOle於今夏以天然的芝麻原料的「冰心芝麻限量組」特別搭配電動攪拌器推出，並舉辦百位素人創意芝麻食譜募集活動，創造出一波裸食創意料理的風潮，在夏末高溫居高不下的天氣裡，提供消費者健康又兼具多樣料理變化的原味食材好選擇，同時搭配推廣促銷期間，讓消費者買到物美價廉的商品。,,0
ettoday,旅行大口吃遍全世界　MASA到異鄉最愛吃...,https://www.ettoday.net/news/20161020/791547.htm?from=pctaglist,2016-10-20 11:00,擺脫煩忙的工作，到世界各國探訪是許多人夢寐以求的夢想，然而旅程中除了踏遍知名景點，其實品嚐在地美食也是很棒的體驗方式，透過視覺和味蕾讓自己身心靈獲得滿足，像是MASA老師不管出國去哪裡旅行，都會特別去品嚐用當地新鮮食材做成的料理。,,0
