Source,Title,Link,Date,Summary,Text,Like
ettoday,10歲網紅妞妞月入近百萬　7歲出道開箱玩具還有專屬卡通,https://www.ettoday.net/news/20200109/1621209.htm?from=pctaglist,2020-01-09 10:53,2016年妞妞7歲，父母就為她開設YouTube頻道NyoNyoTV，每日分享開箱玩具、DIY手作、日常趣事等影片，至今累積76萬人訂閱，影片總觀看次數達5億次，以YouTuber頻道數據分析網站influencer對NyoNyoTV進行分析，粗估頻道月收入可達93萬元，進帳相當可觀。,,0
ettoday,灰鸚鵡站搖滾區「盯爸爸洗小鳥」　她爆料：還會吹口哨,https://www.ettoday.net/news/20210623/2013612.htm?from=pctaglist,2021-06-23 17:20,鳥兒也是喜歡賞鳥的！雌灰鸚「妞妞」是網友洪小姐的老公養的鳥，非常喜歡黏在把拔身邊，就連洗澡時也不放過。日前當男主人在洗澡時，洪小姐發現妞妞呆呆站在淋浴間的拉門外，隔著門欣賞愛人的淋浴秀，看得相當入神。這一幕也讓網友歪樓笑說，「牠在看鳥鳥有沒有洗乾淨啦！」,,0
ettoday,前女團團長豪氣脫了「驚人雙球掉出來」　康康超挫：怕起生理反應,https://www.ettoday.net/news/20210429/1971234.htm?from=pctaglist,2021-04-29 20:17,前女團Super7隊長「妞妞」許寀菁推出新EP《最後通牒》，今（29日）舉辦記者會，康康力挺站台，兩人認識十幾年，他爆料：「印象最深刻的是她的劈腿跟軟骨功。」當時還單身的康康，被問到有沒有追求外型亮麗的妞妞，打趣說：「以前我也不缺，那時候覺得她以後會『劈腿』，好像不太好。」,,0
ettoday,撿嬰兒不要的！「黑白萌童」開心吸奶嘴　阿嬤見小手偷襲：不可以,https://www.ettoday.net/news/20210319/1941640.htm?from=pctaglist,2021-03-19 17:45,寵物配小孩就是這麼萌！新北市有隻超可愛的黑白汪「妞妞」，這天牠發現9個月大的小主人，不喜歡一款綠色的奶嘴，於是撿她不要的。結果小嬰兒看到後反悔、一直想搶回來。阿嬤將整個畫面錄下來，分享在臉書社團笑翻大家。,,0
ettoday,11歲YouTuber妞妞超會賺！　月收入曝光「小資女要賺1年」,https://www.ettoday.net/news/20201013/1830086.htm?from=pctaglist,2020-10-13 08:02,"台灣知名小學生YouTuber妞妞和父母共同經營的YouTube頻道「妞妞TV」，由妞爸及妞媽一手打理，一家人以妞妞為主角，經常拍攝親子玩具開箱、生活日常，充滿童趣的內容，深受小朋友及家長們喜愛，擁有近90萬訂閱數，平均月觀看次數超過1,500萬人次，卻因與號稱亞洲最大Youtube聯播網的WEBTVASIA合作，慘遭拖欠分潤，讓年僅11歲的妞妞月薪曝光。以妞爸提告金額3個月Youtube觀看收益約150萬元換算，妞妞年僅11歲，月收等於行政院總處今年公布的國人平均年薪。",,0
ettoday,曾和小鬼黃鴻升「傳緋聞3年」　天氣女孩妞妞哀傷發聲,https://www.ettoday.net/news/20200916/1810416.htm?from=pctaglist,2020-09-16 15:55,黃鴻升（小鬼）16日驚傳在北投區住處過世，被發現時已屍僵，享年36歲，經紀人也已向《ETtoday新聞雲》證實此噩耗，消息來得太過突然，震驚演藝圈；過去曾和他傳出緋聞的「天氣女孩」前成員妞妞，透過經紀人表示：「非常難過。」,,0
ettoday,威脅要打妞妞！「護妹魔犬」伸手阻擋　可愛嚴肅臉笑翻網友,https://www.ettoday.net/news/20200617/1739535.htm?from=pctaglist,2020-06-17 18:56,誰都不准碰我妹妹！飼主Meng Yun Tsang家中飼養超多毛小孩，有貓又有狗，天天鬧出不少笑話。最近黑白汪「妞妞」實在調皮，媽媽忍無可忍威脅「要打妞妞」，沒想到狗姐姐「妹妹」竟然出手保護，表情還十分的認真阻止。,,0
ettoday,不只楊丞琳！小鬼前女友還有她　偶包重死不認4年戀「私人臉書細節」露餡,https://www.ettoday.net/news/20200617/1739472.htm?from=pctaglist,2020-06-17 06:37,黃鴻升（小鬼）四年前與「天氣女孩」妞妞傳出緋聞，當時他曾公開表示對方是自己「喜歡的類型」，無奈「鬼妞戀」僅維持三年就告終。近日本刊接獲爆料，感情空窗一陣子的小鬼，與「啦啦隊女神」吳函峮（峮峮）熱戀中，本刊也直擊他不只一次進入峮峮住家的社區過夜，且總是鬼鬼祟祟深怕被發現，對新戀情非常小心翼翼。,,0
ettoday,工廠防疫減班外籍移工躲公寓狂賭　警衝入驚見32人都沒戴口罩,https://www.ettoday.net/news/20200412/1689807.htm?from=pctaglist,2020-04-12 18:11,新冠肺炎防疫期間除了娛樂聲色場所停業外，不少工廠也暫時停工或減少上班時間，許多外籍移工跟著空閒下來，警方獲報在新莊、樹林交界處，破獲一處職業賭場，逮捕32名台、越、印尼籍賭客，部分移工表示沒有班可加，無聊上賭場碰運氣打發時間，現場竟無人戴口罩，警方趕緊提供口罩並量測體溫，訊後依賭博罪移送。,,0
ettoday,守護8年！忠心汪不知阿嬤離世　「癡癡坐門口」等她回家,https://www.ettoday.net/news/20200409/1687237.htm?from=pctaglist,2020-04-09 17:03,「阿嬤怎麼還沒回家...？」網友妞妞阿母日前在臉書上分享一則貼文，只見米克斯汪「妞妞」獨自坐在門口，若有所思的望向門外彷彿在等待著什麼，這一落寞的背影讓馬麻不捨的發文說道，「守護8年的阿嬤已經到佛祖身邊修行了，不知情的妞妞依然在等著復康巴士載阿嬤回家。」,,0
