Source,Title,Link,Date,Summary,Text,Like
ettoday,HowHow、洋蔥已經很搞笑　「他們」靠這2點更紅：笑著笑著就哭了,https://www.ettoday.net/news/20200905/1801775.htm?from=pctaglist,2020-09-05 12:46,YouTuber如雨後春筍般的冒出，題材要符合閱聽者的口味也越來越難， 其中的「HowHow（陳孜昊）」、「洋蔥（Onion Man）」和近期走紅的「反正我很閒」都有不少死忠粉絲，不過一名網友就認為，HowHow和洋蔥出現了「後繼無力」的感覺，評價似乎不如以往；以這3個頻道來說，到底哪一個最好笑？,,0
ettoday,「每周一到五會經歷的痛苦？」　答案讓網友直呼中肯！,https://www.ettoday.net/news/20161013/792428.htm?from=pctaglist,2016-10-13 18:01,「人，為什麼要早起呢？」當每天被鬧鐘驚醒的瞬間，濃濃睡意再度席捲而來，相信這是不少重度賴床患者最大的痛苦，但終究還是要面對殘酷現實。網路插畫家「Onion man洋蔥男」近日在臉書上傳新創作，描述早上爬不起來超痛苦，如果有時光機該有多好，引發網友共鳴！,,0
ettoday,《精靈寶可夢》虐翻單身狗！　洋蔥男新作笑翻上萬網友,https://www.ettoday.net/news/20160807/750373.htm?from=pctaglist,2016-08-07 15:30,萬眾矚目的《精靈寶可夢》Pokémon GO終於在6日登台，全台玩家也陷入一陣抓寶風潮，臉書等社群平台均被寶可夢洗版。知名網路插畫家「Onion man」6日在臉書分享最新創作，將單身與寶可夢做連結，網友看完後留言表示「有種淡淡的哀傷啊！」,,0
ettoday,插畫家們點出5大Pokémon GO中毒現象　全民有感引討論,https://www.ettoday.net/news/20160807/750413.htm?from=pctaglist,2016-08-07 14:25,《Pokémon GO》才剛在台灣上市第二天，全台已立刻陷入神奇寶貝風潮。早先於紐澳美等其他地區上市的《Pokémon GO》，已陸續傳出「Pokémon GO中毒事件」。而台灣插畫家們也觀察到了許多有趣的現象，將它記錄下來，這些全民有感的圖文創作也引起了廣大網友迴響。,,0
ettoday,史上最強COVER神曲！　超狂「海獅系列」笑翻百萬網友,https://www.ettoday.net/news/20160719/737911.htm?from=pctaglist,2016-07-19 12:18,近年來網路紅人經濟崛起，透過口耳相傳快速分享，達到超高人氣，許多網路插畫家也因此爆紅，知名網路插畫家Onion man藉由幽默圖文，獲得大眾喜愛，粉絲人數逼近65萬人，他的「周末小劇場」系列，將插畫變動畫，加入搞笑配音及歌曲，上傳2天就突破百萬觀賞次數。,,0
ettoday,體重、女友全都是「假的」　爆笑惡搞影片吸200萬點閱！,https://www.ettoday.net/news/20160718/737293.htm?from=pctaglist,2016-07-18 10:11,新一代宗教界紅人「海濤法師」近日因「先生外遇，假的？」影片大爆紅，引發網友接連惡搞，不但製作「假的！產生器」、「海濤法師之假的！長輩圖」，甚至還有網友將他和前任宗教界紅人「美江牧師」拿來大PK，網路插畫家Onion man也製作一支搞笑影片，引發網友共鳴，吸引近200萬觀看次數。,,0
ettoday,吃太多了！《美隊3》惡搞版美食內戰　40萬網友笑翻,https://www.ettoday.net/news/20160520/701890.htm?from=pctaglist,2016-05-20 15:14,漫威電影《美國隊長3：英雄內戰》在全球上映近4週，票房進逼10億美元（約新台幣），眾英雄大亂鬥的劇情吸引許多人分析討論，台灣日前有一群網路當紅插畫家攜手合作，以電影預告片為藍本和配音製作成動畫短片，無厘頭又搞笑的內容吸引許多網友關注。,,0
ettoday,洋蔥《3國智》錄影腳滑重摔在地　慘遭張立東狠酸,https://www.ettoday.net/news/20211204/2138507.htm?from=pctaglist,2021-12-04 12:24,玖壹壹日前上台視《綜藝3國智》出外景，節目開播至今迎來第五個年頭，製作單位特別在12月推出系列特別企劃，當天錄影大夥還換上特製周年紀念制服以新面貌闖關，一行人分成紅、黑兩隊PK球技，洋蔥在防守傳球時不慎腳滑，整個人往後倒直接躺在地上。,,0
ettoday,晚餐沒洋蔥抓狂！恐怖爸斧頭屠殺妻和4孩　13歲女兒死前被性侵,https://www.ettoday.net/news/20211203/2138063.htm?from=pctaglist,2021-12-03 17:17,肯亞近來發生一起殘忍屠殺案，35歲男子保羅(Paul Murage Njuki)被控用斧頭殘忍殺死妻子和4名孩子，原因竟然可能與晚餐沒有準備他要吃的洋蔥有關。警方到場時在床上發現5人遺體，頭部都有嚴重的砍傷，並懷疑大女兒死前曾遭到保羅性侵。,,0
ettoday,弟上車指定跟啾啾坐埋頭狂吸嫌臭　吉度開心同步「抬頭嗨笑」,https://www.ettoday.net/news/20211106/2117873.htm?from=pctaglist,2021-11-06 15:20,新北飼主陳焦糖開車接弟弟，弟弟一上車就指定要跟吉娃娃「啾啾」一起坐，接著把臉埋進啾啾的身體狂吸，一邊跟狗狗說話，一邊笑著抱怨「臭臭～」，但他身體非常誠實越吸越起勁，來回2、3次之後一汪一孩同時笑了，畫面非常溫馨。,,0
