Source,Title,Link,Date,Summary,Text,Like
ettoday,吳姍儒跨年日「悲揭15歲傷疤」人群中淚崩！曾陷認知瓶頸：情緒失控,https://www.ettoday.net/news/20211231/2158692.htm?from=pctaglist,2021-12-31 12:00,今（31日）不僅是2021年最後一天，也是充滿聖誕氣氛12月結尾，但對吳姍儒（Sandy）來說這個月份不那麼討喜，15歲獨自在國外無助在路邊大哭、19歲碰上家人重大變故，後來遇上自我狀態認知的瓶頸，而現在的她已進化，與自己的對話中成長並道別過往：「2021，再見，我失去的、得到的，都是我了。」,,0
ettoday,鹿希派闖禍2次「欠Sandy 60萬」歸還進度曝！還原陌生人請菸細節：人來瘋了,https://www.ettoday.net/news/20211229/2157176.htm?from=pctaglist,2021-12-29 13:43,吳宗憲的23歲兒子鹿希派（吳睿軒）26日凌晨遭北市步行巡邏員警聞到身上有濃厚大麻味，經過測試後，他因持有、吸食2級毒品遭逮捕，事隔3天，他29日照常舉辦原定的發片記者會，似乎想藉此機會一口氣解釋清楚，稍早現身時，可以看到他一臉凝重接受提問，沒想到訪到一半，爸爸現身了。,,0
ettoday,Sandy主持到一半被陳柏霖說「可以小聲點嗎」！還原尷尬過程：太丟臉,https://www.ettoday.net/news/20211223/2152979.htm?from=pctaglist,2021-12-23 15:16,Sandy（吳姍儒）在主持領域交出漂亮成績單，實力有目共睹，但曾經有一場活動讓她至今仍印象深刻，原來是她當下應廠商要求，在競選車上大聲宣傳「我身邊這位就是大仁哥」，一路往西門町會場移動，結果陳柏霖實在忍不住了就轉頭跟她說：「可以拜託小聲一點嗎？」超糗往事直到最近才在節目中曝光。,,0
ettoday,吳姍儒怕「小妹太辣」會勾引到公公！分享個人維繫感情「不二法門」,https://www.ettoday.net/news/20211222/2152382.htm?from=pctaglist,2021-12-22 18:30,女星吳姍儒（Sandy）今（22日）來到台中新光三越Marc Jacobs全新店面開幕活動，穿著一身薰衣草紫色的針織衫亮麗現身，由於大婚日期將至，關於婚禮造型她表示將以經典款為主，「性感」則會是小妹的風格，她搞笑說道：「我怕我妹會勾引到公公，我妹那個辣法不知道他那天會發生什麼事！」近期娛樂圈十分不平靜，而感情穩定、即將步入禮堂的吳珊儒，今天也分享了維繫感情的「不二法門」。,,0
ettoday,啦啦隊正妹「幾乎失明」等到角膜！　突接通知揪心：會去看你家人,https://www.ettoday.net/news/20211221/2151692.htm?from=pctaglist,2021-12-21 23:32,前職棒啦啦隊長豆芽Sandy（林裕庭）外型亮眼，現在則轉戰直播平台擔任球賽主播，活潑風格十分有特色，擁有一票忠實粉絲。她在2020年突傳右眼因為不明原因失去視力，在年底接受角膜移植，日前再度開刀進行二次移植手術，她也坦言「心情很複雜」，引來許多網友關心祝福。,,0
ettoday,謝和弦怒罵「臭俗仔」遭求償百萬！　吳宗憲「被生病人當箭靶」已第三次,https://www.ettoday.net/news/20211215/2146565.htm?from=pctaglist,2021-12-15 10:32,謝和弦2019年在直播中辱罵吳宗憲「裝什麼台灣大哥」、「臭俗仔」等言語，引發吳不滿怒告，士林地院昨（14日）依公然侮辱罪嫌判謝和弦拘役20日，得易科罰金2萬，還得面臨100萬的民事訴訟求償。謝和弦老婆莉婭（陳緗妮）在法院判決出爐後也在臉書向吳道歉，對此吳宗憲在沉寂一天於今早回應《ETtoday星光雲》表示，自己沒有怨恨，也沒有不原諒他的理由：「他是生病的人，只能讓他們在法院得到證明」。,,0
ettoday,Sandy曝想遠離台灣！吳宗憲驚吐「婚後移民」：再也看不到了,https://www.ettoday.net/news/20211213/2145298.htm?from=pctaglist,2021-12-13 16:26,綜藝天王吳宗憲（憲哥）的大女兒吳姍儒（Sandy）將於明年1月29日於文華東方舉辦婚禮，先前就傳她有意淡出演藝圈，今（13）日憲哥在《綜藝大熱門》錄影前透露，Sandy選在當天，就是希望隔天直接飛美國，開玩笑說「就再也看不到她們了」，隨後解釋「沒有啦，因為他們親戚都在那裡」，表示會直接過年休長假。,,0
ettoday,拍情慾戲「選Sandy或唐綺陽？」　炎亞綸幻想一輪抉擇：畫面震撼力強,https://www.ettoday.net/news/20211209/2142461.htm?from=pctaglist,2021-12-09 16:56,演藝圈「斜槓天王」炎亞綸日前上《蝦皮娛樂線》，這次他以老闆的身份上節目，分享經營之道。炎亞綸業務範圍超廣，被主持人張立東虧：「支線太多，斜槓斜到腦震盪。」炎亞綸藉此澄清，之前說過如果拿到金鐘獎，就要從家裡陽台放紅布條到一樓，「布條確定不能放。」也讓主持人笑說：「大家不要再逼他了！」,,0
ettoday,吳宗憲上傳13秒片「鹿希派的爛鳥」！　跳針畫面網笑瘋：盡力了,https://www.ettoday.net/news/20211206/2139579.htm?from=pctaglist,2021-12-06 11:28,「綜藝天王」吳宗憲育有3女1子，除了大女兒Sandy（吳姍儒），小兒子鹿希派（吳睿軒）也有在娛樂圈活動，常在社群網站分享生活點滴的他，最近難得主動提起兒子，不過卻是狠狠吐槽「鹿希派的爛鳥」，同時PO出家中鸚鵡數數的過程，短短13秒影片頓時笑翻眾人，意外掀起熱烈討論。,,0
ettoday,Sandy吃早午餐「解放高衩裙」美腿全被拍！釣出炎亞綸回一句話…網笑翻,https://www.ettoday.net/news/20211129/2134431.htm?from=pctaglist,2021-11-29 15:32,Sandy（吳姍儒）除了在主持領域交出漂亮成績單，還多了作家的新身分，常透過社群網站和粉絲分享生活點滴，她最近便PO出用餐完的照片，「網美朋友很會拍照，幫助我完美詮釋：『週末去吃早午餐（燦笑）的網美照』。」沒想到，這則貼文意外引來炎亞綸回應一句話，逗得不少網友哈哈大笑。,,0
