Source,Title,Link,Date,Summary,Text,Like
PTT,[問卦] 有沒有鋼鋼脫口秀的八卦?,https://www.ptt.cc/bbs/Gossiping/M.1633933922.A.378.html,2021-10-11 14:32:00,,"台灣最近脫口秀好像很紅有一群喜劇圈的人運用網路平台如Youtube等等把脫口秀好像在幾年內打入台灣很多人關注的心中網路影片也都很多?人在看朋友說，他最喜歡的台灣脫口秀演員是鋼鋼說""鋼鋼脫口秀""很好看，要我去youtube看還說鋼鋼絕對是台灣脫口秀演員現在當紅的No.1鋼鋼真的有那麼好笑嗎?好像很少在網路上看來討論有沒有鋼鋼脫口秀的八卦?--",
PTT,Re: [問卦] 博恩現在知道為什麼不肯道歉了嗎？,https://www.ptt.cc/bbs/Gossiping/M.1633677536.A.C07.html,2021-10-08 15:18:54,,就是失空斬阿老K確實在直播失言了那一整段的確不妥但目的就是為了直取龍龍此為一失空博恩示弱就如你所描述的那樣斬姑且不說以三國演義來說空城計之後到斬馬謖之前還有一段戲司馬懿退兵不久關興、張苞在路邊殺出來..司馬懿還竊笑說差點被偷襲結果傻子曹真以為孔明退兵私自引兵追殺孔明追了一半姜維、馬岱殺了出來直接把他的先鋒斬殺趙雲、跟鄧芝小隊也在路邊蹲點碰到郭懷帶著蘇顒去追擊蘇顒還放話說領三千兵就可以抓趙子龍直接被趙雲一槍捅死放到現在來看失空博恩都演好了斬變成雞排妹方上演失空斬~~~~博恩早就跟你說了這齣戲叫失空斬了~對於薩泰爾最差就是留停老k--你把直播看完就會知道那是引導出來的結果那段就是老k起的頭,3
PTT,[問卦] 事後看 最秀的是博恩吧,https://www.ptt.cc/bbs/Gossiping/M.1633663042.A.04E.html,2021-10-08 11:17:20,,危機處理影片台灣發燒第一以其人之道還至其人之身以龍2哭訴的模式自己也拍了一隻影片加入三國元素把自己比喻諸葛亮揮淚斬馬K這個梗真得寫得好有討論度順便把所有對話紀錄公開此事能解決最秀的真的是他--,8
PTT,[問卦] 所以博恩哩系勒靠啥小,https://www.ptt.cc/bbs/Gossiping/M.1633832787.A.792.html,2021-10-10 10:26:25,,ㄇㄉ當老闆的自己員工不挺去挺個瞎妹還是什麼名校念心理學的？誰在搞事ㄋ看不出來？靠啥小哭哭唷--,6
PTT,[問卦] 博恩當爸了？,https://www.ptt.cc/bbs/Gossiping/M.1633863323.A.CF1.html,2021-10-10 18:55:21,,看底下留言說一個禮拜前就生了….當時還是腥風血雨呢真難想像博恩當爸爸ㄌ！無限開火權鬧出人命啦--,7
PTT,[問卦] 博恩現在知道為什麼不肯道歉了嗎？,https://www.ptt.cc/bbs/Gossiping/M.1633668479.A.508.html,2021-10-08 12:47:57,,博恩，很想要老K道歉的人。甚至因為想知道「為什麼不肯道歉」而落下男兒淚可惜最後還是沒有看到他想要的道歉請問有人知道現在的博恩在想些什麼嗎？有卦？-----SentfromJPTTonmyiPhone--笑死,6
PTT,Re: [問卦] 博恩現在知道為什麼不肯道歉了嗎？,https://www.ptt.cc/bbs/Gossiping/M.1633676071.A.16B.html,2021-10-08 14:54:29,,這根本劇本通吧，龍龍昨天自爆內容是什麼?是他記錯了薩泰爾的原始影片檔根本沒有龍龍講的關鍵字，那為什麼博恩第一時間道歉?以博恩這種學歷加上薩泰爾這麼多能人異士，不可能不知道自己底牌是什麼但他們面對的是龍龍的前經紀人、龍龍前經紀人旗下的藝人，面對扛著近幾年最夯的平權大旗，薩泰爾知道不能正面衝突，那怎麼辦?演一齣磅礡大劇，留下男兒淚的同時不甘地說「你怎麼就是不肯道歉」挖個大洞等對方跳，然後呢?就是大家目前看到的對手陣營的視角來說，第一波攻擊十分成功，對方主將(博恩)示弱輿論對己方有利，但沒想到己方陣營的人不懂驕兵必敗的道理，意見開始分歧這時帶頭的龍將軍不顧眾人攔阻，硬是要趁勝追擊，結果中了埋伏被滅團自己滅團不打緊，還讓當初找來的援軍一起遭殃，博恩這棋下的真好--,9
PTT,[問卦] 博恩是不是下了一盤很大的棋,https://www.ptt.cc/bbs/Gossiping/M.1633677238.A.A79.html,2021-10-08 15:13:55,,博恩高智商Youtuber、薩泰爾創辦人、台大畢業、倫敦大學學院腦與心智科學研究所最近面對公關危機，幾乎完美化解還讓拿著道德大旗出征的龍龍援軍灰頭土臉的使出切割刀會不會從頭到尾都是博恩大大的棋路呢？畢竟在龍龍第二部被人質疑疑似偷笑的影片出來時當時博恩的發文就透露出他早有底牌的暗示想到之前博恩也曾經辱罵員工三字經，並要求員工提告想要帶來一場大型的社會實驗會不會一切早在博恩的計畫之中，出來哭哭道歉只是想看看對手如何落入陷阱之中根本是臥龍博恩，哭哭間，強虜灰飛煙滅這一切484早在他的預料之中，想看看誰上了失智列車呢？看來，聰明的讀書人真的是要尊重一下？--,17
PTT,[問卦] 博恩現在在想什麼？,https://www.ptt.cc/bbs/Gossiping/M.1633666062.A.6A4.html,2021-10-08 12:07:40,,他這幾天壓力應該很大，被夾在兩個人中間，公雞變飼主。要不是龍龍陣營自爆，可能現在還在掙扎。----------------------可以想見，博恩下次走上台，就會先彎腰一鞠躬，「對不起！」抬起頭來，說道：「雖然我還不是很了解現在進展到哪了，但總之是對不起！」（往前一步）大家都知道我最近壓力有點大，睡不好，所以跑去看了醫生，想請他開點藥，讓我好睡一點。「醫生問我說：『你怎麼了？』」我想了一下，把病癥都寫在紙上，先給醫師看，他覺得沒問題了我再照著紙上講一次，一個字都不改。（閱讀小抄）醫師聽完，覺得病況還算輕微，建議我去從事運動舒壓就可以了。於是我就開始做些運動，例如跑步、射箭之類的，誰知道昨天我接到國訓中心射箭隊的電話，說要徵招我進國家代表隊，據說是覺得我很有天份，當一個箭靶十分稱職。由於我還珍惜生命，所以就婉拒了。我這輩子最討厭的就是：1.被人家當靶來射，你要射就射在草船上，射我幹嘛？你射草船我還會謝謝你。2.箭上還點火，企圖讓我的草船燒起來。拜託！我幾年前就不碰跟火或自焚有關的話題了好嗎？更別說什麼噴火龍之類的，兩個關鍵字都湊齊，我當時害怕極了。總之，在這段期間，請不要跟我提「火、龍、雞這些字，聽到時，我的手會抖兩下，這樣就不好了。因為我最近在努力把馬謖的頭想辦法接回去，萬一接歪就糟糕了。萬一馬謖的性情大變，一開始就道歉怎麼辦？！謝謝大家。--是齁，奇蹟出現。我大學時是有在做一些舞台相關的表演，不過很久沒做了。如果觀眾願意接受大叔，那再看看吧,39
PTT,[新聞] 博恩突宣布當爸 不理龍K紛爭溫馨曬寶寶,https://www.ptt.cc/bbs/Gossiping/M.1633868809.A.F78.html,2021-10-10 20:26:47,,1.媒體來源:中時2.記者署名:蕭雅文3.完整新聞標題:博恩突宣布當爸不理龍K紛爭溫馨曬寶寶4.完整新聞內文:YouTuber曾博恩（博恩）因主持脫口秀《博恩夜夜秀》走紅，近日衰捲龍龍、老K引發的《炎上》風波，在鏡頭前痛哭道歉惹粉絲心疼。今（10日）傳出好消息，原來博恩在社群平台分享當上新手爸爸，並透露博恩2019年8月結婚，曾在影片中曬出婚紗照，太太Mami臉蛋姣好，身穿下半身透視的蕾絲禮服小露美腿，雙方互動超甜蜜，只不過博恩事先完全沒說過老婆已懷孕，今10日無預警在社群平台宣布當爸，用幽默的口吻打趣表示：「千萬別相信單單一次精液分析的結果。至於為什麼會這樣……明年專場再解釋吧。還沒想好名字開放投稿。」喜訊公開不到一個小時，徐乃麟、熊熊、李岳、陳大天等藝人朋友都獻上祝福，連立委高嘉瑜、市議員許淑華都留言恭喜，網友反應更為熱烈，吸引破4萬粉絲按讚、狂蓋千則留言樓。事實上，博恩去年曾在陶晶瑩的節目中透露絕對不生小孩，讓陶晶瑩忍不住開玩笑：「你套子戴幾層啊？怎麼能夠保證絕對不會中。」這時博恩才鬆口自己的精子品質不優，「我的形狀良率好像很差，所以它們沒有辦法鑽進去卵子裡」所以對生小孩一事隨緣，笑說自己有了「無限開火權」，想不到今年就升格當爸爸。5.完整新聞連結(或短網址):6.備註:樓下幫取名--,100
PTT,Re: [新聞] 博恩突宣布當爸 不理龍K紛爭溫馨曬寶寶,https://www.ptt.cc/bbs/Gossiping/M.1633871052.A.4DE.html,2021-10-10 21:04:10,,欸等等我記得博恩不是說他精子不會游泳還撒小的說去檢測過非常難生育所以這是醫院疏失還是.....umu不能生育突然有小孩的卦--,
PTT,Re: [新聞] 博恩突宣布當爸 不理龍K紛爭溫馨曬寶寶,https://www.ptt.cc/bbs/Gossiping/M.1633883165.A.80D.html,2021-10-11 00:26:02,,博恩是說衡量精子是三個指標活動力、數量、形狀博恩精子的形狀不好，所以想說不會懷孕大概是這樣才瘋狂中出結果就中獎了QQ博恩：絕對不生陶子：我看你生不生~博恩：絕對不生~--,1
PTT,[問卦] 博恩夜夜秀真毒？,https://www.ptt.cc/bbs/Gossiping/M.1634984881.A.4F0.html,2021-10-23 18:27:58,,欸我說那些上過夜夜秀的好像都很慘黃國昌-被打成中共同路人立委路GG柯文哲-被打成中共同路人檳榔柯黃捷-雖然聽過罷免被逃不過換臉陳柏惟-黑歷史被起底被罷免GG韓國瑜-黑歷史被起底總統市長都GG蔡英文-從817神壇跌落也被換臉欸這也太毒了吧上這東西還要花三十萬有卦嗎--,
PTT,[問卦] 博恩跟黃豪平那個好笑？,https://www.ptt.cc/bbs/Gossiping/M.1635334759.A.DEF.html,2021-10-27 19:39:17,,博恩跟黃豪平那個脫口秀比較好笑？為何博恩不生小孩？黃豪平真的不是gay嗎？-----SentfromJPTTonmySamsungSM-N9750.--,4
PTT,[問卦] Dave Chappelle是誰 美國的博恩嗎？,https://www.ptt.cc/bbs/Gossiping/M.1634837121.A.A88.html,2021-10-22 01:25:19,,如題我剛剛看新聞啊這好像也是一個黑人喜劇演員嗎？他最近在netflix裡面有上喜劇特輯Thecloser剛好裡面有提到跨性別的笑話結果就被出征了欸沒想到Netflix好像力挺到底欸高層說不會下架現在好像公司裡還有跨性別員工很不爽還有人在總部外抗議但為啥這個黑人喜劇演員惹到跨性別還有人挺他而且沒被切割他很厲害嗎他是不是美國曾博恩嗎><在喜劇圈很有名小弟我多益只有112分不太懂英文看不太懂整個事件的脈絡有人可以解釋一下嗎有卦嗎--,23
PTT,[問卦] Stand up! Stand up! Stand up! 打ち込む,https://www.ptt.cc/bbs/Gossiping/M.1626102625.A.BCA.html,2021-07-12 23:10:21,,そして集いしスターダスト如是般，奔騰匯聚的星塵們100年目の目覚めに呼ばれて受時隔百年的甦醒所召喚男達は向かう時の砂を越えるJourney男兒們挺身而出踏上跨越時光之沙的旅途よう連なる絡み合う宿命白金で断つ運命交錯的宿命如同鎖鏈般環環相扣白金之光將命運破碎瓦解Standup!Standup!Standup!打ち込むのはStandup!Standup!Standup!迸射而出AllrightnowAllrightnowAllrightnow誇りのBulletAllrightnowAllrightnowAllrightnow榮耀之彈(JoJo!JoJo!JoJo!)BreakyoudownBreakyoudownBreakyoudown拳放つ聖なるヴィジョンStandProud!拳上綻放神聖幻象StandProud!各位肥宅晚上好嗎辛苦上班一整天會撲會下班覺得累到站不起來蛤如果這時候女友很想要一直鼓勵你Standup!Standup!Standup!肥宅們有辦法猛烈ㄉ射出來(打ち込むのは)ㄇ還是肥宅只能打手槍沒這煩惱嘻嘻有拔掛嘛--用閃亮的歌聲開始現場演唱☆--,
PTT,[問卦] 喬瑟夫跟博恩的賞鳥片？,https://www.ptt.cc/bbs/Gossiping/M.1635399148.A.919.html,2021-10-28 13:32:25,,博恩揮淚斬馬謖(ㄙㄨˋ)，結果馬謖自己把頭接回去後，看來心情超好的。拉喬瑟夫一起去公園賞鳥。但這邊我有一個疑惑，困擾了我，那就是博恩的增高墊倒底是塞了多少？怎麼看來比喬瑟夫還高？--,4
PTT,[問卦] 喬治卡林 算是美國博恩嗎,https://www.ptt.cc/bbs/Gossiping/M.1635349746.A.53C.html,2021-10-27 23:49:04,,如題喬治卡林GeorgeCarlin美國喜劇表演者小弟最近莫名奇妙被推薦了這個影片我以前都沒接觸過美國的單口喜劇還啥的我看這個大叔感覺很會講各種批判美國欸這種人在東亞國家應該很難生存下去嗎啊去查了一下他好像是美國喜劇泰斗所以他就是美國博恩嗎感覺差不多欸小弟英文不好><托福還多益只有112分@@有人可以解釋一下喬治卡林算是美國博恩嗎:3有卦嗎--對不起><有點幽默感嘛:(幹嘛這麼認真,
PTT,[問卦] 有美國博恩--康納的八卦嗎,https://www.ptt.cc/bbs/Gossiping/M.1637366711.A.8D2.html,2021-11-20 08:05:09,,聽說美國也有一個跟夜夜秀很類似的節目不是那個英裔美國人是那個紅頭髮的叫康納還是柯南為甚麼我都只找的到他的舊影片新的是因為版權甚麼的被鎖起來了嗎新的康納影片要去哪裡看阿還有他最近都在幹嘛有掛嗎--,7
PTT,[問卦] 炎上 狗屎寫手 博恩秀都什麼人在看,https://www.ptt.cc/bbs/Gossiping/M.1639470237.A.49D.html,2021-12-14 16:23:55,,炎上狗屎寫手博恩夜夜秀有些梗台下都笑成那樣但我還是不懂好笑的點在哪都什麼人在看的有沒有卦--,25
PTT,[問卦] 博恩和老K是諸葛亮和馬謖 那雞龍是？,https://www.ptt.cc/bbs/Gossiping/M.1633610920.A.89C.html,2021-10-07 20:48:38,,如題如果博恩和老K的關係是諸葛亮和馬謖的話我想問現在要屠龍的雞排妹跟龍龍是怎麼樣的關係呢？有人知道怎麼比喻兩人的關係嗎？--,10
PTT,[問卦] 博恩揮淚斬老K G排溫酒斬龍龍 都幾？,https://www.ptt.cc/bbs/Gossiping/M.1633612597.A.43F.html,2021-10-07 21:16:35,,如題最近這兩部戲真的很好看我想問一下各位鄉民們你們喜歡哪一部啊？我是想看9:30G排怎麼斬顏良的（x街亭沒有失守阿丞相他打回來了！----SentfromonmyiPhone8Plus--,7
PTT,[問卦] 到底是康姐太狠還是博恩太強？,https://www.ptt.cc/bbs/Gossiping/M.1633614207.A.9E0.html,2021-10-07 21:43:25,,到底是康姐太狠還是博恩太強？女權在博恩面前不堪一擊見招拆招龍龍才剛拍好影片反擊博恩只留了欸要確定欸..今天就被切割到底還是高學歷博恩太完美嗎任何女權都無法在他面前得利不塊是心理系畢業嗎還是康姐看情況不對只好止血--,8
PTT,[問卦] 早知道博恩是不是多撐一週就贏了,https://www.ptt.cc/bbs/Gossiping/M.1633612784.A.F40.html,2021-10-07 21:19:39,,博恩發澄清影片後不到一週龍K風向驟變雞排倒戈現在龍還直接被解約早知道是不是單純發澄清就好根本不用斬老K撐過一週就贏了？-----SentfromJPTTonmyiPhone--吃不下古巴只好去吃飯，在文章被刪掉前，有沒有人要建議我吃啥呢？--,9
PTT,[問卦] 以後博恩脫口秀第一的位子無人可擋了吧,https://www.ptt.cc/bbs/Gossiping/M.1633617735.A.1CA.html,2021-10-07 22:42:13,,脫口秀賣票第二的龍龍想藉由女權聲量挑戰弄倒薩泰爾沒想到在自爆過後被雞康無情丟棄脫口秀第一的位子博恩無人可挑戰了吧脫口秀女王該何去何從？--,6
PTT,[問卦] 博恩會被偏激覺青討厭是不是因為不夠挺?,https://www.ptt.cc/bbs/Gossiping/M.1633615613.A.B97.html,2021-10-07 22:06:51,,"如題，博恩常常被偏激覺青討厭的理由不外乎兩點1.鄭南榕地獄笑話2.夜夜秀邀韓國瑜但其實看過博恩的許多演出和段子還算是非常偏綠吧只是跟其他偏激側翼相比理性的多不過仍舊被某些覺青認為是兩邊討好的撈仔如今在這個敏感時刻被龍龍和老K的事件燒到是不是某團體想要掩蓋某些事情順便教訓那些偏激覺青認為""不夠挺""的人有沒有掛?嘻嘻--",1
PTT,[問卦] 博恩現在在幹嘛,https://www.ptt.cc/bbs/Gossiping/M.1633616707.A.60C.html,2021-10-07 22:25:04,,1.開紅酒喝2.躺在沙發上欣賞荒謬3.笑到快內傷吃運功散中4.籌備下一場演出劇本5.接收很多line的道賀訊息話說博恩現在在幹嘛啊?!--,100
PTT,[問卦] 博恩是不是脫口秀統神啊,https://www.ptt.cc/bbs/Gossiping/M.1633618730.A.24B.html,2021-10-07 22:58:47,,真的超猛的欸炎上一直延期感覺最近快不行了結果忽然出現一個龍龍比炎上還炎上劇情急轉直下完全猜不到欸結果又讓博恩直接回流最大贏家博恩是不是脫口秀統神啊好猛喔-----SentfromJPTTonmySamsungSM-G9880.--,5
PTT,[問卦] 博恩跟統神誰比較爽,https://www.ptt.cc/bbs/Gossiping/M.1633618667.A.A40.html,2021-10-07 22:57:45,,嗯吶都是被搞之後敵人自爆一個是先被切割再爆一個是爆了被切割這樣看來博恩跟統神誰比較爽啊？有人知道咪？--蘿莉銘身不在高，米四就行，胸不在大，有型則靈，斯是蘿莉，為吾是侵。洋裝貓耳朵，小嘴大眼睛。短髮很俏麗，長髮也飄逸。可以給糖果，玩親親。無八卦之亂耳，無血拼之勞行。學校游泳室，公園小涼亭。吾自云：能萌就行--,4
PTT,[問卦] 博恩現在應該懂老K為什麼不道歉了吧?,https://www.ptt.cc/bbs/Gossiping/M.1633618340.A.349.html,2021-10-07 22:52:16,,是這樣拉博恩揮淚斬馬謖的時候還哭哭了說到底為什麼不道歉啊現在博恩應該懂了吧?還是其實這也是博恩的段子?太神啦~~~~~峰迴路轉太刺激了喔對惹10/23日有罷免案唷--笑一笑就過去了--,26
PTT,[問卦] 博恩現在要找凱留吧,https://www.ptt.cc/bbs/Gossiping/M.1633619497.A.99E.html,2021-10-07 23:11:35,,安安如題雞龍之戰證實馬謖被誤斬但一堆人說要找華佗接頭幹華佗只有醫頭痛啊跟開腦更何況華佗自己的頭也掉了啊應該找咱們接頭大師凱留啊各位覺得呢----SentfromonmyiPhoneSE(2ndGen)--,5
PTT,[問卦] 博恩是軟爛台男吧,https://www.ptt.cc/bbs/Gossiping/M.1633618993.A.C5B.html,2021-10-07 23:03:11,,明明這種事情調影片出來就水落石出結果博恩第一件事要老K道歉並且拍影片懺悔哭哭面對台女抹黑沒有還手餘力他在表演中說自己是M我完全相信--SentfrommyiPhoneSE(2ndgeneration)PiTT--,4
PTT,[問卦] 未來博恩那群人會開K龍雞梗嗎？,https://www.ptt.cc/bbs/Gossiping/M.1633620262.A.978.html,2021-10-07 23:24:18,,聽說那群稱作笑話圈的人，什麼玩笑都能開，連一個主持不好笑的老阿婆過世的女兒都能拿來開玩笑，我就在想他們既然放的那麼開，以後有機會聽到他們把K龍雞這反轉拿來開玩笑嗎？這就是所謂的笑話圈吧？老實說看到現在我覺得這反轉滿有梗的，以後有機會聽到這段梗嗎？但是還是希望大家勿忘肇逃，並提倡候選人前科公開法，每張選票上，都需要他們的前科。-----SentfromJPTTonmyiPhone--奴性是種很神奇的東西，當孳生出紅色和綠色的藍色組織，設置了沒有經過人民選舉民主建立的重要規則；他們只要取代藍色組織後，紅色和綠色創造新的口號，改幾條不重要的規矩；奴隸就會感受到自由平等，並且圍剿質疑紅色和綠色的人，把他們打成藍色等其他色。這世界上奴隸總是以為創造萬惡之源，自卑的自己就顯得有自信、不會出錯的幻想--,8
PTT,[問卦] 博恩是真哭還是假哭,https://www.ptt.cc/bbs/Gossiping/M.1633618845.A.9A6.html,2021-10-07 23:00:43,,當初看看好像覺得他真的很難過但現在看看感覺是諷刺龍龍我只能說智商真的太高了當初他是真的哭還是假的哭有沒有掛-----SentfromJPTTonmyiPhone--,9
PTT,[問卦] 博恩會後悔斬錯嗎,https://www.ptt.cc/bbs/Gossiping/M.1633619110.A.463.html,2021-10-07 23:05:08,,感覺博恩也很慘吧黑菊方認輸兵敗如山倒但博恩因為畏懼女權自助餐把有道理的人斬掉假哭也變成笑話現在不是很尷尬嗎會不會後悔斬錯人0.0..--,5
PTT,Re: [問卦] 博恩是軟爛台男吧,https://www.ptt.cc/bbs/Gossiping/M.1633624771.A.36F.html,2021-10-08 00:39:29,,博恩跟老K這次配合可說是相當成功啊！博恩看似示弱其實是引龍2入局讓她以為可以藉幾滴淚壓倒薩泰爾與踩死老K於是開始躁進到處開戰場結果搞到自爆被切割這招以退為進能如此成功博恩真情流露與老K堅決不道歉起到了畫龍點睛之妙但真正的原因還是龍2不老實才能用這招這才是化解危機的聰明人~--,1
PTT,[問卦] 我就問雞排有沒有欠博恩、老K一個道歉,https://www.ptt.cc/bbs/Gossiping/M.1633622539.A.8B1.html,2021-10-08 00:02:17,,反正無論如何雞排搞個烏龍事情也沒查清楚聽龍龍跟經紀公司發文參戰搞得一堆沒看喜劇的政治正確仔到處出征他自己也各種嘲諷說在網絡玩的很開心現在搞錯了，就算有點被騙對那些被他跟粉絲出征受害人，薩泰爾、老k說句我搞錯了，對不起，下次會注意不為過吧乾不要整場直播感受感受就是沒查證啊，公眾人物能不查證嗎？誰知道薩泰爾掉了多少業配，老k還直接被揮淚斬--,9
PTT,[問卦] 老K比博恩厲害多了吧 @@,https://www.ptt.cc/bbs/Gossiping/M.1633623221.A.57E.html,2021-10-08 00:13:39,,龍2事件一開始沸沸揚揚薩泰爾被女拳風暴打的措手不及博恩崩潰開直播哭哭還喊老K你為什麼不道歉結果老K第一時間沒有極力反擊沉澱後拍了個影片平舖直述的說明原委雖然底下留言罵爆了也面不改色說時間久了會證明結果竟然是龍2自爆@@老K沉穩、有勇有謀、頭腦清楚雖然講脫口秀不好笑但比他老闆博恩厲害多了吧@@有卦?--,26
PTT,Re: [問卦] 炎上 狗屎寫手 博恩秀都什麼人在看,https://www.ptt.cc/bbs/Gossiping/M.1639473181.A.14E.html,2021-12-14 17:12:57,,大概是覺青吧，整天逛華山當流浪漢，拍片當拉麵獵人，歌單都是難聽獨立樂團。同一群啦，自以為自己很特別，卻不知道只是個難笑怪咖。-----SentfromJPTTonmyGooglePixel6.--自殺前請先好好思考如何賭一把翻身~~--一定是命中了，好氣,5
PTT,Re: [問卦] 炎上 狗屎寫手 博恩秀都什麼人在看,https://www.ptt.cc/bbs/Gossiping/M.1639473184.A.BB3.html,2021-12-14 17:13:00,,我啊身為覺青口中的9.2柯韓昌粉我覺得蠻好笑的啊不過喔，夜夜秀就真的難看，那時期只要政治立場對了，再難笑下面的覺青一樣會笑，不知道說什麼梗就罵一下韓、柯、狗民黨，流量就來了（大部分的網紅像什麼菜啊佳、自欺77、都掌握這樣的流量密碼）但除此之外，炎上、狗屎寫手真的都挺好笑的，那些去被幹的藝人態度也都很大方，段子也很有梗所以也不用因人廢言、因為政治立場不同就否定一切啦！-----SentfromJPTTonmyiPhone--,
PTT,Re: [問卦] 博恩和雞排都第一天知道記錯了??,https://www.ptt.cc/bbs/Gossiping/M.1633656863.A.EA4.html,2021-10-08 09:34:21,,以下資料取自wiki曾博恩教育程度台北市大安區仁愛國民小學台北市私立復興實驗高級中學國中部台北市立建國高級中學國立台灣大學外文系、心理學系倫敦大學學院腦與心智科學研究所巴黎第六大學整合生物研究所台灣大學外文系畢業龍龍教育程度國立政治大學民族學系老K查不到能上政大跟台大的記憶力應該都很強吧~--,17
PTT,[問卦] 博恩和雞排都第一天知道記錯了??,https://www.ptt.cc/bbs/Gossiping/M.1633646795.A.615.html,2021-10-08 06:46:33,,"不是啊我說這件事情也發生了幾個月吧龍二有沒有記錯當時現場講什麼把帶子調出來看不就知道了?有必要看了3個月之後還要龍二自己出來說""阿我記錯了""博恩和雞排跟那個什麼康姊都第一天知道龍二記錯??五樓相信嗎我是不信啦這幾個人是不是該給老K一個道歉啊--炎上一堆人都脫稿演出啊專找老k?我覺得博恩自己要出來說明當初有沒有跟兩隻雞講清楚要不是對博恩不利博恩還是要出來說當初有沒有跟兩隻雞講清楚如果跟兩隻雞都講清楚了兩隻雞昨天在演什麼我沒有講脫稿的事情我是想知道兩隻雞真的昨天才知道龍二說謊??感覺博恩應該很早就有跟他們說明當時情況吧",55
