Source,Title,Link,Date,Summary,Text,Like,id
Dcard,"《書籍推薦》 調酒界的""酒陰真經""? 一本書出賣了Fourplay",https://www.dcard.tw/service/api/v2/posts/237628255,2021-12-08T15:58:39.501Z,,,98,237628255
Dcard,Taiwan’s eases quarantine regulations prior to the Chinese New Year Holiday,https://www.dcard.tw/service/api/v2/posts/237611327,2021-12-06T12:46:04.27Z,,,2,237611327
Dcard,🍻台北・HiBoRu嗨啵嚕ハイボール,https://www.dcard.tw/service/api/v2/posts/237603974,2021-12-05T13:09:59.277Z,,,8,237603974
Dcard,【2021 公投意見發表會逐字稿共筆】12/2 18:30-19:30 第 17 案 核四重啟公投,https://www.dcard.tw/service/api/v2/posts/237594153,2021-12-03T22:47:13.626Z,,,2,237594153
Dcard,Suzuki是不是滿冷門,https://www.dcard.tw/service/api/v2/posts/237506351,2021-11-22T03:42:05.698Z,,,25,237506351
Dcard,分享對第三屆走鐘獎各獎項的想法與遺珠,https://www.dcard.tw/service/api/v2/posts/237457555,2021-11-15T12:50:08.683Z,,,271,237457555
Dcard,所以我的高中歷史老師竟然是百萬YouTuber……,https://www.dcard.tw/service/api/v2/posts/237446864,2021-11-14T03:47:04.735Z,,,4538,237446864
Dcard,第一次的親密接觸,https://www.dcard.tw/service/api/v2/posts/237382851,2021-11-05T08:23:02.663Z,,,15,237382851
Dcard,【庫雷科技誠徵實習/兼職工讀生】,https://www.dcard.tw/service/api/v2/posts/237365440,2021-11-03T02:30:18.22Z,,,0,237365440
Dcard,【下集｜原來他們都是XX球員？！】,https://www.dcard.tw/service/api/v2/posts/237281061,2021-10-22T07:43:48.98Z,,,64,237281061
Dcard,【 圖多 | World Cup Taiwan 13國確定開踢！】,https://www.dcard.tw/service/api/v2/posts/237279890,2021-10-22T04:38:26.674Z,,,67,237279890
Dcard,Halloween還不知道去哪間Bar ?,https://www.dcard.tw/service/api/v2/posts/237273375,2021-10-21T07:00:21.025Z,,,8,237273375
Dcard,【專訪前國手｜17年的足球夢，我只想享受踢球的純粹】,https://www.dcard.tw/service/api/v2/posts/237265694,2021-10-20T06:39:17.973Z,,,213,237265694
Dcard,【求解！哪裡可以看台灣外交官踢足球？】,https://www.dcard.tw/service/api/v2/posts/237257588,2021-10-19T05:22:13.069Z,,,97,237257588
Dcard,#Mac 爆發直擊 全新Macbook Pro來啦！（同場加映 Airpods 3代,https://www.dcard.tw/service/api/v2/posts/237255428,2021-10-18T17:51:22.413Z,,,385,237255428
Dcard,【我有酒跟球賽 ，你有嗎？】,https://www.dcard.tw/service/api/v2/posts/237246157,2021-10-17T13:59:52.013Z,,,90,237246157
Dcard,[ 一堆外國帥哥足球員居然在台灣...！圖多],https://www.dcard.tw/service/api/v2/posts/237243306,2021-10-17T06:43:30.423Z,,,111,237243306
Dcard,【World Cup Taiwan 2021 我們準備好了！】,https://www.dcard.tw/service/api/v2/posts/237238577,2021-10-16T12:21:21.473Z,,,107,237238577
Dcard,"【台灣的小型世界盃🌐
World Cup Taiwan十三國球隊⚽️輔大開踢！】",https://www.dcard.tw/service/api/v2/posts/237228596,2021-10-15T04:41:09.907Z,,,112,237228596
Dcard,❓為什麼我們要在台灣舉辦一場小型足球世界盃❓,https://www.dcard.tw/service/api/v2/posts/237206713,2021-10-12T07:27:24.991Z,,,703,237206713
Dcard,關於龍龍跟老K的自己一些個人想法,https://www.dcard.tw/service/api/v2/posts/237135450,2021-10-03T04:13:10.128Z,,,2,237135450
Dcard,CDC:納管策略成功 未成年電子菸使用驟降40%,https://www.dcard.tw/service/api/v2/posts/237128201,2021-10-02T04:32:24.694Z,,,2,237128201
Dcard,當立陶宛槓上中國 波羅的海小國的價值之戰,https://www.dcard.tw/service/api/v2/posts/237125076,2021-10-01T14:39:43.81Z,,,128,237125076
Dcard,#分享 2021 南俊柾國生日應援發放整理(feat.八周年燈箱,https://www.dcard.tw/service/api/v2/posts/236824367,2021-08-27T18:55:21.296Z,,,40,236824367
Dcard,台灣警政署165防騙網110/08/16-08/22民眾通報假投資(博奕)詐騙網站 【網友不會幫你賺錢、請勿聽信網友投資】,https://www.dcard.tw/service/api/v2/posts/236798036,2021-08-24T10:02:00.729Z,,,2,236798036
Dcard,#教檢 教檢資源懶人包👜,https://www.dcard.tw/service/api/v2/posts/236795551,2021-08-24T04:12:48.656Z,,,141,236795551
Dcard,今晚在台北你／妳還不知道要去哪間酒吧嗎？Trio安和👈🏻推薦給各位,https://www.dcard.tw/service/api/v2/posts/236750540,2021-08-18T07:43:19.183Z,,,5,236750540
Dcard,#分享 6個與法律相關的YT頻道,https://www.dcard.tw/service/api/v2/posts/236718217,2021-08-14T05:06:43.567Z,,,96,236718217
Dcard,#分享 6個法律相關的YT頻道,https://www.dcard.tw/service/api/v2/posts/236718191,2021-08-14T05:00:58.728Z,,,12,236718191
Dcard,"台灣警政署165防騙網110/08/02-08/08民眾通報假投資(博奕)詐騙網站
【網友不會幫你賺錢、請勿聽信網友投資】",https://www.dcard.tw/service/api/v2/posts/236703682,2021-08-12T07:56:56.06Z,,,8,236703682
Dcard,韓團外籍偶像說自己母語的時刻,https://www.dcard.tw/service/api/v2/posts/236682039,2021-08-09T11:03:20.107Z,,,1124,236682039
Dcard,世界旅學使用後感,https://www.dcard.tw/service/api/v2/posts/236648518,2021-08-04T19:22:13.892Z,,,25,236648518
Dcard,生命是火車頭，帶領生活一站又一站的過，人人來來去去，徒留回憶。,https://www.dcard.tw/service/api/v2/posts/236638168,2021-08-03T12:45:57.87Z,,,5,236638168
Dcard,請問有沒有推薦的 知識型YT頻道,https://www.dcard.tw/service/api/v2/posts/236635146,2021-08-03T05:24:22.952Z,,,12,236635146
Dcard,林佳和／政治公關和煽動家的夢想舞台──法西斯美學和美蘇冷戰下的羅馬奧運,https://www.dcard.tw/service/api/v2/posts/236597040,2021-07-28T22:54:53.93Z,,,3,236597040
Dcard,全球名人美妝品牌暢銷TOP10 : 女神卡卡 (Lady Gaga) 彩妝銷售額破３９億！蕾哈娜 (Rihanna) 奪冠！,https://www.dcard.tw/service/api/v2/posts/236517678,2021-07-18T15:59:27.384Z,,,99,236517678
Dcard,德國議員：台灣購買BNT的過程充滿中國的阻撓,https://www.dcard.tw/service/api/v2/posts/236493545,2021-07-15T12:05:56.007Z,,,28,236493545
Dcard,海地總統被暗殺 生前多次拒絕與中共交好,https://www.dcard.tw/service/api/v2/posts/236453049,2021-07-10T06:50:45.292Z,,,5,236453049
Dcard,台灣邊境管理  隔離天數、篩檢 有多麼不合理?!,https://www.dcard.tw/service/api/v2/posts/236324821,2021-06-23T15:03:09.089Z,,,22,236324821
Dcard,2021 iHeartRadio 音樂獎【完整得獎名單】,https://www.dcard.tw/service/api/v2/posts/236110597,2021-05-28T03:12:47Z,,,28,236110597
Dcard,彭博：自滿心理戳破台灣除圍堵外什麼都沒,https://www.dcard.tw/service/api/v2/posts/236051694,2021-05-21T07:46:26.402Z,,,9,236051694
Dcard,[彭博]自滿讓新冠病毒侵蝕臺灣唯一的防線--邊境,https://www.dcard.tw/service/api/v2/posts/236039553,2021-05-19T22:40:59.807Z,,,8,236039553
Dcard,「掃空、搶購」的英文怎麼說？,https://www.dcard.tw/service/api/v2/posts/235986261,2021-05-14T05:36:32.703Z,,,12,235986261
Dcard,"Awake Sober Bar 
今晚清醒吧",https://www.dcard.tw/service/api/v2/posts/235964966,2021-05-11T16:02:12.779Z,,,3,235964966
Dcard,台北市/FIMER Taiwan/2021 Summer Intern,https://www.dcard.tw/service/api/v2/posts/235959133,2021-05-11T02:30:15.071Z,,,17,235959133
Dcard,🧠什麼！臺灣吧 ( Taiwan Bar ) 要來長庚了！！？🧠,https://www.dcard.tw/service/api/v2/posts/235920915,2021-05-05T15:57:00.728Z,,,31,235920915
Dcard,2021 BBMAs 美國告示牌音樂獎【完整入圍名單】,https://www.dcard.tw/service/api/v2/posts/235877911,2021-04-29T17:01:31.687Z,,,67,235877911
Dcard,近期電子音樂活動參考 推廣喜歡的主辦還有派對！想嘗試不一樣的電音活動請進,https://www.dcard.tw/service/api/v2/posts/235860019,2021-04-27T11:37:57.063Z,,,10,235860019
Dcard,🍵Tei by OBOND,https://www.dcard.tw/service/api/v2/posts/235806715,2021-04-20T04:33:57.686Z,,,10,235806715
Dcard,【居家調酒】熱帶鳳梨調酒 叢林鳥 Jungle Bird,https://www.dcard.tw/service/api/v2/posts/235800021,2021-04-19T05:59:24.025Z,,,37,235800021
Dcard,《2021台北國際酒展•純酒展》⁣⁣⁣⁣#酒展攻略 #世貿一館,https://www.dcard.tw/service/api/v2/posts/235793007,2021-04-18T06:19:57.192Z,,,14,235793007
Dcard,#討論 打開黑盒子,https://www.dcard.tw/service/api/v2/posts/235739116,2021-04-10T09:57:15.7Z,,,13,235739116
Dcard,#琴酒 讀書心得《工藝琴酒全書》,https://www.dcard.tw/service/api/v2/posts/235534604,2021-03-12T09:48:03.694Z,,,26,235534604
Dcard,［品酒文］Bruichladdich Distillery Micro-Provenance Series Single Cask Cask Evolution Exploration Bottled Exclusively for Taiwan,https://www.dcard.tw/service/api/v2/posts/235484382,2021-03-05T09:57:43.166Z,,,8,235484382
Dcard,台灣私校+爆低GRE +轉領域終於申請上 UCI MSBA(沒找代辦自己申請),https://www.dcard.tw/service/api/v2/posts/235465293,2021-03-02T17:22:25.645Z,,,165,235465293
Dcard,黑卡雜誌 / 2021台灣大嘻哈時代起飛，黑卡幫你劃重點的必聽新作：ØZI、熊仔、wannasleep、高浩哲、Finesse’Boy & BADBOYRACOG,https://www.dcard.tw/service/api/v2/posts/235464887,2021-03-02T16:20:59.79Z,,,29,235464887
