Source,Title,Link,Date,Summary,Text,Like
PTT,[問卦] 館長會派最頂的律師幫丁特嗎?,https://www.ptt.cc/bbs/Gossiping/M.1639732814.A.A3F.html,2021-12-17 17:20:12,,"館長是丁特最頂的贊助廠商,現在丁特被大公司欺負,身為大哥的館長應該有義務幫忙小弟不派公司最頂的律師出來說不過去巴?--",7
PTT,Re: [新聞] 直播主丁特控《天堂M》機率不實 遊戲橘子提告,https://www.ptt.cc/bbs/Gossiping/M.1639741495.A.A45.html,2021-12-17 19:44:53,,如果抽獎機率是10%那麼模型會是一個箱子十顆球抽一次少一顆，抽十次一定會剛好中一顆還是一個箱子十顆球抽一次不管中不中都放回去抽十次都是同樣十顆球在抽後者連續十次都沒抽到的機率是多少？--我認為每次機率應該單獨計算,6
PTT,Re: [新聞] 直播主丁特控《天堂M》機率不實 遊戲橘子提告,https://www.ptt.cc/bbs/Gossiping/M.1639747587.A.863.html,2021-12-17 21:26:25,,丁特有難當初蹭聲量的那群人會出手相助嗎？立法院電競政策促進會的優質名單上面有沒有半個人願意幫助丁特？還是蹭完聲量拍拍屁股閃人？--,2
PTT,[問卦] 丁特也倒了 下一個是誰?,https://www.ptt.cc/bbs/Gossiping/M.1639747348.A.F20.html,2021-12-17 21:22:26,,我今天看到丁特的消息非常害怕當初汙衊我神的那些人現在一一受罰我不知道還有多久神罰會降臨到下一個有罪之人身上我不知道我曾經的動作還有言行是否有任何不敬神之處我現在非常害怕神的力量是不容置疑的有沒有八卦?--,
PTT,Re: [新聞] 直播主丁特控《天堂M》機率不實 遊戲,https://www.ptt.cc/bbs/Gossiping/M.1639742539.A.A88.html,2021-12-17 20:02:16,,黑局除了很黑之外還會搞文字獄啦林北盤子玩楓之谷除了各式髒話之外黑橘也會變成**公司名字也不能講通通變成**到底是有多怕人說--,1
PTT,[問卦] 大家怎麼看橘子開吉丁特紫布事件?,https://www.ptt.cc/bbs/Gossiping/M.1639745042.A.A87.html,2021-12-17 20:44:00,,乳提橘子因為丁特紫布事件開吉如果以一個遊戲玩家的角度來看橘子這家公司代理的遊戲還會有敢玩嗎?公司怎麼忍心對待一個資深鐵粉?轉蛋法也失敗玩個遊戲還被公司吉平心而論丁特所做的事是否是大部份玩家的心聲?聖光啊!!大家怎麼看開吉事件呢?我很好奇--,10
PTT,Re: [新聞] 直播主丁特控《天堂M》機率不實 遊戲橘子提告,https://www.ptt.cc/bbs/Gossiping/M.1639747534.A.F36.html,2021-12-17 21:25:32,,剛看完丁特直播就如同丁特所說遊戲橘子這件事到現在都不敢拿電磁紀錄和程式碼出來丁特自己都用新台幣去測試如果機率是5%丁特製作的結果發生機率就是只有200億分之一這在科學上明顯就是「不合理」證明丁特製作的時候機率連後面橘子「改口」說的5%都不到！而當初說的與韓版機率相同，「韓版是10%」！！完全就是欺騙消費者！！然後現在還反過來告那個課了一千萬台幣的玩家用玩家課的錢去告玩家，天啊，這公司...遊戲橘子你真的是當台灣玩家都是塑膠？操，我他媽聽了都不爽了-----SentfromJPTTonmySamsungSM-G9980.--公布總會有看得懂的，自己的能力也應該勉強可以理解錯，科學是可以計算出常態分佈的不再常態分布中基本上就是公布的機率不符怎麼可能毫無辦法驗證？遊戲橘子已經先「公布機率」了既然公布就是有辦法驗證那尾刀電磁紀錄拿出來阿橘子到現在還是不敢拿出來不要說一萬次啦，光丁特抽的4百多次只中12的機率說有5%就是200億分之一完全不符合信賴區間了但原版機率是10%10%大概是你用地球上沙子的數量去測才有一次丁特的結果,27
PTT,[問卦] 有哪些實況主或youtuber 會挺丁特？,https://www.ptt.cc/bbs/Gossiping/M.1639753571.A.AA3.html,2021-12-17 23:06:09,,遊戲橘子的遊戲一大堆，黑橘名聲也是從小傳到大了，但從沒這麼誇張用兩百萬測試機率，居然還被告！一大堆收了廣告費的實況主及Youtuber好像沒人敢出來發聲欸？收了錢就連真理都沒有了嗎？不敢得罪金主爸爸？如果大家不集結起來一起對抗這種不合理的事，轉蛋法什麼的也不要想了，想花錢就當送給老闆開跑車洗房子。--,16
PTT,Re: [新聞] 直播主丁特控《天堂M》機率不實 遊戲橘子提告,https://www.ptt.cc/bbs/Gossiping/M.1639752826.A.43A.html,2021-12-17 22:53:44,,"補充說明一下好了如果真的是200億分之一(我沒玩天堂不知道不知道算法,單純論機率)那幾乎可以確定告不贏要知道在刑事案件上dna的證據力往往都是99.99%就差不多可以定罪了這機率也就萬分之一更不用說有些千萬分之一,甚至億分之一基本上都是鐵案了那這個200億分之一還要有人認為這叫機率,是有可能發生的那我很建議這些人去當律師你只要有辦法說服法官dna叫機率不能拿來當定罪/翻盤的證據保證你大紅大紫賺錢賺不完~~--律師只要把一些靠dna定罪/翻盤的案例整理出來然後說這個200億分之一的證據力是XXX案例的十萬倍就算法官是文組也知道十萬倍的概念保底就是類似抽100次必中一次這樣的設計",1
PTT,[問卦] 爸爸是丁特有多幸福？,https://www.ptt.cc/bbs/Gossiping/M.1639764915.A.D51.html,2021-12-18 02:15:12,,小弟弟我看到丁老闆花了上百萬就為了測試三小機率的感到非常震驚但又很羨慕他的財力當丁特這種富爸爸的兒子有多幸福八卦？--,4
