Source,Title,Link,Date,Summary,Text,Like
ettoday,遭爆走後門！求走鐘獎「安插1個」張旭認了　網再挖板擦妹內幕,https://www.ettoday.net/news/20211127/2133005.htm?from=pctaglist,2021-11-27 11:49,數學補教名師張旭日前將教學影片上傳到YouTube，讓幫忙擦黑板的超正板姐「芸寶」爆紅，該影片觀看數甚至高達近30萬次，張旭也再度成為話題。不過，就有鍵盤柯南發現，張旭團隊似乎曾寄信給「上班不要看」，希望對方在走鐘獎上安插一個獎項給他，線索交叉比對後，網友們不禁直嘆「一切都是為了行銷。」,,0
ettoday,誰是台灣男神級YouTuber？　鄉民少女心噴發「點名他」：帥到瘋,https://www.ettoday.net/news/20211016/2102757.htm?from=pctaglist,2021-10-16 17:39,你心目中「最帥YouTuber」是誰呢？有網友在批踢踢上發起討論，好奇詢問眾人「大家覺得台灣哪位YouTuber超帥是男神等級？」貼文曝光後，立刻讓網友一致點名「上班不要看」成員阿傑並且紛紛瘋喊「根本帥到瘋掉！」,,0
ettoday,OREO＋牛奶微波＝布朗尼！　阿傑實作蹦出「超噁成品」：這吃得下去？,https://www.ettoday.net/news/20210526/1991900.htm?from=pctaglist,2021-05-26 18:57,YouTuber阿傑（廉傑克曼、RJ）為樂團「七月半」的成員之一，也曾是YouTube頻道「上班不要看」成員之一，目前將創作主力放在個人頻道，與公司轉成外部合作形式。他經常在頻道及個人社群曬出許多搞笑創作短片，近日他在家嘗試網路上流傳的布朗尼實作法，沒想到成品出爐卻大失敗，笑翻許多網友。,,0
ettoday,鄭人碩失傳「金手指」大嘆：遺憾！　呱吉自嘲「這點」像酒店小姐,https://www.ettoday.net/news/20201120/1858387.htm?from=pctaglist,2020-11-20 11:30,同學注意！納豆X鄭人碩兩位自帶綜藝感的金馬準男配來廝殺！還有上班不要看首領呱吉aka台北市議員邱威傑大解密雙重身份甘苦談，本週立喆也要來尬全台第一台MINI GP，偷天換日不是夢！,,0
ettoday,麻希正顎手術「前後對比照」公開！　告別20年困擾曝「最大變化」：感覺超棒,https://www.ettoday.net/news/20200814/1784406.htm?from=pctaglist,2020-08-14 08:09,「上班不要看」成員麻希日前突然剪掉長髮剃光頭讓網友嚇了一跳，原因揭曉原來是為了要做正顎手術，方便術後洗頭乾脆剪了個清爽的造型。如今幾個月過去了，她陸續分享術後的近況以及心得，不少網友都誇術後的她看起來更年輕了。,,0
ettoday,「上班不要看」麻希剃成光頭！3年長髮一刀剪短嚕掉　最終成果男友靜默了,https://www.ettoday.net/news/20200623/1744218.htm?from=pctaglist,2020-06-23 09:01,麻希是YouTuber上班不要看的成員之一，身材好又個性爽朗，就像鄰家大姐姐一樣。近日她無預警公開近況照，沒想到飄逸長髮竟被光頭取代，嚇了粉絲一大跳。,,0
ettoday,呱吉快來看！　男偶像「一次夾斷28根竹筷」被封：最強屁股,https://www.ettoday.net/news/20200611/1735704.htm?from=pctaglist,2020-06-11 17:53,高雄市長韓國瑜的罷免案於6日通過，先前揚言「多幾萬票就夾斷幾根筷子」的YouTuber、台北市議員「呱吉」邱威傑兌現承諾，用屁股夾斷共53根筷子，被網友大讚是「真男人」。影片中呱吉最多只挑戰到「一次夾斷5根筷子」，不過曾有男偶像一次夾斷28根筷子，被稱作「最強屁股」。,,0
ettoday,上班不要看「3月零收入」　呱吉爆準備紓困：緩慢窒息中！,https://www.ettoday.net/news/20200319/1671904.htm?from=pctaglist,2020-03-19 20:21,網紅呱吉（邱威傑）除了是台北市議員之外，他還是知名Youtube 頻道「上班不要看」的創辦人，但近期受到新冠肺炎疫情衝擊，他透露頻道從3月迄今零進帳，更已準備紓困貸款，打算長期抗戰。,,0
ettoday,網紅南韓返台…參加頒獎典禮被譙翻！主辦單位出面道歉了,https://www.ettoday.net/news/20200303/1658148.htm?from=pctaglist,2020-03-03 00:40,YouTuber「一隻阿圓」日前到南韓拍片，但回台後沒做自主隔離，閉關3天就參加YouTuber大型頒獎典禮「走鐘獎」，遭到外界砲轟，事後她發文道歉，主辦單位「上班不要看」也出面致歉：「的確沒有善盡監督的責任。」,,0
ettoday,中職／蔡哥、阿傑火車便當式開球　蔡哥撇清：不是我想的,https://www.ettoday.net/news/20190804/1505642.htm?from=pctaglist,2019-08-04 18:19,富邦悍將3日、4日舉辦「歡樂製造機」主題日，4日邀請來網紅《上班不要看》的蔡哥、阿傑開球。兩人在場上由蔡哥抱著阿傑「合體」一起將球投出。兩人受訪時，蔡哥立刻撇清關係，搶先說：「這個動作不是我想的。」,,0
ettoday,網紅自爆最愛手遊！　上班不要看阿傑已在《神魔之塔》課金十萬,https://www.ettoday.net/news/20190729/1500857.htm?from=pctaglist,2019-07-29 13:39,蘋果App Store夏日動漫祭開跑！今（29）日Apple特別邀請知名YouTuber上班不要看阿傑（RJ）來分享平時最愛哪些動漫遊戲；他表示，自己目前會玩《Disney Tsum Tsum Land》、《遊戲王 決鬥聯盟》、《死神 Bleach》，以及《神魔之塔》等4款遊戲，其中最喜歡《神魔之塔》，從2013年玩到現在已在遊戲中課金大約十萬元。,,0
ettoday,有種愛叫HowHow❤阿福！好友曝「最真實的他們」：2個善良的人結婚了,https://www.ettoday.net/news/20190610/1463816.htm?from=pctaglist,2019-06-10 08:00,YouTuber HowHow在近日和歌手阿福補辦婚宴，除了有張小燕擔任證婚人之外，一票知名的YouTuber也是座上賓，可見這對新人的好人緣。在婚禮後，和HowHow同屬樂團「七月半」成員的蔡哥發文獻上祝福，真情實感的文字，寫出了對「HowFu」的祝福。,,0
ettoday,影／面具男宣稱拍「上班不要看」　找潮牌店捐愛心結果...騙人的,https://www.ettoday.net/news/20190309/1395287.htm?from=pctaglist,2019-03-09 12:28,北市1名男子2月底竟假借網紅團體「上班不要看」成員，到西門町一帶挑上潮牌店宣稱要拍攝節目，男子做出該節目同款面具上門拍攝，並向店家以做公益為名，開口要了2千5百元，事後業者發現節目沒有播出，從臉書向該社團求證才發現遭騙。,,0
ettoday,救救邊緣人！解悶神器秒揪牌咖　漫漫年假一人也能試手氣,https://www.ettoday.net/news/20190207/1370769.htm?from=pctaglist,2019-02-07 11:00,農曆春節九天假期，你打算怎麼度過？在家耍廢睡到飽？與親朋好友相約出門踏青，或是來場牌桌廝殺，聯絡感情也試試新年運氣？如果還沒想好如何在空閒時間娛樂消遣的朋友們，可以參考知名YouTuber博恩、星期天、HowHow與「上班不要看」紛紛推出的影片，與網友分享漫漫長假該怎麼過。,,0
ettoday,有照片！滴妹牽手「不要看」阿傑　親密照曝光阿滴一看傻住,https://www.ettoday.net/news/20180710/1209324.htm?from=pctaglist,2018-07-10 00:27,網紅滴妹（都冠伶）和哥哥阿滴（都省瑞），因製作英語教學影片，在台灣聲名大噪，兄妹倆都有大批死忠粉絲。不過，她事業順風順水，感情似乎也有不錯的「進展」，竟和《上班不要看》系列影片的成員「阿傑」互動親密，連在看似位於河濱公園草原牽手的照片都曝光了！,,0
