Source,Title,Link,Date,Summary,Text,Like
PTT,[問卦] 上班不要看其實從超哥伯夷走後就變無聊了,https://www.ptt.cc/bbs/Gossiping/M.1624905743.A.78B.html,2021-06-29 02:42:19,,如題以前的企劃有趣又好笑幹片都會反覆看但除了貓屎咖啡那集有點噁心過頭其他企劃都不錯然後伯夷跟超哥走後蔡哥進來覺得新片都蠻無聊覺得新的企劃就像A片抓素人聊天前面那段一樣無聊除了呱吉屁股夾筷子有看其他奧光封面就不太想點-----SentfromJPTTonmyiPhone----之前的片真的比較有趣雖然不確定是誰的企劃點現在企劃真的爛,4
PTT,[問卦] 上班不要看的觀眾群都幾歲？,https://www.ptt.cc/bbs/Gossiping/M.1624766563.A.15F.html,2021-06-27 12:02:39,,貓咪大戰六週年大大大大優惠上班不要看，是由呱吉與她的快樂夥伴組成的如今曾經的紅牌阿傑退出只剩下以前的小丑小歐跟一堆叫不出名字的人以前小歐只能旁邊穿內褲現在也變成主角了隨著阿傑離開上班不要看的觀眾群年齡大概多大都是什麼族群呢-----SentfromJPTTonmyiPhone--,14
PTT,Re: [問卦] 上班不要看還有救嗎？,https://www.ptt.cc/bbs/Gossiping/M.1626242433.A.59A.html,2021-07-14 14:00:31,,這個團隊超讚的題目好像AK台北大哥哥出的淦題目真的很靠北XD現在CAT已經上架上班不要考盃-地理篇知識與娛樂兼具推啦--,
PTT,Re: [問卦] 上班不要看還沒百萬訂閱的原因？,https://www.ptt.cc/bbs/Gossiping/M.1625314334.A.47B.html,2021-07-03 20:12:12,,我是在海浪法師風潮後進去看的當時團隊氛圍是整老闆騙老闆吃特製的桌子（20公斤的白巧克力桌偷看員工line，呱吉被洗門風跪在地上懺悔開箱NS裡面有蟑螂嚇呱吉搞套路找黑道來演找欠錢員工討債來嚇呱吉美食廢人灌呱吉酒調戲媛媛（後期也有點下坡以上那些我都重複看好幾次了，每次看都很好笑但自從新團隊後，抱歉，我連看第二次都懶不是說新團隊不好，就只是感覺表面是上班不要看內容卻是別種氛圍的貼牌團隊還我以前的上班不要看好嗎？現在根本不是真正的上班不要看！！！所以我退訂了！！我補充一下，我也很懷念以前蓬萊塢雖然很廢但很好看又好笑--還沒加入團隊前我也有在看蔡哥，一開始入團隊我也很高興，但後來還是變了，沒有上班不要看的初衷,1
PTT,[問卦] 木曜四超玩跟上班不要看當主持人怎選？,https://www.ptt.cc/bbs/Gossiping/M.1625299456.A.1D9.html,2021-07-03 16:04:14,,欸欸兩大YT節目木曜四超玩跟上班不要看老實說我對上班不要看不是很熟但他的基本盤就在那邊訂閱人數84萬老闆是議員基本就這樣木曜四超玩訂閱人數200萬隨便一支片都是破百萬觀看更不用講主持人有老中青通吃邰智源偶像派坤達瘋面仔林柏昇以上3個就已經紅遍台灣還有溫泱瑪麗亞爹斯如果今天兩個頻道只能選一個進入主持群各位會選哪一個？--,6
PTT,Re: [問卦] 上班不要看還沒百萬訂閱的原因？,https://www.ptt.cc/bbs/Gossiping/M.1625330484.A.AD2.html,2021-07-04 00:41:22,,0?本魯後期才看NSFW後來常常看到一些老屁股粉說現在內容走鐘變質不好笑我心裡想說不會啊蠻適合每天下班配晚餐顆顆笑於是最近去搜尋一些以前企劃的影片來看包括什麼超哥、伯夷的頻道看完覺得真他x的難看完全笑不出來說真的如果我要看什麼惡搞撒狗血的低級笑料影片我就看三台無腦綜藝節目就好啦難怪以前聽人說某某節目很好看時我嘗試看了一兩集結果發現原來這些觀眾所謂節目用心，就是要去一些自以為很難到達的地方，玩一些自以為很辛苦的遊戲，或去一些自以為很難達成的關卡，順便搭配各種尷尬難笑的古早低級笑點我如果要看挑戰極限的我寧可看極限體能王還是各頂級運動賽事就好，至於那些各種以攻擊、取笑別人的低級笑點就留在過去綜藝節目就好什麼XX玩很大跟XXX超玩如果把妹子拿掉真的只剩下一些上個世紀的低級尷尬笑點--,
PTT,[問卦] 上班不要看還有救嗎？,https://www.ptt.cc/bbs/Gossiping/M.1626239208.A.7A2.html,2021-07-14 13:06:46,,如題已經沒看很久了結果剛剛油管又跳出推薦影片不點進去還好ㄧ點進去嚇死了都2021年了還有人在玩獵人知識問答這種老梗這種主題別的動漫型、娛樂型油土伯早就做到爛掉了這種老掉牙沒創意比獵人會長還老的企劃竟然還過的了這個團隊到底怎麼了苦無靈感嗎？--,20
PTT,[問卦] 上班不要看還沒百萬訂閱的原因？,https://www.ptt.cc/bbs/Gossiping/M.1625310469.A.DD1.html,2021-07-03 19:07:46,,如題上班不要看創頻道也六七年了，跟他同期的youtuber很多都超過百萬了，就他還在80幾萬訂閱雖然講不出上班不要看有什麼招牌的節目，但印象中製作成本都蠻高的。為什麼上班不要看開台這麼久了，都還沒破百萬訂閱呢？--他是老闆耶，自己的頻道還不能露臉？我看業配還不少耶全部人都是工作人員兼演員，全撤公司不就沒人了？所以頻道成長不起來的罪魁禍首其實是老闆本人？,19
PTT,[問卦] 阿傑跟上班不要看還有合作嗎,https://www.ptt.cc/bbs/Gossiping/M.1626868487.A.44A.html,2021-07-21 19:54:45,,滑IG看到阿傑畫懶趴變成阿傑與熊大想起當初在上班不要看這個系列很好笑現在他們是什麼關係呀--,5
PTT,[問卦] 上班不要看的台柱是誰,https://www.ptt.cc/bbs/Gossiping/M.1626286740.A.2B0.html,2021-07-15 02:18:58,,安安如題我個人覺得是湯瑪啦黑夜貴公子控場能力比尷尬哥好幹話能力應該也有前三你各位啊覺得呢嘻嘻--,9
