Source,Title,Link,Date,Summary,Text,Like
ettoday,冏星人認9歲「被父親友虐待、性侵」　伴侶摸哥崩潰自殘1年！,https://www.ettoday.net/news/20190705/1482927.htm?from=pctaglist,2019-07-05 13:19,知名YouTuber「冏星人」過去曾分享過童年時的傷痛，在9歲那年被爸爸送到香港，暫住父親朋友家卻遭虐待和性侵，她的伴侶摸摸時隔一段時間針對這件事發文，坦言：「止不住的無能為力感讓我憎恨所有的性侵犯，甚至整個社會。」,,0
ettoday,快訊／冏星人宣布：不當YouTuber了！　「被逼得不能再做想做的事」,https://www.ettoday.net/news/20190118/1360159.htm?from=pctaglist,2019-01-18 21:10,YouTuber「冏星人」擁有53萬粉絲，18日卻突然宣布「不當YouTuber了」，並在Instagram無奈發聲：「我為了做自己想做的事情離職創業，如今卻被逼得不能再做想做的事，沒有留在這個位置的必要了。」,,0
ettoday,冏星人風波：網紅西進潮，真的是單純商業行為？,https://www.ettoday.net/news/20181221/1337026.htm?from=pctaglist,2018-12-21 16:58,冏星人與台灣KOL、網紅、播客（Youtuber）被介紹到對岸今日頭條上曝光，是網紅經濟下的單純商業行為嗎？,,0
ettoday,影／冏星人繼母超有名！「我來自中國台灣」遭起底　挖出來頭響亮的她,https://www.ettoday.net/news/20181221/1336858.htm?from=pctaglist,2018-12-21 14:35,台灣知名YouTuber冏星人（舊名：囧星人），日前因入駐《今日頭條》，介紹自己是「中國台灣的冏星人」，讓其臉書粉絲專頁瞬間湧入許多網友洗版，隨後冏星人雖然立即發文澄清「貼文不代表她的立場」，但仍有許多網友對她相當關注，甚至發現冏星人的繼母身分，竟然是赫赫有名的高雄市長落選人璩美鳳。,,0
ettoday,影／冏星人今日頭條發訊「我來自中國台灣」　本人出面解釋了,https://www.ettoday.net/news/20181220/1336131.htm?from=pctaglist,2018-12-20 17:24,冏星人（舊名：囧星人）是台灣知名YouTuber，頻道以影評、書評為主，個人特色是以冏星人身分露臉時會戴假鬍子。日前她入駐《今日頭條》，發布微頭條中介紹自己是「中國台灣的冏星人」。大陸網友紛紛留言歡迎：「歡迎一切中國台灣同胞入駐頭條」、「歡迎台灣的兄弟姐妹們入駐頭條」。,,0
ettoday,日本沒有「ㄍㄢˋ」？關於髒話5件事　專家：沒事罵罵有益健康,https://www.ettoday.net/news/20181129/1315906.htm?from=pctaglist,2018-11-29 12:54,髒話在人類語言文化中，是一種特別的存在，除了咒罵別人以外，有時也會用來強化語氣。YouTuber冏星人前陣子就透過影片，分享關於髒話的5件事，除了解析髒話從古自今的演變外，也提到沒事罵罵髒話，其實有益身心健康！,,0
ettoday,日本人會罵Ｘ嗎？髒話「5知識」你要知道...專家：很健康啊,https://www.ettoday.net/news/20181127/1316802.htm?from=pctaglist,2018-11-27 20:33,老實說！你會罵髒話嗎？其實罵髒話根本就不是罪，而且還有很多心理學家和諮商家都相信「沒事罵罵髒話，有益身心健康」，因此達人冏星人就要和大家分享關於髒話的5件事，原來現在市售的字典根本看不見髒話的蹤影，而且日本人根本就不會罵「Ｘ」，就算罵髒話也不會有太多情緒！,,0
ettoday,冏星人宣布調整方向！　曝頻道內幕：靠YouTube分潤很難存活,https://www.ettoday.net/news/20181120/1310943.htm?from=pctaglist,2018-11-20 12:08,Youtuber冏星人推出多部「說書」影片，清晰口條、獨特見解深受一票書迷歡迎，沒想到，她近日突然宣布調整頻道方向，「我的頻道以書和知識為主題，我也不向出版社要錢，加上頻道流量非常少，靠YouTube廣告分潤很難存活下去。」,,0
ettoday,尋找台北職人！北市產業局新書　王文華冏星人焦點對談,https://www.ettoday.net/news/20180905/1252287.htm?from=pctaglist,2018-09-05 17:58,「你應該驕傲的台北生活力是什麼」台北市政府產業發展局籌畫以「尋常.台北」系列套書共16本，將在8日舉行分享會，暢銷作家王文華、Youtuber冏星人也將在發表會上進行焦點對談，以兩世代不同的觀點，發覺他們看到的台北。,,0
ettoday,囧星人坦承「被父親友虐待、性侵」！　伴侶摸哥知真相崩潰爆哭,https://www.ettoday.net/news/20180607/1186140.htm?from=pctaglist,2018-06-07 16:53,知名YouTuber囧星人因為幽默卻又不失條理的說話風格，深受觀眾喜愛，但她7日突然在臉書上坦承，9歲時曾被父親送到香港，暫借爸爸友人家借住，沒想到遭到虐待和性侵，這件事情她從沒對外說過，連對父母也隱瞞，「我不希望自己在鏡頭的從容搞笑，引來的卻是同情的淚水。」,,0
