Source,Title,Link,Date,Summary,Text,Like
ettoday,劉芒重新道歉！侵權、刪留言「全都認錯」　曝消失2個月改善進度,https://www.ettoday.net/news/20210723/2037732.htm?from=pctaglist,2021-07-23 00:27,YouTuber劉芒在5月被爆出侵權爭議，未經同意在影片中使用他人照片，又挪用Lady Gaga的歌放入片頭曲，還疑似刪除特定關鍵字留言，受到不小的批評。她在6月1日曾道歉1次，後來停止更新頻道和社群網站，直到7月22日才又上新片，向大家報告爭議事件的後續，皆已努力好好處理。,,0
ettoday,侵權爭議連爆！　劉芒沉默3週再道歉「錯誤已造成」：我們重整出發,https://www.ettoday.net/news/20210601/1996611.htm?from=pctaglist,2021-06-01 23:12,YouTuber劉芒近期接連發生爭議，先是未經授權使用「生活品植」官方網站圖片，引發對方抗議後將影片下架，之後又被質疑拿Lady Gaga《Stupid Love》來編片頭曲，涉侵權問題。她沉默3週不回應爭議，但抵不住越燒越旺的輿論，1日晚間終於出面道歉，一次說清所有的事件。,,0
ettoday,才爆盜圖、片頭曲侵權！　劉芒被抓包「封鎖特定留言」…粉失望,https://www.ettoday.net/news/20210529/1994290.htm?from=pctaglist,2021-05-29 18:53,YouTuber劉芒外型亮眼、個性直爽無厘頭，靠著月老系列影片一夕爆紅，頻道至今累積近50萬訂閱，坐擁高人氣。她日前影片內容被爆出盜用他人照片，片頭曲也似乎未經授權使用了Lady Gaga的歌，風波還未平息，現在則又被指封鎖特定關鍵詞，限制網友留言。,,0
ettoday,影片被大陸網紅抄襲　劉芒沉默3天曝近況：可以翻過那個篇章了,https://www.ettoday.net/news/20210426/1968076.htm?from=pctaglist,2021-04-26 01:08,YouTuber劉芒外型亮眼、個性直爽無厘頭，靠著月老系列影片一夕爆紅，頻道至今累積47萬訂閱，擁有高人氣。她近日爆出影片遭大陸網紅抄襲而陷入低潮，對方神隱多日後終於出面道歉，日前發文表示「儘管心還是像被雷劈到的大王椰子樹一樣搖搖欲墜焦黑飄搖，但我好像可以翻過那個篇章了」。,,0
ettoday,陸網紅抄襲YouTuber劉芒！　道歉完還嗆人：這是網路暴力…逼她刪文,https://www.ettoday.net/news/20210423/1967046.htm?from=pctaglist,2021-04-23 21:50,YouTuber劉芒外型亮眼個性卻直爽無厘頭，靠著獨特的個人魅力成為影片創作界的黑馬，尤其是解說拜月老的SOP系列影片，讓她一夕爆紅。近日她遭大陸網紅抄襲6部影片，卻慘遭無視封鎖，讓她情緒低落甚至哭到氣喘發作，對此，大陸網紅神隱多日終於道歉，卻仍委屈直呼：「這是網路暴力！」,,0
ettoday,台正妹影片遭抄襲！哭到氣喘發作…指名陸網紅「盜竊心血」告定了,https://www.ettoday.net/news/20210423/1966343.htm?from=pctaglist,2021-04-23 00:47,YouTuber劉芒擁有精緻的五官，個性直率不做作，常在頻道中分享日常、愛情及心靈上的分析與建議，為觀眾整理歸納出各種主題的10大條件，搞笑主持風格讓她在影片創作界迅速竄紅，目前頻道已有47萬訂閱。她22日突然在Instagram發出長文，表示遭到大陸網紅抄襲，陷入前所未有的低潮。,,0
ettoday,明星也用APP交友！　「網路找到真愛」不是神話…他們強大SOP公開,https://www.ettoday.net/news/20210212/1897376.htm?from=pctaglist,2021-02-12 18:40,現代人經常使用網路聯繫感情，就連交新朋友都可以透過APP幫助，甚至因此找到人生另一半。不少藝人、網紅也在網路上找尋到好伴侶，《ETtoday星光雲》整理他們的交友經驗，讓更多人都能掌握網路交友的方法。,,0
ettoday,劉芒遭「戀童癖者騷擾」！留自卑陰影只敢靠濾鏡說話：討厭自己聲音,https://www.ettoday.net/news/20200906/1802283.htm?from=pctaglist,2020-09-06 09:42,YouTuber劉芒外型亮眼個性卻直爽無厘頭，靠著獨特的個人魅力成為影片創作界的黑馬，從正式轉型為YouTuber至今不過約半年，但頻道訂閱人數已突破25萬。為此她拍了一支Q&A影片回應粉絲的問題，其中提到不喜歡自己嗓音，原因竟是因為小時候曾遭戀童癖變態騷擾。,,0
ettoday,農曆七月「3顏色衣服」千萬不要穿！　網紅劉芒警告：好兄弟會跑來打招呼,https://www.ettoday.net/news/20200825/1793183.htm?from=pctaglist,2020-08-25 17:43,農曆七月也就是俗稱的鬼門開，凡事都要謹慎當心，民間也流傳了不少在這個月份需要注意的事項，例如眾所周知的避免玩水、不要吹口哨等等。而正妹YouTuber劉芒日前就拍片分享了鬼月要特別注意的「都市傳說」，其中提到了「盡量避免選穿的衣服顏色」，提供網友參考。,,0
ettoday,七夕倒數！正妹曝拜月老必勝攻略　「詳列十大項」精準有效找到天菜,https://www.ettoday.net/news/20200820/1788930.htm?from=pctaglist,2020-08-20 06:39,月下老人又稱為月老，尊稱為月老星君、月老公或月老爺，是道教掌管婚姻之神，農曆八月十五日相傳是月下老人的誕辰，許多信徒在當天祭拜月老，祈求好姻緣；除此之外，也有不少人選在農曆七月七日的七夕情人節，或是國曆二月十四西洋情人節向月老祈求良緣；近來網路上更盛傳向月老求姻緣的「必勝清單」，號稱成功率百分之百，因此在廟內常見不少年輕人祭拜時拿著小抄向神明默念。,,0
