Source,Title,Link,Date,Summary,Text,Like,id
Dcard,誰還能比我更射手,https://www.dcard.tw/service/api/v2/posts/237726165,2021-12-21T21:53:40.097Z,,,2,237726165
Dcard,#留學 如果你也想來FIT | #3: 自傳到底該怎麼寫,https://www.dcard.tw/service/api/v2/posts/237726140,2021-12-21T21:23:32.335Z,,,2,237726140
Dcard,又到了白色相簿的季節，帶你了解彈幕刷的梗是什麼,https://www.dcard.tw/service/api/v2/posts/237720493,2021-12-21T07:07:39.666Z,,,3,237720493
Dcard,#分享 採納網友的建議來改善文章，會變怎樣呢？ 早八不遲到睡飽妝,https://www.dcard.tw/service/api/v2/posts/237717471,2021-12-20T17:56:20.412Z,,,27,237717471
Dcard,終於換我遇到詐騙🙂,https://www.dcard.tw/service/api/v2/posts/237717157,2021-12-20T17:00:36.533Z,,,15,237717157
Dcard,#詢問 千千短版上衣,https://www.dcard.tw/service/api/v2/posts/237709285,2021-12-19T16:35:12.628Z,,,93,237709285
Dcard,妳該提防的不只是渣男！,https://www.dcard.tw/service/api/v2/posts/237699474,2021-12-18T09:19:48.399Z,,,242,237699474
Dcard,給前任的最後一封信,https://www.dcard.tw/service/api/v2/posts/237685250,2021-12-16T10:17:38.041Z,,,5,237685250
Dcard,#請益 #詢問 千千的口紅,https://www.dcard.tw/service/api/v2/posts/237651902,2021-12-12T05:04:15.575Z,,,96,237651902
Dcard,#分享 男生將近兩年的保養分享,https://www.dcard.tw/service/api/v2/posts/237642327,2021-12-10T14:08:39.994Z,,,233,237642327
Dcard,18歲開啟了某種奇怪開關𝟚,https://www.dcard.tw/service/api/v2/posts/237635039,2021-12-09T14:26:00.781Z,,,24,237635039
Dcard,【#這題無解  條條大路通羅馬！】,https://www.dcard.tw/service/api/v2/posts/237630953,2021-12-09T04:28:43.767Z,,,21,237630953
Dcard,木曜4超玩 觀看數影片Top 10,https://www.dcard.tw/service/api/v2/posts/237626647,2021-12-08T12:51:28.343Z,,,13,237626647
Dcard,找到自己閃閃發光的亮點✨,https://www.dcard.tw/service/api/v2/posts/237625499,2021-12-08T10:04:33.161Z,,,4,237625499
Dcard,#問卷 #抽獎10名百元禮卷   跪求有觀看美食網紅幫忙填,https://www.dcard.tw/service/api/v2/posts/237610129,2021-12-06T10:07:10.784Z,,,3,237610129
Dcard,#問卷 #抽獎10名百元禮卷   跪求有觀看美食網紅幫忙填,https://www.dcard.tw/service/api/v2/posts/237610094,2021-12-06T10:02:55.425Z,,,1,237610094
Dcard,#問卷 #抽獎10名百元禮卷   跪求有觀看美食網紅幫忙填,https://www.dcard.tw/service/api/v2/posts/237610056,2021-12-06T09:58:14.009Z,,,0,237610056
Dcard,想要嘗試監理站考汽車駕照的請進,https://www.dcard.tw/service/api/v2/posts/237599255,2021-12-04T16:45:56.328Z,,,50,237599255
Dcard,中西醫結合護理⋯,https://www.dcard.tw/service/api/v2/posts/237595347,2021-12-04T05:21:03.733Z,,,15,237595347
Dcard,暈船對象是迷弟,https://www.dcard.tw/service/api/v2/posts/237586050,2021-12-02T16:11:47.846Z,,,3,237586050
Dcard,#問卷 #抽獎10名百元禮卷   跪求有觀看美食網紅幫忙填,https://www.dcard.tw/service/api/v2/posts/237586001,2021-12-02T16:05:13.174Z,,,1,237586001
Dcard,#問卷 #抽獎10名百元禮卷   跪求有觀看美食網紅幫忙填,https://www.dcard.tw/service/api/v2/posts/237585925,2021-12-02T15:58:46.798Z,,,3,237585925
Dcard,減肥要注意的5個小細節,https://www.dcard.tw/service/api/v2/posts/237584450,2021-12-02T12:58:17.732Z,,,1064,237584450
Dcard,民進黨助理洗白家暴男，慘遭水桶10年,https://www.dcard.tw/service/api/v2/posts/237584030,2021-12-02T11:57:01.616Z,,,6,237584030
Dcard,歌曲cover分享-モザイクロール(Reloaded),https://www.dcard.tw/service/api/v2/posts/237576921,2021-12-01T12:51:38.764Z,,,0,237576921
Dcard,婚禮前夕，爸爸離開了,https://www.dcard.tw/service/api/v2/posts/237575179,2021-12-01T08:42:49.616Z,,,280,237575179
Dcard,油畫作品6th｜光輝歲月：母校建中1930,https://www.dcard.tw/service/api/v2/posts/237573982,2021-12-01T05:49:29.657Z,,,3,237573982
Dcard,反核電！到底有沒有道理？,https://www.dcard.tw/service/api/v2/posts/237570714,2021-11-30T15:47:56.351Z,,,17,237570714
Dcard,✨社會服務社 第五屆服務週-「望見幸服 有你依靠」,https://www.dcard.tw/service/api/v2/posts/237568271,2021-11-30T10:42:02.018Z,,,8,237568271
Dcard,Solac｜手持除蟎吸塵器,https://www.dcard.tw/service/api/v2/posts/237566364,2021-11-30T06:01:27.468Z,,,45,237566364
Dcard,#抱怨 只停車詢問是否有位置立馬收費200/人,https://www.dcard.tw/service/api/v2/posts/237558469,2021-11-29T05:26:50.264Z,,,0,237558469
Dcard,情緒控管真的很重啊啊啊,https://www.dcard.tw/service/api/v2/posts/237544068,2021-11-27T02:56:44.946Z,,,309,237544068
Dcard,#潛水攝影 110年11月20-21日墾丁,https://www.dcard.tw/service/api/v2/posts/237540047,2021-11-26T10:52:16.054Z,,,4,237540047
Dcard,喜歡/不喜歡的Youtuber(文長),https://www.dcard.tw/service/api/v2/posts/237534761,2021-11-25T15:42:37.709Z,,,54,237534761
Dcard,人生第一次見綠茶 自愧不如的厚臉皮,https://www.dcard.tw/service/api/v2/posts/237531919,2021-11-25T09:18:32.299Z,,,5,237531919
Dcard,黃大謙：最討厭youtuber做的事,https://www.dcard.tw/service/api/v2/posts/237523886,2021-11-24T08:54:23.492Z,,,2451,237523886
Dcard,【嘉義】兩天一夜美食懶人包⁎⁍̴̛ᴗ⁍̴̛⁎,https://www.dcard.tw/service/api/v2/posts/237522655,2021-11-24T05:49:46.208Z,,,168,237522655
Dcard,110警特四等一試上榜心得文✨,https://www.dcard.tw/service/api/v2/posts/237517371,2021-11-23T11:42:35.588Z,,,52,237517371
Dcard,好神，沒想到只有大學畢業能有此成就,https://www.dcard.tw/service/api/v2/posts/237506950,2021-11-22T05:17:35.721Z,,,9,237506950
Dcard,於是嘗試催眠了,https://www.dcard.tw/service/api/v2/posts/237505643,2021-11-22T01:26:37.731Z,,,16,237505643
Dcard,送一車異色花,https://www.dcard.tw/service/api/v2/posts/237501111,2021-11-21T09:01:00.043Z,,,5,237501111
Dcard,bibigo 冷凍韓式起司魚糕脆皮熱狗,https://www.dcard.tw/service/api/v2/posts/237500078,2021-11-21T06:00:53.037Z,,,148,237500078
Dcard,家裡出現很久～～的黑頭慌蟻了🥲,https://www.dcard.tw/service/api/v2/posts/237490299,2021-11-19T15:35:17.984Z,,,2,237490299
Dcard,每個男生婚後都發現老婆愛抱怨,https://www.dcard.tw/service/api/v2/posts/237489108,2021-11-19T13:08:40.958Z,,,20,237489108
Dcard,請問大家最喜歡鄭宜農那一首歌？,https://www.dcard.tw/service/api/v2/posts/237486715,2021-11-19T06:53:55.828Z,,,21,237486715
Dcard,可以不要這樣死纏爛打嗎,https://www.dcard.tw/service/api/v2/posts/237485141,2021-11-19T03:03:04.232Z,,,1,237485141
Dcard,第三屆走鐘獎美照大合輯🏆,https://www.dcard.tw/service/api/v2/posts/237476140,2021-11-17T19:26:28.793Z,,,825,237476140
Dcard,白稀飯的鬼之層次吃法,https://www.dcard.tw/service/api/v2/posts/237475144,2021-11-17T16:13:07.461Z,,,40,237475144
Dcard,大陸小學生作文,https://www.dcard.tw/service/api/v2/posts/237471691,2021-11-17T08:55:43.038Z,,,766,237471691
Dcard,#大眾占卜 [心測] 我該如何獲得恩典,https://www.dcard.tw/service/api/v2/posts/237470529,2021-11-17T06:07:24.153Z,,,37,237470529
Dcard,我被申了🙄,https://www.dcard.tw/service/api/v2/posts/237464653,2021-11-16T10:50:30.228Z,,,36,237464653
Dcard,心測 - 我該如何獲得恩典,https://www.dcard.tw/service/api/v2/posts/237459937,2021-11-15T17:26:07.962Z,,,20,237459937
Dcard,如何認定另一半？,https://www.dcard.tw/service/api/v2/posts/237458572,2021-11-15T14:48:46.323Z,,,1,237458572
Dcard,#複製文 台大遭受性侵的女學生 #台大#電機系,https://www.dcard.tw/service/api/v2/posts/237454421,2021-11-15T05:20:38.781Z,,,1568,237454421
Dcard,#複製文 台大遭受性侵的女學生 #台大#電機系,https://www.dcard.tw/service/api/v2/posts/237454366,2021-11-15T05:10:54.716Z,,,88,237454366
Dcard,關於走鐘獎#文長#圖多,https://www.dcard.tw/service/api/v2/posts/237452931,2021-11-15T00:02:37.424Z,,,475,237452931
Dcard,"#陸劇 為你千千萬萬遍(雷)
『千萬遍的穿越，只為了再次遇見你📷』",https://www.dcard.tw/service/api/v2/posts/237451267,2021-11-14T15:34:39.787Z,,,57,237451267
Dcard,#複製文 致台大電機系教授李致毅,https://www.dcard.tw/service/api/v2/posts/237451018,2021-11-14T15:02:43.956Z,,,278,237451018
Dcard,倒不如一開始就被拒絕（文有點長～）,https://www.dcard.tw/service/api/v2/posts/237445624,2021-11-13T18:21:00.82Z,,,3,237445624
Dcard,你可以是你 可以是千千萬萬,https://www.dcard.tw/service/api/v2/posts/237427973,2021-11-11T10:02:44.6Z,,,79,237427973
Dcard,#收藏那一天 《掩蓋》,https://www.dcard.tw/service/api/v2/posts/237422885,2021-11-10T15:54:42.643Z,,,14,237422885
Dcard,#心得分享 《愛是澎湃易燃》作者：儋耳蠻花,https://www.dcard.tw/service/api/v2/posts/237414275,2021-11-09T14:01:21.107Z,,,2,237414275
Dcard,#收藏那一天《 放不下》,https://www.dcard.tw/service/api/v2/posts/237404450,2021-11-08T09:26:26.564Z,,,1,237404450
Dcard,#分享 就像是做了場美夢！11.07只辦一天的THE8徐明浩生日展🎱♾,https://www.dcard.tw/service/api/v2/posts/237403597,2021-11-08T07:29:00.829Z,,,267,237403597
Dcard,替代役 226梯 地獄13中 新訓心得,https://www.dcard.tw/service/api/v2/posts/237399075,2021-11-07T14:32:28.151Z,,,71,237399075
Dcard,#Watch Apple Watch 包膜,https://www.dcard.tw/service/api/v2/posts/237393099,2021-11-06T16:44:29.295Z,,,16,237393099
Dcard,《我的巴比倫戀人》給受過傷的自己一個擁抱 如果遺失了自己 那就努力找回來,https://www.dcard.tw/service/api/v2/posts/237391659,2021-11-06T13:33:31.989Z,,,31,237391659
Dcard,那些我在染髮中走過的彎路（中,https://www.dcard.tw/service/api/v2/posts/237382980,2021-11-05T08:41:15.983Z,,,381,237382980
Dcard,美食水水千千，大力讚賞的泡芙🥧,https://www.dcard.tw/service/api/v2/posts/237375740,2021-11-04T09:38:37.478Z,,,201,237375740
Dcard,今日午餐（11/03）,https://www.dcard.tw/service/api/v2/posts/237373265,2021-11-04T03:13:15.011Z,,,43,237373265
Dcard,老鍋、詹姆士米粉湯 宵夜不是只有泡麵可以選擇啦☺️,https://www.dcard.tw/service/api/v2/posts/237370946,2021-11-03T15:40:31.366Z,,,7,237370946
Dcard,😂又在亂買了😂,https://www.dcard.tw/service/api/v2/posts/237358129,2021-11-02T03:17:43.32Z,,,11,237358129
Dcard,我跟GTO變成了朋友,https://www.dcard.tw/service/api/v2/posts/237356820,2021-11-01T18:02:22.979Z,,,2,237356820
Dcard,下班的電梯,https://www.dcard.tw/service/api/v2/posts/237353238,2021-11-01T09:11:35.749Z,,,5,237353238
Dcard,其實沒有很喜歡，是不是要放棄。,https://www.dcard.tw/service/api/v2/posts/237349505,2021-10-31T17:18:02.665Z,,,12,237349505
Dcard,#找鞋 請問有人知道千千穿的這雙白鞋的牌子嗎？（不知道可不可以po，如不妥會刪）,https://www.dcard.tw/service/api/v2/posts/237347441,2021-10-31T12:37:24.516Z,,,1,237347441
Dcard,#閒聊 小屈補貨囉！不小心捕獲到千千！？💦,https://www.dcard.tw/service/api/v2/posts/237325287,2021-10-28T08:16:23.627Z,,,86,237325287
Dcard,平台要選對，不然都是紙上富貴,https://www.dcard.tw/service/api/v2/posts/237322924,2021-10-28T02:13:15.932Z,,,5,237322924
Dcard,#書單推薦 古言推薦 Part 2,https://www.dcard.tw/service/api/v2/posts/237321764,2021-10-27T17:59:17.369Z,,,40,237321764
Dcard,#閒聊 如果有台灣版驚六？,https://www.dcard.tw/service/api/v2/posts/237319595,2021-10-27T13:20:35.093Z,,,100,237319595
Dcard,東宮李承鄞真的是渣男嗎,https://www.dcard.tw/service/api/v2/posts/237301898,2021-10-25T06:58:33.999Z,,,96,237301898
Dcard,#請益 千千的上衣,https://www.dcard.tw/service/api/v2/posts/237286331,2021-10-23T02:13:26.014Z,,,24,237286331
Dcard,陽光老店爌肉飯-二林市場千千推薦爌肉飯-可選肥肉瘦肉香嫩多汁、人潮眾多,https://www.dcard.tw/service/api/v2/posts/237275747,2021-10-21T12:51:27.765Z,,,20,237275747
Dcard,翔音試聽課來囉~,https://www.dcard.tw/service/api/v2/posts/237274352,2021-10-21T09:20:10.852Z,,,2,237274352
Dcard,嘉義涼麵大pk,https://www.dcard.tw/service/api/v2/posts/237273675,2021-10-21T07:43:47Z,,,8,237273675
Dcard,哪邊買的到chef藍色包裝泡麵,https://www.dcard.tw/service/api/v2/posts/237265230,2021-10-20T05:32:57.02Z,,,4,237265230
Dcard,小玉與被害者互動時的內心話,https://www.dcard.tw/service/api/v2/posts/237260935,2021-10-19T13:29:00.832Z,,,967,237260935
Dcard,小玉變臉名單,https://www.dcard.tw/service/api/v2/posts/237252870,2021-10-18T12:00:10.403Z,,,472,237252870
Dcard,連總統都變臉成AV主角，主嫌為百萬網紅 小玉,https://www.dcard.tw/service/api/v2/posts/237251869,2021-10-18T09:32:22.024Z,,,16,237251869
Dcard,小玉遭上銬帶走 受害網紅震驚發聲了,https://www.dcard.tw/service/api/v2/posts/237251763,2021-10-18T09:14:25.347Z,,,202,237251763
Dcard,大家怎麼看人造仿動物製品,https://www.dcard.tw/service/api/v2/posts/237247548,2021-10-17T16:45:43.322Z,,,14,237247548
Dcard,欸，你丟下我了（文長）,https://www.dcard.tw/service/api/v2/posts/237241223,2021-10-16T18:47:36.089Z,,,6,237241223
Dcard,#請益 #請益 遇到問這種問題的大家通常怎麼處理？,https://www.dcard.tw/service/api/v2/posts/237230547,2021-10-15T09:45:09.359Z,,,3,237230547
Dcard,美食YouTuber推薦美食，真的都好吃嗎?,https://www.dcard.tw/service/api/v2/posts/237230127,2021-10-15T08:42:49.005Z,,,1,237230127
Dcard,#分享 最愛小康巡田水~再再回購平價商品,https://www.dcard.tw/service/api/v2/posts/237208021,2021-10-12T10:40:32.276Z,,,39,237208021
Dcard,[人文學社]社課宣傳：拆除父權違建,https://www.dcard.tw/service/api/v2/posts/237206631,2021-10-12T07:18:02.08Z,,,4,237206631
Dcard,孩子給阿公阿嬤帶大的影響,https://www.dcard.tw/service/api/v2/posts/237204472,2021-10-12T01:32:30.982Z,,,59,237204472
Dcard,致昨天國慶獵巫藝人的覺青，不要雙標,https://www.dcard.tw/service/api/v2/posts/237199622,2021-10-11T08:45:42.372Z,,,10,237199622
Dcard,#作品 謝謝是你養育了我—台灣很美系列之「擎天崗」,https://www.dcard.tw/service/api/v2/posts/237199104,2021-10-11T07:16:56.715Z,,,23,237199104
Dcard,炎上的炎上(更),https://www.dcard.tw/service/api/v2/posts/237193670,2021-10-10T11:22:34.154Z,,,786,237193670
Dcard,給 走不出情傷的你（妳）,https://www.dcard.tw/service/api/v2/posts/237183486,2021-10-08T19:34:47.78Z,,,53,237183486
Dcard,學弟,https://www.dcard.tw/service/api/v2/posts/237159258,2021-10-05T23:13:25.715Z,,,14,237159258
Dcard,#攻略#心得 無課該怎麼玩 新手教學/決鬥社/禁林,https://www.dcard.tw/service/api/v2/posts/237159105,2021-10-05T20:20:11.671Z,,,429,237159105
Dcard,千千連身裙,https://www.dcard.tw/service/api/v2/posts/237156249,2021-10-05T12:58:08.861Z,,,51,237156249
Dcard,微黑特膜X鎂機新竹大遠百店申辦過程,https://www.dcard.tw/service/api/v2/posts/237147948,2021-10-04T14:36:12.99Z,,,13,237147948
Dcard,#大眾占卜 「我的10月運勢注意事項⚠️」十月必看❗️,https://www.dcard.tw/service/api/v2/posts/237146600,2021-10-04T12:01:50.083Z,,,63,237146600
Dcard,【營養知識】- 餐餐外食，如何掌握碳水化合物呢？​,https://www.dcard.tw/service/api/v2/posts/237142750,2021-10-04T03:14:06.866Z,,,35,237142750
Dcard,如果老K炎的是千千？,https://www.dcard.tw/service/api/v2/posts/237134283,2021-10-02T20:18:28.268Z,,,3,237134283
Dcard,分手後當朋友會再復合嗎？,https://www.dcard.tw/service/api/v2/posts/237097797,2021-09-28T13:54:38.383Z,,,33,237097797
Dcard,#分享 左然「限時累充」卡,https://www.dcard.tw/service/api/v2/posts/237093106,2021-09-28T05:22:21.249Z,,,10,237093106
Dcard,一個人的鐵路環島旅行,https://www.dcard.tw/service/api/v2/posts/237049779,2021-09-23T07:03:39.689Z,,,72,237049779
Dcard,台南菜良二郎系拉麵 求解！,https://www.dcard.tw/service/api/v2/posts/237044412,2021-09-22T15:01:44.445Z,,,16,237044412
Dcard,八爺 with Me,https://www.dcard.tw/service/api/v2/posts/237025916,2021-09-20T14:35:37.023Z,,,97,237025916
Dcard,花蓮剪髮千萬別去這家！！！！！,https://www.dcard.tw/service/api/v2/posts/237023783,2021-09-20T09:29:20.01Z,,,445,237023783
Dcard,看破,https://www.dcard.tw/service/api/v2/posts/237014801,2021-09-19T05:40:53.032Z,,,16,237014801
Dcard,🌟好市多冷凍韓式泡菜起司炒飯🥢,https://www.dcard.tw/service/api/v2/posts/237013471,2021-09-19T01:02:52.446Z,,,106,237013471
Dcard,Penthouse 最後一集朱丹泰小發現,https://www.dcard.tw/service/api/v2/posts/237012864,2021-09-18T18:56:13.22Z,,,25,237012864
Dcard,UNICAT｜草本 私密處清潔露,https://www.dcard.tw/service/api/v2/posts/237007270,2021-09-18T06:02:08.334Z,,,22,237007270
Dcard,#分享 宮崎駿系列♡,https://www.dcard.tw/service/api/v2/posts/237005024,2021-09-17T18:51:24.594Z,,,107,237005024
Dcard,大戰蟑螂先生,https://www.dcard.tw/service/api/v2/posts/237002479,2021-09-17T13:27:20.665Z,,,23,237002479
Dcard,#外宿自煮篇 偽質感餐桌⋆⸜ ⚘ ⸝⋆,https://www.dcard.tw/service/api/v2/posts/237000182,2021-09-17T08:53:50.553Z,,,192,237000182
Dcard,轉學考心得,https://www.dcard.tw/service/api/v2/posts/236999265,2021-09-17T07:12:30.021Z,,,12,236999265
Dcard,#分享 開箱花知曉櫻桃派對🍒為了包裝還是下單了啊啊啊,https://www.dcard.tw/service/api/v2/posts/236987428,2021-09-16T03:38:23.636Z,,,66,236987428
Dcard,哲思篇,https://www.dcard.tw/service/api/v2/posts/236985264,2021-09-15T17:53:43.134Z,,,16,236985264
Dcard,#圖多 What’s in my room ✨ 租了兩年多的考生房📚,https://www.dcard.tw/service/api/v2/posts/236984221,2021-09-15T15:45:58.792Z,,,1348,236984221
Dcard,惡鄰老師擾民,https://www.dcard.tw/service/api/v2/posts/236984078,2021-09-15T15:31:36.541Z,,,6,236984078
Dcard,所以女生應該好好保護自己，完全合理啊,https://www.dcard.tw/service/api/v2/posts/236978992,2021-09-15T06:16:52.12Z,,,8,236978992
Dcard,最噁心的水龍頭,https://www.dcard.tw/service/api/v2/posts/236978186,2021-09-15T04:55:34.664Z,,,486,236978186
Dcard,關於我意外成為手轎實習生那檔事：開符,https://www.dcard.tw/service/api/v2/posts/236974206,2021-09-14T15:33:49.827Z,,,43,236974206
Dcard,請問這是永ban嗎,https://www.dcard.tw/service/api/v2/posts/236970192,2021-09-14T08:31:14.88Z,,,29,236970192
Dcard,其實很多人在選擇聖物都放錯重點,https://www.dcard.tw/service/api/v2/posts/236965412,2021-09-13T17:26:49.28Z,,,3,236965412
Dcard,八大行業復職以及疫情擴散…..,https://www.dcard.tw/service/api/v2/posts/236962029,2021-09-13T11:45:38.987Z,,,15,236962029
Dcard,台北萬華｜華西街夜市開箱！,https://www.dcard.tw/service/api/v2/posts/236960229,2021-09-13T08:30:35.971Z,,,10,236960229
Dcard,黑特木O花韓國批發教學,https://www.dcard.tw/service/api/v2/posts/236960057,2021-09-13T08:14:16.662Z,,,17,236960057
