Source,Title,Link,Date,Summary,Text,Like
PTT,[問卦] 反正我很閒哪部最催淚？,https://www.ptt.cc/bbs/Gossiping/M.1639475683.A.05D.html,2021-12-14 17:54:41,,安安安安安安小妹我啦反正我很閒的影片裡哪部最好哭啊有卦嗎嘻嘻--,5
PTT,[問卦] 看反正我很閒眼睛會痠是正常的嗎?,https://www.ptt.cc/bbs/Gossiping/M.1631190601.A.EC7.html,2021-09-09 20:29:58,,剛看完腸胃支配者眼睛莫名的痠明明有能力用好畫質用好分鏡也入圍金馬獎過偏偏1秒就要一段然後就一堆粉絲護航說人家有那個實力只是不用這不就跟剛上高中時旁邊同學說只要學測狀況好當初就上建中一樣嗎?卦?----,1
PTT,[問卦] 反正我很閒怎麼有那麼多房子,https://www.ptt.cc/bbs/Gossiping/M.1629734005.A.901.html,2021-08-23 23:53:21,,拍個youtube每個影片的房子都不一樣又都在台北市幾年前的打倒資本主義的高牆現在是不是加入資本主義的遊戲了--,2
PTT,[問卦] 反正我很閒是不是很神阿,https://www.ptt.cc/bbs/Gossiping/M.1624091141.A.A9F.html,2021-06-19 16:25:39,,餓死抬頭先上連結最近鄉民好像在號召上街頭？會不會到時候也是歷史的重演ㄚ小弟廢物大學生還是在家睡搞搞好ㄌ，老家裝新冷氣了，吹冷氣好爽ㄛ--,
PTT,[問卦] 反正我很閒是不是向資本主義低頭了,https://www.ptt.cc/bbs/Gossiping/M.1627025748.A.086.html,2021-07-23 15:35:46,,"大家都知道反正我很閒都會拍反資本主義相關的內容有一些還是真實改編的(例如老闆叫他改圖他不反抗也不做那段)但最近反正我很閒的影片結尾都會穿插工商連反正我很閒都向資本主義低頭了,代表資本主義是不是沒辦法被反抗阿--",5
PTT,Re: [問卦] 反正我很閒 已經過氣了嗎?,https://www.ptt.cc/bbs/Gossiping/M.1630082364.A.74F.html,2021-08-28 00:39:20,,過氣是還好目前的片點閱率都有一定水準啊應該是說他們越來越走後勁路線不是一眼看到就爆笑那種而是有東西要講你可能要想一下甚至還得看底下留言的講解只要他們有按讚的就表示有講中他們心中想法越來越像電影的手法雖然他們本來就是專業的----應該是說梗越來越深,6
PTT,[問卦] 反正我很閒  最頂的女角是哪一個,https://www.ptt.cc/bbs/Gossiping/M.1633517663.A.B26.html,2021-10-06 18:54:21,,我發現反正我很閒找了超多女生來拍而且人均素質有在捷運中山國中站以上鍾佳播跟樂咖怎麼能找到這麼多正妹阿....可惡...鄉民覺得哪一個才是最頂的?--,76
PTT,[問卦] 反正我很閒 已經過氣了嗎?,https://www.ptt.cc/bbs/Gossiping/M.1630077003.A.5A1.html,2021-08-27 23:10:01,,我記得之前最紅的梗，好像就是這張圖會有一堆粉絲在每個板狂洗他們影片的金句今天偶然看到這張圖，想說已經好久沒看到有人到處洗他們的消息了反正我很閒，是已經過氣了嗎?--,92
PTT,Re: [問卦] 反正我很閒  最頂的女角是哪一個,https://www.ptt.cc/bbs/Gossiping/M.1633580602.A.194.html,2021-10-07 12:23:20,,怎麼沒人推八年前，鍾佳播「愛到死」裡面的女主角，兩個都滿正的啊。完整正片，鍾佳播之前有上傳，又限時砍掉了。可惜。--,
PTT,[問卦] 反正我很閒這部為何這麼紅？,https://www.ptt.cc/bbs/Gossiping/M.1633963151.A.720.html,2021-10-11 22:39:09,,1.這種事現實真的發生過2.每個人設都很有記憶點3.怒狼破的劇情是大家喜聞樂見的為什麼這次影片的反響這麼大啊？--也不是每次都能短短幾個小時內討論度就這麼高啦,18
