Source,Title,Link,Date,Summary,Text,Like
ettoday,野生大蛇丸現蹤台北吃一蘭拉麵！　用餐畫面曝光：被卡住的感覺,https://www.ettoday.net/news/20211020/2105477.htm?from=pctaglist,2021-10-20 14:19,網紅團體「狠愛演」雖然已經在2020年宣布解散，但昔日團員私底下仍維持友好交情，其中大蛇丸和胡椒近日還一起外出，到知名拉麵店用餐，畫面曝光後，頓時在網路上掀起極高討論度，不到一天時間就累積超過4.4萬人按讚關注。,,0
ettoday,大蛇丸宣布重要公告！節食1個月「身體出現2明顯變化」：真的有差,https://www.ettoday.net/news/20210916/2080743.htm?from=pctaglist,2021-09-16 10:51,YouTuber團體「狠愛演」擁有160萬追蹤者，卻在2020年突然宣布停更，消息震驚大票粉絲，所幸成員們依舊各自活躍，仍常在社群網站分享生活點滴。大蛇丸15日便上傳一支「有史以來最大最重要的公告」的影片坦言，已經默默節食一個多月了，身體明顯出現兩種變化，讓他忍不住驚呼：「真的有差！」,,0
ettoday,最重量級嘉賓！大蛇丸「我誰～」球員也噴笑　網：聽到都快腦充血,https://www.ettoday.net/news/20210913/2078106.htm?from=pctaglist,2021-09-13 10:39,中信兄弟與統一獅昨（12日）在高雄澄清湖球場開打，邀請到鄉土味十足的網紅「大蛇丸」開球，他一出場就彷彿吉祥物逗得眾人哈哈大笑，粉絲大讚蛇丸這次出席非常情義相挺，在場上賣力嘶吼、投球十分消耗體能，是平時拍片運動量的好幾倍，網友笑喊「一輪喊完熱量都少600卡了！」,,0
ettoday,「狠愛演」解散1年近況曝光！　牛排「流量破億」超驚人…網揭背後關鍵,https://www.ettoday.net/news/20210708/2026330.htm?from=pctaglist,2021-07-08 23:18,YouTuber團體「狠愛演」擁有160萬追蹤者，卻在2020年突然宣布停更，消息震驚大票粉絲，所幸成員們依舊各自活躍。近日就有網友發現成員牛排開的兩個頻道，觀看數都相當驚人，甚至有數支幾千萬觀看的影片，直呼「太扯了吧」。,,0
ettoday,大蛇丸「頭頂花圈」Q萌造型無違和！蔡凡熙遭肥肚撞曝2字感想,https://www.ettoday.net/news/20210704/2022619.htm?from=pctaglist,2021-07-04 17:58,「通靈少女CP」蔡凡熙、郭書瑤（瑤瑤）再續前緣演出電影《再說一次我願意》，近日前導預告釋出，兩人30公分身高差的女下男上「逆襲吻」讓粉絲看得臉紅心跳，不過在預告結尾網紅「大蛇丸」驚喜現身，讓網友紛紛留言「竟然有蛇丸！」蔡凡熙也向《ETtoday星光雲》透露，自己其實也是大蛇丸的小粉絲，自曝戲中被他肚子撞到彈飛那一下「很軟」。,,0
ettoday,大蛇丸屏東約會《木曜》女神級班底！「我藏著那麼久的她」公開了,https://www.ettoday.net/news/20210630/2018898.htm?from=pctaglist,2021-06-30 11:29,YouTuber團體「狠愛演」擁有百萬追蹤者，卻在2020年宣布停更，所幸成員們依舊各自活躍，仍常在社群網站分享生活點滴。其中，大蛇丸昨（29日）晚突然公開「我藏著那麼久的她！」曬出多張與《木曜4超玩》女神阿部瑪利亞的「約會照」，畫面曝光立刻掀起大批網友暴動，意外掀起一陣熱烈討論。,,0
ettoday,Delta入侵！大蛇丸「以身為屏東人為榮」Man護遭污名家鄉 難得感性PO文,https://www.ettoday.net/news/20210628/2017478.htm?from=pctaglist,2021-06-28 13:15,自秘魯返台的屏東祖孫感染印度Delta變種病毒，傳播鏈向外擴散已有12人染疫，各縣市政府無不以更謹慎的態度面對這波疫情，部分網友也因此想起身在屏東的YouTuber大蛇丸，對此，他27日連忙浮出水面報平安：「很多朋友跟粉絲都紛紛關心我過得還好嗎？謝謝你們第一時間想起我，耶～。」,,0
ettoday,第1次看到瘦版大蛇丸！「臉消風超多」6年前舊照曝…網驚：認不出來,https://www.ettoday.net/news/20210615/2007030.htm?from=pctaglist,2021-06-15 11:13,YouTuber團體「狠愛演」擁有160萬追蹤者，卻在2020年突然宣布停更，消息震驚大票粉絲，所幸成員們依舊各自活躍，仍常在社群網站分享生活點滴。大蛇丸最近便在Instagram公開6年前的舊照，但由於與現在的身材對比太大，引來一票粉絲驚問：「這誰？瘦到認不出來！」,,0
ettoday,獨／傳說名人配音再一彈！蛇丸化身「泳裝夸克」配音花絮搶先曝光,https://www.ettoday.net/news/20210329/1938731.htm?from=pctaglist,2021-03-29 18:00,我誰！日前在手遊《傳說對決》中亮相、由玩家選出製作的「泳裝夸克」造型，在千呼萬喚下終於出現，並且繼上次名人配音，由館長擔綱拉茲「一拳超神」配音員之後，這次Garena傳說對決再度邀請人氣網紅「大蛇丸」。,,0
ettoday,狠愛演「解散5個月近況曝光」！　3人私下真實互動…160萬粉看哭,https://www.ettoday.net/news/20210213/1883001.htm?from=pctaglist,2021-02-13 18:20,狠愛演在屏東坐擁6萬人團隊，YouTube也擁有160萬追蹤，2020上半年出片速度頻繁，到下半年卻鮮少更新，同年8月時更丟出停更的震撼彈，坦言團內出現了一些問題，同時也對不安的粉絲感到很不好意思，但網友懷疑解散理由不單純，他們又再次拍片澄清，強調是團隊內部在未來的方向找不到平衡點，因此選擇停更。而狠愛演雖然各自單飛，三人私下關係還是很好，牛排、胡椒及蛇丸也都擁有自己的頻道，讓不少粉絲好奇解散後成員們的發展。,,0
