Source,Title,Link,Date,Summary,Text,Like
PTT,[問卦] 大蛇丸幹嘛不學蠍一樣做傀儡長生不老???,https://www.ptt.cc/bbs/Gossiping/M.1605193236.A.B7E.html,2020-11-12 23:00:33,,大蛇丸是87嗎?蠍早就長生不老了還可以收藏很多傀儡大蛇丸發明那什麼沒用的爛術要三年才能換一次他學蠍一樣把自己弄成傀儡再把佐助做成傀儡不就好了隨時能叫出來有沒有大蛇丸根本87的八卦??--◢◢▲▲▲▼◢◥◤◢◤╯--,
PTT,[問卦] 小杉竜一為什麼要模仿大蛇丸,https://www.ptt.cc/bbs/Gossiping/M.1618159199.A.183.html,2021-04-12 00:39:57,,小杉竜一日本搞笑藝人黑色美乃滋的成員大蛇丸屏東油土伯口頭禪是耶~~為什麼小杉竜一要模仿大蛇丸有沒有八卦？--,4
PTT,[問卦] 耶穌打得贏大蛇丸嗎?,https://www.ptt.cc/bbs/Gossiping/M.1628569939.A.061.html,2021-08-10 12:32:17,,耶穌人類史上最開掛的人物之一號稱用五餅二魚就能餵飽整個城市的人實際上代表能對物品用無限增殖依照等價交換的原理耶穌必定是從其他地方轉換物質威的程度堪比萬能的肛爆機大蛇丸也不枉多讓也是火影世界很bug的角色那麼問題來了耶穌打得贏大蛇丸嗎--耶穌直接對大蛇丸施展無限增殖摸到直腸就變成直腸癌第四期超可怕吧,9
PTT,[問卦] 大蛇丸去幼幼台要叫什麼葛格,https://www.ptt.cc/bbs/Gossiping/M.1625985146.A.77E.html,2021-07-11 14:32:24,,前狠愛演團員大蛇丸aka一拖拉庫外號以口頭蟬我誰聞名如果去當幼幼台葛格不意外應該會每天都小孩子鬼吼鬼叫我誰～～耶～～～～～～～～所以大蛇丸要叫什麼葛格呢--,3
PTT,[問卦] 大蛇丸只是做了跟基督教一樣的事情啊,https://www.ptt.cc/bbs/Gossiping/M.1621336551.A.FC0.html,2021-05-18 19:15:48,,--,15
PTT,[問卦] 大蛇丸現在在幹嘛,https://www.ptt.cc/bbs/Gossiping/M.1624195557.A.6B0.html,2021-06-20 21:25:55,,YTer那個大蛇丸啦不是火影那個現在在幹嘛啊？吃宵夜嗎還是在發廢文搶777777有沒有八卦？！--耶～～～～～～～沒搶到不發錢耶～～～～～～～,4
PTT,[問卦] 大蛇丸在台灣是不是很有搞頭？,https://www.ptt.cc/bbs/Gossiping/M.1622904560.A.423.html,2021-06-05 22:49:18,,大蛇丸，不是那個youtuber，是火影忍者裡面的那個，木葉三忍兼生技專家。仔細想想他如果在台灣應該會超級吃香吧，他有人格魅力，可以吸引一堆人替他賣命，即使是被他利用也心甘情願，然後聽到別人講他壞話還會爆氣。他除了人格魅力以外還有生技，不要說國產疫苗，愛滋病解藥他搞不好都做得出來，如果在台灣應該是英雄了吧。大蛇丸在台灣是不是很有搞頭？--壯陽藥對他不算什麼吧，一根新的30公分懶覺都沒問題。,7
PTT,[問卦] 西索打得贏大蛇丸嗎?,https://www.ptt.cc/bbs/Gossiping/M.1628569097.A.B00.html,2021-08-10 12:18:14,,西索跟大蛇丸存在著某種相似度兩個神秘感很重實力都是在一登場就設定成很強的角色同時帶有病態感簡單分析一下兩者大蛇丸:外型:白蛇講話:病態沙啞喜好:忍術的研發習慣:脫皮肉便器門徒:藥師兜加入過的組織:曉得意技:穢土轉生西索:外型:小丑講話:病態語調喜好:打敗強者習慣:手拿撲克暗戀的對象:庫洛洛加入過的組織:幻影旅團常用招:伸縮自在的愛----,21
PTT,[問卦] 大蛇丸要幫爪爪開球耶,https://www.ptt.cc/bbs/Gossiping/M.1631188926.A.8B0.html,2021-09-09 20:02:04,,中信兄弟稍早公佈大蛇丸要在澄清湖主場開球耶（圖片來源：中信兄弟官方臉書）蛇丸開球的表現究竟會是如何呢？有沒有八卦？？--忘記有澄清湖主場，謝謝提醒,3
PTT,[問卦] 大蛇丸都可以被原諒了，卻不能原諒精神病,https://www.ptt.cc/bbs/Gossiping/M.1634560749.A.920.html,2021-10-18 20:39:07,,大蛇丸國際通緝犯兼瘋狂科學家為了做實驗害了不知多少人，還企圖顛覆木葉，殺害自己恩師最後也是被原諒還有那個佩恩原本也毀滅木葉，也是被原諒反而現實世界受神經病所苦，不小心害死一個人，就好像人人都跟他有仇一樣是不是因為如此才造成現實世界沒有真正的和平？--,1
