Source,Title,Link,Date,Summary,Text,Like,id
Dcard,分享我愛看的YouTube頻道🙃,https://www.dcard.tw/service/api/v2/posts/236690183,2021-08-10T12:12:06.855Z,,,10,236690183
Dcard,走出戶外的日常穿搭建議☘️,https://www.dcard.tw/service/api/v2/posts/235469377,2021-03-03T10:08:46.439Z,,,98,235469377
Dcard,秋冬穿搭分享🍂#3｜OOTD,https://www.dcard.tw/service/api/v2/posts/234954052,2020-12-10T06:12:19.406Z,,,394,234954052
Dcard,美妝youtuber推薦😳,https://www.dcard.tw/service/api/v2/posts/233176824,2020-03-02T14:32:59.111Z,,,1486,233176824
Dcard,推一個Youtuber🧚🏻‍♀️ 居妮Ginny✨💗,https://www.dcard.tw/service/api/v2/posts/232413467,2019-10-31T16:59:32.102Z,,,261,232413467
Dcard,日本睡衣家居服推薦！無印良品 Kanaii Boom 開箱,https://www.dcard.tw/service/api/v2/posts/237505264,2021-11-21T21:47:42.381Z,,,13,237505264
Dcard,覓蜂購物APP心得,https://www.dcard.tw/service/api/v2/posts/237374002,2021-11-04T05:07:17.987Z,,,2,237374002
Dcard,#請益 請問氣墊粉餅選擇！,https://www.dcard.tw/service/api/v2/posts/237138110,2021-10-03T11:08:20.678Z,,,6,237138110
Dcard,"#請益 #sofina 控油瓷效妝前隔離乳
#妝前請益",https://www.dcard.tw/service/api/v2/posts/237084265,2021-09-27T06:54:33.304Z,,,14,237084265
Dcard,#請益 內雙雙眼皮貼求推薦❗️❗️,https://www.dcard.tw/service/api/v2/posts/237079514,2021-09-26T15:42:47.876Z,,,48,237079514
Dcard,#化妝解答 居妮分享化妝小技巧和必推產品,https://www.dcard.tw/service/api/v2/posts/237049238,2021-09-23T06:05:41.256Z,,,261,237049238
Dcard,想詢問大家有沒有推薦的卡其色西裝外套～,https://www.dcard.tw/service/api/v2/posts/236775513,2021-08-21T11:03:28.264Z,,,18,236775513
Dcard,#分享 簡單分享，關於居妮再度推出的凍膜,https://www.dcard.tw/service/api/v2/posts/236756046,2021-08-18T23:12:13.742Z,,,52,236756046
Dcard,分享我愛看的YouTube頻道🙃,https://www.dcard.tw/service/api/v2/posts/236690183,2021-08-10T12:12:06.855Z,,,10,236690183
Dcard,更）美妝KOL被提醒有錯別字後的反應,https://www.dcard.tw/service/api/v2/posts/236573852,2021-07-25T19:01:18.23Z,,,401,236573852
Dcard,#請益 專櫃打亮✨Bobbi Brown/Fenty Beauty,https://www.dcard.tw/service/api/v2/posts/236472103,2021-07-12T16:11:45.599Z,,,25,236472103
Dcard,#分享 各種茶試喝心得紀錄（TWG、唐寧茶、英國有機茶、蒂瑪紅茶）,https://www.dcard.tw/service/api/v2/posts/236469784,2021-07-12T11:09:52.674Z,,,37,236469784
Dcard,#分享 WFH過後 錢包也瘦的差不多🥲,https://www.dcard.tw/service/api/v2/posts/236423776,2021-07-06T12:23:55.526Z,,,16,236423776
Dcard,#討論 推薦美妝 Youtuber ❤️❤️,https://www.dcard.tw/service/api/v2/posts/236421544,2021-07-06T07:11:53.074Z,,,24,236421544
Dcard,#分享 三款愛用的植萃保養品分享!!,https://www.dcard.tw/service/api/v2/posts/236413795,2021-07-05T07:10:22.308Z,,,19,236413795
Dcard,居妮和Cindyh一樣高！？,https://www.dcard.tw/service/api/v2/posts/236384886,2021-07-01T10:37:06.567Z,,,5,236384886
Dcard,#分享 肉毒玻尿酸先緩緩 浮屍腫臉也堪用的修容術！,https://www.dcard.tw/service/api/v2/posts/236343475,2021-06-26T03:08:02.74Z,,,543,236343475
Dcard,新手入坑！仙氣感櫻花瑪瑙手鐲分享,https://www.dcard.tw/service/api/v2/posts/236336553,2021-06-25T05:16:54.555Z,,,70,236336553
Dcard,美妝生活類YouTuber 分代！,https://www.dcard.tw/service/api/v2/posts/236266171,2021-06-16T05:17:29.711Z,,,27,236266171
Dcard,#分享 那些年我跳下去的美妝坑 唇膏篇💄,https://www.dcard.tw/service/api/v2/posts/236228758,2021-06-11T10:15:23.463Z,,,96,236228758
Dcard,#分享 那些年我跳下去的美妝坑 part 2,https://www.dcard.tw/service/api/v2/posts/236162153,2021-06-03T08:20:48.368Z,,,150,236162153
Dcard,#分享 最近愛用物分享♥️♥️,https://www.dcard.tw/service/api/v2/posts/236116147,2021-05-28T15:25:09.779Z,,,211,236116147
Dcard,(尋)gracegift 圓球跟鞋,https://www.dcard.tw/service/api/v2/posts/236113880,2021-05-28T10:54:51.906Z,,,1,236113880
Dcard,M號小隻女宅在家裡拍穿搭,https://www.dcard.tw/service/api/v2/posts/236071360,2021-05-23T13:21:43.392Z,,,188,236071360
Dcard,#請益 居妮的刷子,https://www.dcard.tw/service/api/v2/posts/236065892,2021-05-22T19:10:08.513Z,,,15,236065892
Dcard,#請益 e.l.f 飾底乳,https://www.dcard.tw/service/api/v2/posts/236064446,2021-05-22T15:42:45.193Z,,,6,236064446
Dcard,這是盜版嗎？,https://www.dcard.tw/service/api/v2/posts/235943012,2021-05-08T16:39:13.685Z,,,341,235943012
Dcard,#討論 elf飾底乳!❤️,https://www.dcard.tw/service/api/v2/posts/235818023,2021-04-21T14:12:36.124Z,,,44,235818023
Dcard,詢問居妮這件牛仔褲👖,https://www.dcard.tw/service/api/v2/posts/235790628,2021-04-17T17:12:52.708Z,,,66,235790628
Dcard,159CM穿裙子萬歲✨,https://www.dcard.tw/service/api/v2/posts/235637458,2021-03-27T08:26:00.373Z,,,984,235637458
Dcard,轉：詢問居妮的洋裝～,https://www.dcard.tw/service/api/v2/posts/235603982,2021-03-22T11:55:57.172Z,,,5,235603982
Dcard,詢問居妮的洋裝～,https://www.dcard.tw/service/api/v2/posts/235600825,2021-03-22T03:58:37.239Z,,,11,235600825
Dcard,蝦皮 回購 好物分享 （衣服、襪子、口紅）,https://www.dcard.tw/service/api/v2/posts/235499313,2021-03-07T13:25:40.296Z,,,67,235499313
Dcard,#請益 求推薦平價飾底/妝前乳(內有選手),https://www.dcard.tw/service/api/v2/posts/235499029,2021-03-07T12:50:23.871Z,,,68,235499029
Dcard,走出戶外的日常穿搭建議☘️,https://www.dcard.tw/service/api/v2/posts/235469377,2021-03-03T10:08:46.439Z,,,98,235469377
Dcard,某網紅居X閨蜜逼人拿小孩的文章呢？,https://www.dcard.tw/service/api/v2/posts/235382303,2021-02-19T14:05:12.147Z,,,80,235382303
Dcard,#分享 2020購入21項彩妝品總結＋試用心得分享✨,https://www.dcard.tw/service/api/v2/posts/234993785,2020-12-16T12:31:26.272Z,,,180,234993785
Dcard,秋冬穿搭分享🍂#3｜OOTD,https://www.dcard.tw/service/api/v2/posts/234954052,2020-12-10T06:12:19.406Z,,,394,234954052
Dcard,分享日本網購majestic legon 毛衣開箱,https://www.dcard.tw/service/api/v2/posts/234915191,2020-12-03T15:10:10.983Z,,,16,234915191
Dcard,小聊化妝這檔事,https://www.dcard.tw/service/api/v2/posts/234751409,2020-11-06T16:16:45.384Z,,,66,234751409
