Source,Title,Link,Date,Summary,Text,Like
ettoday,寵物過世會回來託夢嗎？9年傲嬌兔：沙發下的飼料給你吃,https://www.ettoday.net/news/20190207/1348560.htm?from=pctaglist,2019-02-07 15:21,寵物過世了之後，會回來託夢嗎？網路圖文畫家「我得了一種吃菜就會死的病-微疼」飼養的9年愛兔「丁丁」在2018年過世，面臨寵物過世的微疼當下感到手足無措，在詢問過動物醫院後，他為丁丁選擇了「個別火化」，並將身後事的過程都紀錄下來，雖然內容並非完整敘述 ，但他也說，「希望可以幫助到第一次面對寵物過世的朋友」。,,0
ettoday,不怪奴才忙！9年愛兔只求多摸摸　離世告白：蠢蛋，別忘記我,https://www.ettoday.net/news/20190204/1353217.htm?from=pctaglist,2019-02-04 15:21,在網路上擁有超高人氣的「微疼」，以自己生活上的不幸作為題材，創作出詼諧、獨特的漫畫作品，而他作品中的主角，就是以自己飼養的垂耳兔「丁丁」為原型所創作出來的。然而，丁丁在2018年過世，微疼後來以丁丁的視角出發，將他們9年來的點滴畫成漫畫，丁丁也向微疼提出最後一個請求，「答應我，永遠不要忘記我。」,,0
ettoday,薪水分3個帳戶、提錢只領百鈔…28歲網漫家用這5招每月固定存30K,https://www.ettoday.net/news/20170708/962138.htm?from=pctaglist,2017-07-08 10:09,28歲網漫家「微疼」擁有88萬人按讚的超高人氣，在漫畫創作圈小有一番名氣，但說到「存錢」，他其實也算是厲害的大師。微疼接受《ETNEWS新聞雲》記者採訪時，也透露了他自己的存錢妙招，小資族不妨可以參考攻略，教你如何守住錢財。,,0
ettoday,翻轉人生！　17K打工仔靠「不幸」創作　脫魯成88萬人氣網漫家,https://www.ettoday.net/news/20170708/962108.htm?from=pctaglist,2017-07-08 09:03,靠創作翻轉人生！ 28歲網漫家「微疼」用自身曾經發生的不幸衰事畫成幽默網路漫畫，靠著《微不幸劇場》、《不要笑當兵的人》等作品在全球漫畫平台LINE WEBTOON上竄紅，現在他的臉書已擁有88萬人按讚的超高人氣，但回顧過去，他還是一位月薪僅有17K的打工仔而已。,,0
ettoday,發薪水犒賞自己...　早餐店「點這串」絕對羨煞他人！,https://www.ettoday.net/news/20170510/921146.htm?from=pctaglist,2017-05-10 10:39,每個月發薪水，總忍不住想好好犒賞自己一整個月的辛勞，有些人選擇瘋狂購物，有些人則喜歡大吃一頓，一個月薪資往往瞬間成空，到底小資族該如何「揮霍」又不至於大失血呢？時常以生活周遭為靈感的網路插畫家「微疼」，9日在粉絲專頁上傳新作品，引發網友討論！,,0
ettoday,你也有「把拉屎當打卡」的朋友嗎？　網：xx公廁攻略中,https://www.ettoday.net/news/20170417/906031.htm?from=pctaglist,2017-04-17 17:05,你身邊也有個拉屎頻率很高的朋友嗎？日前網路知名插畫家微疼就畫了一幅趣味插圖，主題就是關於「愛拉屎的朋友」，圖文一po出立即吸引大批網友前來討論按讚，12日po出至今已累積2.4萬個讚與3千多則留言，十分驚人！,,0
ettoday,靠「帶衰體質」爆紅　插畫家「微疼」擁76萬粉絲,https://www.ettoday.net/news/20160825/760654.htm?from=pctaglist,2016-08-25 11:00,近年爆紅的網路圖文作家「微疼」 ，以自己生活上的不幸作為題材，創作出詼諧、獨特的漫畫作品，在網路上擁有超高人氣，臉書粉絲團吸引超過76萬人關注，深受大批網友們喜愛。而微疼此次接受《Ettoday》專訪，也透露希望未來有餘裕可以畫些恐怖故事，或是跟一些民生用品、零食等商品做跨界合作。,,0
ettoday,朋友約會老是遲到怎辦？　路癡限定「超強絕招」來了！,https://www.ettoday.net/news/20160521/702387.htm?from=pctaglist,2016-05-21 15:31,三五好友約聚會，最怕對方愛遲到，再三叮嚀仍姍姍來遲，總讓人心裡不痛快，朋友老是愛遲到究竟該怎麼辦？網路知名插畫家「微疼」在臉書粉絲團「我得了一種吃菜就會死的病」分享最新作品，簡單一招就能對方吃點小苦頭囉！,,0
ettoday,台南美食小吃超萬惡！　網路插畫家以「負心漢」形容他,https://www.ettoday.net/news/20160507/693709.htm?from=pctaglist,2016-05-07 13:15,台南美食遠近馳名，有網友甚至以「隨便找一間坐下來都好吃」來形容！知名網路繪本插畫家微疼5日在臉書粉絲團「我得了一種吃菜就會死的病」貼出最新畫作，將台南描述成一個人，想想看會是什麼個性的一個人呢？,,0
ettoday,微疼、貓貓蟲咖波從2D變3D　圓滾滾模樣療癒玩家心,https://www.ettoday.net/news/20160325/669525.htm?from=pctaglist,2016-03-25 19:00,LINE WEBTOON的台灣人氣角色「萌萌達白色衰運小生物-微疼」以及像蟲又像貓的藍色小寵物「咖波」，將從2D變身成生動的3Ｄ圓滾滾樣貌啦！分別於今日（3/25）和（4/1）躍上LINE GAME旗下的超人氣益智類手遊《LINE旅遊大亨》化身為可愛迷人又可能有點不幸的新角色！,,0
ettoday,寵物過世會回來託夢嗎？9年傲嬌兔：沙發下的飼料給你吃,https://www.ettoday.net/news/20190207/1348560.htm?from=pctaglist,2019-02-07 15:21,寵物過世了之後，會回來託夢嗎？網路圖文畫家「我得了一種吃菜就會死的病-微疼」飼養的9年愛兔「丁丁」在2018年過世，面臨寵物過世的微疼當下感到手足無措，在詢問過動物醫院後，他為丁丁選擇了「個別火化」，並將身後事的過程都紀錄下來，雖然內容並非完整敘述 ，但他也說，「希望可以幫助到第一次面對寵物過世的朋友」。,,0
ettoday,不怪奴才忙！9年愛兔只求多摸摸　離世告白：蠢蛋，別忘記我,https://www.ettoday.net/news/20190204/1353217.htm?from=pctaglist,2019-02-04 15:21,在網路上擁有超高人氣的「微疼」，以自己生活上的不幸作為題材，創作出詼諧、獨特的漫畫作品，而他作品中的主角，就是以自己飼養的垂耳兔「丁丁」為原型所創作出來的。然而，丁丁在2018年過世，微疼後來以丁丁的視角出發，將他們9年來的點滴畫成漫畫，丁丁也向微疼提出最後一個請求，「答應我，永遠不要忘記我。」,,0
ettoday,別人寵物比較乖？　自家毛小孩剃毛「俗辣驚死」狂掙扎,https://www.ettoday.net/news/20170613/941444.htm?from=pctaglist,2017-06-13 16:37,別人家的寵物都比較乖嗎？粉專「我得了一種吃菜就會死的病-微疼」在臉書上傳一則插圖，內容說明當別人家的寵物剃毛時，都會乖乖的坐好，可是要幫自己家的寵物剃時，卻要費好大一番功夫才能安全剃到最後。,,0
ettoday,插畫家們點出5大Pokémon GO中毒現象　全民有感引討論,https://www.ettoday.net/news/20160807/750413.htm?from=pctaglist,2016-08-07 14:25,《Pokémon GO》才剛在台灣上市第二天，全台已立刻陷入神奇寶貝風潮。早先於紐澳美等其他地區上市的《Pokémon GO》，已陸續傳出「Pokémon GO中毒事件」。而台灣插畫家們也觀察到了許多有趣的現象，將它記錄下來，這些全民有感的圖文創作也引起了廣大網友迴響。,,0
