Source,Title,Link,Date,Summary,Text,Like
ettoday,愛莉莎莎健身房熟睡被偷拍！ 「超詭異姿勢」現形：屁股練得很翹,https://www.ettoday.net/news/20211205/2139055.htm,2021-12-05 14:06,YouTuber愛莉莎莎敢言敢行、拍攝主題多元，大膽作風吸引忠實觀眾支持，頻道更累積超過百萬人數訂閱。平時常透過社群網站分享生活點滴的她，近日前往健身房運動時，被教練偷偷拍下睡照，卻發現自己呈現「超詭異姿勢」，讓她看了也忍不住笑了出來。(影劇 / 2021-12-05 14:06),,0
ettoday,愛莉莎莎「台女拜金、崇洋媚外」惹議！ 挨轟：不尊重…掀網論戰,https://www.ettoday.net/news/20211001/2091914.htm,2021-10-01 18:41,YouTuber愛莉莎莎拍攝主題多元，頻道累積超過百萬人數訂閱，雖然曾發生數次失言風波，仍受到大票粉絲追捧，在網路上享有高知名度。而她日前才承諾會修正說話的方式，怎料隨即在新影片中提及「拜金台女」、「台女比較崇洋媚外」等，再度引發論戰。(影劇 / 2021-10-01 18:41),,0
ettoday,愛莉莎莎壓力過大「全身爆出蕁麻疹」！天天發作劇烈癢：還長到耳裡,https://www.ettoday.net/news/20210918/2082795.htm,2021-09-18 23:38,YouTuber愛莉莎莎在今年疫情爆發期間，因為數次PO文用詞爭議受到攻擊，當時曾透露自己疑似壓力太大，導致身上爆發嚴重的蕁麻疹。她回想狀況最嚴重的時候，每天都會發作好幾次，身上突然就冒出形狀噁心的疹子，不管看中醫、西醫都無法解決，受盡折磨！(影劇 / 2021-09-18 23:38),,0
ettoday,曾被狂酸大餅臉！ 愛莉莎莎3年後「臉型大改變」樂歪：很少人再罵,https://www.ettoday.net/news/20210905/2072182.htm,2021-09-05 00:40,YouTuber愛莉莎莎從2018年開始全職經營頻道，起初以圓潤臉型讓不少觀眾留下可愛的印象，卻也被許多酸民攻擊臉大。她近年透過醫美改變臉型，現在擁有一張線條漂亮的鵝蛋臉，看到不少留言都稱讚她臉變小，高興坦言：「其實我看了每次都會偷偷暗爽。」(影劇 / 2021-09-05 00:40),,0
ettoday,愛莉莎莎低潮「被戴資穎私訊安慰」！ 激動哭了：我也要給她鼓勵,https://www.ettoday.net/news/20210802/2045614.htm,2021-08-02 00:21,YouTuber愛莉莎莎是球后戴資穎的狂熱粉絲，近日認真鎖定奧運，死守在電視機前幫忙加油。她透露喜歡戴資穎的原因，不只是在球場上厲害的表現，也包括平時的為人，曾經在低潮期收到對方一段安慰訊息，讓她感動到熱淚盈眶。(影劇 / 2021-08-02 00:21),,0
ettoday,愛莉莎莎不當YouTuber了？ 工作照曝進修技術「考到證照徹底轉行」,https://www.ettoday.net/news/20210709/2027212.htm,2021-07-09 20:38,YouTuber愛莉莎莎原先在萬華買房住，挺過失言風波後，日前被父母強制帶回老家生活，近期大多待在家中防疫，期間陸續透過社群網站分享日常，9日發文透露常被問到「最近都在忙什麼」，她也大方曬出一系列工作照揭秘，還寫下「徹底轉行」等字眼，引起大批網友熱議。(影劇 / 2021-07-09 20:38),,0
ettoday,肝膽排石繼續燒！民眾檢舉愛莉莎莎「踩紅線」 要衛福部查清楚,https://www.ettoday.net/news/20210219/1921867.htm,2021-02-19 09:04,YouTuber愛莉莎莎拍片實測「喝橄欖油排膽結石」民俗療法惹議，雖然影片已下架，但風波仍繼續延燒，目前食藥署、國健署與衛福部均收到民眾檢舉郵件，要求能針對影片踩紅線之處進行裁罰，目前衛福部正在研議要由哪個單位處辦。(健康 / 2021-02-19 09:04),,0
ettoday,愛莉莎莎父母遭酸「教女無方」 網批：關爸媽何事...學生出面力挺,https://www.ettoday.net/news/20210217/1920527.htm,2021-02-17 11:03,YouTuber愛莉莎莎與台大兒科醫師「蒼藍鴿」的事件鬧得沸沸揚揚，雖然她14日已拍片鞠躬道歉，但網友抨擊仍未平息。不少網友除了挖出愛莉莎莎的身家背景，還開罵其父母；對此，愛莉莎莎日前出面懇求「不要攻擊我的爸爸媽媽」，另外也有不少人發文呼籲應理性，不要連父母都罵進去。(生活 / 2021-02-17 11:03),,0
ettoday,愛莉莎莎「喝油排結石」惹議！醫嘆「患者愛偏方」：20幾年沒看過有效的,https://www.ettoday.net/news/20210216/1920217.htm,2021-02-16 15:47,YouTuber愛莉莎莎日前分享喝橄欖油排膽結石引發軒然大波，不少醫師都認為不應亂傳偏方，愛莉莎莎也拍片道歉。新光醫院胃腸肝膽科主治醫師受訪時也指出，門診的確遇過不少人誤信偏方，除了喝油之外，還有不少人都以為喝蘋果汁可以排石頭，「20幾年門診，沒有任何一個病人試完有用的。」(健康 / 2021-02-16 15:47),,0
ettoday,愛莉莎莎3分鐘4度鞠躬道歉 蒼藍鴿籲停止攻擊：莎莎也辛苦了,https://www.ettoday.net/news/20210216/1920040.htm,2021-02-16 05:45,YouTuber愛莉莎莎與台大兒科醫師「蒼藍鴿」的事件鬧得沸沸揚揚，雖然她已經在14日拍片4度鞠躬道歉，但網友抨擊仍未平息。對此，蒼藍鴿15日在愛莉莎莎的道歉影片下方留言，表明的確有收到道歉信，內容也很有誠意，希望大家不要繼續攻擊，「莎莎也辛苦了。」(生活 / 2021-02-16 05:45),,0
