Source,Title,Link,Date,Summary,Text,Like
ettoday,放火回歸YouTube！首支片「用脫光下跪開玩笑」：當作給我的生日禮,https://www.ettoday.net/news/20210603/1997593.htm,2021-06-03 00:36,YouTuber放火（李育群）去年9月在女性朋友青青家過夜，被對方男友脅迫拍攝全裸下跪影片，之後報警處理，並暫時停止更新YouTube頻道。他低調生活半年，在6月2日生日這天終於宣告回歸，第1部片就大開自己裸照的玩笑，讓大家知道自己已能樂觀面對，不需要再擔心！(影劇 / 2021-06-03 00:36),,0
ettoday,放火重現「裸體下跪道歉」屈辱姿勢！ 酸民被圈粉：真的respect,https://www.ettoday.net/news/20201107/1849378.htm,2020-11-07 19:19,YouTuber放火（李育群）先前在JKF女郎青青家過夜，被一名陳姓男子強逼裸體下跪道歉，支付25萬元才脫身，之後在父親陪同下報警處理。雖然是私密屈辱的事件，但放火抱持樂觀態度繼續生活，6日還PO照模仿當初被逼下跪的姿勢自嘲，被網友大讚「真的respect」。(影劇 / 2020-11-07 19:19),,0
ettoday,酸民PO「深蹲照」調侃：何時代言馬鈴薯 放火高EQ回應被讚爆,https://www.ettoday.net/news/20201029/1842147.htm,2020-10-29 11:24,百萬YouTuber放火（李育群）被爆在JKF女郎青青家過夜，事後還遭陳男要脅全裸拍片，必須交出25元才得以脫身。然而，放火全裸的照片依舊遭人惡意上傳網路，還有不少網友開始在社群網站上狂酸、PO照調侃；對此，放火則高EQ回覆，正向的態度吸引不少人大讚，「高EQ的回答很可以！」(生活 / 2020-10-29 11:24),,0
ettoday,放火再發聲「不會做傷害自己的事」！ 頻道恢復更新：明天會更好,https://www.ettoday.net/news/20201026/1840232.htm,2020-10-26 22:06,YouTuber放火（李育群）被爆在JKF女郎青青家過夜，遭一名陳姓男子脅迫拍下全裸影片，交出25萬元才得以脫身，事後在爸爸和律師陪同下報警。基於偵查不公開，他目前不便對外多談事件內容，但26日在YouTube頻道更新日常影片，強調「大家不用擔心，我不會做出任何傷害自己的事情」。(影劇 / 2020-10-26 22:06),,0
ettoday,放火道歉！整排YouTuber心疼「你是受害者」 本本曝他私下真實面,https://www.ettoday.net/news/20201025/1839153.htm,2020-10-25 08:36,放火被爆出到青青家過夜時被一名陳姓男子威脅全裸拍道歉片，且請朋友帶25萬來才脫身，22日在家人和律師陪同下去報警，消息曝光後引起討論。而他24日透過個人YouTube頻道澄清到青青家時並不像外界猜測的那樣，只是純粹過夜，YouTuber圈好友們也紛紛留言相挺，認為他是這個事件的受害者其實不需要道歉。(影劇 / 2020-10-25 08:36),,0
ettoday,剩不到2hrs！鄭宜農曝「投票最佳時間」：不用排隊 放火回家才發現悲劇,https://www.ettoday.net/news/20200111/1623058.htm,2020-01-11 14:25,2020總統大選的投票時間進入倒數，部份藝人一大早就前往投票所排隊，當然也有明星把握時間投下神聖的一票，鄭宜農稍早終於投完票，她在臉書呼籲：「請幫忙告訴那些不想投票的原因是『懶得排隊』的人：中午去投根本不用排隊，超快！真的。」(影劇 / 2020-01-11 14:25),,0
ettoday,叫蔡瑞雪姊姊3年！ 放火當面認了「想過交往」：我是認真的,https://www.ettoday.net/news/20191007/1551530.htm,2019-10-07 00:39,YouTuber放火曾跟藝人蔡瑞雪傳出緋聞，但後來澄清跟對方只是「姊弟」，把彼此放在家人的位置上。不過，他近日難得跟蔡瑞雪一起拍片，挑戰情侶快問快答，竟突然認了「想過交往」，話一出口，讓對方也嚇了一跳！(影劇 / 2019-10-07 00:39),,0
ettoday,放火染髮「新造型曝光」！ 暴鏟7公斤PO近照…網驚：真的瘦好多,https://www.ettoday.net/news/20190923/1541059.htm,2019-09-23 08:09,網紅放火（李育群）常在YouTube分享逗趣影片，擁有超過百萬名粉絲追隨，人氣相當高。近來，他難得改變造型，染了新髮色，然而更加引人注意的是，不少人看了照片後、紛紛紛驚呼「真的瘦了！」在網路上意外掀起一陣熱議。(影劇 / 2019-09-23 08:09),,0
ettoday,放火高顏值親爸曝光！ 網一面倒驚呼「爸爸更帥」：這是哥吧,https://www.ettoday.net/news/20190917/1537488.htm,2019-09-17 20:44,網紅放火（李育群）以搞笑影片走紅，在YouTube擁有133萬粉絲，不只自身受到粉絲關注，連家人也成為網友討論焦點。他曾PO過爸爸照片，高顏值得到粉絲大力讚美，這回父子一起出國、拍合照，又令網友忍不住驚呼「爸爸真的很帥」。(影劇 / 2019-09-17 20:44),,0
ettoday,放火住鬧鬼旅館拍片！深夜起雞皮疙瘩「有人在看我」 網一看畫面毛爆：那東西一直在,https://www.ettoday.net/news/20190827/1522699.htm,2019-08-27 22:36,適逢農曆七月，許多YouTuber都應景推出跟靈異題材有關的影片，放火也跟上熱潮，分享以前探訪台中鬧鬼旅館的經歷。他跟一名男性朋友作伴，在凌晨2點多入住旅館，一開始還能輕鬆拍攝環境、嬉笑說「滿期待的」，沒想到關燈後就開始感到毛毛的，一直覺得有人在看自己、在走動，感覺怪到再也笑不出來。(影劇 / 2019-08-27 22:36),,0
