Source,Title,Link,Date,Summary,Text,Like,id
Dcard,木曜4超玩 觀看數影片Top 10,https://www.dcard.tw/service/api/v2/posts/237626647,2021-12-08T12:51:28.343Z,,,13,237626647
Dcard,#閒聊 KKBOX 年度回顧藝人版（更新）,https://www.dcard.tw/service/api/v2/posts/237615890,2021-12-07T05:31:25.031Z,,,89,237615890
Dcard,#讓票 12/26 木曜跨界演唱會 1張,https://www.dcard.tw/service/api/v2/posts/237579319,2021-12-01T17:57:40.636Z,,,0,237579319
Dcard,YouTube年度熱門影片排行榜出爐《愛莉莎莎》奪第四,https://www.dcard.tw/service/api/v2/posts/237576369,2021-12-01T11:37:35.469Z,,,7,237576369
Dcard,（已售）#讓票 木曜跨界演唱會－Awakening 《木曜4超玩六週年特別企劃,https://www.dcard.tw/service/api/v2/posts/237527485,2021-11-24T16:26:49.841Z,,,2,237527485
Dcard,跟著女高中生在《放學後堤防日誌》第一次釣魚！,https://www.dcard.tw/service/api/v2/posts/237472549,2021-11-17T10:53:29.225Z,,,9,237472549
Dcard,阿部瑪利亞車內密會《木曜》陳百祥40分鐘！　保時捷深夜溫馨接送,https://www.dcard.tw/service/api/v2/posts/237206656,2021-10-12T07:20:36.649Z,,,72,237206656
Dcard,炎上的炎上(更),https://www.dcard.tw/service/api/v2/posts/237193670,2021-10-10T11:22:34.154Z,,,786,237193670
Dcard,木曜4超玩SET癡漢梗看了很煩,https://www.dcard.tw/service/api/v2/posts/237103544,2021-09-29T06:39:17.309Z,,,18,237103544
Dcard,木曜4超玩,https://www.dcard.tw/service/api/v2/posts/236988104,2021-09-16T04:58:33.442Z,,,48,236988104
Dcard,心情盪到谷底 求推薦好笑綜藝節目,https://www.dcard.tw/service/api/v2/posts/236891518,2021-09-05T11:02:27.45Z,,,2,236891518
Dcard,美女圖鑑3 - 阿部瑪利亞,https://www.dcard.tw/service/api/v2/posts/236886090,2021-09-04T15:35:46.978Z,,,143,236886090
Dcard,想聽聽 木曜4超玩 對你的影響,https://www.dcard.tw/service/api/v2/posts/236857726,2021-09-01T06:46:39.215Z,,,12,236857726
Dcard,那些年，我們曾經參加過的 隔宿露營/公民訓練,https://www.dcard.tw/service/api/v2/posts/236816657,2021-08-26T17:59:21.209Z,,,2,236816657
Dcard,木曜四超玩 將回電視？,https://www.dcard.tw/service/api/v2/posts/236805313,2021-08-25T09:09:34.02Z,,,14,236805313
Dcard,尋找 木曜4超玩 常用的死亡宣告音效,https://www.dcard.tw/service/api/v2/posts/236519646,2021-07-19T01:23:51.302Z,,,17,236519646
Dcard,木曜發燒第一,https://www.dcard.tw/service/api/v2/posts/236428975,2021-07-07T06:11:26.154Z,,,56,236428975
Dcard,錄《木曜》被集體霸凌？蔡哥出面親曝「真實感受」,https://www.dcard.tw/service/api/v2/posts/236422898,2021-07-06T10:13:39.094Z,,,590,236422898
Dcard,台灣漫畫彩蛋?,https://www.dcard.tw/service/api/v2/posts/236269138,2021-06-16T12:03:21.914Z,,,83,236269138
Dcard,葉式特工訂閱數即將超越這群人？,https://www.dcard.tw/service/api/v2/posts/236111892,2021-05-28T06:27:20.794Z,,,69,236111892
Dcard,台劇《戀愛是科學》是不是全明星撞臉大會?,https://www.dcard.tw/service/api/v2/posts/235857526,2021-04-27T05:32:43.396Z,,,449,235857526
Dcard,木曜4超玩 有版權問題嗎？,https://www.dcard.tw/service/api/v2/posts/235715918,2021-04-07T03:14:04.435Z,,,1,235715918
Dcard,木曜還是這群人,https://www.dcard.tw/service/api/v2/posts/235664531,2021-03-31T05:01:21.898Z,,,138,235664531
Dcard,上班不要看之阿傑離職？呱吉妒才？,https://www.dcard.tw/service/api/v2/posts/235658743,2021-03-30T10:36:19.466Z,,,1030,235658743
Dcard,零負評偶像，坤達生日快樂🎂,https://www.dcard.tw/service/api/v2/posts/235573606,2021-03-18T04:29:06.003Z,,,237,235573606
Dcard,看不出來已經38歲的坤達,https://www.dcard.tw/service/api/v2/posts/235475939,2021-03-04T07:09:40.062Z,,,7972,235475939
Dcard,光哥貼音樂 / 有笑有推的美秀集團新話題MV〈哥哥呀哥哥 ft. 邰智源〉與木曜4超玩訪談一語讓惡趣味成真,https://www.dcard.tw/service/api/v2/posts/235345552,2021-02-13T15:51:35.098Z,,,29,235345552
Dcard,分享 木曜4超玩 一日音樂製作人最終回,https://www.dcard.tw/service/api/v2/posts/235335008,2021-02-11T17:46:47.368Z,,,908,235335008
Dcard,木曜4超玩-百祥,https://www.dcard.tw/service/api/v2/posts/235261151,2021-01-30T03:37:34.372Z,,,13,235261151
Dcard,關於全民運動會,https://www.dcard.tw/service/api/v2/posts/235203973,2021-01-20T07:03:06.643Z,,,856,235203973
Dcard,年底年初企劃超強大,https://www.dcard.tw/service/api/v2/posts/235146402,2021-01-10T06:16:38.344Z,,,886,235146402
Dcard,55歲的邰智源拼9個月考取公車駕照！,https://www.dcard.tw/service/api/v2/posts/235140362,2021-01-09T03:20:45.86Z,,,10566,235140362
Dcard,【一日教授】挑戰全英文到清大IMBA教Tableau,https://www.dcard.tw/service/api/v2/posts/234993270,2020-12-16T11:06:22.634Z,,,29,234993270
Dcard,學生會公告-演唱會,https://www.dcard.tw/service/api/v2/posts/234985090,2020-12-15T05:50:13.501Z,,,8,234985090
Dcard,麻煩！資深木曜粉幫忙找一段影片,https://www.dcard.tw/service/api/v2/posts/234794166,2020-11-13T16:10:24.324Z,,,45,234794166
Dcard,慶祝中華民國國慶還要被罵? 不說是親綠粉專我還以為是小粉紅,https://www.dcard.tw/service/api/v2/posts/234591623,2020-10-11T13:22:17.585Z,,,36,234591623
Dcard,安利寶藏樂團 告五人💫,https://www.dcard.tw/service/api/v2/posts/234573969,2020-10-08T09:46:25.701Z,,,242,234573969
Dcard,如果藝人+Youtuber 一起辦運動會,https://www.dcard.tw/service/api/v2/posts/234534378,2020-10-01T11:13:41.334Z,,,355,234534378
Dcard,【免費講座】#木曜4超玩 #陳百祥 【馬賽克後的一生懸命】,https://www.dcard.tw/service/api/v2/posts/234408561,2020-09-13T05:24:58.522Z,,,7,234408561
Dcard,【免費講座】#木曜4超玩 #陳百祥 【馬賽克後的一生懸命】,https://www.dcard.tw/service/api/v2/posts/234408553,2020-09-13T05:23:24.752Z,,,5,234408553
Dcard,木曜4超玩 一日憲兵,https://www.dcard.tw/service/api/v2/posts/234352269,2020-09-04T07:25:18.522Z,,,46,234352269
Dcard,我對憲兵的偏見,https://www.dcard.tw/service/api/v2/posts/234350468,2020-09-04T00:01:06.646Z,,,4,234350468
Dcard,#我的青春沒在怕 第17站LIVE,https://www.dcard.tw/service/api/v2/posts/234180221,2020-08-06T12:31:49.92Z,,,16,234180221
Dcard,#下雨颱風天的超前部署#木曜親自推薦！台灣之光✨地表最強🔥完全不怕濕又兼具時尚的 V-tex防水運動鞋👟👟,https://www.dcard.tw/service/api/v2/posts/234021495,2020-07-09T07:10:23.242Z,,,88,234021495
