Source,Title,Link,Date,Summary,Text,Like
ettoday,毛孩家庭的惡夢「Dyson V12」一鍵解決！全新「4科技」邊吸邊讓過敏原無所遁形,https://www.ettoday.net/news/20211209/2129999.htm?from=pctaglist,2021-12-09 09:00,近來遇上秋冬季節交替，面臨秋冬季節性換毛的毛小孩們，也很容易惹得自己和毛拔麻哈啾連連。為了毛小孩和家裡人類的舒適生活，找到一件強而有力的清潔打掃工具，持續被毛孩家庭列為「頭號緊急待處理」的事項之一。,,0
ettoday,毛孩會認主人？　豆漿爸挑戰「交換奴才」...阿楞被無視1整天,https://www.ettoday.net/news/20190926/1543578.htm?from=pctaglist,2019-09-26 17:45,當最親近的奴才換人當的時候，毛小孩會怎麼樣呢？超人氣Youtube頻道「豆漿- SoybeanMilk」的飼主豆漿爸，這天邀請了同為網紅的柴犬Nana與把拔阿楞一起進行「一日交換奴才」的實驗，沒想到負責照顧美貓豆漿的阿愣，幾乎一整天都沒有和對方互動，就算用盡了所有方法，超有個性的豆漿依然只服自己的主人。,,0
ettoday,柴犬Nana被罵「醜女」超氣　1巴掌打壞倉鼠好慌張,https://www.ettoday.net/news/20181029/1293173.htm?from=pctaglist,2018-10-29 18:06,一向超自戀的柴犬Nana不准任何人批評牠的外表，一旦說出「醜」字更會遭到牠的無情暴打。這天牠又愛又恨的倉鼠夥伴再度與牠開啟談話時間，而倉鼠竟一度大膽地對著Nana說出「醜女」二字，Nana聽了超氣立馬巴蕊，沒想到下一秒倉鼠竟開始失控狂彈，Nana誤以為是自己把倉鼠弄壞，慌張的模樣超爆笑！,,0
ettoday,第一次見倉鼠新夥伴就巴蕊！　柴犬Nana暴走錄影被迫中斷,https://www.ettoday.net/news/20180903/1250605.htm?from=pctaglist,2018-09-03 18:17,倉鼠絕對是柴犬Nana這輩子最愛也最恨的生物！這天阿楞介紹一個倉鼠的「新夥伴」給Nana，平常最愛欺負玩具倉鼠的牠，沒想到一看到新夥伴卻二話不說立馬巴蕊！不管主人怎麼勸和，Nana依舊氣噗噗地將新夥伴撂倒，場面一度失控導致最後只好錄影中斷。,,0
ettoday,我要報仇…倉鼠召喚魔法師大逆襲　柴犬奈奈居然消失啦？,https://www.ettoday.net/news/20170714/966813.htm?from=pctaglist,2017-07-14 17:12,「柴犬Nana和阿楞的一天」裡總是被奈奈巴的倉鼠，竟然要來個大反擊！？只見影片中倉鼠說要報仇，便召喚出魔法師把奈奈變成「野餐墊」，老天鵝！這到底什麼巫術！難道奈奈就這樣消失了？,,0
ettoday,不准說！柴犬奈奈聽到被叫「老女生」　怒甩奴才肉球巴掌,https://www.ettoday.net/news/20170512/922881.htm?from=pctaglist,2017-05-12 15:09,不分物種？女生都不喜歡被說老？！柴犬奈奈一聽到爸爸「阿楞」說牠是「老女生」，下秒生氣揮出「肉拳」襲擊對方臉頰，親身示範被攻擊的阿楞錄製影片，教導所有的男性朋友，千萬不要對女性友人說出「女生禁語」，例如「體重幾公斤」、「今年幾歲」...等，以免遭受「物理性重傷」。,,0
ettoday,把拔玩變臉app自嗨硬要揪　柴犬Nana斜眼鄙視：神經病,https://www.ettoday.net/news/20160925/781856.htm?from=pctaglist,2016-09-25 18:18,柴犬Nana在網路上擁有超高人氣，除了長相可愛沒話說，還會學把拔說話，聽到「餓不餓」會回答「餓」，也會有模有樣地說「I love you」，對於問句也會用按鈴來回答。這次Na拔開了最近流行的手機變臉app，本來想找Nana一起玩，殊不知Nana一點興趣都沒有，而且還超級無奈。,,0
ettoday,柴犬Nana堅持「阿嬤不老！」　按鈴稱讚阿嬤漂亮阿公帥,https://www.ettoday.net/news/20160612/715119.htm?from=pctaglist,2016-06-12 13:09,人氣柴犬Nana按鈴回答問題深受粉絲喜愛，其實牠還是個貼心小公主，當阿嬤問她「阿嬤老嗎？」Nana堅持不按鈴，被問「阿公漂亮嗎？」也絕不按鈴，聽到「阿公帥不帥？」牠才按鈴表示「帥啦！」超有人性的表現讓人好感動，也逗得阿公阿嬤哈哈笑，還有網友說，「養牠就是一種孝順長輩的行為！」,,0
ettoday,柴犬Nana偷吃餅乾被抓包吐出來　主人笑：果然就是妳！,https://www.ettoday.net/news/20150901/558016.htm?from=pctaglist,2015-09-01 12:11,悲劇了！柴犬Nana偷吃餅乾當場被主人Na拔抓包，只好吐出來，影片被PO上「柴犬Nana和阿楞的一天」粉絲專頁，引發熱烈迴響。許多網友笑說「超會演的」、「好乖還會吐出來，我家的偷吃還會擦嘴」。,,0
ettoday,陪愛犬克服游泳恐懼　沒想到...噗通！一起滑倒,https://www.ettoday.net/news/20150519/508786.htm?from=pctaglist,2015-05-19 17:36,柴犬Nana的飼主Na拔，日前帶著Nana一起去狗狗專屬的游泳池戲水！看到Nana有點緊張，Na拔小心翼翼帶領著牠，希望陪牠一起克服游泳的恐懼；只不過才走下泳池沒多久，Na拔就失足滑倒，連帶害Nana也一起沉下去，經典一幕被粉絲不斷笑問「你屁股還好嗎？」他則回答：「很痛。」,,0
ettoday,飼主「裝死」討拍拍太多次！柴犬Nana完全「無視」,https://www.ettoday.net/news/20150518/507279.htm?from=pctaglist,2015-05-18 08:00,當你不舒服甚至倒下時，寵物會關心你嗎？人氣柴犬「Nana」的飼主Na拔， 曾經用「裝死」向Nana討拍拍，沒想到相同把戲玩了太多次，最近一次他再度假裝倒地不起時，Nana只是嗅一嗅就完全無視，自顧自玩起心愛的「尖叫雞腿」，絲毫不在乎「依然趴在地上的爸爸」，讓朋友看了笑說「你已經被棄置了耶！」,,0
ettoday,想把你吃掉...！　柴犬Nana對尖叫雞深情「壁咚」,https://www.ettoday.net/news/20150210/465953.htm?from=pctaglist,2015-02-10 17:01,誰說「壁咚」只限定霸氣帥哥才能執行？可愛的柴犬做起來也有很有效（笑）果！住在台中的人氣柴犬Nana對牠心愛的尖叫雞「壁咚」，眼神超深情，一副想把對方「吃掉」的模樣，讓粉絲直呼可愛，但也有人關心「請問雞還活著嗎？」,,0
