Source,Title,Link,Date,Summary,Text,Like,id
Dcard,#分享 分享我學習股票的資源，一起簡單學投資!,https://www.dcard.tw/service/api/v2/posts/236785365,2021-08-22T16:26:07.24Z,,,68,236785365
Dcard,不能只有我知道的知識型YT,https://www.dcard.tw/service/api/v2/posts/236338841,2021-06-25T10:37:43.971Z,,,61,236338841
Dcard,全站募集📢 #練習生Lv2 遇過最荒謬的職場經驗 🤖 等你來+1,https://www.dcard.tw/service/api/v2/posts/236285229,2021-06-18T11:38:48.085Z,,,368,236285229
Dcard,全站募集📢 #練習生 疫情時代職人生存法則 🤖 等你來參賽,https://www.dcard.tw/service/api/v2/posts/236228973,2021-06-11T10:43:37.288Z,,,619,236228973
Dcard,拒絕當韭菜 從自我學習開始,https://www.dcard.tw/service/api/v2/posts/235686322,2021-04-02T15:00:02.939Z,,,40,235686322
Dcard,如何自學股票 理財頻道推薦！,https://www.dcard.tw/service/api/v2/posts/234237876,2020-08-16T09:33:58.067Z,,,711,234237876
Dcard,平常看的理財youtube,https://www.dcard.tw/service/api/v2/posts/232774984,2019-12-28T03:02:45.589Z,,,404,232774984
Dcard,給正準備被騙卻依然堅信的你 ''Essent group'',https://www.dcard.tw/service/api/v2/posts/237724883,2021-12-21T16:11:59.471Z,,,1,237724883
Dcard,#請益 新手投資分配請益,https://www.dcard.tw/service/api/v2/posts/237448397,2021-11-14T08:35:12.509Z,,,20,237448397
Dcard,投資新手資源整理,https://www.dcard.tw/service/api/v2/posts/237418984,2021-11-10T07:14:30.742Z,,,60,237418984
Dcard,#請益 893或895電動車ETF如何選,https://www.dcard.tw/service/api/v2/posts/237388452,2021-11-06T04:24:54.196Z,,,69,237388452
Dcard,11月份ETF除息00692配息創歷史新高,https://www.dcard.tw/service/api/v2/posts/237363431,2021-11-02T15:43:21.729Z,,,67,237363431
Dcard,推薦一些適合新手的投資入門參考資訊,https://www.dcard.tw/service/api/v2/posts/237000360,2021-09-17T09:10:39.151Z,,,36,237000360
Dcard,養成記帳的好習慣｜Wallet APP使用一年多心得分享,https://www.dcard.tw/service/api/v2/posts/236973074,2021-09-14T13:48:59.188Z,,,24,236973074
Dcard,33歲就退休,https://www.dcard.tw/service/api/v2/posts/236851493,2021-08-31T11:13:09.557Z,,,157,236851493
Dcard,#分享 股市書籍推薦,https://www.dcard.tw/service/api/v2/posts/236805610,2021-08-25T09:54:11.661Z,,,16,236805610
Dcard,#分享 分享我學習股票的資源，一起簡單學投資!,https://www.dcard.tw/service/api/v2/posts/236785365,2021-08-22T16:26:07.24Z,,,68,236785365
Dcard,#標的 00733下船換鋼鐵 績效真的穩,https://www.dcard.tw/service/api/v2/posts/236636275,2021-08-03T08:11:35.087Z,,,74,236636275
