Source,Title,Link,Date,Summary,Text,Like
ettoday,895擠進台股國際ETF人氣榜前五強！電動車投資人暴增　2策略最保險,https://www.ettoday.net/news/20211013/2100539.htm?from=pctaglist,2021-10-13 18:10,財經YouTuber柴鼠兄弟 ZRBros整理到10月1日止，台股國際ETF人氣榜。目前人氣最高的還是893電動車，另一檔走多元穩健路線的895未來車人數則暴增14%以上，是本月增加最多的。,,0
ettoday,0056第一大持股變長榮！　國民ETF抱船票當水手,https://www.ettoday.net/news/20210625/2015439.htm?from=pctaglist,2021-06-25 11:33,周一（23）日雞腿便當族群在台積電、聯發科、聯電和鴻海的帶動之下，幾乎都出現1%以上的漲幅，其中又以0052漲幅2.46%最為明顯。不過這禮拜台股原型ETF的重頭戲，應該就是 #航海王 正式納入台灣50及台灣高股息指數，影響所及包含0050、0056以及006208。柴鼠兄弟一次統計完截至（23）日為止，所有台股原型ETF持有五大貨櫃輪、散裝輪的張數。,,0
ettoday,高股息ETF大翻身！多檔現金股利優於預期　存股投資人笑開懷,https://www.ettoday.net/news/20210409/1956071.htm?from=pctaglist,2021-04-09 10:08,隨著四月份到來，今年第一季也結束，財經Youtuber《柴鼠兄弟》於影片中分享1-3月的累積含息報酬排行，目前00733富邦台灣中小以26.85%奪冠，3月份第一的0052富邦科技，由於雞腿（台積電）休假，本月掉到第九名。目前原型ETF前25名中，有17位成績超越大盤，20檔超越台積電。,,0
ettoday,3檔報酬勝台積！人氣「ETF績效排行」揭曉　含息可賺14%↑,https://www.ettoday.net/news/20210305/1931983.htm?from=pctaglist,2021-03-05 17:29,台股近期重挫，雖令人心驚，但也是相對好買點。對此，人氣財經Youtuber《柴鼠兄弟》分享「國民ETF人氣榜3月號」，分享今年至二月底，24檔ETF的績效，其中有3檔ETF的績效更勝大盤、台積電。,,0
ettoday,別花冤枉錢！繳高保費≠高保障　柴鼠兄弟曝「3關鍵字」秒辨別保單屬性,https://www.ettoday.net/news/20210222/1922371.htm?from=pctaglist,2021-02-22 10:01,每當提到投資理財工具時，保險時常被列為選項之一。財經Youtuber《柴鼠兄弟》於影片中指出，據集保結算所與基富通基金合作，在去年8月公布的調查結果中發現，約有57%的台灣民眾選擇保險作為投資理財工具，僅次於股票的57.6%。柴鼠兄弟也於影片中告訴大家，定期險與終身險的優缺點，以及如何選擇適合自己的保險商品。,,0
ettoday,國民ETF誰配息最好？專家曝「今年總報酬Top10」　冠軍不是人氣王,https://www.ettoday.net/news/20201224/1883774.htm?from=pctaglist,2020-12-24 20:08,年底是ETF的除權重頭戲，財經Youtuber《柴鼠兄弟》在最後一檔原型ETF新光內需收益（00742）公告配息1元，預計於12月30日除息後，今年24檔台股國民ETF歷時二個多月的除息旺季，也劃下豐收的句點。對此，柴鼠兄弟特地統整出來2020年ETF「總配息、總報酬」表現，冠軍竟然並非股民最愛的人氣ETF。,,0
ettoday,定期定額搞到無限攤平！柴鼠兄弟曝「3隱藏風險」獲利砍半,https://www.ettoday.net/news/20201124/1861679.htm?from=pctaglist,2020-11-24 15:23,台股在晶圓雙雄台積電、聯電大漲帶動下，續創歷史新高，這兩檔股票以及原型ETF皆成為小資族的零股首選，但財經Youtuber《柴鼠兄弟》認為，小資族常以零股和定期定額投資，緩衝市場波動，但有一定風險。對此，他們分享新人投資常遇到的「3大風險」，提醒不要到賠錢才想起來。,,0
ettoday,排名大洗牌！股民最愛「ETF人氣榜」曝光　00878成長超快,https://www.ettoday.net/news/20201019/1834863.htm?from=pctaglist,2020-10-19 15:15,台股掛牌ETF（指數股票型基金）是許多投資新手的存股首選，對於需要研究基本面的股票來說，比較容易入手，目前在台灣已突破200檔，最近又剛好是ETF公告股利跟除息的重頭戲。對此，財經Youtuber柴鼠兄弟就來分享「ETF人氣排行榜」，分享台灣最夯的ETF有哪幾支。,,0
ettoday,風險分散≠不跌！專家曝ETF「10大缺點」藏地雷：溢價過3%別考慮,https://www.ettoday.net/news/20201012/1829532.htm?from=pctaglist,2020-10-12 19:18,台股掛牌ETF（指數股票型基金）已經突破200檔，儼然成為小資族、存股族的投資首選。ETF雖然相較穩定，但仍有風險，財經Youtuber柴鼠兄弟整理ETF最常被忘掉的「10大缺點」，在下單買入ETF前可以先看這篇了解一下！,,0
ettoday,存錢計畫狂失敗！專家勸：先躲開「2大開銷陷阱」　第一桶金不是夢,https://www.ettoday.net/news/20200821/1789637.htm?from=pctaglist,2020-08-21 15:05,提早退休是許多人遙不可及的夢，不少人哀號，財務自由好難，每到月底錢就消失，該怎麼存？對此，知名財經Youtuber柴鼠兄弟認為，存錢不是逼自己省吃儉用，只要避開「2大開銷陷阱」就能加快存錢的速度，提早退休。,,0
