Source,Title,Link,Date,Summary,Text,Like
ettoday,波特王被「洗+剪200」吸引　剪完傻眼：活像小呆瓜！,https://www.ettoday.net/news/20171230/1082176.htm?from=pctaglist,2017-12-30 12:06,波特王這次不了撩妹囉！youtube頻道「波特王 Potter King」上傳一則影片，用一鏡到底的方式敘述他近日慘痛的「剪髮經驗」，細節文字敘述，加上超有畫面的臨場感，讓看完影片的網友忍不住直呼「是金凱瑞...？」,,0
ettoday,幹話撩妹「大人限定版」：如果妳是畫家..那我就是插畫家,https://www.ettoday.net/news/20171124/1058853.htm?from=pctaglist,2017-11-24 10:52,幹話撩妹不只讓你嘴講失守，還能讓你心也失守！youtube頻道「波特王 Potter King」上傳一則影片，帶著更強招數的波特王又要來撩同事，像是「妳很像一隻豬ㄟ！掌上明珠♥」，這也讓網友直呼「真的太會」。,,0
ettoday,幹話撩妹2.0！「仙女天上飛...而你在我懷裡」直接摟住,https://www.ettoday.net/news/20171107/1047075.htm?from=pctaglist,2017-11-07 11:05,幹話撩哥撩妹又來啦！youtube頻道「波特王 Potter King」上傳一則影片，這次又要來幹話把妹，出奇不意的招數逗得大家「不要不要」的，像是「你知道后羿射日，為何要留下一顆太陽嗎？因為他要讓我們曬恩愛❤。」,,0
ettoday,幫我做件事..做我女人好嗎？幹話撩「漢子」第9集來囉！,https://www.ettoday.net/news/20171010/1028721.htm?from=pctaglist,2017-10-10 18:00,幹話撩妹不夠啊！今天教你撩哥絕技！YouTube頻道「波特王 Potter King」上傳一則影片，內容教你「撩哥」，超有梗的內容連男生都被撩到不要不要的。像是「你知道我大學是甚麼系嗎？我是愛你愛嘎每係」，一講完笑翻全場。,,0
ettoday,「用骨灰保護妳最後一次」　波特王教征服「傲嬌人」告白法,https://www.ettoday.net/news/20170912/1009026.htm?from=pctaglist,2017-09-12 11:08,幹話撩妹無極限，只要敢講就是第一名！粉專「波特王 Potter King」在臉書上傳一則影片「幹話搭訕術第6集」，內容是波特王與同事講了許多的「幹話」，卻讓女同事們笑的超級開心，也讓不少網友看了直呼「為什麼，1到6集都很中啊！！！！」,,0
ettoday,學「幸福數字5」保證脫魯　必學「幹話撩妹」又來啦！,https://www.ettoday.net/news/20170903/1002773.htm?from=pctaglist,2017-09-03 17:30,幹話把妹其實很高招阿...。YouTube頻道「波特王 Potter King」上傳一則影片，內容教學「幹話把妹術」，引人發笑的「把妹梗」，引起許多網友觀看，忍不住直呼「每次撩妹都超有梗」。,,0
ettoday,我覺得妳很可怕...因為我怕老婆！　脫魯必學的撩妹術,https://www.ettoday.net/news/20170815/989310.htm?from=pctaglist,2017-08-15 12:42,現代人生活忙碌，白天忙工作、忙課業，再加上生活圈固定，每天接觸一樣的人事物，想拓展人際可說是難上加難。粉專「波特王 Potter King」在臉書上傳一則影片，內容傳授「幹話怎麼撩妹」！想脫魯幹話撩妹是必學技能，像是可以和你心儀的對向說：「我覺得妳很可怕」，當對方反問原因時，便回她：「因為我怕老婆」。,,0
ettoday,波特王曝「最新割韭菜手法」　臉書詐騙激增：連棺材本都攤沒了！,https://www.ettoday.net/news/20211108/2119306.htm?from=pctaglist,2021-11-08 16:42,網紅「波特王」（Potter King）以幹話、撩妹影片爆紅，因為身材高挑又有帥氣外貌，擁有大票粉絲關注。他8日在社群平台曝光最新型的臉書詐騙手法，表示因為在自己版上看到不少類似的留言，希望能提醒網友不要受騙上當。,,0
ettoday,誰是台灣男神級YouTuber？　鄉民少女心噴發「點名他」：帥到瘋,https://www.ettoday.net/news/20211016/2102757.htm?from=pctaglist,2021-10-16 17:39,你心目中「最帥YouTuber」是誰呢？有網友在批踢踢上發起討論，好奇詢問眾人「大家覺得台灣哪位YouTuber超帥是男神等級？」貼文曝光後，立刻讓網友一致點名「上班不要看」成員阿傑並且紛紛瘋喊「根本帥到瘋掉！」,,0
ettoday,波特王賀國慶「釣出蔡英文留言拚振興」！　1.7萬人全讚爆,https://www.ettoday.net/news/20211012/2099267.htm?from=pctaglist,2021-10-12 11:47,前天（10月10日）是國慶日，網紅波特王當天開心發文祝賀：「中華民國110年生日快樂！」沒想到，竟釣出總統蔡英文親自留言，對方提到「歡迎一起振拚興」，總共20字的留言，至今共吸引超過1.7萬人按讚關注，在網路上掀起不小的討論度。,,0
ettoday,才為她對抗小粉紅！波特王工作一半失戀　翻「新垣結衣寫真」爆哭,https://www.ettoday.net/news/20210519/1986264.htm?from=pctaglist,2021-05-19 22:45,網紅波特王最初以「撩妹語錄」走紅，2019年年底因為與總統蔡英文一起拍片受到大陸關注，因此遭到廠商取消合作，但他仍不受影響，持續會在社群軟體上發表自己的立場，日前才因為新垣結衣被出征而出面拍片，為女神對抗小粉紅，19日聽聞女方閃婚消息，他也忍不住爆哭，引起熱議。,,0
ettoday,酸民比槍擊更可怕　波特王收「死亡威脅」習慣了：檢討被害者很荒謬,https://www.ettoday.net/news/20200828/1795899.htm?from=pctaglist,2020-08-28 18:20,網紅「館長」陳之漢日前因性騷案與劉姓男狂粉發生糾紛，28日凌晨2時22分，劉男酒後挾怨報復連轟3槍，目前已脫離險境，也引起網路上一片熱烈討論。5個月內連兩名網紅遭到攻擊，許多網友紛紛留言指出，「波特王要小心」。對此，波特王在臉書發文表示，「比槍擊更可怕的，是那群檢討被害者的酸民；留言嗆下一個是我的死亡威脅，也已經習慣了」。,,0
