Source,Title,Link,Date,Summary,Text,Like,id
Dcard,肉麻對話實驗(閃～慎入),https://www.dcard.tw/service/api/v2/posts/227126346,2017-08-30T14:54:41.804Z,,,9,227126346
Dcard,#問 找一首日本歌,https://www.dcard.tw/service/api/v2/posts/237563131,2021-11-29T16:04:58.793Z,,,0,237563131
Dcard,判斷是不是gay,https://www.dcard.tw/service/api/v2/posts/237453503,2021-11-15T02:50:57.104Z,,,16,237453503
Dcard,原來台灣要被攻打都在囤物資😀,https://www.dcard.tw/service/api/v2/posts/237362303,2021-11-02T13:31:59.12Z,,,167,237362303
Dcard,再給塔綠班4年 不如現在就給中共統一不就好了,https://www.dcard.tw/service/api/v2/posts/237041356,2021-09-22T09:22:06.486Z,,,3,237041356
Dcard,一些想法,https://www.dcard.tw/service/api/v2/posts/237011100,2021-09-18T15:06:59.886Z,,,21,237011100
Dcard,波特王與中國,https://www.dcard.tw/service/api/v2/posts/236945043,2021-09-11T14:28:46.847Z,,,26,236945043
Dcard,馬丁靴臺南私房進食點-Brick磚塊 Bar&Brunch,https://www.dcard.tw/service/api/v2/posts/236841516,2021-08-30T06:57:48.074Z,,,19,236841516
Dcard,很好！我被我的女神封殺了💔💔,https://www.dcard.tw/service/api/v2/posts/236795411,2021-08-24T03:48:34.242Z,,,2,236795411
Dcard,#閒聊 《俗女養成記》第三集 （有雷）| 原聲帶音樂分享,https://www.dcard.tw/service/api/v2/posts/236787810,2021-08-23T04:17:37.732Z,,,28,236787810
Dcard,結束,https://www.dcard.tw/service/api/v2/posts/236782049,2021-08-22T09:08:18.802Z,,,4,236782049
Dcard,有沒有配飯用youtuber推薦呢🍜,https://www.dcard.tw/service/api/v2/posts/236689073,2021-08-10T09:24:54.254Z,,,6,236689073
Dcard,109學年修課心得（商院、經濟系）,https://www.dcard.tw/service/api/v2/posts/236645266,2021-08-04T11:32:26.845Z,,,53,236645266
Dcard,2019年的大家都好關心時事,https://www.dcard.tw/service/api/v2/posts/236546997,2021-07-22T08:51:17.715Z,,,17,236546997
Dcard,療育的波特王,https://www.dcard.tw/service/api/v2/posts/236513453,2021-07-18T06:01:20.676Z,,,2,236513453
Dcard,喜歡看小粉紅被批鬥而不注重台灣時事算異於常人嗎,https://www.dcard.tw/service/api/v2/posts/236492980,2021-07-15T10:52:00.682Z,,,2,236492980
Dcard,愛國是工作？直擊小粉紅領袖真心話！五筒派學者內心對中國的看法｜波特王,https://www.dcard.tw/service/api/v2/posts/236489916,2021-07-15T03:15:26.158Z,,,10,236489916
Dcard,⚠️台中人請小心此間舞蹈教室/經紀公司,https://www.dcard.tw/service/api/v2/posts/236383161,2021-07-01T06:38:07.436Z,,,42,236383161
Dcard,這兩個影片也太相似了吧,https://www.dcard.tw/service/api/v2/posts/236316137,2021-06-22T12:47:24.544Z,,,3,236316137
Dcard,#其他 菜鳥請教,https://www.dcard.tw/service/api/v2/posts/236229786,2021-06-11T12:34:38.438Z,,,6,236229786
Dcard,好奇超有台灣價值的藝人為何都不是太紅,https://www.dcard.tw/service/api/v2/posts/235937358,2021-05-07T21:51:59.344Z,,,853,235937358
Dcard,波特王是個好頻道,https://www.dcard.tw/service/api/v2/posts/235848969,2021-04-26T03:27:27.234Z,,,8,235848969
Dcard,護航新疆綿的請進,https://www.dcard.tw/service/api/v2/posts/235670035,2021-03-31T16:22:44.459Z,,,9,235670035
Dcard,等等....不要浪費啊.....,https://www.dcard.tw/service/api/v2/posts/235634856,2021-03-26T17:34:07.598Z,,,3,235634856
Dcard,生活中如何面對惡意攻擊? 負面能量? 這一招讓你變成高情商！｜波特王,https://www.dcard.tw/service/api/v2/posts/235506217,2021-03-08T12:32:05.514Z,,,6,235506217
Dcard,中共硬起來了！？秋後算帳？辱華制裁出擊｜波特王,https://www.dcard.tw/service/api/v2/posts/235281068,2021-02-02T13:00:16.394Z,,,15,235281068
Dcard,小粉紅開始裝台灣人反串？一招打臉！一月粉紅月報｜波特王,https://www.dcard.tw/service/api/v2/posts/235252429,2021-01-28T12:23:39.521Z,,,8,235252429
Dcard,波特王｜牆外也開始言論審查？社群大遷移，下一代的社交媒體平台是這個？,https://www.dcard.tw/service/api/v2/posts/235221967,2021-01-23T10:58:27.249Z,,,7,235221967
Dcard,波特王｜萊豬議題！時空背景不同？一定要開放的原因？吃或不吃？,https://www.dcard.tw/service/api/v2/posts/235140172,2021-01-09T02:06:56.196Z,,,25,235140172
Dcard,這是一篇無論你是誰，都一定要知道的商業陷阱,https://www.dcard.tw/service/api/v2/posts/234900166,2020-12-01T06:52:12.877Z,,,66,234900166
Dcard,沉重  關於詐騙#資產配置#資金盤#區塊鏈顧問,https://www.dcard.tw/service/api/v2/posts/234868578,2020-11-25T19:00:41.012Z,,,16,234868578
Dcard,大家喜歡跟討厭那些YouTube？,https://www.dcard.tw/service/api/v2/posts/234845991,2020-11-22T10:18:31.952Z,,,12,234845991
Dcard,死刑/廢死？,https://www.dcard.tw/service/api/v2/posts/234835673,2020-11-20T12:41:08.718Z,,,83,234835673
Dcard,撩妹的界線到底在哪？政府機構是在帶頭物化女性嗎,https://www.dcard.tw/service/api/v2/posts/234708404,2020-10-30T12:30:14.962Z,,,19,234708404
Dcard,討論廢死,https://www.dcard.tw/service/api/v2/posts/234674327,2020-10-25T01:14:26.743Z,,,1,234674327
Dcard,波特王討論廢死影片,https://www.dcard.tw/service/api/v2/posts/234656271,2020-10-21T18:40:14.863Z,,,1299,234656271
Dcard,瘦肉精是不是一場政治騙局？,https://www.dcard.tw/service/api/v2/posts/234639830,2020-10-19T09:04:40.057Z,,,45,234639830
Dcard,支持保生路二號,https://www.dcard.tw/service/api/v2/posts/234598684,2020-10-12T14:54:51.611Z,,,16,234598684
Dcard,最敬佩的藝人,https://www.dcard.tw/service/api/v2/posts/234587896,2020-10-10T18:08:50.846Z,,,16528,234587896
Dcard,平常多半玩RPG遊戲,https://www.dcard.tw/service/api/v2/posts/234545626,2020-10-03T15:03:48.028Z,,,2,234545626
Dcard,田鎬這支影片也太好笑😂😂,https://www.dcard.tw/service/api/v2/posts/234495496,2020-09-24T17:19:16.592Z,,,2,234495496
Dcard,玩跑跑時聽到這種話大家的感覺是？,https://www.dcard.tw/service/api/v2/posts/234089615,2020-07-21T08:38:31.652Z,,,27,234089615
Dcard,叔叔,https://www.dcard.tw/service/api/v2/posts/234046873,2020-07-13T17:13:30.154Z,,,0,234046873
Dcard,學生會請波特王ㄟ,https://www.dcard.tw/service/api/v2/posts/233911932,2020-06-20T10:28:13.427Z,,,19,233911932
Dcard,吸引獅子女的筆記（歡迎糾正）,https://www.dcard.tw/service/api/v2/posts/233890572,2020-06-17T04:16:51.02Z,,,204,233890572
Dcard,明明牽了手，卻還是朋友,https://www.dcard.tw/service/api/v2/posts/233874374,2020-06-14T15:22:16.485Z,,,1228,233874374
Dcard,波特王疑似接受大同風向業配,https://www.dcard.tw/service/api/v2/posts/233859115,2020-06-12T04:28:54.631Z,,,40,233859115
Dcard,波特王如是說 原來台灣用買的就行了,https://www.dcard.tw/service/api/v2/posts/233772629,2020-05-29T15:46:11.181Z,,,30,233772629
Dcard,關乎全台人民的命運，先打香港 後買台灣？台灣面臨的危機！大同案中資｜波特王,https://www.dcard.tw/service/api/v2/posts/233772556,2020-05-29T15:35:57.322Z,,,51,233772556
Dcard,大同公司要被中資收購了？,https://www.dcard.tw/service/api/v2/posts/233770737,2020-05-29T10:34:44.954Z,,,47,233770737
Dcard,藝人轉跑YouTube很反感,https://www.dcard.tw/service/api/v2/posts/233660277,2020-05-12T10:08:50.237Z,,,1301,233660277
Dcard,浪費青春,https://www.dcard.tw/service/api/v2/posts/233475408,2020-04-14T14:08:43.393Z,,,263,233475408
Dcard,屢次撩男友都失敗,https://www.dcard.tw/service/api/v2/posts/233389072,2020-04-01T13:45:15.764Z,,,19,233389072
Dcard,波特王是在紅啥,https://www.dcard.tw/service/api/v2/posts/233258056,2020-03-13T18:01:12.223Z,,,22,233258056
Dcard,波特王真的👍，yt留言及拍片機制被中國侵入,https://www.dcard.tw/service/api/v2/posts/233115553,2020-02-21T15:15:53.897Z,,,32,233115553
Dcard,蔡依林的不表態不代表不舔共,https://www.dcard.tw/service/api/v2/posts/233001120,2020-02-02T08:30:56.424Z,,,22,233001120
Dcard,問一首常在波特王撩妹語錄的英文歌歌名,https://www.dcard.tw/service/api/v2/posts/232999519,2020-02-01T22:53:22.601Z,,,2,232999519
Dcard,陶傑：假如我是蔡英文？我一上台主動跟全部邦交國斷交！台灣寧要民主 無本事賺中國錢,https://www.dcard.tw/service/api/v2/posts/232913812,2020-01-18T11:26:55.168Z,,,1,232913812
Dcard,台灣政治超自由的！看看這些網紅影片～,https://www.dcard.tw/service/api/v2/posts/232909113,2020-01-17T15:09:37.254Z,,,3,232909113
Dcard,女生會喜歡雷翔跟波特王嗎,https://www.dcard.tw/service/api/v2/posts/232811586,2020-01-02T11:33:57.692Z,,,4,232811586
Dcard,波特王新影片嗆爆中共小粉紅,https://www.dcard.tw/service/api/v2/posts/232790539,2019-12-30T11:52:22.862Z,,,19,232790539
Dcard,原來這才是真正的英皇(菸粉慎入),https://www.dcard.tw/service/api/v2/posts/232785736,2019-12-29T16:45:05.143Z,,,75,232785736
