Source,Title,Link,Date,Summary,Text,Like
PTT,Re: [問卦] 滴妹算正嗎？會去買她飲料是什麼心態,https://www.ptt.cc/bbs/Gossiping/M.1635524856.A.3CE.html,2021-10-30 00:27:33,,在巴哈姆特看到的差點笑死這是滴妹被DeepFake嗎???根本同一個人啊，天底下會有這麼像的人嗎--,3
PTT,Re: [問卦] 滴妹的頻道強在哪,https://www.ptt.cc/bbs/Gossiping/M.1623152088.A.64B.html,2021-06-08 19:34:46,,強在你所謂的很多而你卻只拿她來討論而這種普通創作者在YT上一大堆耶唯獨滴妹引起你的好奇跟注意我就問這不強嗎^^--,4
PTT,[問卦] 黃大謙會更愛滴妹嗎？,https://www.ptt.cc/bbs/Gossiping/M.1639474347.A.24B.html,2021-12-14 17:32:25,,滴妹健身有成腹肌和胸肌看起來頗飽滿大謙跟滴妹的關係眾所皆知看到這如此健壯的滴妹會更愛他嗎？--,1
PTT,[問卦] 滴妹的頻道強在哪,https://www.ptt.cc/bbs/Gossiping/M.1623151254.A.39C.html,2021-06-08 19:20:52,,肥宅雖然長年在中正區討生活但還真的沒有一次想要買五分鐘就喝完的飲料影片也早就不看他了昨天演算法推他出來就想說：不就是普通的內容創作者九妹大眾性歸大眾性但他的內容沒什麼人玩得起烏鴉鬍子也沒看到有什麼人模仿反觀滴妹不是食物開箱就是無意義的挑戰在軍備競賽的yt圈還想用低成本獲得流量滴妹的頻道到底怎麼生存下去的他到底強在哪（飲料店的方面除外）求卦--這是什麼新型飲料嗎（純潔）,15
PTT,[爆卦] 滴妹穿婚紗！！！,https://www.ptt.cc/bbs/Gossiping/M.1639622910.A.73B.html,2021-12-16 10:48:25,,大新聞！大消息！記者快來抄！滴妹的粉絲要撐住，滴妹穿婚紗了！有圖有真相：大家不要太難過。人生還是很光明的。--To小天使:Hey小天使:DTo小天使:Hey小天使:DTo小天使:Hey小天使:D--我哪有濫用爆卦？不是滴妹嗎？,-2
PTT,[新聞] 滴妹新片被抓包「開箱盜版商品」！道歉認,https://www.ptt.cc/bbs/Gossiping/M.1637068936.A.F76.html,2021-11-16 21:22:13,,1.媒體來源:ettoday2.記者署名:3.完整新聞標題:滴妹新片被抓包「開箱盜版商品」！道歉認了：太興奮沒有多想4.完整新聞內文:YouTuber滴妹擁有百萬訂閱數，和哥哥阿滴因拍攝英語教學影片打開知名度，近年也發展副業開設手搖飲店，平時常透過社群和網友互動。她日前頻道推新片，開箱人氣動畫角色「角落生物」的手作材料包，卻，對此她火速回應並道歉。滴妹頻道14日推出「我沒有做羊毛氈的天份」影片，透露看到很多人在做羊毛氈，因此從網路上找到一款角落生物的手作材料包，買來和網友一起開箱。怎料影片才上線沒多久，就有眼尖網友指出，她所購買的是未經官方授權的盜版商品，且還拿來辦抽獎、拍片盈利，直言「觀感不是很好」。消息在Dcard引起熱議，滴妹對此立刻出面回應，坦承當下一時太興奮，，直到看見網友反應，才得知是盜版商品，「接受到消息的時候，」，和喜歡角落生物、想抽獎及收看自己影片的粉絲道歉，表示會再買正版的材料包抽獎給大家。網友則回應「雖然是剛好看到就買了，可是有點尷尬的是，google關鍵字就有正版相關資訊了」、「有回覆是很好沒錯，但youtuber當這麼久了，還犯這種低級的錯誤，滿不ok的」、「」、「不是粉絲，但覺得道歉跟買重新買正版送出的做法很好」。5.完整新聞連結(或短網址):6.備註:哥哥憂鬱症明日早晨買盜版?還敢開營利我是官方就來找你提款了還有滴能兒吹捧這種行為可憐吶滴能粉絲自己對盜版不在乎就套在全部人身上--,
PTT,[問卦] 滴妹的再睡五分鐘飲料其實沒賺錢別嘴了,https://www.ptt.cc/bbs/Gossiping/M.1638200646.A.0C0.html,2021-11-29 23:44:04,,今天看了我最愛的YT洋蔥解答飲料店真的有那麼好賺嗎?滴妹跟我們阿滴親自解答一間店光是裝潢大概抓個300-400萬人事成本還有租金15萬扣一扣還有品質其實真的沒賺怎麼錢大家都在那邊網紅暴利卻沒人知道辛酸謝謝洋蔥替廣大鄉民解除心中疑惑滴妹也說了目前開了兩年有準備獲利了真的沒大家口中說的這麼好賺請多多支持有沒有飲料店開一間倒一間其實很難撐的八卦--,
PTT,[新聞] 滴妹男友條件？ 阿滴曝做「品質管控」：,https://www.ptt.cc/bbs/Gossiping/M.1624104086.A.EBF.html,2021-06-19 20:01:24,,1.媒體來源:自由2.記者署名:李紹綾／台北報導3.完整新聞標題:滴妹男友條件？阿滴曝做「品質管控」：要可取代我4.完整新聞內文:阿滴（左）在《36題愛上你》談滴妹（右）的男友「他要可以取代我！」（公視提供）YouTuber阿滴、滴妹與關韶文至炎亞綸、唐綺陽、吳姍儒主持的公視《36題愛上你》受訪，阿滴在節目上談妹妹男友說：「他要可以取代我！」讓炎亞綸聽了疾呼：「你會害她交不到男友！」關韶文則秀魔性笑聲，讓炎亞綸聽了都說「想叫救護車」。關韶文從記者轉型當YouTuber，也是許多天王、天后指名的訪問者，近來還發行單曲。充滿正能量的他笑聲充滿魔性，也練就各式的笑法，節目上還展現「爬音階笑」跟「無聲的笑」，他說有網友形容「看影片看到一半，以為他家燒開水忘了關」，讓唐綺陽大笑說你這是「像氣喘的笑」，炎亞綸也說：「好恐怖，這會想叫救護車。」「阿滴英文」目前是台灣YouTube訂閱數第二高的頻道，草創初期只有阿滴跟妹妹力撐經營，影片上架更新頻次快速，但也令他壓力甚大，阿滴認為這個工作「型態跟一般大家想像光鮮亮麗在螢幕上面、在影片裡面的不太一樣」。阿滴在節目中表示，遭遇過創作低潮期，曾在座位上「一坐就坐五、六個小時」，絞盡腦汁「在剪片、想企劃腳本，或盯著就是空白的Word」，讓滴妹形容他「像一株植物一般，杵在電腦桌前，有種無助的感覺」。阿滴在《36題愛上你》吐露曾陷入創作低潮。（公視提供）阿滴也吐露，國中時曾因罹患異位性皮膚炎，擔心同儕異樣的眼光而有些自卑，但靠著自己的語言天分，曾在台北市英語演講比賽獲得第一名，也在學校獲得校長獎；一路走來的經歷，讓他發覺自己「在教同學英文時，感覺我是很有價值的」，慢慢從興趣轉變成英文教學的YouTuber。滴妹的YouTube頻道目前有141萬的訂閱。（公視提供）而滴妹從輔助哥哥到後來自己獨立推出頻道，介紹好玩、可愛事務，目前也有141萬的訂閱者，迅速竄紅的好成績，令阿滴都曾開玩笑表示要妹妹養他。但滴妹頻道上，點閱數高居不下的，居然是作弄阿滴的影片，阿滴忍不住說「她頻道的主軸就是整哥哥」，唐綺陽看了影片也對滴妹說「所以這不是包養的問題，妳要分潤給他」，讓阿滴點頭稱是地說：「是我應得的，這是我的辛苦錢！」從學生時期一路照顧、呵護妹妹，身為「妹控」的阿滴也被吳姍儒問，「妹妹如果交男友，你真的不管嗎？」阿滴先開玩笑表示自己會先去研究對方「會做QC、QualityControl（品質管控）」，還振振有詞地說「我怎麼對她（滴妹），你就要怎麼對她，他要是可以取代我的概念」，炎亞綸聽了笑說「你會害她交不到男朋友喔」。但阿滴也認真表示會介意妹妹的男友，「對她不夠好或讓她委屈，我就會覺得這樣不OK。」吳姍儒聽了都說：「哇，超感人的！哥哥好Man！」；第一次聽到這些內心話，滴妹也有感地說：「他內心會想，但其實不會跟我講這些東西。」三位網紅感人、逗趣的訪談將於明（6/20）晚9時，公視播出；YAHOOTV、中華電信MOD也將在10時跟播上架。5.新聞網址:--,-4
PTT,[問卦] 阿滴會幫滴妹取卡住的橡皮擦嗎？,https://www.ptt.cc/bbs/Gossiping/M.1626104687.A.4CF.html,2021-07-12 23:44:45,,百萬油土伯阿滴阿滴的妹妹叫滴妹如果有一天滴妹的橡皮擦不小心卡在身體某處阿滴會好心的幫滴妹把橡皮擦取出來嗎？--,4
PTT,[問卦] 滴妹轉戰OnlyFans有搞頭嗎？,https://www.ptt.cc/bbs/Gossiping/M.1625728782.A.1D1.html,2021-07-08 15:19:40,,OnlyFans是英國的社群媒體創作者們會向粉絲每個月收取訂閱費用來看到他們所分享的內容加碼更多內容可以收取額外費用如果今天百萬YT阿滴的妹妹滴妹選擇轉戰OnlyFans大家會花錢訂閱嗎？--,
