Source,Title,Link,Date,Summary,Text,Like
PTT,[問卦] peeta哥哥的奶也太大了ㄅ==???,https://www.ptt.cc/bbs/Gossiping/M.1622119700.A.B37.html,2021-05-27 20:48:16,,如題本肥宅在家廢然後就看了一堆健身的影片then發現那個peeta哥哥的奶也太大了ㄅ==窩自愧不如健身的男子之後奶都會那摸大嗎?????--,2
PTT,[問卦] peeta拍的營養評比似乎輸給好味營養師,https://www.ptt.cc/bbs/Gossiping/M.1608472293.A.B67.html,2020-12-20 21:51:31,,Peeta最目前常拍食物熱量還有營養成分的視頻，但是YT拍這種片的營養師一堆，畢竟人家有考過營養師執照，專業程度就是不一樣Peeta唯一贏的大概是比較了解健身的巨巨攝取多少營養比較適合，說到專業還是有差Peeta拍這種片，是不是輸給好味營養師跟一堆雜魚營養師呢？--,1
PTT,[問卦] 八卦板葛格救我！救救我！,https://www.ptt.cc/bbs/Gossiping/M.1628986824.A.DDB.html,2021-08-15 08:20:22,,今早妹妹早起做家事，我原本要摸頭誇獎她，她卻突然崩潰，跌坐在地上痛哭，嘴裡還大喊：「八卦板葛格救我！救救我」該怎麽辦....--,
PTT,[問卦] 要愛愛 要愛愛 葛格我要你的愛<3,https://www.ptt.cc/bbs/Gossiping/M.1628090443.A.8BE.html,2021-08-04 23:20:41,,要愛愛要愛愛~哥哥我要你的愛~~沒有愛愛會變態~噢噢噢噢~~沒有愛愛真的會很變態嗎？這484暗指處男都很變態這樣的話我真的生氣惹--,
PTT,[問卦] 光頭葛格參加奧運能拿什麼牌,https://www.ptt.cc/bbs/Gossiping/M.1627398848.A.211.html,2021-07-27 23:14:06,,曾經風華一代帶給各位正面能量的葛格雖然離開了但所有影片都紀錄在我們腦海中如今的我還是偶爾會想起他尤其是打桌球的影片技巧出神入化只聽的到聲音卻看不到球如果光頭葛格參加奧運能拿什麼牌掛？--,2
PTT,[問卦] 你想為館長或是焦糖葛格工作?,https://www.ptt.cc/bbs/Gossiping/M.1629744534.A.B95.html,2021-08-24 02:48:51,,如題台灣最好的兩位老闆越廚(已轉賣)焦糖葛格還有惡名昭彰館長兩位都是經營界大腕把事業搞得虎虎生風想必對員工也不是普通的好看看小宇就知道你會想為館長或焦糖葛格工作呢?--,
PTT,[問卦]黑人葛格是不是被黑了？,https://www.ptt.cc/bbs/Gossiping/M.1627726079.A.680.html,2021-07-31 18:07:56,,大家都知道黑人葛格愛裝熟，所以朋友肯定三教九流看盜版然後截圖給黑人葛格上傳限動也很正常啊，有什麼大驚小怪的？何況黑人葛格現在是什麼身份？怎麼可能貪這種小便宜，一定是八卦版亂帶方向黑人家啦--,
PTT,Re: [問卦] 焦糖葛格怎麼今天那麼安靜,https://www.ptt.cc/bbs/Gossiping/M.1626922578.A.1D3.html,2021-07-22 10:56:16,,痛電台大醫科的中山大學碩士高材生發話了焦糖哥哥-陳嘉行1小時·有鑑於近期中国国民党與党主席江啟臣，以及唯一知識藍中廣集團董事長趙少康，以去脈絡、偷換概念、斷章取義的方式錯誤指責我。我現在公開邀請趙少康與江啟臣先生三人，就各品牌疫苗公開辯論，其中當然包括他們愛在心裡口難開的中国科興、国藥及復必泰。我一位得申請紓困的平民老百姓，承蒙百年大党及媒體金童的各種關心，希望媒體朋友幫我問問他們的意願？不要不回應卻繼續在背後放冷箭，這實在不是想做個堂堂正正中國人應有的風範。個人心得以他中山大學碩士高材生臉書十萬讚的資歷要跟趙少康國立臺灣大學機械組克萊門森大學(工業碩士）江啟臣美國南卡羅來納大學博士、美國匹茲堡大學碩士、政大外交系畢業來辯論真是大才小用--,15
PTT,[問卦] 焦糖葛格怎麼今天那麼安靜,https://www.ptt.cc/bbs/Gossiping/M.1626716400.A.91E.html,2021-07-20 01:39:58,,安安平常KMT或是阿北出事書讀很多的焦糖葛格都會發出正義的貼文針砭時弊每次我都會在心裡暗暗發誓以後要成為像焦糖葛格一樣的人順利通過碩士口試成為有用的碩士生啊今天奧運選手跟我這種沒錢的廢物一樣搭經濟艙住垃圾旅店阿不對比我住的還垃圾書讀很多的焦糖葛格怎麼都沒出來靠北靠木一下？還是選擇性遺忘？今天可是發生在他最愛的日本內民進黨出包都當沒看到？眼睛裝濾波器？有沒有八卦如果這篇被他發文公審每樓發100p發到沒錢拜偷公審我要口試了好無聊--穴穴泥跟大樹葛格站同一邊不會出事吧？人家台灣之光內,33
PTT,[問卦] 黑人葛格和羽球國手戴資穎~不認識~對吧！,https://www.ptt.cc/bbs/Gossiping/M.1627727506.A.8A1.html,2021-07-31 18:31:43,,橫跨運動圈~~演藝圈~~以雙修／斜槓里長伯自居且各大鎂光燈焦點的事件每次都無役不與的黑人葛格！！！和羽球國手戴資穎~應該不認識~至少沒有往來~~對吧!!對吧！!因為啊~~我夢到~~~~好久以前有一個打高爾夫的女生好像世界排名也很前面後來呀~~黑人葛格自然而然變成那個女生的好朋友！！？再後來啊~~那個女生....就消失了!!就消失了!!就消失了!!咦~~~~~~~!!!!好恐怖的夢！！！？？然後我就被嚇醒了~~~有其中的八卦嗎~~~嘻嘻~~--,2
PTT,[問卦] FBI帥哥鄧佳華去幼幼台可以當什麼葛格？,https://www.ptt.cc/bbs/Gossiping/M.1630362669.A.F01.html,2021-08-31 06:31:07,,最近佳華喜歡幼幼台的姐姐鄉民去亂，佳華也叫粉絲不要亂是個風度男人，比什麼霸主強多了自力更生那麼...如果佳華想要去幼幼台應徵可以當什麼葛格呢？有沒有八卦--,29
PTT,[問卦] 八卦板鄉民都是我的葛格<3,https://www.ptt.cc/bbs/Gossiping/M.1630361677.A.91C.html,2021-08-31 06:14:34,,大家好信義區小梓就是我那個啊小梓好喜歡八卦板的葛格們葛格們雖然嘴巴都很毒舌，但總是口試心非地按推，這樣的葛格什麼的最萌了鄉民會認我這個妹妹嗎？----,3
PTT,[問卦] 阿哲葛格 我們好久沒約了?,https://www.ptt.cc/bbs/Gossiping/M.1632643305.A.9A6.html,2021-09-26 16:01:42,,我肥宅阿哲啦我女同事啦，最近一直傳這幾張圖給我她說這是她自己做的，還說阿哲葛格我們好久沒約了!說晚上7點到她家做給我吃啦!還特地說她爸媽都不在家，要我好好陪她肥宅我該赴約嗎?女同事怎麼說也才普妹等級吧?這麼大膽就在約人?不把正妹放在眼裡?有卦否?--,1
PTT,[問卦] 請教理組葛格們燈泡問題,https://www.ptt.cc/bbs/Gossiping/M.1636083533.A.DD9.html,2021-11-05 11:38:51,,安安葛格們好小妹肛肛買了一葛登燈發現它上面縮它最多可以吃白熾燈泡60w或是最多可以吃LED燈泡10w洨妹文組腦袋就覺得豪奇怪ㄛ！為蛇魔它噗可以吃LED60w呢？理組的葛格們可以跟洨妹解答一下嗎？肛舞八卦？-----SentfromJPTTonmyiPhone--辣我裝14wderLED，它會噴出乃嗎？辣四三小？猴！謝謝，洨妹我知道惹！,
PTT,[問卦]是不是光頭葛格不在了世界才變混亂,https://www.ptt.cc/bbs/Gossiping/M.1636987037.A.BE0.html,2021-11-15 22:37:15,,剛玩著鬥地主，就差一張紅心A可以地主春天，不知為何視線越來越模糊，是贏了太少，還是想起了他，我沒有答案。葛格當天使兩年了，如果他還在，這兩年世界會不會變得比較好？葛格離開了，留給地球一張紅心A，但大家的愛心怎感覺越來越少。希望大家在一個沒有哥哥的世界，心中還存在著哥哥。致永遠善良的葛格。--,1
PTT,[問卦] 光頭葛格傳達給這世界的精神還存在嗎?,https://www.ptt.cc/bbs/Gossiping/M.1636733684.A.70D.html,2021-11-13 00:14:41,,11月13日，又讓我想起了光頭葛格聰明可能是一種天賦，但善良是一種選擇光頭葛格用善良的力量面對這個世界母湯(壞壞)紅心A在哪裡?在紅色內褲裡紅心A是什麼?是最後的王牌只要有這張紅心A王牌就可以面對一切盡全力守住紅心A守住自己的王牌守住自己最後的那個良心\紅心A的精神永遠存在我的心中/大家有記得用善良和快樂的心面對這個世界嗎?--,16
PTT,[問卦] 手搖店葛格 怎麼都不穿長袖?,https://www.ptt.cc/bbs/Gossiping/M.1639047975.A.F72.html,2021-12-09 19:06:12,,大家好今天比較沒那麼冷不過之前寒流來的時候也沒看它們穿長袖明明就要做一堆冷飲一定很冷吧?是不是被老闆逼著要露出logo?還是說因為一直搖身體熱呼呼呢?有知道的鄉民可以分享一下8卦嗎?--,
PTT,[問卦] 焦糖葛格要發什麼文才有可能在FB粉專黑掉?,https://www.ptt.cc/bbs/Gossiping/M.1635240877.A.03F.html,2021-10-26 17:34:34,,是這樣啦~凡是有關焦糖葛格的新聞在八卦幾乎都被噓爆但去焦糖葛格的粉專底下看留言儘管是完全沒邏輯性的發文底下都還是相當認同焦糖葛格的言論並且廣為分享究竟焦糖葛格要發什麼文才有可能黑掉被焦糖粉噓爆阿???--,14
PTT,[爆卦] 光頭葛格逝世2週年,https://www.ptt.cc/bbs/Gossiping/M.1636748672.A.90E.html,2021-11-13 04:24:30,,兩年前的今天光頭葛格陳俊傑離開了我們當時只有44歲希望葛格在天堂能找到他的紅心A用一些影片來紀念母湯之王光頭葛格--SentfrommyiPhoneSE(2ndgeneration)PiTT--,100
PTT,[問卦] 光頭葛格的英文實力在台灣PR多少,https://www.ptt.cc/bbs/Gossiping/M.1639827259.A.309.html,2021-12-18 19:34:15,,欸欸讓我有空一下開個唐突的話題我剛剛演算法看到光頭葛格的影片他用英文在跟網友做回覆他本身在那個年代考上外文系講話雖然很台式但單字跟文法我覺得都超越一般人大家覺得光頭葛格的英文如何呢--他只是不簽聯絡簿啊--,1
