Source,Title,Link,Date,Summary,Text,Like
PTT,[問卦] 理科太太再次被點名是什麼感想？,https://www.ptt.cc/bbs/Gossiping/M.1639772972.A.A66.html,2021-12-18 04:29:30,,話說上次邱澤之亂邱澤放出一篇新聞求教理科太太過了不久李靚蕾王力宏之亂理科太太再次被引用理科太太是不是突然漲粉好幾萬？有沒有理科太太每次大八卦都把牽扯的掛？--,7
PTT,Re: [新聞] 理科太太5年婚變！憔悴身影打官司　尪「,https://www.ptt.cc/bbs/Gossiping/M.1635961333.A.DA8.html,2021-11-04 01:42:10,,當初分居前就應該溝通好兩個人顯然沒溝通分居之後理科太太才在那邊發文情緒勒索理科先生不陪小孩誰都會不爽--仰望著讓人目眩神迷的東西只是錫箔飛鷹的背後只是一片灰可愛妝容只是粉末塗亮的指甲也有黑邊而一條骯髒的手帕仍然骯髒...即使它散發著香水的氣味!--,4
PTT,[問卦] 理科太太是不是屌打90%台女,https://www.ptt.cc/bbs/Gossiping/M.1635965905.A.A39.html,2021-11-04 02:58:23,,理科太太照顧有憂鬱症老公還能發誓生老病死都會照顧你換作大部分台女根本不可能==理科太太年輕創業賣保健食品賺了千萬被罰了也才幾十萬也是理科道歉誠意十足也常在時常科普一些科學知識教導民眾觀念因為他認識了什麼叫「有機」真的牛應該勝過90%台女了吧--,9
PTT,[問卦] 理科太太影片裡面先生是做什麼？,https://www.ptt.cc/bbs/Gossiping/M.1635942546.A.735.html,2021-11-03 20:29:04,,這兩天最火紅的新聞應該就是之前的太太吧說真的影片大概也是有看了幾部但是跟老高比起來說真的老高還有小朱至少有一起聊天的感覺但是看理科太太的影片感覺先生就是一直在旁邊呆若木雞一樣說真的為什麼會有這樣的操作方式呢？還是呆萌有市場？--,7
PTT,Re: [問卦] 理科太太是不是其實比較喜歡住台灣？,https://www.ptt.cc/bbs/Gossiping/M.1635926374.A.5EB.html,2021-11-03 15:59:32,,不只理科太太，真正的有錢人，其實都嘛喜歡住台灣，沒辦法，生活機能太好了，治安也非常棒。而且民情非常友善，不管妳做多誇張的事情，都會被包容，或者風頭過了就洗白，不用擔心社會性死亡。台灣跟日本相反，不適合旅遊，但很適合生活。會跑去國外的人，通常都是為了高薪工作，或者政治安全考量。理科先生回台灣，就必須放棄自己的工作，仰賴老婆生活，變成老婆的附屬品，如果理科太太沒共識，不想分隔兩地，最後放棄婚姻也是很合理的事情。----SentfromonmySamsungSM-A715F--,
PTT,Re: [新聞] 快訊／理科太太離婚首發聲！　「我正用,https://www.ptt.cc/bbs/Gossiping/M.1635940920.A.3E8.html,2021-11-03 20:01:58,,"其實不太懂為何是""回台""?回台是義務嗎?我不覺得。理科先生我的理解從小就在美國長大，連中文都不會說。這種人為什麼要""回台""?對他來說是去台灣吧。再說，他有工作不是嗎?來，我相信有工作的人很多。誰可以隔離14天的。誰，舉個手我看看。我是不太懂為何好像這是義務了。--那為何不是理科太太有義務""回美國""呢?",2
PTT,[問卦] 理科太太如果離婚 藝名要改嗎？,https://www.ptt.cc/bbs/Gossiping/M.1635941766.A.8F9.html,2021-11-03 20:16:04,,欸是說理科太太如果離婚那藝名是不是要改呢？理科媽媽？理科女子？大家覺得呢？有什麼比現在更適合的藝名？乾五八卦？--,73
PTT,[問卦] 理科太太算是被騙嗎,https://www.ptt.cc/bbs/Gossiping/M.1635945629.A.1C1.html,2021-11-03 21:20:27,,結婚5年大約2016年結婚2018年照顧丈夫憂鬱症搞到自己自律神經失調休息一年宣傳婚前不知道老公有憂鬱症病史2019復出也就是2017年才知道老公有憂鬱症2018年小孩出生2020年理科太太從美國搬回台灣到現在都是一個人照顧小孩時間表看起來算是被騙婚然後又被當生小孩機器嗎？--,9
PTT,[問卦] 理科太太這樣會很無理取鬧嗎？,https://www.ptt.cc/bbs/Gossiping/M.1636090117.A.B70.html,2021-11-05 13:28:35,,對於理科先生不一起回來台灣…理科先生解釋自己無法回台的原因：「冠狀病毒和Delta變種現在在台灣和美國都非常嚴重，而且很難跨國旅行。我希望我能回到台灣。我將不得不與此同時，」理科先生說暫時不一起回台是為了他的工作為了防疫考量為了不回台灣一起照顧小孩就要小孩沒爸爸這樣會很無理取鬧嗎？各位鍵盤柯南怎麼看？--,7
PTT,[問卦] 理組肥宅追得到理科太太嗎,https://www.ptt.cc/bbs/Gossiping/M.1636115935.A.B3C.html,2021-11-05 20:38:53,,如題理科太太婚變成為單親媽媽她的面癱表情有獨特魅力加上事業有成，可以讓老公不用努力如果理組肥宅去追理科太太有機會嗎同樣是理科人應該很容易產生共鳴吧卦----,5
