Source,Title,Link,Date,Summary,Text,Like
ettoday,瑀熙曬17歲「幼齒躺床照」！　白嫩美腿太吸睛…男粉融化：是初戀,https://www.ettoday.net/news/20210409/1957045.htm?from=pctaglist,2021-04-09 19:10,YouTuber「瑀熙」曾是實況主，擁有甜美的外型和姣好的身材，活潑個性圈粉無數，是不少男網友心目中的女神代表，時常透過社群平台和粉絲分享美照。她日前翻出多張8年前的嫩照，當時只有17歲，臉蛋清秀還十分稚嫩，自拍時露出一雙美腿，幼齒模樣讓粉絲直呼「戀愛了」。,,0
ettoday,瑀熙辣曬「上空趴床照」！解放嫩白雙球＋事業線…邪惡視角網暴動,https://www.ettoday.net/news/20210312/1937127.htm?from=pctaglist,2021-03-12 22:34,YouTuber「瑀熙」曾是實況主，擁有甜美的外型和姣好的身材，活潑個性圈粉無數，是不少男網友心目中的女神代表，時常透過社群平台和粉絲分享美照。穿衣風格較為保守的她，日前難得解放性感，曬出一張趴床照，裡頭什麼都沒穿，僅以一條棉被裹住身體，讓網友看了瞬間暴動。,,0
ettoday,大胃王路路「牙齒壞、貧血」職災轉型　合體瑀熙開節目,https://www.ettoday.net/news/20210311/1936299.htm?from=pctaglist,2021-03-11 19:48,YouTuber瑀熙（Yuci）及路路（LuLu）進軍Podcast，2人在「好好聽FM」合開節目《LUCI Tea Time》，私底下路路和瑀熙本是無話不聊會關心彼此的姊妹淘，節目中兩人公開分享許多不為人知的生活經驗及「心內話」。,,0
ettoday,酷炫「那時很喜歡瑀熙」自爆結束了　單身2個月：持續找新對象中,https://www.ettoday.net/news/20210131/1911124.htm?from=pctaglist,2021-01-31 12:46,「Wackyboys反骨男孩」酷炫、蕾菈與琳妲近日與2位朋友砸500萬在東區投資餐酒館，去年10月酷炫與蕾菈在士林開飲料店，這是2人的第二間店。有副業又要拍片讓蕾菈直呼：「我覺得快Cover不過來。」而蕾菈近日被爆新戀情，對此她表示：「沒有啦！朋友而已。」一旁的酷炫幫忙緩頰，卻不小心自爆曾喜歡瑀熙。,,0
ettoday,從A→C罩杯！掌握月經前5天＋後7天　一年大2cup不是問題,https://www.ettoday.net/news/20201209/1872918.htm?from=pctaglist,2020-12-09 23:21,大胸是很多女生都有的夢想，不但穿衣服可以更加性感、有女人味，甚至也會吸引異性的目光，YouTuber瑀熙日前就在個人頻道分享胸部從A到C的技巧，只要每天做5件事，1年就可以升級2個罩杯。,,0
ettoday,瑀熙當YouTuber「月收金額公開」！　爆網紅實況主賺錢明細…網愣：以為賺更多,https://www.ettoday.net/news/20201028/1841360.htm?from=pctaglist,2020-10-28 11:03,YouTuber「瑀熙」擁有甜美的外型和姣好的身材，是不少男網友心目中的女神代表，曾透露過去當實況主時一個月月薪4萬元，3年就存到72萬，如今轉行當YouTuber，業配活動不斷，不少人猜測她一個月收入到底有多少錢，她首度公開真實數字，卻讓網友驚呼：「我以為更多！」,,0
ettoday,瑀熙挑戰三星職業隊S.T大獲全勝　選手小一：帶眼罩是要怎麼打？,https://www.ettoday.net/news/20200926/1818667.htm?from=pctaglist,2020-09-26 17:09,知名Youtuber瑀熙日前受邀Samsung的電競隊S.T的邀請，前來跟職業選手進行Samsung Galaxy Note20 Ultra5G傳說對決挑戰賽，在使用「眼罩」的戰術，成功讓S.T戰隊顏值擔當小一失去視線，最終不僅成功拿下首塔，還一路拆到對手家裡，拿下漂亮的一場勝利。,,0
ettoday,阿滴月收曝光「6位數天價」！　公開收入來源…入行5年親曝成功2關鍵,https://www.ettoday.net/news/20200909/1804576.htm?from=pctaglist,2020-09-09 09:46,網紅阿滴經營「阿滴英文」頻道，內容以輕鬆有趣的英文教學為主，頻道至今訂閱數超過265萬人，受到許多粉絲喜愛。面對外界好奇，當一名YouTuber到底可以賺多少錢？他近來罕見鬆口曝光月收入，以及所有收入來源及支出細項，同時也坦言近來受到景氣影響，公司多少有些虧損。,,0
ettoday,愛莉莎莎素顏出浴！他看照片嚇壞「差好大」　網大讚真實：沒有塑膠味,https://www.ettoday.net/news/20200826/1793593.htm?from=pctaglist,2020-08-26 13:07,「化妝是女人的第二張臉」，許多女明星在鏡頭前光鮮亮麗，但卸妝之後的模樣是否一樣貌美呢？知名YouTuber「愛莉莎莎」日前在好友的影片中素顏亮相，有網友因此被愛莉莎莎卸妝後的模樣嚇到，「感覺氣色不好，落差有點大」。,,0
ettoday,亞洲統神胞兄「國動」辱「瑀熙」百人斬　拘役30日定讞,https://www.ettoday.net/news/20200716/1762187.htm?from=pctaglist,2020-07-16 14:22,「亞洲統神」張嘉航的哥哥「鼻地大師國動」張葦航，2018年間不滿女直播主「瑀熙」先前批評男生不該穿海灘褲約會的言論，與好友「龜狗」蘇冠憲，在網路開實況直播時辱罵「百人斬」、「臭鮑魚」。瑀熙提告公然侮辱，一審將2人分別判拘役30天、10天，均可易科罰金。案經上訴，二審16日駁回上訴定讞。,,0
ettoday,辱正妹直播主「百人斬」　統神哥「國動」穿海灘褲出庭拒道歉賠償,https://www.ettoday.net/news/20200622/1744012.htm?from=pctaglist,2020-06-22 18:27,知名遊戲直播主統神的哥哥「國動」張葦航，與直播主「龜狗」日前看了女直播主「瑀熙」批評男性穿海灘褲的影片後，在直播中辱罵「百人斬」、「臭鮑魚」等不雅字句，被新北地院一審依公然侮辱罪分別判拘役30日、10日；今（22）日開庭，國動身穿印著他自己照片的海灘褲出庭，堅稱不是針對瑀熙個人，不願賠償及道歉。,,0
ettoday,吳依霖親授「電捲棒3秘技」　手殘瑀熙也能捲出女神髮,https://www.ettoday.net/news/20200515/1714570.htm?from=pctaglist,2020-05-15 07:50,電捲棒人人都有，但如何捲出漂亮捲度可是大學問，《玩美任務》本週邀來髮神吳依霖來拯救手殘女，Youtuber瑀熙表示自己買了多支電棒卻不知道如何使用，髮神教你3個秘技快速上手。,,0
