Source,Title,Link,Date,Summary,Text,Like
ettoday,經濟部評四大公投案：確認國家前進方向正確、爭取最大利益,https://www.ettoday.net/news/20211218/2149514.htm,2021-12-18 21:04,四大公投案今（18）日投票結果出爐，經濟部發佈書面聲明表示，感謝國人再次確認國家前進的方向是正確的，在公投期間的大型社會討論，也讓大家更進一步了解各項政策的影響　後續將持續努力推動政策，爭取國家最大利益。 (財經 / 2021-12-18 21:04),,0
ettoday,護藻礁不同意票破400萬 王美花：經濟部會督導中油做好藻礁保護,https://www.ettoday.net/news/20211218/2149461.htm,2021-12-18 20:37,反萊豬、珍愛藻礁、重啟核四、公投綁大選等4大公投案，都因未達門檻不會通過，且不同意票都壓過同意票，民進黨獲得「4：0」完封勝；其中，護藻礁公投同意票為390萬1171票，不同意416萬3464票。對此，經濟部長王美花說，會督導中油公司如期、如質完成，穩定供電，並做好藻礁保護。(政治 / 2021-12-18 20:37),,0
ettoday,蔡政府二招衝高反藻礁公投力道 三接外推解除執政跛腳危機,https://www.ettoday.net/news/20211218/2149416.htm,2021-12-18 18:54,四大公投案今（18）日登場，攸關國內能源轉型的珍愛藻礁案，在蔡政府全力動員衝高反對力道下，三接再外推方案可望繼續興建，主責單位經濟部、中油與台電將力拚於2025年中旬開始供氣，確保國內供電穩定，並解除內閣執政跛腳危機，不致衝擊接下來的縣市首長選戰。 (財經 / 2021-12-18 18:54),,0
ettoday,反萊豬公投結果牽動台美關係 經長：公投過關恐影響TIFA復談進度,https://www.ettoday.net/news/20211217/2148903.htm,2021-12-17 19:33,四大公投案將在明（18）日登場，經濟部長王美花今日表示，反萊豬公投結果將牽動台美關係甚鉅，今年前十月台美貿易額順差高達209億美元，生意是有來有往、講究信用，如果反萊豬公投過關，不僅將影響台美TIFA的復談進度，也將影響我申請加入CPTPP的進程。 (財經 / 2021-12-17 19:33),,0
ettoday,叫尪幫女兒換尿布「為什麼要我」！王思佳2招讓他就範：魔羯超愛聽好聽話,https://www.ettoday.net/news/20211217/2148530.htm,2021-12-17 13:24,王思佳2016年與老公Joe結婚，事隔5年多終於迎來女兒「小王美」，而在育嬰過程中，夫妻倆難免出現需要溝通的情況，比方說若要另一半幫忙換尿布，對方常會回答：「為什麼要我？」對此，她自有一套辦法應對，先用激將法讓老公主動幫忙，再來就是無止盡的誇讚，讓對方不只做一次，「魔羯座超愛聽好聽話！」(影劇 / 2021-12-17 13:24),,0
ettoday,三接狠插「7600年藻礁」 侯孝賢挺公投：我投同意票,https://www.ettoday.net/news/20211216/2147708.htm,2021-12-16 22:01,藻礁公投推動聯盟16日在立法院召開記者會，電影導演侯孝賢透過預錄的影片表示，「我們真要這樣幹嗎？為了5年、10年的眼前便利，毀掉7600年的藻礁；藻礁永存？還是藻礁永別？12月18日，我投同意票」。(政治 / 2021-12-16 22:01),,0
ettoday,投資台灣三方案將展延 國發會主委龔明鑫：利息補貼擬維持現狀,https://www.ettoday.net/news/20211216/2147995.htm,2021-12-16 18:11,國發會主委龔明鑫今（16）日針對投資台灣三大方案回應，關於投資台灣三大方案利息補貼方向上能夠維持現狀就儘量維持，畢竟深耕台灣、投資台灣也是很好的方向。(財經 / 2021-12-16 18:11),,0
ettoday,投票前夕喊話國人「仔細思考」 政院：四大公投對台灣未來影響重大,https://www.ettoday.net/news/20211216/2147634.htm,2021-12-16 13:09,四大公投案將在18日登場。民進黨從黨到執政部門，持續加強宣傳力道，務求公投案「4個不同意」。行政院發言人羅秉成16日再度重申四大公投案的利弊，將直接牽涉到台灣未來的電力、能源轉型、國際經貿等，國家發展議題，呼籲國人同胞投票前要仔細思考、理性判斷。(政治 / 2021-12-16 13:09),,0
ettoday,ECFA明年繼續的訊號？ 陸學者：持續加強兩岸經貿合作發展,https://www.ettoday.net/news/20211216/2147512.htm,2021-12-16 11:35,大陸國務院關稅稅則委員會昨15日宣佈，「海峽兩岸經濟合作框架協議」（ECFA）將於2022年繼續實施協定稅率。消息一出，不少兩岸台商、相關中小企業鬆了一口氣。涉台學者包承柯接受《東森新媒體ETtoday》記者訪問也表示，大陸讓ECFA繼續進行，有兩層意思，一向台灣經貿產業發出非常完整確定的信息，持續加強兩岸經貿的合作與發展；二是破除民進黨的謠言與抹黑，未來大陸只會精準打擊「台獨」，絕對不是針對台灣百姓，同時加強民間交流合作。(大陸 / 2021-12-16 11:35),,0
ettoday,大陸宣布：2022年「繼續實施ECFA」 與紐澳等國協定降稅,https://www.ettoday.net/news/20211215/2147245.htm,2021-12-15 23:37,中國大陸財政部今天晚間發布公告，國務院關稅稅則委員會已核定並發布2022年的關稅調整方案，其中「海峽兩岸經濟合作框架協議」（ECFA）已完成降稅，將繼續實施協定稅率。(大陸 / 2021-12-15 23:37),,0
