Source,Title,Link,Date,Summary,Text,Like
ettoday,眾量級IG貼文突消失驚爆「5年心血全沒了」！　Andy一看慌張變臉…家寧吐背後真相,https://www.ettoday.net/news/20200823/1791172.htm?from=pctaglist,2020-08-23 08:04,YouTuber「眾量級CROWD」由情侶檔Andy、家寧組成，常常想出各種點子互整彼此，以爆笑內容吸引不少粉絲，Instagram追蹤人數至今也已經累積超過78萬，然而，小倆口的頻道21日卻突然釋出以「惡整！？被駭！？IG貼文無預警消失 五年心血付之一炬！」為題的影片，令不少網友乍看之下嚇了一大跳。,,0
ettoday,網紅的超狂驚喜差點變驚嚇！幫另一半進行房間大改造　一開門嚇噴：「怎麼會變這樣！」,https://www.ettoday.net/news/20200319/1666756.htm?from=pctaglist,2020-03-19 16:43,你是一個喜歡驚喜或替另一半製造驚喜的人嗎？給另一半驚喜有很多方式，知名YouTuber「尼克&Ashly」跟「眾量級CROWD」不約而同都替另一半準備了一樣的驚喜——房！間！大！改！造！,,0
ettoday,家寧惡整「騙吃恐怖加辣麵」！Andy剛入口秒吐…冒冷汗倒地　網責：這次玩太大,https://www.ettoday.net/news/20190903/1527840.htm?from=pctaglist,2019-09-03 21:51,YouTuber「眾量級CROWD」由情侶檔Andy、家寧組成，常常想出各種點子互整彼此，爆笑的影片吸引網友觀看。家寧最近得知有間麵店在販售特製麻辣麵，特地買回家給不知情的Andy吃，沒想到對方才剛放進嘴裡，竟然當場吐出來，最後痛苦到虛脫倒地！,,0
ettoday,家寧花蓮海邊「破尺度」解放比基尼！　清水斷崖狂露逆天美腿,https://www.ettoday.net/news/20190819/1516394.htm?from=pctaglist,2019-08-19 15:31,YouTuber「眾量級CROWD」由情侶檔Andy、家寧組成，常拍攝互整影片，不只增加生活情趣，也帶給觀眾許多歡樂。前陣子，Andy曾拍影片開箱女友的網購包裹，當時就翻出多件泳裝，事隔1個月後，小倆口動身前往花蓮清水斷崖體驗獨木舟，家寧果真穿上比基尼，罕見小露性感，令網友眼睛一亮！,,0
ettoday,眾量級家寧買盲包「抽到價值8萬金飾」　Andy慫恿拿去當…她回這樣被網讚太善良！,https://www.ettoday.net/news/20190709/1485639.htm?from=pctaglist,2019-07-09 11:32,YouTuber眾量級CROWD時常拍攝彼此互整的影片，不只增加生活情趣也帶給觀眾歡樂，日前他們一起去挑戰在夜市很紅的盲包，家寧決定花2000元分別挑選大、中、小的包裹，沒想到卻抽到總共大約價值8萬元的金飾！,,0
ettoday,門掛內有猛犬！　她見2隻「140KG大摳呆」笑翻：是萌犬啦,https://www.ettoday.net/news/20210511/1979285.htm?from=pctaglist,2021-05-11 20:37,是猛犬還是萌犬呢？高雄飼主陳麗卿打趣地在門外掛上「內有猛犬」的警示牌，提醒民眾小心家裡的高山犬「牛頭妞兒」和「巨嬰可可」。沒想到，門後的「猛犬」雖然身材比媽媽還要大隻，看似十分凶狠，卻有著反差頗大的憨萌臉蛋，親人可愛的牠們讓網友笑翻直呼，「有廣告不實的嫌疑喔！」,,0
ettoday,黑幫砸松山分局！驚傳「重量級議員」搓老大圓仔湯　所長只能硬吞,https://www.ettoday.net/news/20210429/1970474.htm?from=pctaglist,2021-04-29 05:40,松山警分局楊姓教官酒後幹譙黑衣人引發黑幫包圍分局中崙所危機，帶頭的徐男甚至帶著9名手下直接闖入中崙所追打楊姓教官，甚至拿起值班台電腦猛砸當武器，儼然把松山警察「當做塑膠的！」儘管松山警方再三強調這群黑衣人並無幫派背景，但有警員私下向媒體坦承，帶頭的徐姓男子為任職松山區某酒店經紀幹部，隸屬四海幫某堂口成員，其餘黑衣人都是徐男手下。,,0
ettoday,80位大咖藝人來後山！「愛在4月天」演唱會移師花蓮可索票入場,https://www.ettoday.net/news/20210319/1941523.htm?from=pctaglist,2021-03-19 11:30,花蓮縣政府祈禱早餐會17日於縣府大禮堂舉行，由藝起發光協會宋逸民牧師信息分享，會中預告「2021愛在4月天－愛你而已」演唱會首次移師花蓮，4月3日（星期六）晚間七點於花蓮縣立小巨蛋體育館隆重登場，包括宋逸民、陳維齡、吳宗憲、倪子鈞等80位重量級大咖藝人帶來精采歌舞劇，歡迎花蓮鄉親索票進場觀賞。,,0
ettoday,裝貓門意外捕獲「重量級大橘」！　萬人笑翻：這隻會長到50公斤,https://www.ettoday.net/news/20201124/1861336.htm?from=pctaglist,2020-11-24 16:08,裝個貓門意外捕獲新寵物！一名女飼主Kelly日前和老公在家裡加裝貓門，要讓愛貓蛋蛋方便自由進出房間，沒想到1歲的女兒阿妡在貓姊姊的教導下「有樣學樣」，這天睡午覺阿妡穿著橘色小洋裝，熟練地穿越貓門爬進來，就像一隻重量級橘貓，影片分享出來讓網友笑噴直呼，「這隻以後會長到50公斤！」,,0
ettoday,「45kg瓦斯桶」重量級討食！　阿嬤不給牠「熊掌翻碗」暴走,https://www.ettoday.net/news/20200404/1683615.htm?from=pctaglist,2020-04-04 16:56,這就是「重量級」毛孩的日常嗎？住在台中45公斤的古代牧羊犬「姆咪」這天看見阿嬤在吃東西，立刻跑上前撒嬌討吃，沒想到對方不分食，牠竟獨自生起悶氣。飼主陳小姐忍不住笑說，「這是一個軀體跟靈魂都比主人還要大的故事，吃東西一定要分一半以上給牠！」,,0
