Source,Title,Link,Date,Summary,Text,Like
PTT,Re: [新聞] 黑幫砸松山分局！驚傳「重量級議員」搓,https://www.ptt.cc/bbs/Gossiping/M.1619661518.A.C1F.html,2021-04-29 09:58:35,,這種事情通常都是國民黨的人只有國民黨這種跟共匪有一腿的政黨才會跟黑道勾結請不要往民進黨方面聯想--回文都不懂，廢到笑哈哈哈,5
PTT,Re: [新聞] 黑幫砸松山分局！驚傳「重量級議員」搓,https://www.ptt.cc/bbs/Gossiping/M.1619663099.A.EFF.html,2021-04-29 10:24:57,,八卦就是四海算是台灣北部早期外省掛最早崛起的勢力不過氣焰太囂張後來被黨國政府抄掉改扶植竹聯幫至於這幾天風頭上的國策顧問阿國所屬的天道盟是因為早期本省掛兄弟在監獄裡被外省掛打壓由羅福助楊登魁等人號召創立天道盟要論論輩份阿國差大貓楊登魁圓仔花他們差太遠話說回來這事件說穿了就是鴿子先理虧不然早就大規模先抄掉四海圍事地盤啦松山分局出了個低能兒教官跟所長讓松山分局長陪葬最幹最衰的就是分局長完全被惹事的教官跟所長害慘------阿北初四啦這當然是兩碼事鴿子先惹事這群少年不知這教官是鴿子如果知道大概也只會吞下去兄弟人不會白目去鴿舍惹事是蠻低能的阿喝酒喝到被追打還不低能嗎下面有這種所長不衰嗎兄弟人有分層次的啦這種屬於無腦的有腦的兄弟要搞鴿子叫議員立委私下修理就行了無腦的就像這種衝鴿舍所長不是拔掉了嗎基本上記兩大過就是免職了,
PTT,[新聞] 獨／代表拜登政府！美國重量級議員計畫再,https://www.ptt.cc/bbs/Gossiping/M.1631334452.A.EDA.html,2021-09-11 12:27:30,,"三立新聞網獨／代表拜登政府！美國重量級議員計畫再訪台背後原因曝者張雅筑／台灣-美國報導相信大家一定對美國聯邦參議院議員達克沃絲（LaddaTammyDuckworth,D-IL）不陌生，因為在台灣疫情剛爆發之際，急需要疫苗時，她與另兩名議員訪台，在致詞時，更強調對台的支持。國際情勢等關係，有知情人士透露，達克沃絲將再度訪台，且是代表拜登政府，其中目的之一不外乎是「強化台美友好關係」。知情人士表示，達克沃絲是自願接下這重責大任的，因為她對台灣有很深的情感和支持。「若中國共產政府持續再對民主、民權施壓，繼續威脅台灣，相信西方國家不會默不吭聲的，因為對歐洲也好，美國也好，台灣是相當重要的民主代表。」與美國政商關係相當好的台僑人士道。昨（10）日美國聯邦參議員譚美·達克沃絲（LaddaTammyDuckworth）出席一場「SenatorTammyDuckworth」活動，會中她多次表態對台的支持，還有台灣對美國重要性，以及分享上回的訪台經驗和過程。不過最引發討論的是，達克沃絲親口透露，自己不久後將再度訪台。與會知情人士告訴記者，議員達克沃絲目前正在計畫、準備近期內再度拜訪台灣，且是代表拜登政府，其中原因，就他了解，不外乎是台海關係和晶片供應問題等，「因為阿富汗的關係，加上中國最近的態度，所以美國主張加強並表態對台灣的支持和穩固雙方的友好關係。」至於為什麼是達克沃絲？一部分原因是她自願接下這重責大任，另一部原因是，美國總統拜登非常看好、信任她，也深知她與台灣關係良好，若由她負責這塊，「是可以放心和相信的，會是很好的橋樑。」就怕計畫「胎死腹中」，所以明確的時間點不能透露，但可以確定的是，美方目前有這樣的規劃。不僅如此，針對近日熱議的我國駐美代表處正名，也就是更改為「台灣駐美代表處」，知情人士表示，目前他們覺得有望在年底前通過，大家是看好的。這次美國爸爸會再帶疫苗?可以再來個250萬劑莫德納嗎....--",
PTT,[新聞] 美日「重量級議員」挺台入CPTPP！外交部,https://www.ptt.cc/bbs/Gossiping/M.1627556697.A.B43.html,2021-07-29 19:04:53,,1.媒體來源:三立新聞網SETN2.記者署名:2021/07/2914:44:00記者劉懿萱／台北報導3.完整新聞標題:4.完整新聞內文:記者劉懿萱／台北報導「台美日國會議員戰略論壇」今（29）日以視訊形式順利舉行，會中除了維護台海安全，同時。對此，外交部表示，由衷感謝三方重量級國會議員同聲支持理念相近國家持續合作深化民主同盟友好關係，未來將持續加強台美日三方聯繫。▲立法院院長游錫堃偕各黨派立法委員與會（圖／外交部提供）本屆論壇由日本國會參眾兩院跨黨派友台組織「日華議員懇談會」會長古屋圭司眾議員發起，首屆會議由日方主辦，會中邀請我國立法院「台日交流聯誼會」會長游錫堃院長偕各黨派立法委員暨美國參眾兩院資深議員與會，日本前首相安倍晉三更以特別貴賓身分連線致詞，籲請各方團結合作，支持普世價值，推動經濟繁榮與依法治理。會議就印太區域安全保障議題、區域經濟整合及深化理念相近國家在自由、民主、人權、法治等普世價值觀的合作進行討論；會中各方深入交換意見，並認同藉由多方合作可進一步維護台海安全，同時，並同意未來將繼續推動此深具意義的戰略論壇。「台美日國會議員戰略論壇」對強化台美日三邊及提升台日雙邊關係都具有重要且深刻的歷史與戰略意義，外交部未來將持續加強台美日三方聯繫，並積極深化全方位實質合作夥伴關係。▲前首相安倍晉三以「神秘嘉賓」身分出席首屆「台美日國會議員戰略論壇」並發表友我言論。台美日三方出席國會議員包括我國立法院院長游錫堃、時代力量立委陳椒華、台灣民眾黨立委蔡壁如、中國國民黨立委陳以信，以及民主進步黨立委羅致政美國則由聯邦參議員BillHagerty、聯邦參議員EdwardMarkey、聯邦眾議員SteveChabot；日本古屋圭司眾議員、中川正春眾議員、富田茂之眾議員、石井章參議員、山本順三參議員、前原誠司眾議員、奧野信亮眾議員、小田原潔眾議員等三國政要。5.完整新聞連結(或短網址):6.備註:----,7
PTT,[問卦] 獸神萊卡為什麼不能打新日本重量級,https://www.ptt.cc/bbs/Gossiping/M.1625738901.A.0DD.html,2021-07-08 18:08:19,,萊卡在新日本次重量級已經無對手了但是我看多年下來他都不能去重量級後來聽朋友說是因為體重不夠關係不能夠去重量級真的很可惜太久沒看摔角了都停留在10多年前印象----,19
PTT,[新聞] 重量級專家最新報告：新冠疫苗不需要全,https://www.ptt.cc/bbs/Gossiping/M.1631590677.A.E26.html,2021-09-14 11:37:54,,1.媒體來源:UDN2.記者署名:經濟日報/編譯黃淑玲／綜合外電3.完整新聞標題:重量級專家最新報告：新冠疫苗不需要全面開打加強針4.完整新聞內文:一組來自全球的傑出科學家周一（13日）在知名醫學期刊「刺胳針」（TheLancet）發表評論文章指出，目前尚無足夠證據支持一般大眾應該接種新冠疫苗加強針。對照目前以色列、美國等國家開打或準備開打第三劑，這篇有份量的評論勢必引發更多辯論。金融時報說，這組科學家包括兩周前退出美國食品藥物管理局（FDA）審議小組的兩位著名專家PhilipKrause和MarionGruber。評論報告表示，分析了真實世界的觀察研究和臨床試驗數據之後，他們判定目前的疫苗接種方案，即使是對抗Delta變種病毒，在預防重症方面仍然非常有效。建議各國政府宜將焦點放在讓仍未接種的民眾儘快完整接種，然後，等候更多資料來佐證哪些情況需要加強針，以及適當的劑量該是多少。華爾街日報報導，專家這篇報告提到，把觀察研究的結果平均化之後，發現目前的疫苗接種方案對預防Delta和Alpha變種病毒造成重症的有效性為95%，預防感染的保護力也超過80%。他們強調，抗體水準下降並不一定就會降低避免重症的效力，因為免疫系統的其他機制，像是B細胞、T細胞等，也能提供不惡化成重症的保護。專家說，假設未來發展最終共識是需要加強針的話，過早執行或範圍太廣、太頻繁執行，也會有風險。金融時報認為，兩位退出FDA審議的專家加入批評加強劑的行列，顯示白宮上個月突然很快傾向支持加強針後，拜登行政團隊因此內部緊張升高。Krause與Gruber兩人是在拜登政府計畫開打的幾天前退出。5.完整新聞連結(或短網址):6.備註:各位想打幾針--,13
PTT,[問卦] 雛量級到底要怎麼跟重量級的打？？,https://www.ptt.cc/bbs/Gossiping/M.1623730953.A.9C8.html,2021-06-15 12:22:30,,乳提4醬啦我有個朋友他本來是職業拳擊手，後來跑去打地下格鬥比賽他本來也是重量級，但不知道他484腦袋被車輾過他瘋狂減重減到只剩53公斤，差不多就雛量級的程度然後他的對手也是拳擊手，但對方是91公斤的重量級選手我朋友現在剛上場還一副自信十足的模樣實在想不到他到底要怎麼打贏重量級？有掛否？--,3
PTT,[新聞] 泰山壓頂！吵完架要老公道歉　重量級老婆坐頭上把他悶死,https://www.ptt.cc/bbs/Gossiping/M.1621470754.A.CDC.html,2021-05-20 08:32:31,,1.媒體來源:蘋果日報2.記者署名:於慶中／綜合外電報導3.完整新聞標題:泰山壓頂！吵完架要老公道歉重量級老婆坐頭上把他悶死4.完整新聞內文:塔蒂亞娜(左)與丈夫艾達(右)。圖片來源:太陽報俄羅斯發生一起妻子不慎殺害丈夫的家暴命案，一名體格壯碩的妻子，日前與丈夫吵架後，為了逼他道歉，竟然直接坐在丈夫頭上，結果竟把他活活悶死。《太陽報》報導，俄羅斯新庫茲涅次(Novokuznetsk)45歲女子塔蒂亞娜(TatyanaO.)，日在家中與丈夫艾達(Aidar)吵架，2人之前都喝了酒，女兒聽到爭吵聲過去查看，發現體重重達16英噸(約101.6公斤)的塔蒂亞娜整個人坐在臉朝下躺床上的艾達頭上，艾達不斷掙扎，口中「懇求妻子原諒」，但又掙脫不了。體格壯碩的塔蒂亞娜。圖片來源:太陽報女兒連忙找鄰居家的阿姨來幫忙，但阿姨覺得就是夫妻間的小爭吵，準備離開，此時塔蒂亞娜發現，屁股底下的艾達已經沒了動作，驚覺不對放聲尖叫，阿姨才幫忙叫了救護車，但急救人員到場時，艾達已經死亡。驗屍報告顯示，艾達死於呼吸道阻塞導致呼吸衰竭，警方依謀殺罪逮捕了塔蒂亞娜。法院日前開庭，塔蒂亞娜在庭上表示，當時坐在艾達頭上只是希望他能「冷靜」，自己絕無殺人動機。法官最後接受她的說法，改以過失殺人罪判她勞動服務18個月，外加精神撫慰金折合台幣約8萬元。但俄羅斯聯邦調查委員會本周宣布，正在要求法院依謀殺罪重新審理此案。（於慶中／綜合外電報導）5.完整新聞連結(或短網址):6.備註:等等..我以為俄羅斯妹剛結婚是這樣..45歲....在台俄羅斯妹子安妮....有在練..應該不會...想到之前考慮跟一個150CM70KG的妹子結婚想想還是放棄..吞不下去應該到中年也會破百--月老2.0愛你愛你久久2020/09/09上線龍山寺月老紅線都幫你各位求好了霞海城隍廟兩位月老法力加倍--,34
PTT,[問卦] 舉重量級通常應該越重舉越多吧？,https://www.ptt.cc/bbs/Gossiping/M.1627390650.A.A80.html,2021-07-27 20:57:26,,剛剛64公斤量級金牌出來了總和236公斤去查一下剛剛郭婞淳的紀錄發現竟然也是236這裡有比較熟舉重這項運動的人可以解釋一下是郭婞淳太厲害贏一個量級還是有什麼八卦ㄇ--,5
PTT,[爆卦] 重量級拳王易主,https://www.ptt.cc/bbs/Gossiping/M.1632608437.A.8E4.html,2021-09-26 06:20:35,,就在剛剛OleksandrUsyk跟AnthonyJoshua打了12回合後以一致判定擊敗AJ成為重量級新拳王AJ是不是過譽仔啊之前慘輸小胖這場又被上拳擊課恭喜Usyk真的強--館長上去估計是被當沙包打速度有夠慢AJ好歹是重量級三王之一==雖然不知道輸這場之後會不會被除名AJ打的真的是有夠難看真沒有冠軍素質只想靠磨點結果被對方UD等等ufc266接著看==,12
PTT,Re: [新聞] 法重量級參議員要來了！外交部證實法國,https://www.ptt.cc/bbs/Gossiping/M.1633413216.A.9B8.html,2021-10-05 13:53:34,,賣武器可能性是蠻高的尤其是最近台法關係在蜜月期拉法葉已經決定給法商Thales做性能提昇幻象的維修料件補充合約跟技術人員支援合約都剛簽完不久法國人這一趟來可能是要推銷新的東西搞不好是Rafale--,7
PTT,Re: [爆卦] 重量級拳王易主,https://www.ptt.cc/bbs/Gossiping/M.1632613199.A.DC9.html,2021-09-26 07:39:57,,Usyk就是屌啊，在對方英國主場扁AJ，讓全場觀眾難看但是我還是得說，有一個給分裁判是瞎了嗎竟然給了115-113這種芭樂分數明眼人都看得出來，Usyk整場贏了起碼有10個回合吧AJ根本對於Usyk的左架攻勢一點辦法都沒有，科科--,
PTT,Re: [新聞] 黑幫砸松山分局！驚傳「重量級議員」搓,https://www.ptt.cc/bbs/Gossiping/M.1619660863.A.C3F.html,2021-04-29 09:47:40,,我一直有個疑問四海幫早期都是KMT背景的外省權貴子女所組成後來太高調被掃過一次以後才逐漸由本省人掌權但是和KMT的關係應該是一直都沒斷掉的結果怎麼這次發生在柯CF地盤上，只有KMT狂追猛打DPP反而一反常態有點安靜?KMT外省幫派+柯CF地盤，根本就是最漂亮的靶子?然後我覺得，這個雪球搞不好會越滾越大.....幫派再智障都知道不要隨便去動鴿子的地盤就算瞧不起鴿子，你這樣掀人家老巢輿論和民意怎樣都不可能放過你的基層員警年輕一點的或是本身就比較潔身自愛的大概也會非常不爽檯面下就算了，都被掀到檯面上弄到好像警察還更怕黑幫?搞到尊嚴和理想都直接被壓在地上磨擦只是這個新聞接著要怎麼壓掉阿1.找個小咖藝人表示被性騷擾?2.強硬對中國發言讓對面發言人來個戰狼回應?3.守護香港(不過香港目前好像沒用了，考慮一下把緬甸軍政府跟中國扯在一起吧)4.其他徵求有創意的發想進行有獎徵答--我覺得這次危機處理弄得很智障阿，臥底都知道至少要被揍幾個瘀青才能交代更有決心一點的還會裝作被射傷結果這次這個事件居然還有政治人物直接插手，平常是過太爽了嗎?我沒任何影射，我只是覺得很怪而已外省權貴幫派+柯CF地盤上，真的沒有理由不拿大砲出來打阿目前比較有可能的是一個藍營女議員藍營的這個我很久很久以前有接觸過她的主任喬功一流一個綠營女議員沒遇過不過這兩個都不好說背後的勢力不是我喜歡就可以講真相自己去谷歌搜尋關鍵字台北市議員加幫名就幾乎呼之欲出然後這次的內政部部長不管警察的之前他要辦署長拉下來換自己人選行政院長還抓他去拉正不給他換怎麼可能會是內政部長包庇他現在暗爽都袂護了署長部長院長三個都是老經驗怎麼可能直接介入這次應該是一般小鬼的利益受害或失面子一時衝動要討回本來衝警局就有心理準備會出事一般只有那種烏合之眾或者平常自認為關係很好的才會貿然行事重點還是當天晚上那個所謂的教官他到底幹了什麼會讓一群人冒風險也要闖警察局扁他--每個人的人生旅途都不同別人的意義和價值觀只是你的旅行指南沒有旅行指南不代表你失去欣賞美麗風景的能力和權利--,7
PTT,[問卦] 誰能承受世界重量級拳手的打懶三連擊?,https://www.ptt.cc/bbs/Gossiping/M.1633496285.A.4AE.html,2021-10-06 12:58:03,,"給你1000萬鎂給其他世界重量級拳手打懶叫三拳跟泰森打臉一拳,你選哪個?--",
PTT,[新聞] 法重量級參議員要來了！外交部證實法國,https://www.ptt.cc/bbs/Gossiping/M.1633410590.A.AF8.html,2021-10-05 13:09:48,,備註請放最後面違者新聞文章刪除1.媒體來源:三立新聞2.記者署名:劉懿萱3.完整新聞標題:法國參議院代表團本週訪台外交部緊鑼密鼓曝規劃進度法重量級參議員要來了！外交部證實法國會訪團「這週訪台」4.完整新聞內文:先前外媒披露法國參議院友台小組主席李察（AlainRichard）將於10月上旬率團訪台，外交部先前都僅表示熱烈歡迎，並未詳細時間。外交部發言人歐江安今日在例行說明會上終於證實，法國參議院代表團將於「這禮拜訪問台灣」，這也將是李察繼2015年、2018年後第三度訪台。先前法媒報導，參議院台灣研究交流小組已確定在10月4日至11日訪問台灣，參訪團將由李察率隊，成員有兩位小組副主席，共和黨（LR）議員布瑞桑（MaxBrisson）與社會黨（PS）議員維里尼（AndréVallini），以及中間聯盟參議員、同時也是友台小組秘?迪克（OlivierCadic）。對此，歐江安今日也透露，法國參議院代表團將於「這禮拜訪問台灣」，這也將是李察繼2015年、2018年後第三度訪台。外交部將會密切協調訪台行程的各項安排，包括配合國內疫情的現況，貫徹執行相關防疫措施，詳情將在適當時機向國人進一步説明。歐江安指出，李察自從2015年接任參議院友台小組主席以來，曾在2015年、2018年兩度訪台，致力促進台法兩國的合作交流，彰顯李察對台灣的鼎力支持及真摯友誼。規5.完整新聞連結(或短網址):6.備註:歡迎來台灣，不過...之前賣我們的東西可以順便客服升級嗎？--幫你屁眼QQ人家好歹是僅次美俄的第三大軍武出口國幻象例行性後勤一直都有，只是我們想要的是升級...其實國際曝光度與交流很重要的，各國政要正式參訪在正常國家都是常見的事情，是曝光宣示也是外交一部分，無論藍綠執政，這都是他們會想要爭取的說他國政要來，開心的就是塔綠班，未免太極端。,89
PTT,Re: [新聞] 法重量級參議員要來了！外交部證實法國,https://www.ptt.cc/bbs/Gossiping/M.1633487652.A.E1F.html,2021-10-06 10:34:08,,剛剛吃早餐看到記者不是文組的嗎怎麼數學也不行中文也不行啊...-----SentfromJPTTonmyiPhone--Iwishyourlovelow-fiversion--,4
PTT,[問卦] 震驚！蜘蛛人重量級新女友曝光！,https://www.ptt.cc/bbs/Gossiping/M.1639961045.A.BBC.html,2021-12-20 08:44:03,,超猛的，沒想到蜘蛛人居然會勾搭上這麼大咖的東洋妹子。果然每個成功的男人背後都有一個偉大的女人。有沒有蜘蛛人的故事滿勵志的卦？--,
PTT,Re: [新聞]台南重量級人士操作洗白 陳亭妃：完全不認,https://www.ptt.cc/bbs/Gossiping/M.1638598636.A.3DC.html,2021-12-04 14:17:14,,是這樣的啦你不能從只捧亭妃這角度下去解釋啊啊亭妃就真的比較好沒的批評啊難道一定是黨內互打嗎？為什麼不懷疑是中共的網軍呢？中國網軍第五縱隊最愛見縫插針無所不用其極的抹黑要消滅台灣本土力量台南很多的小事都被網軍過度渲染誇大只是亭妃平時為人正直、恪守原則才免於受害亭妃在各方面比起其他台南綠營人士就是優質許多無桃色糾紛、無官商勾結、無保庇廠商..等台南人唯一支持「台灣媽祖-陳亭妃」--,1
