Source,Title,Link,Date,Summary,Text,Like
ettoday,鏡頭前喬ＯＯ！　蕾菈錄影「沒穿內衣」一伸手挖…網友全瘋了,https://www.ettoday.net/news/20190621/1472769.htm?from=pctaglist,2019-06-21 21:54,網紅米砂（Misa）自稱是「老濕姬」，常在社群網站分享大尺度辣照，作風相當大膽。近來，她難得邀請到「反骨男孩」成員蕾菈（Lyla），尬聊「夏天不穿內衣」的話題，沒想到，期間對方直接在鏡頭前喬奶，大尺度的畫面及聊天內容，也在網路上意外掀起一陣熱議。,,0
ettoday,正妹網紅自爆縫雙眼皮！　曝手術前後「對比照」網驚：以前比較正,https://www.ettoday.net/news/20190124/1365149.htm?from=pctaglist,2019-01-24 22:56,正妹網紅米砂Misa自稱是「老濕姬」，作風大膽的她，常在社群網站分享大尺度辣照，沒想到日前坦承動刀，縫了雙眼皮，近來更大方曬出手術前後對比照，在網路上引發一陣熱議。,,0
ettoday,看《蜘蛛人》前去「電影院這地方」被爆雷！　網紅一秒崩潰逃離,https://www.ettoday.net/news/20211217/2148353.htm?from=pctaglist,2021-12-17 10:30,電影《蜘蛛人：無家日》15日在台上映，許多影迷搶在第一時間進戲院觀影，就怕之後會輕易地遭他人爆雷。YouTuber米砂也在上映後立刻訂票前往觀賞，抵達電影院後原本以為一切安全，怎料卻在電影院裡的「這個地方」被爆雷，嚇得她落荒而逃。,,0
ettoday,這次免費就能看！米砂推《鮑魚遊戲》成人節目版　揪10正妹拍4集,https://www.ettoday.net/news/20211212/2144648.htm?from=pctaglist,2021-12-12 18:31,YouTuber米砂（Misa）投入百萬成本製作《魷魚遊戲》成人版，公開當天便超過10萬人湧入網站，成功引起話題。她12日再度推出節目版，邀請10位性感女孩一起玩遊戲，表示可以看做是「成人版的魷魚遊戲」，預計將播出4集，引起網友關注。,,0
ettoday,米砂《鮑魚遊戲》分紅金額揭曉！　找不到炎亞綸級男優…再升片酬,https://www.ettoday.net/news/20211208/2141725.htm?from=pctaglist,2021-12-08 19:28,YouTuber米砂近年跨足AV界擔任監製，日前推出以韓劇《魷魚遊戲》為靈感的成人版本《鮑魚遊戲》掀起熱議，再創事業巔峰。她透露因為《鮑魚遊戲》進帳了6位數，目前在籌備下一部女性向AV，並尋找有「炎亞綸等級」的高顏值男優，不過她也表示尋人困難，目前已刷掉9成報名者。,,0
ettoday,百萬網美被178cm男友「射到眼睛」！　崩潰畫示意圖：要黏起來了,https://www.ettoday.net/news/20211208/2141192.htm?from=pctaglist,2021-12-08 10:49,YouTuber米砂（Misa）作風大膽，自稱「老濕姬」，除了經常拍攝一系列性感辣照，近年更當起AV監製。目前與圈外男友穩定交往中的她，近日疑似分享私下床事，自爆意外被男友「射到眼睛」，還親自畫出一張示意圖，超大尺度PO文再度掀起外界熱議。,,0
ettoday,百萬網美「大眾浴池脫光」被認出！無修圖真面目曝光　鬆弛小腹溢出,https://www.ettoday.net/news/20211201/2136019.htm?from=pctaglist,2021-12-01 13:22,YouTuber米砂（Misa）近年當起AV監製、成績亮眼，IG累積超過70萬人追蹤，YouTube頻道也超過90萬人訂閱，光是在這2平台的粉絲數就破百萬，人氣相當高。近日，她久違趁著空檔和男友出遊，期間一度前往大眾浴池泡湯，卻發生一件讓她有些尷尬的事情：「在大眾浴池被叫住…第一次沒穿衣服…被粉絲認出來…。」,,0
ettoday,特斯拉未坐熱…米砂再開箱「千萬北歐風豪宅」　衣帽間根本精品店,https://www.ettoday.net/news/20211130/2135474.htm?from=pctaglist,2021-11-30 18:24,YouTuber米砂近年跨足AV界擔任監製，日前推出以韓劇《魷魚遊戲》為靈感的成人版本掀起熱議，再創事業巔峰。不久前才購入百萬名車的她，近日又開箱自己設計的千萬豪宅，並介紹其中的收納巧思，吸引大票網友觀看。,,0
ettoday,米砂10萬徵高顏值AV男優！　點名要「炎亞綸等級」真的釣出本尊了,https://www.ettoday.net/news/20211129/2134726.htm?from=pctaglist,2021-11-29 21:49,YouTuber米砂（Misa）不只常拍攝突破尺度的性感照，近年還擔任AV監製，投入百萬成本製作的AV版《魷魚遊戲》，掀起極高討論度，再創事業巔峰，更透露之後想要拍攝有關偶像劇的成人版影片，近日高調在社群網站上應徵高顏值的AV男優，並開出幾個條件，同時要求帥氣程度大概要像男星炎亞綸，讓對方一看忍不住回應，引起熱議。,,0
ettoday,特斯拉買不到2周「曝唯一不習慣」：有點抖 米砂罕見公開月開銷！,https://www.ettoday.net/news/20211129/2134057.htm?from=pctaglist,2021-11-29 09:55,YouTuber米砂近年跨足AV界擔任監製，日前推出以韓劇《魷魚遊戲》為靈感的成人版本叫好又叫座，再創事業巔峰，最近被問到自製AV作品的上市時間，她透露目前從找演員、編排、攝影到剪輯都是自己包辦，想至少拍完20部才公開，「預計12月中發佈！」,,0
