Source,Title,Link,Date,Summary,Text,Like
ettoday,Ella猛誇20歲混血型男　搭檔李玉璽吃醋「衣服手卡都給他」,https://www.ettoday.net/news/20210226/1927208.htm?from=pctaglist,2021-02-26 18:01,Ella與李玉璽主持衛視中文台選秀節目，進行一場30、40、50世代人妻大對決，由藝人余皓然帶著78歲媽媽與兒子韓靖，對抗人妻杜立妍以及加州烹飪學院畢業的張瑋玲2家族。張瑋玲帶著混血兒子張家維一起參賽。,,0
ettoday,李玉璽超臭臭豆腐錄影　曾國城一吃停不下手狂嗑,https://www.ettoday.net/news/20210110/1895519.htm?from=pctaglist,2021-01-10 14:37,李玉璽近日接下衛視中文台料理節目主持棒，為了宣傳上《一袋女王》錄影，當天更帶來媽媽親手烹煮的麻辣蒸臭豆腐，這道媽媽的料理被他形容「我媽真的很臭」，但現場大家一吃果然驚為天人，曾國城好吃到說：「幫我問候你媽媽」。,,0
ettoday,Ella高雄跨年台下0人「唱給神明聽」求保庇嗨喊：大家一起唱！,https://www.ettoday.net/news/20210103/1890526.htm?from=pctaglist,2021-01-03 16:00,陳嘉樺（Ella）、李玉璽、鍾欣凌、索艾克與陳力榮今（3日）進棚錄衛視中文台選秀節目，Ella透露：「大家離我遠一點，我感冒！會傳染的那種感冒。」因為需要主持，無法全程佩戴口罩，Ella近日被勁寶傳染感冒，「我被兒子傳染，是因為他太愛跟我親嘴了，小朋友常感染病毒，又拒絕不了他的深情一吻，我就感冒了。」,,0
ettoday,Ella「需要幫忙嗎」救援李玉璽　霸氣代答女友私下互動：下一題！,https://www.ettoday.net/news/20201206/1870466.htm?from=pctaglist,2020-12-06 15:30,陳嘉樺（Ella）、李玉璽（Dino）搭檔主持衛視中文台選秀節目，今（6日）舉辦首播發佈記者會，許久未主持節目的Ella，再次踏進20年前參加《電視大國民》選秀攝影棚，直呼：「緣分很神奇，我印象中棚沒有這麼冷！」之後S.H.E是否有機會節目合體？Ella笑說：「她們應該不會煮，初選就進不來了。」,,0
ettoday,上美食節目東西難吃到說不出話來　鍾欣凌2字讚美味料理,https://www.ettoday.net/news/20201120/1858908.htm?from=pctaglist,2020-11-20 12:40,Ella（陳嘉樺）搭檔李玉璽主持衛視中文台《鴻門家宴》，即將在12月19日晚上8點首播，日前進棚錄影請來「最紅婆婆」鍾欣凌、「料理達人」索艾克、「金牌掌櫃」陳力榮等A咖評審陣容，三人共同擔任嚴格把關的評審團。,,0
ettoday,媽媽驚喜現身：這不是夢　范少勳「定格8秒」後哭了,https://www.ettoday.net/news/20200409/1687399.htm?from=pctaglist,2020-04-09 12:06,公視實境節目《阮三个》第二季本週迎接親子團客，民宿化身幼兒園，製作單位特地安排范少勳母親秘密來訪，就連楊貴媚事前也完全不知情。范少勳一看到媽媽現身當場定格8秒隨即上前擁抱，溫馨畫面讓在場所有人都十分感動！,,0
ettoday,小學生拿著餐盒不吃　楊貴媚一聽原因「留給家人」哭了,https://www.ettoday.net/news/20200402/1682619.htm?from=pctaglist,2020-04-02 13:14,公視新創實境節目《阮三个2》最新一集民宿迎來電影《下半場》球員們大集合，身兼電影主角與民宿小幫手的范少勳，這回也做起自己的「主場」，扛起「學長」的身分帶領學弟們到偏鄉國小教導孩子們打籃球，民宿主人楊貴媚聽到小朋友的孝心舉動更是令她當場哽咽。,,0
ettoday,師哥來了！許光漢張軒睿轉職婚顧降臨《阮三个2》,https://www.ettoday.net/news/20200330/1674693.htm?from=pctaglist,2020-03-30 15:00,國民老公許光漢來了！前任小幫手張軒睿揮別阮三个民宿小幫手一職，在第二季帶著好兄弟許光漢、章廣辰照樣回歸民宿，三兄弟還一起捧場同志婚禮、當起外場招待，引老闆娘楊貴媚直呼要開婚顧公司。,,0
ettoday,范少勳錄影「削手」濺血　反安撫大家：只是一塊皮,https://www.ettoday.net/news/20200312/1666289.htm?from=pctaglist,2020-03-12 19:10,公視實境節目《阮三个》全新第二季，將在本週五播出第二集。首次擔任實境節目主持人的范少勳，貼心主動的表現深受夥伴楊貴媚與索艾克肯定，收看完節目第一集的觀眾也紛紛給予高度的讚許，網路上留言「看到他的表現就被圈粉了」！,,0
ettoday,niko and...攜手舒康雞推出「醉心醉雞麵包」　肉量驚人微醺感超幸福,https://www.ettoday.net/news/20200304/1659711.htm?from=pctaglist,2020-03-04 19:35,日本生活雜貨複合型態品牌「niko and...」店內除了販售流行設計服飾之外，也有許多可愛的質感生活雜貨，三明治系列與飲品部分也相當受到民眾喜愛，這次與台灣優質產銷履歷雞肉品牌「舒康雞」攜手推出「醉心醉雞麵包：甜醺花椒口味」，適合春天的清爽口味搭配滿滿的微醺醉雞肉片，極富層次的口感一定要來嚐鮮！,,0
ettoday,錄實境節目《阮三个》　范少勳「1個月胖8公斤」,https://www.ettoday.net/news/20200303/1658801.htm?from=pctaglist,2020-03-03 17:43,公視慢活實境節目《阮三个》推出全新第二季，主持人楊貴媚、索艾克與范少勳今（3日）出席上檔記者會。節目延續第一季節目調性，透過民宿經營，忠實呈現與當地人之間的真誠互動，不僅楊貴媚成功挑戰人生的第一次跳水，小鮮肉范少勳更在短短1個月內胖了8公斤！,,0
ettoday,楊貴媚《阮三个》辦同志婚禮...找來王小棣見證！　鄭宜農現身曝感情狀態,https://www.ettoday.net/news/20191008/1552724.htm?from=pctaglist,2019-10-08 13:45,楊貴媚和索艾克，帶著本季新加入的小幫手范少勳主持公視實境節目《阮三个》，到苗栗大湖民宿體驗經營民宿，剛好民宿舉辦同志婚禮，3位主持人為表達支持，合力邀請導演王小棣老師、鄭宜農、黃裕翔、連俞涵、吳子霏一起參與，替新人獻上最難忘的祝福。,,0
