Source,Title,Link,Date,Summary,Text,Like,id
Dcard,中原資工實況主-黃巨巨,https://www.dcard.tw/service/api/v2/posts/237724739,2021-12-21T15:54:58.614Z,,,15,237724739
Dcard,#搞笑 有機會看到神之子晨晨跟老爸同台嗎,https://www.dcard.tw/service/api/v2/posts/237705692,2021-12-19T07:28:01.01Z,,,20,237705692
Dcard,統神逛博物館，慘遭蛇女噴大,https://www.dcard.tw/service/api/v2/posts/237705255,2021-12-19T06:08:19.237Z,,,689,237705255
Dcard,Overqualified？博士畢業在歐洲業界找工作的「五個秘訣」,https://www.dcard.tw/service/api/v2/posts/237699738,2021-12-18T10:00:56.972Z,,,1,237699738
Dcard,到底誰才是YouTube 界的晨晨,https://www.dcard.tw/service/api/v2/posts/237697234,2021-12-18T02:40:33.539Z,,,175,237697234
Dcard,#搞笑 統神打籃球,https://www.dcard.tw/service/api/v2/posts/237685668,2021-12-16T11:16:01.735Z,,,9,237685668
Dcard,the 學,https://www.dcard.tw/service/api/v2/posts/237664081,2021-12-13T16:17:56.8Z,,,0,237664081
Dcard,統神全家福外流,https://www.dcard.tw/service/api/v2/posts/237650826,2021-12-12T00:04:44.257Z,,,296,237650826
Dcard,被問了八百萬遍的東西方入門書單,https://www.dcard.tw/service/api/v2/posts/237644464,2021-12-10T21:13:43.854Z,,,58,237644464
Dcard,不死鳥的祝福,https://www.dcard.tw/service/api/v2/posts/237640143,2021-12-10T08:40:39.642Z,,,1,237640143
Dcard,攻城獅、獵鷹下週表演嘉賓,https://www.dcard.tw/service/api/v2/posts/237630869,2021-12-09T04:12:26.201Z,,,16,237630869
Dcard,#搞笑 邀請統神推廣反毒🤣 太神啦緝毒犬,https://www.dcard.tw/service/api/v2/posts/237589782,2021-12-03T07:48:07.702Z,,,10,237589782
Dcard,統神受邀擔任反毒大使,https://www.dcard.tw/service/api/v2/posts/237587228,2021-12-02T22:55:45.832Z,,,32,237587228
Dcard,中原人才滿天下,https://www.dcard.tw/service/api/v2/posts/237586280,2021-12-02T16:40:18.314Z,,,69,237586280
Dcard,我真的是個超級邊緣人,https://www.dcard.tw/service/api/v2/posts/237578271,2021-12-01T15:29:30.243Z,,,2,237578271
Dcard,統神又神預言toyz了= =,https://www.dcard.tw/service/api/v2/posts/237572044,2021-11-30T20:12:56.539Z,,,367,237572044
Dcard,台灣YouTuber是不是都很利益眼啊,https://www.dcard.tw/service/api/v2/posts/237540819,2021-11-26T12:56:58.059Z,,,0,237540819
Dcard,《激鬥校園》秋季總決賽週六開打　高雄展覽館火熱登場,https://www.dcard.tw/service/api/v2/posts/237524719,2021-11-24T10:48:20.514Z,,,3,237524719
Dcard,情侶正常互動還是情緒勒索？,https://www.dcard.tw/service/api/v2/posts/237486290,2021-11-19T05:49:05.497Z,,,3,237486290
Dcard,其實統神兒子的英文不錯欸,https://www.dcard.tw/service/api/v2/posts/237472861,2021-11-17T11:41:07.252Z,,,42,237472861
Dcard,走鐘獎統神怎麼沒去,https://www.dcard.tw/service/api/v2/posts/237461787,2021-11-16T03:56:50.285Z,,,212,237461787
Dcard,#搞笑 統神也要拓展多重宇宙了?!,https://www.dcard.tw/service/api/v2/posts/237453901,2021-11-15T03:58:10.845Z,,,28,237453901
Dcard,"所以當初國棟統神,確切是怎麼紅的",https://www.dcard.tw/service/api/v2/posts/237441682,2021-11-13T08:38:02.918Z,,,10,237441682
Dcard,神的信徒,https://www.dcard.tw/service/api/v2/posts/237435986,2021-11-12T11:23:09.517Z,,,11,237435986
Dcard,#分享 統神根本男人典範了吧,https://www.dcard.tw/service/api/v2/posts/237434985,2021-11-12T08:53:05.846Z,,,41,237434985
Dcard,關於蕾拉親統神事件的一些個人看法,https://www.dcard.tw/service/api/v2/posts/237434151,2021-11-12T06:54:50.967Z,,,11,237434151
Dcard,蕾拉感覺好隨便⋯⋯到底紅什麼？,https://www.dcard.tw/service/api/v2/posts/237431049,2021-11-11T16:48:39.889Z,,,2028,237431049
Dcard,倒讚幫被迫解散 統神又贏了！,https://www.dcard.tw/service/api/v2/posts/237427486,2021-11-11T08:51:37.753Z,,,398,237427486
Dcard,統神：用豬油吸的啦,https://www.dcard.tw/service/api/v2/posts/237419703,2021-11-10T08:54:48.257Z,,,1,237419703
Dcard,為何統神被蕾菈親 卻不為所動？,https://www.dcard.tw/service/api/v2/posts/237416668,2021-11-09T23:40:32.941Z,,,1778,237416668
Dcard,統神不敗的原因,https://www.dcard.tw/service/api/v2/posts/237402970,2021-11-08T06:01:29.737Z,,,181,237402970
Dcard,#閒聊 2021 Dcard追星板 年末大賞 得獎名單,https://www.dcard.tw/service/api/v2/posts/237383334,2021-11-05T09:25:07.1Z,,,1095,237383334
Dcard,丁特打輸統神...,https://www.dcard.tw/service/api/v2/posts/237383210,2021-11-05T09:11:23.52Z,,,1,237383210
Dcard,統神最近很活躍欸,https://www.dcard.tw/service/api/v2/posts/237381255,2021-11-05T04:20:25.204Z,,,269,237381255
Dcard,#嗨賴 張家夫妻和芷婷同台演出合唱屋頂,https://www.dcard.tw/service/api/v2/posts/237381061,2021-11-05T03:51:10.594Z,,,47,237381061
Dcard,紳士痞子是不是台灣 YT 圈顏值的最後一道防線？,https://www.dcard.tw/service/api/v2/posts/237376796,2021-11-04T12:18:08.721Z,,,80,237376796
Dcard,統神幫VT 講話,https://www.dcard.tw/service/api/v2/posts/237366884,2021-11-03T06:21:22.864Z,,,2,237366884
Dcard,#閒聊 自信是好事嗎？（蕭粉文長慎入）,https://www.dcard.tw/service/api/v2/posts/237353783,2021-11-01T10:38:32.859Z,,,54,237353783
Dcard,「神不在的小鎮」觀後感~兩廳院首部5G劇作,https://www.dcard.tw/service/api/v2/posts/237348245,2021-10-31T14:28:54.778Z,,,15,237348245
Dcard,這個遊戲要在台灣紅是不是就差一個有名的實況主了,https://www.dcard.tw/service/api/v2/posts/237314129,2021-10-26T18:06:50.869Z,,,9,237314129
Dcard,作弊抓不勝抓的原因,https://www.dcard.tw/service/api/v2/posts/237313825,2021-10-26T17:10:58.168Z,,,44,237313825
Dcard,#討論 新的替身使者,https://www.dcard.tw/service/api/v2/posts/237309855,2021-10-26T08:16:20.764Z,,,2,237309855
Dcard,…鄉民真的很誠實,https://www.dcard.tw/service/api/v2/posts/237307302,2021-10-26T01:15:32.122Z,,,9,237307302
Dcard,#閒聊 #男人友情的遊戲 #三國志戰略版,https://www.dcard.tw/service/api/v2/posts/237306109,2021-10-25T16:41:21.082Z,,,1,237306109
Dcard,老蕭與統神對錯分析,https://www.dcard.tw/service/api/v2/posts/237305794,2021-10-25T16:03:26.907Z,,,2,237305794
Dcard,#討論 聽說跟統神正面對槓的人都下去了,https://www.dcard.tw/service/api/v2/posts/237301860,2021-10-25T06:50:08.062Z,,,39,237301860
Dcard,反正我很閒 都沒賺什麼錢的感覺,https://www.dcard.tw/service/api/v2/posts/237281218,2021-10-22T08:12:45.608Z,,,622,237281218
Dcard,根本不可能有正妹喜歡肥胖的男人 有錢也不可能,https://www.dcard.tw/service/api/v2/posts/237269428,2021-10-20T15:32:39.682Z,,,12,237269428
Dcard,deepfake二次創作與妨礙名譽,https://www.dcard.tw/service/api/v2/posts/237256164,2021-10-19T00:43:01.76Z,,,4,237256164
Dcard,小玉事件個人看法,https://www.dcard.tw/service/api/v2/posts/237253962,2021-10-18T14:26:26.271Z,,,48,237253962
Dcard,統神回圖奇啦!,https://www.dcard.tw/service/api/v2/posts/237252291,2021-10-18T10:38:01.747Z,,,3,237252291
Dcard,複習一下2021事件,https://www.dcard.tw/service/api/v2/posts/237251281,2021-10-18T07:54:49.266Z,,,464,237251281
Dcard,LOL的職業選手有出名的兄弟檔嗎？,https://www.dcard.tw/service/api/v2/posts/237236416,2021-10-16T06:26:09.639Z,,,1,237236416
Dcard,借文回一下台灣實況主的相關討論,https://www.dcard.tw/service/api/v2/posts/237234998,2021-10-16T01:51:18.411Z,,,0,237234998
Dcard,曾經的三個世界冠軍...實況主,https://www.dcard.tw/service/api/v2/posts/237234548,2021-10-15T20:56:55.312Z,,,1425,237234548
Dcard,賴皮豬出沒輔大！？,https://www.dcard.tw/service/api/v2/posts/237220704,2021-10-14T04:19:00.891Z,,,211,237220704
Dcard,炎上的炎上(更),https://www.dcard.tw/service/api/v2/posts/237193670,2021-10-10T11:22:34.154Z,,,786,237193670
Dcard,炎上番外篇-Part2,https://www.dcard.tw/service/api/v2/posts/237193070,2021-10-10T09:38:01.712Z,,,4,237193070
Dcard,＃分享 火影忍者與遊戲王 統神國動大戰Toyz,https://www.dcard.tw/service/api/v2/posts/237192821,2021-10-10T08:51:28.183Z,,,3,237192821
Dcard,BYG BO5,https://www.dcard.tw/service/api/v2/posts/237187472,2021-10-09T12:23:23.278Z,,,5,237187472
Dcard,統神真的是看過劇本的男人,https://www.dcard.tw/service/api/v2/posts/237184097,2021-10-09T02:00:32.292Z,,,192,237184097
Dcard,統神電競不死鳥的稱號是不是越來越穩了,https://www.dcard.tw/service/api/v2/posts/237183576,2021-10-08T20:18:07.563Z,,,19,237183576
Dcard,關於龍龍,https://www.dcard.tw/service/api/v2/posts/237181061,2021-10-08T13:23:49.956Z,,,5,237181061
Dcard,椅子這樣不就跟統神差不多ㄇ？,https://www.dcard.tw/service/api/v2/posts/237171854,2021-10-07T11:05:26.152Z,,,1,237171854
Dcard,博恩適可而止，善良是一種選擇,https://www.dcard.tw/service/api/v2/posts/237169051,2021-10-07T04:41:03.064Z,,,358,237169051
Dcard,老實說看toyz這樣有點難過,https://www.dcard.tw/service/api/v2/posts/237165738,2021-10-06T15:41:01.858Z,,,164,237165738
Dcard,覺得勾惡很不尊重統神,https://www.dcard.tw/service/api/v2/posts/237162717,2021-10-06T09:10:41.382Z,,,16,237162717
Dcard,統神不想端火鍋,https://www.dcard.tw/service/api/v2/posts/237160994,2021-10-06T05:06:23.446Z,,,31,237160994
Dcard,臉書大當機是因為『嗜血現世報？』,https://www.dcard.tw/service/api/v2/posts/237157122,2021-10-05T14:34:21.897Z,,,5,237157122
Dcard,選老師,https://www.dcard.tw/service/api/v2/posts/237154424,2021-10-05T09:03:47.64Z,,,7,237154424
Dcard,請問我可以領1450嗎？,https://www.dcard.tw/service/api/v2/posts/237151359,2021-10-05T02:29:40.772Z,,,1,237151359
Dcard,Toyz與藥腳對話曝光！　驚爆「黑吃黑」始末,https://www.dcard.tw/service/api/v2/posts/237150753,2021-10-05T00:33:38.463Z,,,1055,237150753
Dcard,#分享 Fourdesire使用者交流會,https://www.dcard.tw/service/api/v2/posts/237145240,2021-10-04T08:50:53.23Z,,,4,237145240
Dcard,很難懂老k跟龍龍的風向嗎,https://www.dcard.tw/service/api/v2/posts/237144578,2021-10-04T07:24:48.4Z,,,24,237144578
Dcard,一路走來統椅的愛恨情仇史,https://www.dcard.tw/service/api/v2/posts/237143779,2021-10-04T05:38:33.771Z,,,29,237143779
Dcard,雙標起來你各位,https://www.dcard.tw/service/api/v2/posts/237141202,2021-10-03T17:47:51.575Z,,,0,237141202
Dcard,賀瓏才是孔明,https://www.dcard.tw/service/api/v2/posts/237139588,2021-10-03T14:26:23.036Z,,,21,237139588
Dcard,反毒講座,https://www.dcard.tw/service/api/v2/posts/237138846,2021-10-03T12:53:20.08Z,,,5,237138846
Dcard,這一次的事件就看得出統神其實很有義氣,https://www.dcard.tw/service/api/v2/posts/237137860,2021-10-03T10:31:36.096Z,,,5,237137860
Dcard,龍龍老K霸凌事件簿（轉）,https://www.dcard.tw/service/api/v2/posts/237137775,2021-10-03T10:18:18.891Z,,,76,237137775
Dcard,老K該道歉了吧,https://www.dcard.tw/service/api/v2/posts/237136903,2021-10-03T08:00:02.778Z,,,4,237136903
Dcard,#搞笑 矮子乎麻娃娃,https://www.dcard.tw/service/api/v2/posts/237136712,2021-10-03T07:30:12.525Z,,,5,237136712
Dcard,YT 大亂鬥,https://www.dcard.tw/service/api/v2/posts/237136310,2021-10-03T06:27:43.854Z,,,4,237136310
Dcard,雙標龍龍自助餐懶人包,https://www.dcard.tw/service/api/v2/posts/237135605,2021-10-03T04:43:25.819Z,,,12,237135605
Dcard,你不高興你要先講欸,https://www.dcard.tw/service/api/v2/posts/237133095,2021-10-02T16:32:11.657Z,,,5,237133095
Dcard,其實統神很暖吧,https://www.dcard.tw/service/api/v2/posts/237130630,2021-10-02T10:54:01.838Z,,,12,237130630
Dcard,炎上的炎上外傳＆天涯明月刀外傳,https://www.dcard.tw/service/api/v2/posts/237125660,2021-10-01T15:54:42.869Z,,,4,237125660
Dcard,統神神預言🤣,https://www.dcard.tw/service/api/v2/posts/237121418,2021-10-01T06:25:18.532Z,,,6,237121418
Dcard,LOL七宗罪,https://www.dcard.tw/service/api/v2/posts/237112562,2021-09-30T05:55:40.51Z,,,273,237112562
Dcard,統粉集結,https://www.dcard.tw/service/api/v2/posts/237111279,2021-09-30T03:06:01.716Z,,,14,237111279
Dcard,《Toyz販毒事件》網友提告,https://www.dcard.tw/service/api/v2/posts/237111119,2021-09-30T02:41:29.03Z,,,32,237111119
Dcard,重新探討toyz改名事件,https://www.dcard.tw/service/api/v2/posts/237110975,2021-09-30T02:21:44.552Z,,,12,237110975
Dcard,Toyz跟統神的形象,https://www.dcard.tw/service/api/v2/posts/237110325,2021-09-29T23:42:08.63Z,,,19,237110325
Dcard,麻椅,https://www.dcard.tw/service/api/v2/posts/237110038,2021-09-29T19:30:54.961Z,,,12,237110038
Dcard,統神是不是天選之人啊?,https://www.dcard.tw/service/api/v2/posts/237109063,2021-09-29T16:22:19.691Z,,,2,237109063
Dcard,統神大哥沒有輸😡,https://www.dcard.tw/service/api/v2/posts/237108524,2021-09-29T15:30:11.535Z,,,25,237108524
Dcard,中路大麻野獸？真假？,https://www.dcard.tw/service/api/v2/posts/237107842,2021-09-29T14:38:54.128Z,,,4,237107842
Dcard,#討論  Toyz涉嫌販毒重罪遭聲押,https://www.dcard.tw/service/api/v2/posts/237107539,2021-09-29T14:13:16.102Z,,,11,237107539
Dcard,椅毒不回,https://www.dcard.tw/service/api/v2/posts/237107494,2021-09-29T14:09:07.351Z,,,10,237107494
