Source,Title,Link,Date,Summary,Text,Like
ettoday,YT點閱雪崩式下滑！聖結石飛捷克「錢哪來的」 網揭2關鍵：蠻有料,https://www.ettoday.net/news/20211105/2117615.htm,2021-11-05 17:55,YouTuber聖結石（曾聖傑）日前發文坦言，目前決定在明年初出發旅居捷克一年，現在已在辦簽證。消息傳出後，引來網友好奇，聖結石後期的影片觀看次數大不如前，怎麼還有錢出國？錢從哪來的？貼文曝光後，底下網友就從聖結石之前發布的影片找尋蛛絲馬跡，推測出2大可能性。(財經 / 2021-11-05 17:55),,0
ettoday,擁槍自重棍棒痛毆被害人 3縣市檢警聯合打擊惡勢力,https://www.ettoday.net/news/20180504/1163148.htm,2018-05-04 18:10,刑大偵二隊為淨化年底選舉治安，與士林、基隆及雲林三地地檢署、市警局合作組成專案小組，共同掃除地方惡勢力，查獲天道盟太陽會、北聯幫北山堂及雲林地區不良組合，對這些犯罪組織成員拘提到案，責送該區地檢署視犯罪事實予以羈押。(社會 / 2018-05-04 18:10),,0
ettoday,「聖結石有打電話跟我道歉了」 梁絲繐驚訝po文：他變了…,https://www.ettoday.net/news/20170718/969515.htm,2017-07-18 18:40,小模梁思惠（梁絲繐）日前在網路紅人聖結石直播道歉鞠躬後，15日曾發文提到，「如果妳男朋友在還跟妳在一起的時候就跑夜店認識了一個女生」，不禁讓外界猜測，她的假設就是在說前男友聖結石。不過她18日下午5點po文表示「這幾天聖傑有打電話給我跟我道歉了」覺得他變了，也特地發文給予祝福。(生活 / 2017-07-18 18:40),,0
ettoday,這群人董仔澎湖海邊脫了！ 裸身「狂甩奶罩」網暴動,https://www.ettoday.net/news/20170613/944388.htm,2017-06-13 19:18,「這群人」經常拍攝KUSO影片，在YouTube上擁有近百萬粉絲，每位班底都吸引不少支持者。其中，董仔日前和「展榮展瑞」一起，現身澎湖旅遊放鬆，陸續曬出一系列美照，其中一張在海邊脫下奶罩的畫面，瞬間讓網友鼻血直流、暴動狂喊太犯規啦！(影劇 / 2017-06-13 19:18),,0
ettoday,理科太太首鬆口曝離婚主因！找「婚姻諮商」也失敗 認：解決不了,https://www.ettoday.net/news/20211124/2130410.htm,2021-11-24 07:01,「嗨，大家今天過得好嗎？」擁有百萬訂閱的知名YouTuber理科太太，接受本刊獨家專訪，除了暢聊自資加上募資成立的「好好生醫」與未來工作計畫外，更首度吐露選擇結束和理科先生（John）5年婚姻的主要原因，也自曝將趕在34歲的最後黃金時期，花六位數金額凍卵，「以後隨時想生都可以。」(影劇 / 2021-11-24 07:01),,0
ettoday,YT點閱雪崩式下滑！聖結石飛捷克「錢哪來的」 網揭2關鍵：蠻有料,https://www.ettoday.net/news/20211105/2117615.htm,2021-11-05 17:55,YouTuber聖結石（曾聖傑）日前發文坦言，目前決定在明年初出發旅居捷克一年，現在已在辦簽證。消息傳出後，引來網友好奇，聖結石後期的影片觀看次數大不如前，怎麼還有錢出國？錢從哪來的？貼文曝光後，底下網友就從聖結石之前發布的影片找尋蛛絲馬跡，推測出2大可能性。(財經 / 2021-11-05 17:55),,0
ettoday,男星爆肥體重近百…穿襪子「彎腰被肚肉卡住」！ 親吐背後主因,https://www.ettoday.net/news/20211103/2116019.htm,2021-11-03 21:51,藝人阿龐先前接下減肥代言，成功瘦出傲人腹肌，沒想到近日配合節目出外景，意外曝光爆肥模樣，坦言1年內胖了32公斤，體重快要破百，正在積極健身中。他日前接受媒體採訪，表示變胖後穿衣服都成問題，彎腰就被肚子卡住，並透露了發福的主因。(影劇 / 2021-11-03 21:51),,0
ettoday,聖結石辦「特殊簽證」搬離台灣！ 宣布旅居捷克…出國原因曝光,https://www.ettoday.net/news/20211103/2116008.htm,2021-11-03 20:57,YouTuber聖結石活躍於網路，除了拍影片之外還推出個人潮牌，然而2個月前突然宣布結束經營，令粉絲好奇是否有新的規劃。他近日發文坦言正在計劃搬到國外，想趁著還沒有小孩之前，帶著老婆到外國去看看，只不過現在正值疫情期間，也讓不少網友好奇是否以工作簽證出國，對此他也親自揭曉答案，引起熱議。(影劇 / 2021-11-03 20:57),,0
ettoday,理科太太2年前認「曾想過跟老公離婚」！ 失控原因曝：他會傻眼,https://www.ettoday.net/news/20211103/2115496.htm,2021-11-03 12:33,百萬YouTuber理科太太在2018年的YouTuber界殺出一條血路，短短87天內就火速竄紅，不過被週刊爆料，一家三口台、美兩地分離近1年，已經和理科先生John展開離婚訴訟，正進行財產分配的調解程序。其實在2019年時，理科太太就透露，「曾想過要跟老公離婚」，當時正經歷產後憂鬱，才萌生此念頭。(生活 / 2021-11-03 12:33),,0
ettoday,男偶像爆「假戲真做」大7歲女星 「第三者」問：我不配有姓名嗎,https://www.ettoday.net/news/20211102/2115144.htm,2021-11-02 20:48,大陸偶像畢雯珺是男團「NEX7」的成員，2018年因參加選秀節目《偶像練習生》獲得大票人氣，微博擁有超過千萬名粉絲關注。他2日被狗仔爆出與大7歲的女演員李一桐私下約會，掀起網友熱議，不過也同時釣出「第三者」直呼：「我不理解！」反轉結果引粉絲爆笑。(影劇 / 2021-11-02 20:48),,0
ettoday,聖結石預告明年初搬到國外！已在辦簽證 為老婆完成「夢想清單」,https://www.ettoday.net/news/20211102/2115101.htm,2021-11-02 18:53,YouTuber聖結石活躍於網路，除了拍影片之外還推出個人潮牌，然而2個月前突然宣布結束經營，令粉絲好奇是否有新的規劃。他近日發文坦言正在計劃搬到國外，想趁著還沒有小孩之前，帶著老婆到外國去看看，實現以前就放在心裡的夢想！(影劇 / 2021-11-02 18:53),,0
ettoday,聖結石「客廳全裸」淪陷了！老婆當場抓包：你跟我結婚只是障眼法,https://www.ettoday.net/news/20211028/2111045.htm,2021-10-28 09:35,YouTuber聖結石在2016年跟老婆嘟嘟結婚，雖然婚前只交往短短1個月，但感情恩愛穩定，夫妻互動往往令粉絲稱羨。他最近看起動畫，沒想到劇情是BL，更被老婆撞見這一幕！(影劇 / 2021-10-28 09:35),,0
ettoday,小玉道德淪喪！YouTuber網紅圈震怒 魚乾受害還被落井下石：垃圾,https://www.ettoday.net/news/20211018/2103943.htm,2021-10-18 15:24,小玉（朱玉宸）和笑笑（耶女）因製作「換臉謎片」牟利遭警方逮捕，龍龍、魚乾、白癡公主、蕾菈等人都曾被換過，受害女性多達上百位。魚乾氣得直罵「垃圾」外也飆髒話痛批酸民，雪碧也直說：「小玉太道德淪喪了！」(影劇 / 2021-10-18 15:24),,0
ettoday,聖嫂嘟嘟「冰箱上貼出超音波照」！ 聖結石激動找寶寶…大反轉傻眼,https://www.ettoday.net/news/20210915/2080517.htm,2021-09-15 22:00,YouTuber聖結石在2016年跟老婆嘟嘟結婚，雖然婚前只交往短短1個月，但感情恩愛穩定，夫妻互動往往令粉絲稱羨。他15日PO文透露，在自家冰箱上看到一張超音波照，激動地當成是老婆給的驚喜，當下百感交集、開心地在照片上尋找寶寶身影，誰料最後才發現根本會錯意啦！(影劇 / 2021-09-15 22:00),,0
