Source,Title,Link,Date,Summary,Text,Like
PTT,[問卦] 曾聖傑當年有多紅,https://www.ptt.cc/bbs/Gossiping/M.1618249598.A.33A.html,2021-04-13 01:46:36,,台灣最速百萬訂閱Youtuber推出好幾首膾炙人口的歌曲安儷、根本就不會再見面、真的不想嘴吸引眾多18-34歲粉絲還上過台視的紅白節目曾聖傑當年到底有多紅？--,2
PTT,[問卦] 這樣看來，聖結石是不是真的是清流？,https://www.ptt.cc/bbs/Gossiping/M.1634568709.A.880.html,2021-10-18 22:51:44,,受到中二歡迎的網紅接二連三的入獄了這些中二當初因為自己中二病，也讓有中二病的中二喜歡結果最後做了超過中二的事情被抓入獄相較之下，當初也是中二霸主網紅的聖結石相比之下是不是真的是清流？--,
PTT,[問卦] 聖結石又要出來道歉了嗎？,https://www.ptt.cc/bbs/Gossiping/M.1634733820.A.453.html,2021-10-20 20:43:38,,記得前幾天換臉事件剛爆出來的時候有個人大聲高呼「你們這對」垃圾結果現在女方不但被請回也發文切割了讓人想到Bang哥之前也在前女友被誣陷殺人的時候落井下石結果事後檢調也還了女方一個清白有沒有聖結石誣陷別人不打算道歉的八卦啊？--,
PTT,[問卦] 聖結石為什麼當初在版上那麼黑？,https://www.ptt.cc/bbs/Gossiping/M.1634165223.A.A78.html,2021-10-14 06:47:01,,剛剛yt跑出聖結石的影片想到以前的聖火玉尊不過說真的聖結石除了受眾年紀比較小也沒有像小玉那麼白目本身也沒鬧出什麼大新聞就是個YT卻變成當初冷嘲熱諷的對象為什麼當聖結石可以那麼黑八卦？--,7
PTT,[問卦] 大家好我是聖結石BANG 怎麼過氣的？,https://www.ptt.cc/bbs/Gossiping/M.1631457875.A.C0D.html,2021-09-12 22:44:33,,當年紅最快的YOUTUBE好像是最速一百萬訂閱的男人粉絲組成幾乎都是國小小朋友後來還出單曲這樣的人後來怎麼快速殞落的?--,5
PTT,[問卦] 聖結石玩幣 放火仙人跳 小玉換臉A片,https://www.ptt.cc/bbs/Gossiping/M.1634535650.A.99A.html,2021-10-18 13:40:48,,曾經的yt三巨頭18-34歲小學生的的童年偶像短短兩三年可能賺的比不少人半輩子多結果一個跑去當虛擬幣大師講一堆大家都知道的東西點閱變超可憐過氣到不能過氣一個長的帥出名生涯卻毀在仙人跳而如今小玉看似急流勇退明明身懷巨款卻搞偷人臉合成A片非法賺錢方式真的是貴圈真亂這是不是證明少年得志大不幸果然還是我們大bang哥有點年紀沉得住氣少年ytr是不是很多都容易出一些狀況守不住財富啊八卦？--,6
PTT,[問卦] 聖結石淪落到當天峰小弟??,https://www.ptt.cc/bbs/Gossiping/M.1633958107.A.953.html,2021-10-11 21:15:04,,影片右邊那個長得有點像聖結石標題也是打聖結石...真的假的啊...淪落去當領殘障手冊的天峰小弟??我有沒有看錯阿在過氣也不該淪落成這樣畢竟真的有紅過天峰嗎..跳咖啡牛奶最紅--,
PTT,[新聞] 聖結石經營潮牌2年…突宣布「結束營業」,https://www.ptt.cc/bbs/Gossiping/M.1631194039.A.A21.html,2021-09-09 21:27:15,,1.媒體來源:ETToday2.記者署名:記者李湘文／綜合報導3.完整新聞標題:聖結石經營潮牌2年…突宣布「結束營業」！最後謝粉絲支持：很榮幸4.完整新聞內文:YouTuber聖結石在2019年斜槓推出個人潮牌「SAIN'T」，當時還為此拍了「一個品牌的誕生」系列紀錄影片，2年來得到不少忠實粉絲支持。誰料，他9日突然宣布品牌「結束營業」，並計畫用捐贈的方式將服飾清出，令粉絲錯愕大呼可惜。聖結石透過Instagram宣布停業消息：「SAIN'T結束營業了，謝謝大家以往的支持，很榮幸可以跟大家一同經歷這一切，這些過程學習到很多，我們也一起辦到了許多事。」他提及最近很多行業都在咬牙苦撐，「希望你們都能度過難關，衷心祝福你。」也祝福粉絲都健康平安。品牌官網目前已經關閉，聖結石在PO文中詢問網友是否知道適合捐贈青少年服飾的社福單位，似乎有意將剩下的服飾捐贈清出。不少忠實粉絲對停業一事感到錯愕，大呼「好可惜」、「好難過哦還在等待有什麼新品出」，但聖結石也安慰：「沒事的，來日方長～」並未將以後的發展說死。5.完整新聞連結(或短網址):6.備註:潮牌Bang不見到底是1.疫情影響2.過氣影響3.以上皆是哪一個?當初他的粉絲現在都要唸大學了呢看來他要在國小生中重新建立Bang哥哥形象了----,13
PTT,[問卦] 萬聖節扮演聖結石有創意嗎,https://www.ptt.cc/bbs/Gossiping/M.1635690568.A.707.html,2021-10-31 22:29:26,,Bang!聖結石到底現在用什麼賺錢為什麼他們夫妻感覺還是過很爽？我好想去當他們員工噢有這麼幸福的老闆Bang!--,1
PTT,[問卦] 聖結石過氣了嗎,https://www.ptt.cc/bbs/Gossiping/M.1635909333.A.669.html,2021-11-03 11:15:31,,他大概是油土伯裡面第一個享受演算法竄紅的人吧再來有小玉和理科太太（兩位最近都在法院呢題外話）曾經以雞腿bang當聞名水管的他如今貌似要去美國長居了有沒有賺飽的過氣油土伯要退休的八卦--那群人不知道現在有沒有後悔年幼5知,5
PTT,Re: [新聞] 掰了台灣！聖結石將帶老婆「搬到國外」,https://www.ptt.cc/bbs/Gossiping/M.1635910561.A.0E7.html,2021-11-03 11:35:59,,說真的我覺得他這次是真的發了但是又很怕講出來被黑道盯上只好逃去國外也許沒有他連載小說寫的150億那麼瓜張但我感覺至少有15億跑不掉而且他已經從炒幣跟美股轉型炒NFT了這個連NBA球員都在炒比幣更穩一點雖然都是數據垃圾但有人要買就是好商品--,
PTT,[問卦] 聖結石Saint 是不是新一代投資不敗教主？,https://www.ptt.cc/bbs/Gossiping/M.1621502374.A.4DD.html,2021-05-20 17:19:32,,昨晚投資圈最大條新聞莫過於比特幣單日慘崩30%！以太幣、狗狗幣也難倖免，幣圈為何突遭血洗？不做一周前看到聖結石拍一支影片推廣Pionex透過網格交易操作虛擬貨幣，因為虛擬貨幣震盪大，可以透過AI高頻交易替使用著累積財富，影片中不斷提到的昨天虛擬貨幣大逃殺一堆人去他粉絲業關心影片中他每天都在觀察他前一天晚上賺多少！沒想到聖結石已經全身而退了！真D神！有沒有台灣ElonMusk聖結石的八卦？--,3
PTT,[問卦] 聖結石移居捷克代表台捷友好嗎？,https://www.ptt.cc/bbs/Gossiping/M.1635913695.A.1AB.html,2021-11-03 12:28:13,,我好羨慕啊地大物博歐風人文氣息沒有機車瀑布海不用整天當地人體清淨機生活步調輕鬆沒有大內宣洗腦聖結石移居捷克是否代表台捷真的友好讓臺灣人也能享受那邊豐富的資源--,2
PTT,Re: [新聞] 掰了台灣！聖結石將帶老婆「搬到國外」 ,https://www.ptt.cc/bbs/Gossiping/M.1635914090.A.78E.html,2021-11-03 12:34:48,,他真的有賺這麼多嗎?不是跟理科太太一樣爆紅一陣而已現在YT都在講虛擬幣根本沒人看阿聖火玉尊之首賺一兩年就能退休移民了喔也太爽了吧那toyz是在幹嘛還去賣大麻--,5
