Source,Title,Link,Date,Summary,Text,Like,id
Dcard,#更 明天會更好 Youtuber cover,https://www.dcard.tw/service/api/v2/posts/233206074,2020-03-06T11:02:54.339Z,,,524,233206074
Dcard,同樣是遊戲改編歌曲...,https://www.dcard.tw/service/api/v2/posts/231258687,2019-05-10T04:02:45.618Z,,,13,231258687
Dcard,說認真的 聖結石Saint,https://www.dcard.tw/service/api/v2/posts/229484897,2018-08-22T12:26:45.112Z,,,146,229484897
Dcard,Bang~~!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,https://www.dcard.tw/service/api/v2/posts/228169711,2018-01-22T07:37:01.191Z,,,14,228169711
Dcard,室友是聖粉怎麼辦,https://www.dcard.tw/service/api/v2/posts/227559933,2017-10-26T14:54:48.062Z,,,28,227559933
Dcard,剩粉女鄰居Bang !!💣💣,https://www.dcard.tw/service/api/v2/posts/227503034,2017-10-18T15:45:29.586Z,,,6,227503034
Dcard,聖粉請進,https://www.dcard.tw/service/api/v2/posts/227496003,2017-10-17T16:29:03.263Z,,,0,227496003
Dcard,發麵包給街友的那一夜【聖結石Saint】-超有愛心的,https://www.dcard.tw/service/api/v2/posts/227452724,2017-10-11T18:02:31.448Z,,,8,227452724
Dcard,根本不能嘴!!!聖結石可是至聖先師孔子呢!!,https://www.dcard.tw/service/api/v2/posts/227065897,2017-08-23T12:12:25.987Z,,,137,227065897
Dcard,聖結石=孔子,https://www.dcard.tw/service/api/v2/posts/227062630,2017-08-23T03:53:32.058Z,,,34,227062630
Dcard,大家都追蹤哪些youtuber?,https://www.dcard.tw/service/api/v2/posts/226857749,2017-07-23T13:55:06.125Z,,,2,226857749
Dcard,#圖多 聖粉見面實況,https://www.dcard.tw/service/api/v2/posts/226813771,2017-07-16T08:34:06.639Z,,,2935,226813771
Dcard,真的不想嘴❤️,https://www.dcard.tw/service/api/v2/posts/226631356,2017-06-17T12:19:05.068Z,,,6,226631356
Dcard,聖結石&聖嫂DODO《真的不想嘴》,https://www.dcard.tw/service/api/v2/posts/226428765,2017-05-19T13:20:06.817Z,,,3796,226428765
Dcard,[分享]聖結石Saint---安儷,https://www.dcard.tw/service/api/v2/posts/226352810,2017-05-08T15:40:48.005Z,,,111,226352810
Dcard,台灣YouTuber是不是都很利益眼啊,https://www.dcard.tw/service/api/v2/posts/237540819,2021-11-26T12:56:58.059Z,,,0,237540819
Dcard,隨手做的梗圖被轉傳,https://www.dcard.tw/service/api/v2/posts/237484224,2021-11-18T20:27:05.193Z,,,1,237484224
Dcard,小玉懶人包，網紅們的進擊,https://www.dcard.tw/service/api/v2/posts/237255908,2021-10-18T22:02:32.985Z,,,1190,237255908
Dcard,D卡 yt版是不是都是酸民？,https://www.dcard.tw/service/api/v2/posts/237115655,2021-09-30T12:13:11.916Z,,,0,237115655
Dcard,邦迷 （改自聖結石-安儷）,https://www.dcard.tw/service/api/v2/posts/237018599,2021-09-19T15:13:46.43Z,,,6,237018599
Dcard,朋友推我做直銷,https://www.dcard.tw/service/api/v2/posts/236723666,2021-08-14T17:47:54.269Z,,,7,236723666
Dcard,*學術調查 請勿引戰 *國科院的學生多有錢,https://www.dcard.tw/service/api/v2/posts/236688881,2021-08-10T08:54:38.08Z,,,11,236688881
Dcard,愛看又愛罵,https://www.dcard.tw/service/api/v2/posts/236679535,2021-08-09T04:25:57.538Z,,,21,236679535
Dcard,D卡的年齡層《聖粉》化,https://www.dcard.tw/service/api/v2/posts/236522229,2021-07-19T08:17:54.533Z,,,25,236522229
Dcard,印象中被網爆過的YTR,https://www.dcard.tw/service/api/v2/posts/236510683,2021-07-17T16:50:32.285Z,,,66,236510683
Dcard,阿滴患憂鬱不要怕，Dcard can help,https://www.dcard.tw/service/api/v2/posts/236467340,2021-07-12T05:18:14.371Z,,,57,236467340
Dcard,忘了聖結石嗎？,https://www.dcard.tw/service/api/v2/posts/236462203,2021-07-11T11:27:23.562Z,,,266,236462203
Dcard,這些我完全不討厭的YouTuber,https://www.dcard.tw/service/api/v2/posts/236458095,2021-07-10T19:26:52.559Z,,,1513,236458095
Dcard,#真的不想嘴—前序(Diary),https://www.dcard.tw/service/api/v2/posts/236427011,2021-07-06T23:54:39.282Z,,,54,236427011
Dcard,黃珊珊市長澄清是Ben不是許醫師,https://www.dcard.tw/service/api/v2/posts/236383985,2021-07-01T08:34:39.904Z,,,30,236383985
Dcard,網格交易~在幣圈震盪行情，就用機器人幫你躺著操盤！🙋🏻‍♀️,https://www.dcard.tw/service/api/v2/posts/236382262,2021-07-01T04:29:58.441Z,,,1,236382262
Dcard,四年前的Youtuber,https://www.dcard.tw/service/api/v2/posts/236350327,2021-06-26T23:46:48.262Z,,,654,236350327
Dcard,根本就不會再見面 過氣名單,https://www.dcard.tw/service/api/v2/posts/236281496,2021-06-18T02:43:13.044Z,,,1945,236281496
Dcard,賤葆用心跟創意根本打爆阿滴,https://www.dcard.tw/service/api/v2/posts/236264959,2021-06-16T02:01:49.778Z,,,792,236264959
Dcard,如何成為百萬部落客/youtuber,https://www.dcard.tw/service/api/v2/posts/236155455,2021-06-02T12:20:29.517Z,,,15,236155455
Dcard,盤點那些過氣YT 新增三原、阿滴,https://www.dcard.tw/service/api/v2/posts/236144663,2021-06-01T06:48:27.457Z,,,499,236144663
Dcard,大家最討厭的YouTuber是誰,https://www.dcard.tw/service/api/v2/posts/236099441,2021-05-26T15:59:13.142Z,,,10,236099441
Dcard,如果沒有Youtube這個影音頻道，下面這些人現在在做什麼工作?,https://www.dcard.tw/service/api/v2/posts/236059026,2021-05-22T05:15:29.668Z,,,0,236059026
Dcard,聖結石要帶聖粉們財富自由了嗎？,https://www.dcard.tw/service/api/v2/posts/235994234,2021-05-15T00:53:48.413Z,,,206,235994234
Dcard,孫生模仿聖結石,https://www.dcard.tw/service/api/v2/posts/235867926,2021-04-28T12:13:07.49Z,,,420,235867926
Dcard,聖結石這支訪談影片其實不錯,https://www.dcard.tw/service/api/v2/posts/235810166,2021-04-20T13:13:50.047Z,,,90,235810166
Dcard,被B站封鎖的男人— 錫蘭,https://www.dcard.tw/service/api/v2/posts/235803051,2021-04-19T13:37:55.377Z,,,14,235803051
Dcard,聖結石,https://www.dcard.tw/service/api/v2/posts/235762893,2021-04-13T16:48:31.715Z,,,41,235762893
Dcard,為什麼大家一直罵聖結石,https://www.dcard.tw/service/api/v2/posts/235534746,2021-03-12T10:09:58.505Z,,,13,235534746
Dcard,現在還有聖粉嗎？,https://www.dcard.tw/service/api/v2/posts/235505012,2021-03-08T09:25:39.297Z,,,325,235505012
Dcard,抱歉，我要停止日更了,https://www.dcard.tw/service/api/v2/posts/235482030,2021-03-05T04:11:38.306Z,,,706,235482030
Dcard,高中生會喜歡的youtuber ?,https://www.dcard.tw/service/api/v2/posts/235481615,2021-03-05T02:55:38.163Z,,,20,235481615
Dcard,網路霸凌公眾人物很好👍,https://www.dcard.tw/service/api/v2/posts/235362030,2021-02-16T11:54:49.973Z,,,16,235362030
Dcard,當年聖結石算不算被網路霸凌?,https://www.dcard.tw/service/api/v2/posts/235357864,2021-02-15T16:28:18.339Z,,,41,235357864
Dcard,還記得四年前的『我紅你不紅』嗎？,https://www.dcard.tw/service/api/v2/posts/235272850,2021-02-01T06:16:22.508Z,,,695,235272850
Dcard,聖結石是不是該向魔鞋啾啾學習？,https://www.dcard.tw/service/api/v2/posts/235241132,2021-01-26T14:53:03.257Z,,,1140,235241132
Dcard,是聖結石！！,https://www.dcard.tw/service/api/v2/posts/235210498,2021-01-21T09:12:33.715Z,,,1509,235210498
Dcard,發現有很多訂閱人數百萬但觀看數很少的youtuber,https://www.dcard.tw/service/api/v2/posts/235148012,2021-01-10T12:06:11.637Z,,,1301,235148012
Dcard,#提問 YouTuber都是拿公關票去看演唱會嗎？,https://www.dcard.tw/service/api/v2/posts/235136378,2021-01-08T09:11:03.397Z,,,61,235136378
Dcard,今年有人會去看五月天連續幾場演唱會嗎？,https://www.dcard.tw/service/api/v2/posts/234948112,2020-12-09T08:24:15.602Z,,,1,234948112
Dcard,「嘎老師練習生」爭議事件,https://www.dcard.tw/service/api/v2/posts/234791249,2020-11-13T07:46:23.317Z,,,3990,234791249
Dcard,聖結石,https://www.dcard.tw/service/api/v2/posts/234613902,2020-10-15T02:57:08.962Z,,,5,234613902
Dcard,我真的沒有聽過什麼安麗,https://www.dcard.tw/service/api/v2/posts/234592167,2020-10-11T14:41:49.76Z,,,7,234592167
Dcard,聖結石為什麼會被酸？,https://www.dcard.tw/service/api/v2/posts/234432222,2020-09-16T06:16:14.45Z,,,16,234432222
Dcard,小更/我還是聖粉,https://www.dcard.tw/service/api/v2/posts/234427227,2020-09-15T14:12:26.412Z,,,1071,234427227
Dcard,真的過氣了QQ,https://www.dcard.tw/service/api/v2/posts/234298486,2020-08-26T11:29:42.512Z,,,905,234298486
Dcard,勾起你心中的惡是全台灣最快達成10萬訂閱的無名youtuber嗎,https://www.dcard.tw/service/api/v2/posts/234289539,2020-08-25T02:44:55.638Z,,,391,234289539
Dcard,認識吃素朋友的最快方法,https://www.dcard.tw/service/api/v2/posts/234287952,2020-08-24T16:28:45.256Z,,,70,234287952
Dcard,比較希望台灣麥當勞也賣美祿,https://www.dcard.tw/service/api/v2/posts/234173133,2020-08-05T07:13:50.114Z,,,443,234173133
Dcard,不管怎樣罵，KIKI我這次是服了。,https://www.dcard.tw/service/api/v2/posts/234084504,2020-07-20T11:00:27.389Z,,,3372,234084504
Dcard,終於又出現一組真實不做作的情侶,https://www.dcard.tw/service/api/v2/posts/234028188,2020-07-10T10:00:02.557Z,,,528,234028188
Dcard,聖粉是不是有侵權嫌疑啊,https://www.dcard.tw/service/api/v2/posts/233949166,2020-06-26T13:29:20.328Z,,,1088,233949166
Dcard,還有人有機會追過前幾名的頻道嗎？2020六月最新YouTuber排行,https://www.dcard.tw/service/api/v2/posts/233872000,2020-06-14T07:58:55.007Z,,,54,233872000
Dcard,吃藥藥改變的半年,https://www.dcard.tw/service/api/v2/posts/233869906,2020-06-13T19:57:12.887Z,,,39,233869906
Dcard,想當個快樂的數據Youtuber,https://www.dcard.tw/service/api/v2/posts/233811969,2020-06-04T18:51:56.46Z,,,33,233811969
Dcard,約炮合理化？,https://www.dcard.tw/service/api/v2/posts/233804290,2020-06-03T16:13:04.556Z,,,34,233804290
Dcard,曾經爆紅的ytr好像都過氣了？,https://www.dcard.tw/service/api/v2/posts/233789964,2020-06-01T13:32:31.752Z,,,157,233789964
