Source,Title,Link,Date,Summary,Text,Like
ettoday,二伯PO童年照「還以為看到蔡桃貴」！五官神複製…網驚：基因好強,https://www.ettoday.net/news/20211229/2156835.htm?from=pctaglist,2021-12-29 09:27,YouTuber二伯與蔡阿嘎結婚後，育有兩個兒子「蔡桃貴」和「蔡波能」，不時會與粉絲分享生活點滴，最近格外引起討論的是，她突然在社群網站小時候的照片，結果和大兒子的童年照一做對比，釣出不少網友驚呼：「同個模子印出來的，小孩真的不能偷生！」,,0
ettoday,蔡桃貴聽童話Podcast…睡前突問「她喉嚨不會痛嗎？」　二伯爆笑,https://www.ettoday.net/news/20211214/2146325.htm?from=pctaglist,2021-12-14 23:07,YouTuber蔡阿嘎跟老婆「二伯」結婚後，陸續迎來2個兒子「蔡桃貴」、「蔡波能」，夫妻倆時常會在社群平台分享育兒日常及家庭趣事，受到大批網友喜愛。日前二伯提到，近日睡前都會播唸童話故事的Podcast給蔡桃貴聽，結果對方突然提問「阿姨喉嚨不會痛嗎」，原因超爆笑。,,0
ettoday,蔡桃貴路上「突被警察搭話」傻了！　一問原因超意外：嚇一大跳,https://www.ettoday.net/news/20211211/2144213.htm?from=pctaglist,2021-12-11 23:44,YouTuber蔡阿嘎跟老婆「二伯」結婚後，陸續迎來2個兒子「蔡桃貴」、「蔡波能」，夫妻倆時常會在社群平台分享育兒日常及家庭趣事，也幫兒子經營個人帳號，吸引大批粉絲追蹤。11日PO文透露，蔡桃貴在外突然遇到警察上前搭話，直呼：「嚇一大跳。」,,0
ettoday,二伯走鐘獎「半球溢出馬甲」包出蛇腰！難得激辣現身…一聽項鍊價格手軟,https://www.ettoday.net/news/20211114/2123340.htm?from=pctaglist,2021-11-14 09:14,YouTuber二伯與蔡阿嘎（蔡緯嘉）結婚後，除了照顧兩個小孩，也會拍片分享育兒點滴，將頻道經營得有聲有色的夫妻倆13日連袂出席走鐘獎，有別於平常的休閒穿搭，她難得穿上禮服並搭配精美項鍊，但一聽到配件金額，她瞬間嚇傻：「差點手軟！」,,0
ettoday,二伯「被遊樂設施卡住」去親子餐廳GG！ 一看蔡桃貴反應…傻眼了,https://www.ettoday.net/news/20211104/2116122.htm?from=pctaglist,2021-11-04 08:51,YouTuber二伯與蔡阿嘎（蔡緯嘉）結婚後，育有2個兒子「蔡桃貴」和「蔡波能」，家庭生活幸福又充實，但她3日陪兒子去親子餐廳玩遊樂設施時，「不小心卡住爬不出來」，好不容易脫困，看到大兒子在一旁所做的事情後，她坦言：「好氣又好笑。」,,0
ettoday,二伯「再努力也不會有薪水」！曝當全職媽明顯變化：失去自信…網超有感,https://www.ettoday.net/news/20211031/2113351.htm?from=pctaglist,2021-10-31 14:13,YouTuber二伯與蔡阿嘎（蔡緯嘉）結婚後，育有2個兒子「蔡桃貴」和「蔡波能」，家庭生活幸福又充實，她30日在Instagram開放提問，被問到「出去工作好還是在家裡顧孩子好」時，她語重心長地說，真心覺得全職媽媽是最消磨意志的工作，「不管妳再怎麼努力，下個月戶頭裡也不會有薪水入帳。」,,0
ettoday,3歲蔡桃貴燙頭髮「激似二伯」！　捲毛成果出爐13萬人全融化,https://www.ettoday.net/news/20211020/2105134.htm?from=pctaglist,2021-10-20 08:05,YouTuber二伯和蔡阿嘎結婚後，陸續迎來2個兒子「蔡桃貴」、「蔡波能」，夫妻倆時常會在社群平台分享育兒日常，近來分享大兒子燙捲髮的一系列照片，不僅萌翻大批網友，更令不少人形容「根本二伯」，意外掀起不小的討論度。,,0
ettoday,3歲蔡桃貴愛台「雙十國慶」奶音唱生日快樂　釣出總統蔡英文回應！,https://www.ettoday.net/news/20211011/2098902.htm?from=pctaglist,2021-10-11 17:56,YouTuber蔡阿嘎跟老婆「二伯」結婚後，陸續迎來2個兒子「蔡桃貴」、「蔡波能」，夫妻倆時常會在社群平台分享育兒日常及家庭趣事，可愛互動融化大票粉絲，10日適逢國慶日，他也貼出一段蔡桃貴唱生日快樂歌的影片，意外釣出總統蔡英文回應，引起熱議。,,0
ettoday,回家急坐電腦前！兒目睹「冒一句話」二伯：非常自責…地方媽掀共鳴,https://www.ettoday.net/news/20210930/2090486.htm?from=pctaglist,2021-09-30 10:52,YouTuber二伯與蔡阿嘎結婚後，育有兩個兒子「蔡桃貴」和「蔡波能」，不時會與粉絲分享育兒生活，她29日在社群網站坦言，回家後急著坐到電腦前處理一些工作的事，沒想到大兒子突然冒出一句話，讓當下聽到的她「非常自責」，不少地方媽媽看到貼文後也很有共鳴：「說到做到真的很重要！」,,0
ettoday,蔡桃貴又開始吃奶嘴！二伯狂收「關心私訊」決定揭原因：給他時間吧,https://www.ettoday.net/news/20210929/2089916.htm?from=pctaglist,2021-09-29 14:56,YouTuber二伯與蔡阿嘎結婚後，育有兩個兒子「蔡桃貴」和「蔡波能」，不時會與粉絲分享育兒生活，但她透露最近被不少網友私訊問：「怎麼貴又開始吃奶嘴了？」對此，她除了解釋背後原因，還難得吐露真實心聲，「孩子總是會長大的，就給他們時間慢慢適應長大吧！」,,0
