Source,Title,Link,Date,Summary,Text,Like
ettoday,小吳整人「集體退好友IG追蹤」！　網怒指霸凌：無法笑著看完,https://www.ettoday.net/news/20210912/2078035.htm?from=pctaglist,2021-09-12 23:45,YouTuber「見習網美小吳」憑搞笑親民的風格走紅，團隊成員小吳、卡特、YOYO和聖元感情要好，常在鏡頭前互相吐槽鬥嘴，頻道累積破百萬人訂閱，人氣超高。日前他推出新片，企劃了整人主題，聯合多位好友一起退卡特社群追蹤，怎料卻引來網友罵聲，被指「像霸凌」。,,0
ettoday,小吳「自創金牌舞」賀奪金！　緊身衣＋深蹲笑翻網：明天再跳一次,https://www.ettoday.net/news/20210731/2045008.htm?from=pctaglist,2021-07-31 23:24,我國羽球男雙組合王齊麟、李洋31日在金牌賽中擊敗中國強敵，拿下台灣奧運史上首面羽球金牌，也是繼「舉重女神」郭婞淳後，代表隊在本屆奧運獲得的第2面金牌。全台陷入狂歡，YouTuber「見習網美小吳」更為此自創了「金牌之舞」，爆笑舞姿逗樂網友。,,0
ettoday,小吳被Dcard爆買公關文...他傻眼回應　突哽咽曝2年前陰影,https://www.ettoday.net/news/20210728/2042057.htm?from=pctaglist,2021-07-28 13:45,百萬YouTuber「見習網美小吳」小吳與卡特、YOYO和聖元在最新影片中分享遇過的走心評論，小吳透露曾因在拍照時粉絲的一句話讓他有陰影，想到當時情況不禁哽咽，一旁的團員紛紛安慰。,,0
ettoday,小吳才剛減17kg！　微解封一量體重「嚇到彈開」：不要阻止我跳海,https://www.ettoday.net/news/20210713/2030035.htm?from=pctaglist,2021-07-13 20:21,YouTuber「見習網美小吳」先前發憤減肥，從2020年11月開始接受訓練，花費101天時間，從84公斤減到67公斤，被不少粉絲大讚很勵志。不過，他這段時間懈怠下來，好不容易決定面對體重，誰料剛站上體重計就嚇到跳下來，崩潰表示：「不要阻止我跳海！」,,0
ettoday,孫協志「很多網紅給我感受不好」　唯一合作小吳...讚他《飢餓》反應,https://www.ettoday.net/news/20210712/2028788.htm?from=pctaglist,2021-07-12 15:34,孫協志經營的YouTube頻道「Sunday • 威士忌」最新一集找來見習網美小吳小酌談心事。孫協志對小吳上《飢餓遊戲》的印象深，大讚他個性樂觀，也可能是他這個頻道唯一的會找的網紅，「小吳讓我喜歡的點是他很懂得感恩，對於每個人、每件事抱持著尊敬、學習，一起努力的心情，對過去誰幫助過很感謝在心。」,,0
ettoday,郭書瑤被攻擊長相！內心受傷…嗆酸民「想約見面」：看你長怎麼樣,https://www.ettoday.net/news/20210424/1967104.htm?from=pctaglist,2021-04-24 01:04,女星郭書瑤（瑤瑤）擁有甜美外型，以及魔鬼般的好身材，剛出道時以一句經典台詞「殺很大」而走紅，出道13年如今轉型成實力派演員。她近日到YouTuber「見習網美小吳」的頻道談論關於「粉絲」的主題，表示曾被攻擊關於「長相」的事情，讓她直接在影片中回嗆：「我想看你長什麼樣子。」,,0
ettoday,《大熱門》猜歌魔王應戰！Lulu秒答慘電見習網美小吳,https://www.ettoday.net/news/20210413/1959501.htm?from=pctaglist,2021-04-13 18:02,猜歌魔王無誤！藝人Lulu（黃路梓茵）在綜藝節目《綜藝大熱門》被譽為猜歌魔王，日前與YouTuber見習網美小吳以及其團隊比賽猜歌，只見她不斷聽前奏秒猜，瞬間拉開比分，讓小吳團隊成員傻眼，果然如她所說的「說真的想贏我可沒那麼容易」。,,0
ettoday,小吳遭私訊轟炸「太魯閣有捐錢？」　親曝低調善舉：連我媽都不知,https://www.ettoday.net/news/20210406/1954615.htm?from=pctaglist,2021-04-06 21:24,YouTuber「見習網美小吳」因為逗趣且貼近日常的拍片風格，吸引許多年輕族群喜愛，平時除了拍片也常常在社群網站分享近況，總會吸引許多粉絲迴響，怎料最近他收到不少私訊，質問2日發生的太魯閣號出軌意外，他是否有捐款，6日晚間他也針對此事發文，一番言語獲得許多讚賞。,,0
ettoday,楊丞琳假MV試鏡整人！　阿圓、紀卜心跳荒謬「打屁股舞」網笑翻,https://www.ettoday.net/news/20201231/1889101.htm?from=pctaglist,2020-12-31 18:46,YouTuber「見習網美小吳」日前拍攝了一項整人企劃，找來歌壇小天后楊丞琳，舉辦假MV試鏡，並邀一隻阿圓、這群人、紀卜心等多位YouTuber參加，現場祭出歌唱、舞蹈等各種考題，測驗大家的臨場反應，拍下超多爆笑畫面。,,0
ettoday,薑餅屋塞「菜脯餅+蜜餞」送禮…遭批隨便！　小吳：只是想當驚喜,https://www.ettoday.net/news/20201219/1880135.htm?from=pctaglist,2020-12-19 22:40,每年聖誕節，不少人都會和身邊朋友聚會狂歡、交換禮物，製造難忘的佳節回憶。知名YouTuber「黃氏兄弟」就推出特別企劃，聯合「見習網美小吳」、「白癡公主」、「魚乾」、「上班不要看」等多組人馬，親手製作薑餅屋，送給指定的人。,,0
