Source,Title,Link,Date,Summary,Text,Like
PTT,[問卦] 許藍方是不是得罪東森了啊？,https://www.ptt.cc/bbs/Gossiping/M.1629501763.A.37B.html,2021-08-21 07:22:41,,明明是老東家報許藍方新聞的時候東森標題幾乎都咬死許藍方就是不倫其他間還會打給「疑」「陷」等稍微中立的用字東森還順便調侃一下主持兩個月就下課明明什麼都還沒證實有沒有東森往死裡打許藍方的八卦？--你才帶風向，根本還沒證據屁勒，只有假車誰跟你已證實,7
PTT,[問卦] 有許藍方事件後續的消息或八卦嗎？,https://www.ptt.cc/bbs/Gossiping/M.1631700300.A.22D.html,2021-09-15 18:04:58,,女口是頁目戶斤描述白勺許藍方事件一開始吵的亂七八糟可是後來完全沒消沒息是有人花錢壓新聞嗎？肝有八卦？--我婆予晞--,3
PTT,[新聞] 許藍方「第1次要給老公」拒初戀需求7年　求婚 ,https://www.ptt.cc/bbs/Gossiping/M.1629722576.A.A7A.html,2021-08-23 20:42:54,,1.媒體來源:ETtoday新聞雲2.記者署名:記者林彥君／台北報導3.完整新聞標題:許藍方「第1次要給老公」拒初戀需求7年求婚後分手：我對不起他4.完整新聞內文:性學博士許藍方8月初應邀上楊千霈最新Podcast節目「9館不打Yang」暢聊求學背景、成為性學領域知識型網紅的歷程。許藍方自認是乖乖牌，很喜歡規劃，從小志向是「老師、媽媽」，覺得女生長大就是要嫁人、結婚生子，設定28歲要生第一個、30歲生第二個小孩，但唸研究所後思想開始改變。許藍方談到開始「做自己」的時候，是在和交往7年的初戀分手後，她的第一個男友是大學學長，在她唸完碩士班2人分手，「我們交往很久，小時候會一直問『什麼時候結婚？』現在回想當時怎這麼三八，一直想什麼時候嫁人，那時男友敷衍我，說在他R3，在他住院醫師第3年時，因敷衍我，我就去唸碩士班，到答應我要結婚時，他跟我求婚，但我回『等我碩士班畢業再說』，求婚是我期待的事，但他問時我又不想做這件事情，還沒有畢業就分手了。」許藍方被教育「女生的第1次要給老公，不然他會不愛妳」，回想她和初戀交往7年，期間都沒有性行為，直呼很對不起他，「那個跟我在一起很久的男朋友，後來他跟我求婚我覺得自己不快樂，我回想不快樂，我那個男朋友也不快樂很久，跟我在一起7年，他23歲，有點對不起他，那時一定有情慾，我那時跟他說『我不知道你會不會是我未來的老公，如果跟你發生關係，我會對不起他』。他回我『小姐，這句話是因為以前人家15歲就嫁人，妳幾歲了？』」之後也體會性是感覺，要自然發生。37歲的許藍方從小家教嚴格，透露是生活白痴，曾把包裹拿到銀行寄，「我以為『郵局』只是不同名字的公司，我一進去，他們說我要去郵局，我說這裡不行嗎？他們說這是銀行。以前我做的事是上課、回家，我以前是學藝股長，同學打來問聯絡簿的內容，我媽還說『不能問別人嗎』，不讓我講電話，聊太久她會拿子母機問『講完了沒？』我媽到現在也是。」5.新聞網址:6.備註:--,12
PTT,Re: [問卦] 為什麼許藍方出來道歉還是那麼美？,https://www.ptt.cc/bbs/Gossiping/M.1629519356.A.A04.html,2021-08-21 12:15:54,,她不是說什麼都沒做嗎又是被有病學長騷擾的一方這為什麼要道歉啊？是我中間漏追什麼了嗎？還是女生被騷擾就是不好的示範？這樣是不是得罪女權了？有8卦？--,2
PTT,[問卦] 許藍方被害到人財兩失，怎麼幫她,https://www.ptt.cc/bbs/Gossiping/M.1629511961.A.BEC.html,2021-08-21 10:12:39,,安安安是這樣啦許藍方被害到人財兩失名聲壞了，頻道也受影響兇手逍遙法外垃圾媒體自由都來抹屎她現在心情一定很低落該怎麼幫她八卦--,5
PTT,[新聞] 最美博士淪小三！許藍方遭求償300萬　PK,https://www.ptt.cc/bbs/Gossiping/M.1637137797.A.165.html,2021-11-17 16:29:51,,1.媒體來源:蘋果日報2.記者署名:李奕緯3.完整新聞標題:最美博士淪小三！許藍方遭求償300萬PK正宮女醫首開庭4.完整新聞內文:大談性學議題走紅的「最美博士」許藍方驚爆不倫已婚男醫康鈞尉，遭正宮女醫劉友臻提告侵害配偶權求償300萬元，今年8月台北地院安排調解，但雙方都沒現身，和解破局後，全案今首度開庭，許藍方、劉友臻都委由律師出庭，目前庭訊持續進行中。許藍方現年37歲，大學考入台北醫學大學護理系，曾擔任萬芳醫院護理師，後攻讀芳療情緒諮商、性功能障礙等領域，取得北醫護理學博士學位，2017年踏足電視圈，成為TVBS頂尖事務所簽約藝人，憑藉高顏值以及落落大方談論性學問題的專業形象迅速走紅，YouTube節目《Dr.She》多支影片飆破百萬點閱，還曾接下東森《57健康同學會》主持棒。但許藍方疑似長期曖昧大學學長、台安醫院復健科名醫康鈞尉，去年11月間，康鈞尉妻子、皮膚科名醫劉友臻偶然發現丈夫電腦中竟有許藍方傳來曖昧鹹濕對話，包括「高潮再高潮」、「在床上叫別人的老公」、「怕你老婆都想嫁給我」等，甚至有許藍方傳來的穿睡衣露乳溝性感照片，怒發律師函要求許藍方道歉但未獲回應，因此提告求償300萬元精神慰撫金。全案曝光後，許藍方在臉書發聲明表示：「康醫師是20年前認識的學長，期間康醫師偶有主動聯繫，兩人從未交往。去年9月他主動聯繫並告知他個人婚姻問題及當時感情狀況且罹患憂鬱症，基於多年情誼聽其所苦，且有訊息往來一個多月，因訊息部分內容讓康太太劉醫師感到不快，即停止與康醫師往來，期間也從來沒有發生任何肢體親密接觸，更沒有傳裸照給對方。對於康太太感到不愉快的部分，本人深感抱歉。」許藍方同時強調：「一個為人醫者、認識20年的康醫師，可以睜眼說瞎話和太太虛構我和他之間不存在的關係，我可以理解康太太聽到時的憤怒，但康先生將這些事張冠李戴，其心可議。」「未來將會更小心謹慎，並會以更高標準來要求自己，但也不會接受子虛烏有的指控。」康鈞尉則在臉書發聲明力挺正宮並自首外遇：「各位好，我是康醫師，很抱歉，因為個人的私事，造成各界的困擾。對於我去年9月底至11月與許小姐發生外遇之行為，我已深刻反省，身為先生及父親，沒能保護好自己的家庭，反而讓太太陷入痛苦不堪的局面，我要向家人說聲抱歉，對不起，我錯了，讓你們失望了。今後，我會盡我所能，彌補這事件所造成的傷害，感謝我的太太及孩子願意給我機會彌補，未來將一切以家庭為重。我也會尊重對我太太之後的所有決定。」（李奕緯／台北報導）5.完整新聞連結(或短網址):6.備註:--,26
PTT,[新聞] 手槍打太多害陽痿？許藍方曝「2激烈手段」真的讓GG受傷了,https://www.ptt.cc/bbs/Gossiping/M.1634230419.A.F9C.html,2021-10-15 00:53:36,,手槍打太多害陽痿？許藍方曝「2激烈手段」真的讓GG受傷了手槍打太多害陽痿？許藍方曝「2激烈手段」真的讓GG受傷了新聞記者李佳蓉／綜合報導「手槍打太多會不會陽痿？」是男人間歷久不衰的話題，攸關30公分在床上硬挺表現，可是相當在乎。最美性學博士許藍方被問到此議題，她解釋，兩者並無絕對關係，但長期「自慰手段太過激烈」的確會陽痿，也例舉網友最常用的2手法，直言「這樣會導致陰莖的血管或海棉體受損」。最美性學博士許藍方在YouTube《頂尖事務所》頻道中回應「手槍打太多會陽痿？」的話題，她指出，自慰與陽痿間並無絕對關係，很多人會將陽痿與早洩混在一起，但簡而言之，提及會有打手槍害陽痿的說法，許藍方澄清，其來自於有些人在自慰時會使用許藍方解釋，早餐打、午餐又打，晚上與另一半激戰時，會因前兩餐「吃得非常飽」，而導致夜晚性慾越來越低，刺激感和新鮮感都會下滑，性慾降低GG自然無法硬挺。她強調，自慰過猶不及都不好，但彼此並無絕對關係，只要以正常方式進行不用過度擔心。至於天天DIY會害早洩嗎？本刊日前報導《天天自慰害早洩？最美博士解答「2種人最容易」超持久秘訣曝光》，許藍方表示，兩者並無直接關聯，會早洩可能與「本身神經太敏感」有關，必須諮詢專業醫師解決；另一種則是「自慰方式」所導致，在打手槍時若一味尋求快速，當你已經習慣這麼「快速發射」，在與另一半享受魚水之歡時也會很快射精。許藍方解釋，，因為已習慣這種快感、無法控制射精感覺，因此與伴侶愛愛時就容易失控。她接著說，自慰的方式和速度都不是重點，而是「感覺」，要學會控制興奮感覺。提到自慰的練習，她建議DIY時興奮指數達70分時就不要再摩擦，降低GG興奮度，反覆數次即可訓練持久度。原文網址:手槍打太多害陽痿？許藍方曝「2激烈手段」真的讓GG受傷了|ETtoday健康雲|ETtoday新聞雲Followus:@ETtodaynetonTwitter|ETtodayonFacebook--,5
PTT,Re: [新聞] 許藍方「第1次要給老公」拒初戀需求7年　,https://www.ptt.cc/bbs/Gossiping/M.1629700541.A.9F6.html,2021-08-23 14:35:39,,不知道許博士知道第一次要給老公那認為要到第幾次的時候才可以給別人老公？話說許博士到底跟學長有沒有做啊都沒人在追蹤跟後續更新嗎？求更新--,13
PTT,[新聞] 最美博士許藍方否認是小三 和元配調解「,https://www.ptt.cc/bbs/Gossiping/M.1637227818.A.8DB.html,2021-11-18 17:30:16,,最美博士許藍方否認是小三和元配調解「共識是0」2021-11-1719:41聯合報/記者林孟潔／台北即時報導有「最美博士」稱號的許藍方爆出和已婚醫師康鈞尉搞外遇，更曝光鹹濕對話「今天一直濕濕」等；許二度發聲明否認不倫，反指康長期騷擾、糾纏。康的劉姓妻子提告向許藍方求償300萬元，台北地方法院今開庭，雙方皆委任律師出庭，並採不公開審理。據悉，劉女和康之間仍有婚姻關係，劉女和許藍方訴訟前有調解過2、3次，但各方面均沒有共識，「雙方共識是零」，且許藍方至今沒有坦承發生婚外情，劉女目前沒有當面和許藍方當面談的意願，今開庭僅整理證據部分。許藍方是台北醫學大學護理學博士，因常上節目暢談性愛話題而闖出知名度；她今年8月被媒體報導和醫師康鈞尉外遇，且雙方對話內容也外流，包括2人不僅互稱寶貝，許藍方還傳自己的裸身性感照給康。媒體報導，許藍方向康鈞尉說「今天一直濕濕，（衣服）是很方便扒開，但現在綁很緊」，還意有所指「愛很濃但不要溢出來，我們要安全的性和愛」，對話相當露骨。許藍方事後二度發聲明否認外遇，且表示周刊報導不屬實，指出未與已婚男醫師有身體接觸、未介入他人家庭、刊出的LINE訊息並非事實全貌，並反控康透過各方式發訊息騷擾。康鈞尉則承認外遇，澄清許指控他因憂鬱症接受諮商、糾纏並非事實，並向家人道歉，未來會以家庭為重，尊重妻子所有決定；康妻也發聲明指出，丈夫已經回歸家庭、修補裂痕，她則和許藍方聯繫卻未獲正面回應，「想到對方半夜傳給先生的私密照片及露骨對話，皆讓我輾轉反側，夜不成眠」，並稱丈夫和許藍方之間的外遇證據相當完整，已委託律師提訴訟。告起來--,15
PTT,[新聞] 許藍方「第1次要給老公」拒初戀需求7年　,https://www.ptt.cc/bbs/Gossiping/M.1629700074.A.3E5.html,2021-08-23 14:27:51,,1.媒體來源:ETtoday新聞雲2.記者署名:林彥君3.完整新聞標題:許藍方「」拒初戀需求7年求婚後分手：我對不起他4.完整新聞內文:性學博士許藍方8月初應邀上楊千霈最新Podcast節目「9館不打Yang」暢聊求學背景、成為性學領域知識型網紅的歷程。，設定28歲要生第一個、30歲生第二個小孩，但唸研究所後思想開始改變。▲許藍方上頻道分享嚴格的家庭教育。（圖／翻攝自許藍方臉書）許藍方談到開始「做自己」的時候，是在和交往7年的初戀分手後，她的第一個男友是大學學長，在她唸完碩士班2人分手，「，那時男友敷衍我，說在他R3，他在住院醫師第3年時，因敷衍我，我就去唸碩士班，到答應我要結婚時，他跟我求婚，但我回『等我碩士班畢業再說』，求婚是我期待的事，但他問時我又不想做這件事情，還沒有畢業就分手了。」▲許藍方上頻道分享嚴格的家庭教育。（圖／翻攝自許藍方臉書）許藍方被教育「」，回想她和初戀交往7年，期間都沒有性行為，直呼很對不起他，「那個跟我在一起很久的男朋友，後來他跟我求婚我覺得自己不快樂，我回想不快樂，我那個男朋友也不快樂很久，跟我在一起7年，他23歲，有點對不起他，那時一定有情慾，我那時跟他說『』。他回我『』」之後也體會性是感覺，要自然發生。37歲的許藍方從小家教嚴格，透露是，「我以為『郵局』只是不同名字的公司，我一進去，他們說我要去郵局，我說這裡不行嗎？他們說這是銀行。以前我做的事是上課、回家，我以前是學藝股長，同學打來問聯絡簿的內容，我媽還說『不能問別人嗎』，不讓我講電話，聊太久她會拿子母機問『講完了沒？』我媽到現在也是。」5.完整新聞連結(或短網址):6.備註:--,
