Source,Title,Link,Date,Summary,Text,Like
ettoday,詹姆士走出家門怕染疫　復工出外景碎念韋汝,https://www.ettoday.net/news/20210827/2065985.htm?from=pctaglist,2021-08-27 14:24,詹姆士主持八大《詹姆士出走料理》節目，近日隨著疫情趨緩再次啟程出發，帶著來賓韋汝前往雲林、彰化品嚐美食。因為居家防疫了一段時間，重新走出家門投入外景，還是有點心驚膽跳啦！此趟外景，過程中與韋汝也都會互相提醒保持社交距離，甚至出現瞬間彈開的有趣畫面。,,0
ettoday,詹姆士曝理想型夢幻餐車　割韭菜「吐心聲」全場笑翻,https://www.ettoday.net/news/20210710/2027502.htm?from=pctaglist,2021-07-10 12:46,在三級警戒前，名廚詹姆士隨著《詹姆士出走料理》前往桃園大溪，拜訪集結各式料理的快餐車聚落，其中，他被美味快餐車的手工漢堡激發出料理靈感，利用當地大溪名產「豆干」取代麵包，再結合當地盛產的韭菜，做出中西合併的創意漢堡。,,0
ettoday,屏東枋山芒果爆退訂潮！　詹姆士掃2大箱力挺嘆：芒果何罪之有,https://www.ettoday.net/news/20210628/2017217.htm?from=pctaglist,2021-06-28 12:04,屏東枋山近日出現印度Delta病毒確診案例，引起民眾警戒，正值盛產期的枋山芒果也遭到大量退訂，不少藝人也紛紛為果農抱屈，而昨日（27日）詹姆士也在Facebook上發文，呼籲民眾不要輕信流言，一起支持農民。,,0
ettoday,詹姆士揪張本渝出走　急速狂飆高空滑索嚇到花容失色,https://www.ettoday.net/news/20210108/1894667.htm?from=pctaglist,2021-01-08 21:06,熱愛戶外運動的張本渝日前上詹姆士主持的八大《詹姆士出走料理》，一起前往南澳、東澳，體驗大自然生活與溪邊野炊。在當地嚮導的帶領下，挑戰野溪滑水、架設漁網抓魚和高空滑索，其中，高空滑索的急速滑行在即將抵達終點前瞬間剎車，讓張本渝嚇到花容失色，連卸下繩索後仍一臉驚恐，語帶顫抖說：「我現在越來越怕高了。」,,0
ettoday,《型男大主廚》古錐師遭喪女之痛　摯友詹姆士錄影中聞訊錯愕,https://www.ettoday.net/news/20201218/1879542.htm?from=pctaglist,2020-12-18 19:27,名廚郭主義（古錐師）今（18日）傳出愛女輕生的消息，他更在臉書悲痛發文，寫下「老天在跟我開玩笑嗎？為什麼為什麼」，讓大批網友看得都相當心疼。昔日與他在《型男大主廚》一起錄影的詹姆士，聞噩耗後特地傳簡訊給郭主義，並叮囑他的小女兒轉達他要保重身體。,,0
ettoday,詹姆士連扒2碗鱘龍魚滷肉飯！大推「農村廚房」：看見台灣獨特飲食文化,https://www.ettoday.net/news/20201014/1766226.htm?from=pctaglist,2020-10-14 12:18,前陣子，八大「詹姆士出走料理」前往新北三峽的千戶傳奇生態農場看鱘龍魚的養殖過程，詹姆士還體驗「抱大魚」的樂趣，主人特別準備了鱘龍魚滷肉飯，由於詹姆士正值瘦身期，喊著「我不餓」，結果一入口停不下來，連扒兩碗，大呼過癮！,,0
ettoday,從小烤到大！　詹姆士下課躲廚房　練就烤肉好技藝,https://www.ettoday.net/news/20200903/1800418.htm?from=pctaglist,2020-09-03 18:00,詹姆士從小家中就開燒烤店，中學時期，每天放學後就是到店裡幫忙，站在廚房的烤台之前，一烤就是好幾個小時。他回憶說：「那時候真的最討厭的事就是烤肉，曾經一想到烤肉就怕，因為同學放學都一起去玩，我卻是獨自面對烤台。」不過也因為那幾年的累積，在他成為專業的主廚之前，早就練出一身烤肉的好功夫，他自豪的說：「烤肉應該是我第一個精準掌握的廚藝」。,,0
ettoday,星爸「阻斷女兒星夢」　詹姆士無奈曝愛女最想做的事,https://www.ettoday.net/news/20200814/1785030.htm?from=pctaglist,2020-08-14 18:09,詹姆士今（14日）出版第15本食譜書《詹姆士快手菜》，書中介紹97道簡易食譜，記者會上他快手示範20分鐘內做了菠菜拌豆腐、香蒜墨魚、檸檬鱸魚、肉絲尖椒蓋飯等4道菜。自認這本書會是給女兒很棒的禮物，因為書中食譜簡易，很適合外宿族或料理新手。,,0
ettoday,日本帶回伴手禮被曾國城嫌「像大便」　詹姆士氣噗噗轉身走人,https://www.ettoday.net/news/20200814/1784858.htm?from=pctaglist,2020-08-14 15:32,詹姆士個人第15本食譜書《詹姆士快手菜》今（14日）舉辦新書記者會透露，自己身為廚師每次研發新菜色都會與曾國城分享，有一次他主持美食節目到日本出外景，特地帶了咖哩牛肉回來送曾國城，沒想到曾一拿到禮物便脫口說「看起來好像大便」，當時一聽他整個火氣就上來，轉身就走進《型男大主廚》攝影棚。走進攝影棚才發現當天是自己控場，正式錄影時，原本氣噗噗的心情也只好收起來。,,0
ettoday,《型男》詹姆士斷女兒星夢？喊冤「她時間調配不來」,https://www.ettoday.net/news/20200812/1783402.htm?from=pctaglist,2020-08-12 20:40,台灣偶像女團養成節目《菱格世代DD52》熱播中，據悉，《型男大主廚》班底詹姆士的女兒鄭羽涵曾差點成為節目女團成員之一，但因詹姆士與老婆的反對，斷了女兒的星夢。不過詹姆士喊冤苦笑表示，不是他們的因素，是女兒自己國外求學時間調配不來，所以才沒參加節目錄製。,,0
