Source,Title,Link,Date,Summary,Text,Like
PTT,[問卦] 谷阿莫是曹操、Toyz是呂布？,https://www.ptt.cc/bbs/Gossiping/M.1614167503.A.99A.html,2021-02-24 19:51:40,,三國志戰略版開服前谷阿莫曾和Toyz對嗆賭三年飯票輸的要請贏的吃三年的米其林採訪中谷阿莫自述最像的三國人物是曹操曹操和他一樣都是仗義與陰險並存的人物同一個問題問到Toyz他認為自己最像呂布呂布是三國最強的存在會強到你沒有辦法Toyz個人帳號是很強就像呂奉先一樣威猛但比組織整個被屌打谷阿莫確實像曹孟德很快Toyz公會潰不成軍被谷阿莫大軍打爆就像歷史上呂布被曹操所擒跪求曹操收留谷阿莫遊戲風格像曹操Tozy則像呂布一樣玩遊戲照著三國劇本演似的有沒有八卦？--,
PTT,[問卦] 谷阿莫打三國志當場崩潰 痛失500萬獎金,https://www.ptt.cc/bbs/Gossiping/M.1615470104.A.B37.html,2021-03-11 21:41:41,,(26分12秒開始看)手遊三國志戰略版大手筆祭出千萬元獎金打洛陽花時間最少的公會可獨得台幣500萬原本備受看好的谷阿莫公會太大意被超車規定期限的最後幾天時間早晚爆肝打洛陽最有機會的一場只差一秒直播中當場崩潰痛失500萬獎金最終結算可能只分得到10萬有沒有谷阿莫當場崩潰很有喜感的八卦？--,1
PTT,[問卦] 『谷阿莫』會不會為了拍片哪天搞到死掉?,https://www.ptt.cc/bbs/Gossiping/M.1614671135.A.C41.html,2021-03-02 15:45:32,,用生命拍片是不錯但感覺哪天可能會被炸死或是摔死之類的『谷阿莫』會不會為了拍片哪天搞到死掉?----,6
PTT,[問卦] 谷阿莫是不是真的滿有料的？,https://www.ptt.cc/bbs/Gossiping/M.1627730070.A.0D0.html,2021-07-31 19:14:27,,安安谷阿莫剛出來就一直都有看他的影片幾個月前他開始搞電影實驗發現真的滿屌的今天最新一集他自製尿意蘑菇防曬乳直接拿他自己的尿來實驗這真的比其他yt屌多了ㄅ而且這又是可能會對生活有幫助的東西這樣看下來谷阿莫是不是真的滿有料的？有掛？--,3
PTT,[問卦] 谷阿莫轉型 但好像還是一堆人不接受,https://www.ptt.cc/bbs/Gossiping/M.1631229503.A.95D.html,2021-09-10 07:18:20,,每次看到谷阿莫的電影實驗都覺得很讚但跟別人討論阿谷莫時還是停留在用盜版批評別人的電影xx人一個不願意接受他大家有接受他轉型成實驗電影橋斷的風格嗎有沒有卦--掠奪者的偽裝綠皮紅骨--,4
PTT,[問卦] 驚！谷阿莫手臂變好巨 戀愛惹>\\\<,https://www.ptt.cc/bbs/Gossiping/M.1630137053.A.5D9.html,2021-08-28 15:50:51,,剛剛IG跳出來谷阿莫的照片OMG!!他竟然練得這麼粗、這麼壯屌打99%的肥宅了吧？？再放個特寫這個臉、這個手臂鄉民484戀愛了？？嘻嘻--左邊的身體右邊的臉為什麼是家告我要葉什麼？谷阿莫的手臂喔？靠北有像哪裡啦他嘴巴有紅嗎？還好吧不是穿緊身褲就大包餒==恐怖預告嘔嘔嘔嘔嘔嘔跑出乃了~,
PTT,[問卦] 幹，谷阿莫在玩命哦？,https://www.ptt.cc/bbs/Gossiping/M.1630846285.A.F86.html,2021-09-05 20:51:23,,阿莫的新測試影片前面丟一小塊鈉小爆炸躲那麼遠後面丟一坨鈉說：ok，用跑的來得及有沒有古阿莫用生命拍yt影片的卦？這個齁做化學實驗還是小心為上阿莫別拿生命安全開玩笑R看影片真的怕爆--,7
PTT,[問卦] 只有谷阿莫一個被告 是不是很倒楣？,https://www.ptt.cc/bbs/Gossiping/M.1622097948.A.117.html,2021-05-27 14:45:25,,KonpekoKonpekoKonpeko是這樣的拉幾年前解說電影的谷阿莫被告侵權的新聞炒很大什麼盜片仔或是把影片講得很爛之類的噓聲不絕於耳但坦白說現在也一堆人電影片段來拍片講解對岸版權意識稀薄就算了台灣這裡明明也不少拿的也不是全都預告片段不僅沒被罵盜片仔還有人直接晉升網紅即使臭名昭彰也只是個人性格但從沒一個像谷阿莫一樣到現在看到谷阿莫三個字就一堆人直接先噓一波明明谷阿莫自己也操作的不錯雖然每部片都講的乍看很廢細品後卻是撇除了許多粉絲的「主觀美化濾鏡」下的客觀產物講解劇情的部分也是毫不拖泥帶水總之比起一堆主觀影評仔爛片還硬要捧爛番茄分數崩毀也還在捧谷阿莫的客觀角度解說算是講得不錯吧？那怎麼比起一堆被邀請去首映會影評會的網紅谷阿莫還是感覺ＱＱ的只能賣鳳梨酥跟出賣身體業配手遊呢問歐----您想說什麼所以阿莫被撤告了啊一堆網紅就開始隨便用啊Netfilx影集只有第一集免費有的網紅整季爆光光然後能當影評能被邀請首映先驅者谷阿莫則只能業配手遊問號如果有關注其他的網紅谷阿莫算低調了一堆影評網紅也評過谷阿莫還敢說谷阿莫廢片真的笑死,4
PTT,[問卦] 慘輸谷阿莫？看老皮粉崩潰很療癒的八卦,https://www.ptt.cc/bbs/Gossiping/M.1615703482.A.8E4.html,2021-03-14 14:31:19,,"三國志戰略版昨天合服展開新賽季知名實況主谷阿莫和老皮狹路相逢老皮放話一定往死裡打為Toyz復仇說谷盟太囂張一定清到不給玩遊戲老皮的公會貌似確定拿到500萬獎金本來以為號稱能動員1800人的老皮新賽季應該會輕輕鬆鬆屌打谷阿莫畢竟谷阿莫好像才幾百人菁英而已結果昨天皮粉崩潰網路上到處出征痛罵谷阿莫玩遊戲找代練不講武德要遊戲官方給交代禁止代練""歪風""谷阿莫昨天在YT直播上舌戰群皮粉怒嗆前來出征的皮粉輸了別找藉口回去練強一點玩遊戲請用實力說話(約前20分鐘)出來崩潰的應該就是輸的一方吧？皮粉網上崩潰也有許多人直呼療癒是不是老皮粉過去在網上也挺囂張有谷粉、皮粉平時誰更囂張的八卦？--",
PTT,Re: [問卦] 谷阿莫是台灣最屌Youtuber嗎?,https://www.ptt.cc/bbs/Gossiping/M.1631433609.A.111.html,2021-09-12 16:00:06,,人都有優點谷阿莫有值得學習的地方第一就是他有實作精神真的會去作什麼電影實驗把玻璃在那邊烤個半天看能不能燒破或是把車開到水裡看能不能推開有些人可能會想算算物理也能知道答案是沒錯但是這樣搞才有趣另外就是他最值得一提的正向態度蠻多Youtuber雖然會在節目中作效果笑弄得很歡樂的樣子來吸引觀眾閱讀但可能一接受採訪或是聊到自己就會開始說什麼酸民很多啊我很堅強啊或是賣個東西就說人家的貨怎樣怎樣我這個貨怎樣怎樣屌打人家怎樣怎樣批評我商品的人都是怎樣怎樣看多了會不舒服當然關於谷的老本行影片評論他看待版權的方式很明顯是他不對但我覺得谷阿莫最難得可貴的是就是他的影片就是純粹的廢片真的是100%的廢他不會提什麼酸民什麼打壓什麼誰誰誰沒資格怎麼樣誰誰學歷怎樣誰誰我的狗誰誰誰犯賤更沒啥政治立場尤其沒政治立場這點台灣人很少見的我也喜歡聊政治但聊太久真的沒什麼意義其實我不常看谷的影片寫這文章也不是說要大家按谷阿莫的讚或買他的鳳梨酥但我欣賞谷阿莫他盡量不批評別人的態度--我們人都想成為更好的存在但就現階段而言，人多半是灰色的我覺得白色的部分可以學習，黑色的部分就...就不要學09/1216:06,
