Source,Title,Link,Date,Summary,Text,Like,id
Dcard,Youtuber #粉絲名 #整理 🙋‍♀️,https://www.dcard.tw/service/api/v2/posts/233577975,2020-04-29T18:24:07.677Z,,,77,233577975
Dcard,路路lulu是不是在蹭流量啊..,https://www.dcard.tw/service/api/v2/posts/231036953,2019-04-06T23:22:35.255Z,,,66,231036953
Dcard,你知道有台灣檸檬車條款嗎,https://www.dcard.tw/service/api/v2/posts/237712885,2021-12-20T07:38:38.548Z,,,64,237712885
Dcard,一樣是宿舍（E棟）,https://www.dcard.tw/service/api/v2/posts/237707837,2021-12-19T13:26:29.458Z,,,6,237707837
Dcard,有人看到我的卡嗎🥲,https://www.dcard.tw/service/api/v2/posts/237679061,2021-12-15T14:21:02.562Z,,,11,237679061
Dcard,尋找善心人士,https://www.dcard.tw/service/api/v2/posts/237676051,2021-12-15T07:42:45.072Z,,,5,237676051
Dcard,#法規 #警察違規取締,https://www.dcard.tw/service/api/v2/posts/237667581,2021-12-14T06:38:28.629Z,,,6,237667581
Dcard,受不了檢舉魔人！紅黃線違停「不能再檢舉」三讀通過,https://www.dcard.tw/service/api/v2/posts/237645200,2021-12-11T03:18:38.674Z,,,10,237645200
Dcard,跪求！！12/9八德路與修身路路口的行車記錄器（迎賓館路口）,https://www.dcard.tw/service/api/v2/posts/237639919,2021-12-10T08:09:12.134Z,,,0,237639919
Dcard,想晚7天回家 不要揪我ㄋㄟ,https://www.dcard.tw/service/api/v2/posts/237625961,2021-12-08T11:07:15.942Z,,,13,237625961
Dcard,計程車好兇,https://www.dcard.tw/service/api/v2/posts/237622325,2021-12-08T02:13:41.036Z,,,39,237622325
Dcard,水管路跟二路路口,https://www.dcard.tw/service/api/v2/posts/237619690,2021-12-07T14:34:50.531Z,,,7,237619690
Dcard,初次挑戰Xterra 越野跑28K，高溫高強度運動☀️明年再來挑戰！,https://www.dcard.tw/service/api/v2/posts/237611819,2021-12-06T13:46:21.102Z,,,6,237611819
Dcard,#新聞 竹縣十大交通建設經國橋改善獲中央核定12億,https://www.dcard.tw/service/api/v2/posts/237605302,2021-12-05T15:59:10.446Z,,,2,237605302
Dcard,Joeman 觀看數影片Top 10,https://www.dcard.tw/service/api/v2/posts/237604594,2021-12-05T14:38:14.815Z,,,1,237604594
Dcard,大家如果有經過可以幫我留意一下嗎,https://www.dcard.tw/service/api/v2/posts/237590937,2021-12-03T10:53:57.619Z,,,3,237590937
Dcard,想找今天1230左右在操場旁邊坐著練習彈唱「炙愛」的兩位同學,https://www.dcard.tw/service/api/v2/posts/237581266,2021-12-02T04:55:09.358Z,,,21,237581266
Dcard,女宿後停車場,https://www.dcard.tw/service/api/v2/posts/237581204,2021-12-02T04:44:54.907Z,,,6,237581204
Dcard,#靠北 新竹經國橋改善獲12億元  增加汽機車分流,https://www.dcard.tw/service/api/v2/posts/237579563,2021-12-01T19:03:23.962Z,,,23,237579563
Dcard,租屋處這邊的狗好煩,https://www.dcard.tw/service/api/v2/posts/237571971,2021-11-30T19:32:23.831Z,,,24,237571971
Dcard,#徵求 求助 11/29 晚上七點十分 台灣大道三段黎明路至朝富路路口的行車記錄器,https://www.dcard.tw/service/api/v2/posts/237569112,2021-11-30T12:43:05.86Z,,,0,237569112
Dcard,校外公車 屏東轉運站起點上車處12/1日8:00－18:00暫時更改位置,https://www.dcard.tw/service/api/v2/posts/237567609,2021-11-30T09:10:28.402Z,,,8,237567609
Dcard,高雄男性熱蠟評比 （不專業分享）,https://www.dcard.tw/service/api/v2/posts/237506343,2021-11-22T03:40:39.937Z,,,38,237506343
Dcard,擺滿公仔的飲料店...,https://www.dcard.tw/service/api/v2/posts/237477217,2021-11-18T03:03:12.377Z,,,6,237477217
Dcard,【翻譯恐怖故事】藍色的臉,https://www.dcard.tw/service/api/v2/posts/237472180,2021-11-17T09:56:59.36Z,,,12,237472180
Dcard,求助！！！！旗楠路跟立民路路口上午8點到8點10分的行車記錄器紀錄,https://www.dcard.tw/service/api/v2/posts/237468895,2021-11-17T01:41:51.213Z,,,6,237468895
Dcard,現主時,https://www.dcard.tw/service/api/v2/posts/237463688,2021-11-16T08:33:03.381Z,,,4,237463688
Dcard,協尋2021/11/13下午本校學生重大車禍事故影片,https://www.dcard.tw/service/api/v2/posts/237456781,2021-11-15T11:01:39.718Z,,,181,237456781
Dcard,求行車紀錄畫面,https://www.dcard.tw/service/api/v2/posts/237456739,2021-11-15T10:56:01.711Z,,,70,237456739
Dcard,求行車記錄器,https://www.dcard.tw/service/api/v2/posts/237433301,2021-11-12T04:45:47.607Z,,,20,237433301
Dcard,輔大後門停機車，結果被拖吊..,https://www.dcard.tw/service/api/v2/posts/237421558,2021-11-10T13:12:47.433Z,,,6,237421558
Dcard,你是蕭敬騰嗎？,https://www.dcard.tw/service/api/v2/posts/237415827,2021-11-09T17:09:13.574Z,,,63,237415827
Dcard,請益網路路由器tp-link ac1200 c80連線問題,https://www.dcard.tw/service/api/v2/posts/237413793,2021-11-09T13:04:55.665Z,,,2,237413793
Dcard,拜託各位幫幫忙!,https://www.dcard.tw/service/api/v2/posts/237410091,2021-11-09T04:21:31.39Z,,,9,237410091
Dcard,男友把自己的存款告訴我,https://www.dcard.tw/service/api/v2/posts/237399031,2021-11-07T14:27:29.89Z,,,0,237399031
Dcard,11/4 第六節下課修身路四維路路口電動車/檔車車禍（管院-農學院路口）,https://www.dcard.tw/service/api/v2/posts/237376131,2021-11-04T10:41:13.577Z,,,18,237376131
Dcard,#詢問 走路腳一直被看😔覺得色色ㄉ,https://www.dcard.tw/service/api/v2/posts/237360129,2021-11-02T08:34:40.875Z,,,139,237360129
Dcard,#問題 不熟路段交通（台北）,https://www.dcard.tw/service/api/v2/posts/237357965,2021-11-02T02:49:27.948Z,,,3,237357965
Dcard,近期瘋狂購買之翡翠（圖片很多）,https://www.dcard.tw/service/api/v2/posts/237357029,2021-11-01T19:00:21.241Z,,,20,237357029
Dcard,【只是一隻熊JUST A BEAR】座落於新店的大份量早午餐店,https://www.dcard.tw/service/api/v2/posts/237323339,2021-10-28T03:23:09.901Z,,,25,237323339
Dcard,女師遇盤查罵：你真的很蠢！遭警「大外割」壓制…雙方均不起訴,https://www.dcard.tw/service/api/v2/posts/237312418,2021-10-26T14:20:44.752Z,,,13,237312418
Dcard,停讓行人,https://www.dcard.tw/service/api/v2/posts/237308619,2021-10-26T05:04:35.874Z,,,25,237308619
Dcard,李雲迪嫖娼被拘 玻璃心飆破千萬,https://www.dcard.tw/service/api/v2/posts/237282272,2021-10-22T11:03:46.19Z,,,5,237282272
Dcard,機車族可以遵守交通規則嗎= =,https://www.dcard.tw/service/api/v2/posts/237278797,2021-10-22T01:09:23.429Z,,,22,237278797
Dcard,#推薦 #遊戲推坑 不走尋常套路的「掌門太忙」,https://www.dcard.tw/service/api/v2/posts/237267845,2021-10-20T11:48:30.209Z,,,23,237267845
