Source,Title,Link,Date,Summary,Text,Like
PTT,Re: [新聞] 台積電「高雄設廠」沒下文 網驚：這群人,https://www.ptt.cc/bbs/Gossiping/M.1634344867.A.BE5.html,2021-10-16 08:41:05,,楠梓因為炒台積電房價漲成那副德性造成舊市區當然也不甘示弱墊著楠梓價格往上衝然後美術館農16打著純住宅再墊著舊市區往上噴同事美術館皇__新屋，前年買2X/P台積電消息傳出來之後現在新的預售屋5X/P漲100%，這能看嗎?那些電台整天廣播台積電要來高雄的建商我看也沒人敢去檢舉科科...--SentfrommyWindows--,9
PTT,Re: [新聞] 台積電「高雄設廠」沒下文 網驚：這群人,https://www.ptt.cc/bbs/Gossiping/M.1634339795.A.13B.html,2021-10-16 07:16:33,,傳有那認廠，當高晚，這高雄一直想把中油楠梓那塊地讓給台積電不過就算台積電肯來也還是得等當地土地整治完土地整治今年才開始招標原訂2033年才能完成的環保整治暖男要求2023年就要完工還真的是兩年當四年用為什麼壓在2023年做政績呢跟2024年選舉有沒有關係呢這窩就撲不知道惹...嘻嘻--當地房子已經開漲了效率沒綽可能跟工法有關吧這窩就不是專業了,9
PTT,Re: [新聞] 台積電「高雄設廠」沒下文 網驚：這群人,https://www.ptt.cc/bbs/Gossiping/M.1634351181.A.1C9.html,2021-10-16 10:26:18,,風向帶的也太好笑了台積電設廠本來就是規劃到一定程度才會公開寶山廠是這樣，中科廠也是這樣誰說台積電一定不去高雄了？之前謠傳去美國設廠，台積電還出面否認勒結果最後還不是公布要赴美現在台積電說什麼？這就白話告訴你走到了評估階段了建議你們這些人適可而止，不要炒作這話題不然之後還是會被台積電打臉--「我看不到」「欸我真的看不到」「」「我還是什麼都看不到啊...」「我看不到我看不到我看不到!」--,9
PTT,Re: [新聞] 台積電「高雄設廠」沒下文 網驚：這群人,https://www.ptt.cc/bbs/Gossiping/M.1634346554.A.D0A.html,2021-10-16 09:09:12,,首先先說結論，台積電一定會去高雄，這是政治決定不可能不去。雖然我對高雄水電與複雜人際關係一樣不看好，但韓導的產生代表高雄壓力鍋已經炸一次，如果不是韓導自爆高雄至少丟八年。高雄壓力因為韓導卸壓但壓力環境還在，高雄人最多給暖男兩任期間，中間台GG沒來保證再爆一次，現在沒有張忠謀，民進黨不可能放過台積電，尤其美國日本歐洲都要去了，成本再高也高不過那三個地方但是暖男第一任期就別想了，歐美日三門期開，台GG建廠工程師大概會被吸空，資金缺口不是現在能處理，暖男下任也很穩，所以不會去也去不了，你以為有分身術？美國日本還是台灣政府爸爸，還幫忙推叫GG去，所以美日建廠前民進黨無法強迫GG去高雄，但建廠後下次選舉前至少會整地了，所以投資客該擔心的是你的點有選對嗎？你的資金撐得下去？--全台灣人都想去，標準放低一點就有，慘得是聯電會變員工訓練中心再慘也慘不過去美國，世界情勢啊原本要去了被美日截胡吧！台積電說缺電台灣政府搞不好核四都讓他跑，這個你別擔心這是韓導搞的，為何總統兩任容易政黨輪替，就是支持者感覺被欺騙受傷。韓導選總統後原本高雄人投給他希望他救高雄的全部感覺受騙，這種情感要兩任才有辦法淡化，不是選皇帝是韓導背叛革命這是韓導搞的，為何總統兩任容易政黨輪替，就是支持者感覺被欺騙受傷。韓導選總統後原本高雄人投給他希望他救高雄的全部感覺受騙，這種情感要兩任才有辦法淡化，不是選皇帝是韓導背叛革命這是韓導搞的，為何總統兩任容易政黨輪替，就是支持者感覺被欺騙受傷。韓導選總統後原本高雄人投給他希望他救高雄的全部感覺受騙，這種情感要兩任才有辦法淡化，不是選皇帝是韓導背叛革命我只是強調民進黨最後很容易轉彎，真的沒辦法讓核四運轉他也吞得下去為何要先進製程，成熟製程很容易也是台積電目前要蓋的,14
PTT,Re: [新聞] 台積電「高雄設廠」沒下文 網驚：這群人,https://www.ptt.cc/bbs/Gossiping/M.1634345460.A.DCD.html,2021-10-16 08:50:58,,政府喜歡吃台積電豆腐批評台積電用電太兇又把台積電當護國神山疫苗事件靠台積電壓低郭董聲量不時說要去德國高雄設廠還支持美國跟台積電索取生產資料這政府真蚌--,1
PTT,Re: [新聞] 台積電「高雄設廠」沒下文 網驚：這群人,https://www.ptt.cc/bbs/Gossiping/M.1634345107.A.6CE.html,2021-10-16 08:45:04,,吃電垃圾蓋在那誰就道楣幹你的勒整天說房價張真以為每個人都有土地可以賣唷來三小房價被吃電垃圾從十萬拉到二十萬甚至更高阿不就好棒棒滾蛋好嗎--拯救世界的偉人--,2
PTT,Re: [新聞] 台積電「高雄設廠」沒下文 網驚：這群人,https://www.ptt.cc/bbs/Gossiping/M.1634345894.A.398.html,2021-10-16 08:58:12,,高雄就好像一個魯蛇肥宅啊，成天只意淫別的小模，結果到頭來只有被唾棄的份兒。自己也不上進，成天搞北韓那一套發展一堆養蚊子的硬體設施。什麼輕軌啦，捷運啦，衛武營啦，總圖啦，駁二啦，基本上就是一堆人有聽過但沒人去的空殼子。真心覺得這種沒什麼人的地方直接拆一拆，拿去蓋工業區或是經濟發展區不是很好嗎？可惜綠共就是愛面子，凈搞這種華而不實的鬼玩意兒。結果軟體設施跟翔一樣，隨便一個火災就能死46人，全台灣就只有你一氣爆會炸整條街，隨便來個颱風都能把整個村子給埋了。試問高雄建設是紙糊的不成？人家台積電也只是客套話，客套話你還真較上了，一直死纏懶打的，是死人也要給你整成活人啦。高雄還是好好認清自己只能收老人湊和的養老院吧，給你個直轄市身分該偷笑了，明明就跟花東是同樣等級的鄉下地。--支語警察來囉笑了，台積電設廠，我直播吞翔要不？根本不可能23333333333估計台積電有人炒地皮的（狗頭自保）看不懂可以谷歌百度那種駁二還拿廢棄倉庫建造的，都不怕人一進去就地掩埋…,1
PTT,Re: [新聞] 台積電「高雄設廠」沒下文 網驚：這群人,https://www.ptt.cc/bbs/Gossiping/M.1634351944.A.1BE.html,2021-10-16 10:39:01,,無聊簡直不知所謂其實不管GG去不去政府都給了解套方案長春集團總裁林書鴻疾呼：從碳中和找出路台灣需要新的輕油裂解廠！老實講，台灣石化產業發展約50年，過去花了很多精神去降低成本，或者透過改造設備去節約能源與提高產能利用率，沒有太多空間可以去做高值化。因為台灣缺少乙烯、丙烯原料，但產業又有升級的迫切性，如果台灣沒有新的輕油裂解廠，要做高值化，免談。台灣要有新的輕油裂解廠，再結合台灣成熟的技術與人才，走高值化才會成功。這沒有人敢講，只有我敢這樣講。新加坡500多萬人，乙烯產量就有400萬噸；台灣2300萬人口，也是400萬噸。南韓有1000萬噸，中國有4000萬噸，相較之下，台灣遠遠落後其他國家。CPTPP對台有利缺乏原料無法高值化正所謂舊的不去新的不來那邊最適合再蓋個輕油裂解廠念化工的才可以找到更多工作啊！！-----SentfromJPTTonmySonyJ9110.--其實看無這老董在說啥蓋輕油裂解廠跟碳中和碳交易有啥關係@@a不對蓋新廠土地也不用整治省百億錢！！,5
PTT,Re: [新聞] 台積電「高雄設廠」沒下文 網驚：這群人,https://www.ptt.cc/bbs/Gossiping/M.1634352394.A.757.html,2021-10-16 10:46:31,,拜託在南京日本那些都低階的而且日本那個他們政府還補貼只有美國那個受到政治壓力才去成我也贊同上一篇的說法GG受到政治壓力去的機會很大但是你這樣講就跟那些炒房仔一樣蔡逼八我直接講啦這種大型投資案沒有環評之前都是假的GG設廠問炒過頭就對了當初竹南是怎麼吵的怎麼套的後來真的開始環評環評通過之後開始蓋廠房自己想一下有意願-環評-蓋廠-進駐總共多久像竹科寶山那邊也是環評徵收地徵收到上新聞中科那邊是砍樹被抗議南科那邊是買其他公司既有廠房即使是這樣也要做環差現在高雄那塊地按新聞來說應該無徵收問題但環評沒出來之前八字都沒一撇所以說想要提前布局的還是算了吧這不是炒房甚麼才是炒房還敢說台中咧--所以我就說要翻身你先問炒過頭當年是不是套到差點睡公園你就真的蔡阿GG的消息我盯很多年靠著GG我股票房市都賺了你是在那邊幻想啥嘿嘿變數很多的幾年後市長總統是誰都還不知道要知道GG這兩年擴廠的產能是不少的半導體光明年景氣大家都還有雜音哇靠好阿文章我備份下來不做環評也要做環差的我並不否認邁邁招商的決心是想提醒這個過程有多久而已就算中央地方全力開綠燈也不是新聞說得這麼樂觀GG之前才有員工因為炒股被開掉連他們員工自己放的話都不能信好嗎根據新聞他們就是把內部消息拿出來炒股阿不然科技業誰不買股票,4
PTT,Re: [新聞] 台積電「高雄設廠」沒下文 網驚：這群人,https://www.ptt.cc/bbs/Gossiping/M.1634352269.A.9B5.html,2021-10-16 10:44:25,,"我也覺得台積電遲早會去高雄現在連土地都幫忙準備好了有政府大力幫忙什麼優惠都好談相反的得罪政府不僅得不到好處有可能還會依法弄你水跟電也不是只會在高雄才存在的問題在台灣哪裡都要面對就算等真的缺說不定政府也會幫你弄到好而且再怎樣也可以先蓋個一期看看狀況交差了事所以五毛4%柯韓紅藍白粉也不用太早下定論這就像高端雖然世界上還不被認可但也是遲早也會慢慢開放的雖然程序邏輯上還是錯誤啦側翼也是遲早會拿這種事嘴人--我又不贊同現在的高端我意思是就算WHO未來會認可也不代表之前的施打是正確的但側翼不管怎樣都會跳過這個程序的邏輯嘴你對阿所以也能先蓋個一期作作樣子看看狀況嘛蓋了也可以給政府在那幾年內也能夠拿這事來當政績科技業是變化快的產業誰會知道未來半導體業會變怎樣八卦板不都我覺得不然還要博士專家才能發言喔?台積電布局跟政治因素並沒有衝突因為台積電本來就是深受政治優惠的產業所謂意願高就是等於利用政治提前幫台積電各種設廠困難問題都排除掉了先做一期廠看狀況本來就是會對台灣水電環境觀望的做法了且我講""再怎樣也可以""本來語法就如同""退一萬步而言""那種狀況知道台積電現在很缺要擴廠且剛好現在有地方可擴但如果突然沒那麼需要擴廠那也可以做做樣子畢竟科技業是瞬息萬變沒有人說確定喔^_<""媽阿簡直是時空反打臉",
PTT,Re: [新聞] 台積電「高雄設廠」沒下文 網驚：這群人,https://www.ptt.cc/bbs/Gossiping/M.1634359750.A.BFB.html,2021-10-16 12:49:08,,會不會當初說的高雄其實不是台灣的高雄而是日本的高雄這樣法說會提到要去日本設廠這樣是不是就吻合了-----SentfromJPTTonmyGooglePixel3a.--,5
PTT,Re: [新聞] 台積電「高雄設廠」沒下文 網驚：這群人,https://www.ptt.cc/bbs/Gossiping/M.1634365012.A.454.html,2021-10-16 14:16:50,,台積電除了在中國擴廠，會去日本是因為日本重啟核電中俄印伊斯蘭聯手漲價，台灣是能源進口國又廢核，廠商很快會跑光民進黨又搞凍漲或緩漲，台電、中油已經快要撐不下去了立委罷免案結束後，台灣電、油、氣費很可能大漲，民進黨又調高薪資台積電沒有說要全面遷離台灣，只是因為中美對抗下的左右為難關鍵材料供應的日本一招手，台積電馬上就過去了，企業棄台是必然的台灣經濟起飛是因為能源危機，在蘇聯留學的蔣經國，拉攏到能源國現在台灣就死定了，沒資源的海島又廢核，全民炒房的智障鬼島--,9
PTT,Re: [新聞] 台積電「高雄設廠」沒下文 網驚：這群人,https://www.ptt.cc/bbs/Gossiping/M.1634371827.A.4ED.html,2021-10-16 16:10:25,,我好奇阿台積自己連屁都還沒放外界就在那邊投資客進場炒地市府在那邊喊我們準備好了黑道磨拳擦掌準備收保護費是不是就像說假設我是一個有錢人某天突然遙遠城鎮的某間店傳出我會上門消費然後突然各路投資客都衝進那間店周圍擺了一堆小攤販準備賣我東西連旅館都蓋好了住一晚價格=旅館造價當地市府掛出招牌歡迎XXX蒞臨消費黑道在我家到那間店中間沿路攔道擺攤收過路費整個一路要把我當羊宰光吸乾的樣子這情況下哪個白癡會真的乖乖過去消費被宰阿我是不會啦傻了才去有沒有八卦?--政治喊口號開支票很正常我好奇的是他們搞得吃相那麼難看到底哪來的自信覺得台積會真的兌現這張支票...還是他媽的現在全台灣剩我一個人會在意台積是不是會去高雄?房有炒到就好傻了才在意台積是不是真的進駐,3
PTT,Re: [新聞] 台積電「高雄設廠」沒下文 網驚：這群人,https://www.ptt.cc/bbs/Gossiping/M.1634388743.A.C2F.html,2021-10-16 20:52:21,,現在油、氣價格高漲，台電油氣發電佔比47%，國際煤價漲了快五倍，煤碳發電32%台灣2025年核能完全除役，少了10%的核能，在缺水季節會讓火力發電佔比高達95%法國核能佔比超過70%，南韓佔比超過30%，日本全面重啟核電~~未來會高達40%中國煤礦產量佔比接近全球一半，加上俄國、伊斯蘭的石油、天然氣美國撐了這多年、債台高築，己經沒有力量再去阻擋能源價格大漲當美國放推的時候，台灣就死定了，台灣可不像德國可以跟法國買電台灣便當150元起跳的時代要到了，還有人在作夢2024嗎?--,3
PTT,[問卦] 這群人為什麼可以紅那麼久?,https://www.ptt.cc/bbs/Gossiping/M.1634406088.A.268.html,2021-10-17 01:41:26,,這群人每次發影片都會登台灣YT發燒影片1他們紅好久喔台灣始祖網紅吧??影片風格好像都差不多經典語錄系列我好久沒看了沒啥興趣都是誰在看的啊?有八卦嗎?--,55
PTT,[問卦] 台積電在高雄設廠為什麼有群人不太開心?,https://www.ptt.cc/bbs/Gossiping/M.1636471654.A.5B4.html,2021-11-09 23:27:32,,欸欸今天算是正式宣布台積電落腳在高雄但說實話又不關我的事我也只有一張台積電而已他們企業怎麼評估怎麼決定也輪不到我可是我看板上好像有群人很替台積電擔心甚至有些人好像很生氣請問是有什麼原因嗎--,4
PTT,Re: [問卦] 央行到底是一群人才 還是一群草包?,https://www.ptt.cc/bbs/Gossiping/M.1636205174.A.283.html,2021-11-06 21:26:12,,"瑞士和越南去年底被列為匯率操縱國。雖然瑞士央行(SNB)已向美國財政部表示善意，拋售接近1兆美元外匯，但瑞信經濟學家MaximeBotteron說，這個規模不足以幫助瑞士擺脫標籤。目前被美國列為匯率操縱國觀察名單中的還包括中國、德國、日本、義大利、印度、新加坡、愛爾蘭和墨西哥。這些國家還真可惡拼命操縱匯率維護自己國家的出口業日本零利率20年韓國基準利率0.75ECB將主要再融資利率、邊際貸款利率和存款利率分別維持於0%、0.25%和-0.5%不變，且重申繼續執行""購債計劃""。這些國家真傻利率這麼低還一直購債會讓企業轉型緩慢耶它們怎麼不懂啊一群草包好奇怪喔兩天前的聯合新聞網""Fed縮表不升息美股三大指數連4日創新高""美國怎麼升息了記者還寫說沒升息到底有沒有升息阿???????覺青最大的問題就是脫離現實然後拿著書""致障的特權""當作聖經在讀當全世界都在印鈔降息的時候只能夠裝死噴台灣央行至於帶頭大QE的柏南克葉倫鮑爾就當作沒看到因為致障的特權沒教要怎麼面對這個矛盾的局面如果把全世界的央行聯準會主席都噴一遍會顯得自己更致障--",
PTT,Re: [問卦] 央行到底是一群人才 還是一群草包?,https://www.ptt.cc/bbs/Gossiping/M.1636204833.A.17A.html,2021-11-06 21:20:31,,代工大國的台灣帶頭壓低利息，以台灣過往的人均GDP水平，這種利率真的太扯了中美貿易戰開打，14A就立刻跑人，就是知道會有全球大通膨這一天的到來14A早就說過，當中美兩條大船開始掀起巨大的波浪時，台灣這條小船隨時會翻覆14A的專業不用多說，但是主要方向卻是違背專業也許當中美貿易戰的時候，他警覺到巨大的危機要來了，但是....也改變不了什麼只能離職，然後看者台股炒作上一萬七，營造更巨大的金融泡沫所以宋楚瑜主席，才會帶者在野黨們組建反前瞻大聯盟，實際上真正的原因是這個甚至民進黨新潮流也起來要幹倒蔡英文，可惜在韓國瑜發大財....最終都失敗了國民黨的死忠支持者們，投給出來幫助蔡英文的韓國瑜，這將會是千秋萬世的大笑話--炒房亡國,2
PTT,Re: [問卦] 央行到底是一群人才 還是一群草包?,https://www.ptt.cc/bbs/Gossiping/M.1636205900.A.EE4.html,2021-11-06 21:38:16,,"央行當然不是智障，央行要維護的是資產階級的利益。資本主義就是這麼玩。智障的是以為央行就該是為韭菜好的韭菜。好像紮個覺青的稻草人就覺得自已贏了。「中國就有這麼一群奇怪的人,本身是最底階層,利益每天都在被損害,卻具有統治階級的意識.在動物世界裡找這麼弱智的東西都幾乎不可能」--林語堂--腐敗盛行，你不罵；權貴橫行，你不怒；教育之重，你不語；醫療之痛，你不忿；農村之病，你不視；下崗之哀，你不聞；專獨之惡，你不問；可每每因了一些于民無甚增減，于家無甚建樹，于己無甚危險的事情時，你就拍案而起了，你就熱情似火了，你就沖鋒陷陣了，你就上竄下跳了!--玻璃碎了喔，有保AppleCare+嗎0.0QE外溢到台股萬八，台積電股東有沒有受益？買不夠多賺不夠多怪我瞜",
PTT,[問卦] 這群人怎麼能合作這麼久？,https://www.ptt.cc/bbs/Gossiping/M.1606832253.A.821.html,2020-12-01 22:17:31,,這幾年幾個走紅的YouTuber好幾個都單飛了最近的有屏東組合再更之前則有bang哥單飛之後能持續維持高點閱率的也沒幾個想問一下這群人人數明明更多怎麼能共事這麼久呢還會常常去feat.別的youtuber有什麼卦嗎--,3
PTT,[問卦] 為什麼這群人穩坐臺灣YT訂閱冠軍,https://www.ptt.cc/bbs/Gossiping/M.1613965662.A.CDD.html,2021-02-22 11:47:40,,這群人TGOP，目前訂閱338萬2011成軍到今年即將滿10年過去經典作品有超瞎翻唱、經典語錄系列因為木曜四訂閱破200萬查了一下才發現這團還活著！！屌打元老級的蔡阿嘎教育頻道吸訂閱的阿滴而且觀看也還是很高有沒有這團到底怎麼活那麼久的八卦--跟上時代吧！但是觀看也很高唷不只是不退訂而已我也是,23
PTT,[新聞] 「謝謝大家，掰」 這群人展瑞刪光49萬人I,https://www.ptt.cc/bbs/Gossiping/M.1612154076.A.6C0.html,2021-02-01 12:34:30,,1.媒體來源:中時2.記者署名:黃詩淳3.完整新聞標題:「謝謝大家，掰」這群人展瑞刪光49萬人IG貼文4.完整新聞內文:擁有超過3百萬訂閱數的超夯YouTuber「這群人」成員展瑞，除了經營團體頻道，也和雙胞胎哥哥展榮一起開設「展榮展瑞K.RBros」頻道，平常會在個人IG分享近況的他，近日突拋震撼彈，刪光全部貼文，宣布全面暫停更新。展瑞IG擁有49.4萬的粉絲追蹤，1日他刪光所有貼文，並把大頭照換成灰底，他之後也發長文寫下：「這段期間謝謝你們照顧，我要暫停IG的發文更新一陣子」，一開頭就拋下震撼彈。他坦言自己過去長時間被社群綁架，每天都在想有什麼沒說或沒發的，但他現在領悟到，如果生活上沒什麼好說的，那就也不用硬發：「讓作品去說話吧」，新的一年他常提醒自己，要像一張白紙一樣，這樣才能接受更多的可能。雖然這個決定對很多社群控來說其實很難，但他想了很久，「的確我知道大家都可以諒解不管我做什麼決定，但難的不是大家能否接受，而是我自己能否接受，接受改變自己的習慣，接受更多自己的可能性～呼～人類嘛有什麼不可能的。」最後他引用自己和展榮、茵聲合唱的《這是我》歌詞，「你有你燦爛的夢別找藉口，你做你自己打破他們枷鎖」，並將最後一句改成「說這幾年的時間你才搞懂『我』」，並和大家約定未來見，他會好好整頓自己，限時動態也直接打「謝謝大家，掰」，和所有的粉絲告別。5.完整新聞連結(或短網址):6.備註:--,-1
PTT,Re: [問卦] 看好了世界台灣…這群人的人格特質？,https://www.ptt.cc/bbs/Gossiping/M.1621667744.A.C6C.html,2021-05-22 15:15:40,,這些人大概就是像那群動不動就開超跑愛國住在外國的中共紅二代一樣站著講話不腰疼不知人間疾苦不然就是整天活在幻想世界的人要知道今天的防疫是已經犧牲了一堆人的成功多少人忍耐著甚至工作都沒了就是為了所謂的社會安全但這政府還是把鍋砸了然後現在出來一幫人滿面風光的說著意氣昂揚的話殊不知所謂加大力道就只是在拉一堆人下來墊背而已莫忘世上苦人多-----SentfromJPTTonmyiPhone--◢███◣◤≡▌｜─⊙-⊙-▏｜皿▏濃稠的白色液體是我對妳的思念。＼︶／--,
PTT,[新聞] 這群人歡喜服務13年 對象「都是先人」,https://www.ptt.cc/bbs/Gossiping/M.1616403958.A.6BE.html,2021-03-22 17:05:55,,1.媒體來源:自由時報2.記者署名:黃淑莉3.完整新聞標題:這群人歡喜服務13年對象「都是先人」4.完整新聞內文:一群來自各行各業的人組成「十方菩提行者義工團」，四處幫忙整理無主骨骸，7年多處理超過，幫助安奉超過萬名無主先人。位在雲林大埤公墓旁的慰靈堂，今天一早除因提早掃墓的人潮變得熱鬧，一旁空地還一群人忙著整理一堆殘破不堪的骨骸，引人好奇，他們是「十方菩提行者義工團」從去年7月至今每週日都在該地幫忙整理無主骨骸。義工團發起人賴秀滿指出，義工團最早是「永康小廟清潔隊」幫忙整理乏人問津的小廟，6年多足跡遍布全台，有次在小廟內發現一大堆無主骨骸，骨灰甕破損骨骸散落一地，逐一清理後安奉在菩提桶內。賴秀滿說，不知是靈異或巧合，之後因緣認識許多志同道合的人，告知哪裡有需要協助整理的骨骸，開啟義工團整理無主骨骸服務，今年邁入第8年，到過彰化、嘉義及雲林多處，整理的骨骸超過20萬斤。十方菩提行者義工團團長35歲黃家豐表示，，大部分是全家人或朋友結伴來參加，像賴大姐的先生、女兒，他自己也是跟著60媽媽一起來，還有不凡師姐她是出錢又出力。最特別是來台中的葉立明、陳佩渝夫妻從網路得知義工團服務訊息，連絡後就帶著3個子女加入，葉立明說，週一至週六要上班工作，孩子不排斥、也不會害怕，全家當假日休閒一起來幫忙，很快樂。黃家豐說，服務費用都是成員自掏腰包，或親友捐助，但若遇骨骸數量太多或環境太惡劣需要重建，費用龐大時就很吃力；另義工團服務無主骨骸，成員募集不易，至今10多年，成員現只1、20人，其實只要持善念、平常心無需懼怕，有興趣的民眾可上「十方菩提行者義工團」臉書粉專查詢，也歡迎大家加入。5.完整新聞連結(或短網址):6.備註:看起來超強的，那個小孩在滿堆的骨頭旁...--,13
PTT,[新聞] 這群人搶先看完「美軍UFO報告」知道細節全怕爆：恐威脅國安,https://www.ptt.cc/bbs/Gossiping/M.1624019217.A.FEC.html,2021-06-18 20:26:55,,"1.媒體來源:國際新聞|ETtoday新聞雲2.記者署名:記者張寧倢／編譯3.完整新聞標題:這群人搶先看完「美軍UFO報告」知道細節全怕爆：恐威脅國安4.完整新聞內文:▲高等航太威脅辨識計畫的前負責人艾利桑多（LuisElizondo）於2017年公開一段美國軍官直擊UFO的影像，五角大廈也在去年確認影片為真。記者張寧倢／編譯美國部分政界人士聽取美國國防部機密報告後發出警告，原訂於6月25日前公布這份不明飛行物（UFO）的航空現象報告，將對國家安全構成威脅。其中田納西州共和黨籍議員波奇特（TimBurchett）更意有所指表示，「很明顯地，有些事情是我們處理不來的（wecan’thandle）。」根據《衛報》報導，美國國會要求，五角大廈與白宮情報顧問等其他情報單位須在6月25日前正式提交有關不明航空現象（UnidentifiedAerialPhenomena，UAP）的報告，但部分議員已經提前聽取報告的細節內容，有些議員對此發出深刻擔憂。佛州民主黨籍議員德明斯（ValDemings）在簡報會後表示，「正如所知，這一直關係到安全與保障，我們將國安放在首位，這是我們今天上午真正關注的領域。」與會的紐約民主黨籍議員馬隆尼（SeanMaloney）表示，「基於處理國家或美軍的安全與保衛的層面，將認真對待這些無法解釋的航空現象，所以我們想知道我們在處理的到底是什麼。」馬隆尼認為，重要的是需要弄清楚，美方人員、行動與敏感活動的安全都存在的問題，「我們都知道（未知）技術正在擴散，我們需要更瞭解這個領域。」此前，高等航太威脅辨識計畫的前負責人艾利桑多（LuisElizondo）上周向《華盛頓郵報》表示，UAP構成了嚴重威脅，在美國已經發生過UAP干擾並導致核能中斷的事件，而且也有證據表明，其他國家的核技術也因此被干擾，「我們非常確信，我們正在關注的這項技術是超越好幾世代的，可能比我們早了50年到1000年。」5.完整新聞連結(或短網址):6.備註:已經很多證據顯示我們並不孤單,只等一個官方正式宣布外星人的存在--",51
PTT,[問卦] 看好了世界台灣…這群人的人格特質？,https://www.ptt.cc/bbs/Gossiping/M.1621661387.A.EB4.html,2021-05-22 13:29:44,,"哈囉你各位吃了防吐藥的正妹帥哥「看好了世界,台灣只示範一次2週內解除三級警戒！」這群人的人格特質是什麼？--",81
