Source,Title,Link,Date,Summary,Text,Like
ettoday,鍾明軒22歲生日購入奧迪名車！開箱三門坐駕網驚呆：好年輕就買車,https://www.ettoday.net/news/20211111/2121824.htm?from=pctaglist,2021-11-11 17:54,網紅鍾明軒8年前因為翻唱《煎熬》爆紅，目前已擁有100多萬YouTube粉絲的他，常針砭時事，直率嗆辣的說話風格吸引不少網友關注，近日在頻道上更新影片，透露即將度過22歲生日的他，做了一件人生大事，那就是「買車」，開心地用影片開箱新車並記錄自己買車的心情，引起許多網友討論。,,0
ettoday,爸媽仍盼他延續香火！　鍾明軒找女生約會：為他們做最後一次嘗試,https://www.ettoday.net/news/20211017/2102962.htm?from=pctaglist,2021-10-17 00:48,網紅鍾明軒有著獨特中性氣質，雖然從不避諱自己喜歡男生，但因為出生在相當保守的家庭，至今仍被父母盼著跟女性結婚生子。他為此拍攝影片，決定再為了他們嘗試一次「跟女生在一起」，特地模仿直男跟女生約會一天，然而從頭到尾都超不順利！,,0
ettoday,還在猶豫分期買Pro Max…鍾明軒一回家愣住！收貼心大禮：喜極而泣,https://www.ettoday.net/news/20210924/2086856.htm?from=pctaglist,2021-09-24 22:03,iPhone 13系列於24日在台灣開賣，許多人一大早就搶購新機，並紛紛在網路上開心秀出。網紅鍾明軒在Instagram透露，自己也想要換一支Pro Max，但因為價格高，本來還在猶豫要分期或是續約，沒想到開賣第一天就收到驚喜禮物，感動到大呼：「直接喜極而泣！」,,0
ettoday,2天前才曝打完高端…鍾明軒「收警示簡訊」　秒衝快篩站結果出爐！,https://www.ettoday.net/news/20210904/2072139.htm?from=pctaglist,2021-09-04 20:44,近日長榮航空兩名機師確診，指揮中心針對8月13日至9月2日期間，曾與確診者接觸或曾於相關時間及地點出入之民眾，發送110萬筆警示簡訊。稍早，網紅鍾明軒也在社群網站上發文，透露自己也收到該封簡訊，讓他嚇了一大跳，緊急預約做快篩，引起熱議。,,0
ettoday,打完高端「副作用超棒」！鍾明軒：不信國產，請去打對岸疫苗,https://www.ettoday.net/news/20210903/2071013.htm?from=pctaglist,2021-09-03 11:03,網紅鍾明軒相當關心時事，直率的風格吸引不少人關注，YouTube頻道更突破105多萬訂閱。他2日在YouTube貼出到花蓮獨旅的紀錄。在出發前，他跟粉絲分享最近做到了什麼事，第一件就自曝「我打了我國家的國產疫苗」，即使知道高端沒有國際認證，但如果連自己國家的疫苗都不相信，那「請去打對岸疫苗。」,,0
ettoday,鍾明軒買威而鋼「約人連結」！　1歲愛貓誤吃壯陽藥：做好土葬準備,https://www.ettoday.net/news/20210724/2038809.htm?from=pctaglist,2021-07-24 11:10,鍾明軒常針砭時事，嗆辣的說話風格吸引不少網友關注，近日他拍片再度砲轟黑心廠商，講到最後突然話鋒一轉，坦言自己性需求非常高，因此常會約人來一場「美味遊戲」，還會貼心幫忙準備「壯陽藥」，沒想到卻不小心被愛貓誤食，嚇得他「做好了土葬（貓咪）的準備」。,,0
ettoday,男星3度演同志喊史上最難！曝導演要他「以鍾明軒為範本」,https://www.ettoday.net/news/20210628/2017904.htm?from=pctaglist,2021-06-28 20:17,38歲的蘇達演出電影《賽德克・巴萊》出道，在「同志音樂愛情故事」微電影《親親壞姊妹》中第3度接演同志角色，日前他登上YouTuber傳播弟節目宣傳，透露導演柳廣輝和他說以網紅鍾明軒當範本去揣摩角色，直言這次的電影是他覺得有史以來最難的。,,0
ettoday,口罩戴久了狂長痘！鍾明軒戳破7秘訣「最後1招是真理」養出少女美膚,https://www.ettoday.net/news/20210624/2014764.htm?from=pctaglist,2021-06-24 15:01,隨著本土疫情延燒，三級警戒延長至7月12日，民眾出門必須佩戴口罩的時間也跟著拉長了，但不少人也因此長了一堆痘痘，對此，鍾明軒透露身邊有許多朋友正飽受此困擾，於是他決定分享7種在疫情期間能讓皮膚變好的方法，「我非常清楚皮膚很差真的會很想死那種心情。」,,0
ettoday,鍾明軒開罵汪小菲「你真的Go To Hell」：最沒資格講話就是你們！,https://www.ettoday.net/news/20210611/2004393.htm?from=pctaglist,2021-06-11 09:35,鍾明軒常針砭時事，嗆辣的說話風格吸引不少網友關注，近日受到疫情影響，他已經待在家裡3、4個禮拜，昨（10日）釋出最新影片，除了拍下居家防疫時的VLOG，他也忍不住在鏡頭前訴說心聲，隔空痛罵汪小菲：「如果地獄真的存在，你真的GO TO HELL！」,,0
ettoday,鍾明軒大學演講狂被罵「請這種級數的網紅？」 正面開槓：沒禮貌,https://www.ettoday.net/news/20210511/1978749.htm?from=pctaglist,2021-05-11 09:25,鍾明軒常針砭時事，嗆辣的說話風格吸引不少網友關注，卻也因此常招來不必要的謾罵，沒想到，最近接連受邀演講也遭批評：「學校現在都請這種級數的網紅來演講？」對此，他選擇用錄影片的方式一一回應了，「我覺得你很沒有禮貌欸。」,,0
ettoday,鍾明軒擲10次筊求紅線…突曝「有男友了」　約會過程甜翻網：超配,https://www.ettoday.net/news/20210425/1968015.htm?from=pctaglist,2021-04-25 20:34,網紅鍾明軒8年前因為翻唱《煎熬》爆紅，目前已擁有100多萬YouTube粉絲的他，常針砭時事，直率嗆辣的說話風格吸引不少網友關注，近日在自己的頻道更新影片，標題寫著「有男朋友了」，並曬出一整天與「男友」約會的過程，甜蜜的互動讓許多網友忍不住興奮直呼「太配了」，引起熱議。,,0
