Source,Title,Link,Date,Summary,Text,Like
ettoday,太好哄了吧！巧虎大神發威　喵星人剃毛邊看卡通超級乖,https://www.ettoday.net/news/20180709/1208611.htm?from=pctaglist,2018-07-09 17:32,知名卡通可愛巧虎島是小朋友的最愛，連喵星人阿啾都抵擋不住魅力！網友Kai-yu Chan在「貓咪也瘋狂俱樂部」社團當中，上傳一則影片，影片中主人正在替阿啾剃毛，然而要哄毛小孩剃毛的方式，竟然是播放巧虎的影片！,,0
ettoday,麻麻熱情獻吻　喵皇睜大雙眼「超嫌棄」：奴才壞掉了,https://www.ettoday.net/news/20171222/1077923.htm?from=pctaglist,2017-12-22 17:21,喵咪是個非常有個性的生物，時而黏踢踢，時而耍孤僻，讓人怎麼都猜不透！台中一隻喵喵「阿啾」正趴在桌上，沒想到麻麻一時興起熱情獻吻，沒想到正當她慢慢湊過去時，阿啾竟瞠大雙眼，露出嫌棄的表情，彷彿在說，「走開奴才，這是要留給我未來女友親的！」,,0
ettoday,「閉著嘴巴唸SHE」　3大超壞惡整玩笑...快找朋友練習,https://www.ettoday.net/news/20160917/774454.htm?from=pctaglist,2016-09-17 11:30,朋友之間通常都會有一位特別愛開玩笑，以整人為樂的「惡霸」角色存在，有時候想要反整，卻常常還是贏不了他們的尖牙利嘴。插畫家阿啾就在臉書上傳了一部影片，描述3個「超壞整人玩笑」，快來一起看看你是否有中計過吧！,,0
ettoday,4我+4我等於多少？　回答正確直接「8」下去,https://www.ettoday.net/news/20160902/767757.htm?from=pctaglist,2016-09-02 14:53,「阿啾繪圖同萌」粉絲專頁先前推出「我恨這些玩笑」一系列的影片，廣受網友歡迎，近期再推出「我恨這些玩笑3」來捉弄朋友，PO出至今已累積86萬觀看次數，2千多則分享轉載，讓許多網友紛紛回應「三度的重度患者XD」、「可以update笑話了」、「快學起來才不會一直被欺負」、「第一個我喜歡哈哈」。,,0
ettoday,「寶可夢戰術」讓小孩幫忙跑腿　網笑：媽媽的新招啊～,https://www.ettoday.net/news/20160830/765523.htm?from=pctaglist,2016-08-30 18:42,只能說一山還有一山高！網路漫畫作家「阿啾繪圖同萌」時常於粉絲團推出貼近生活的趣事，近日分享圖文中寫道，「感謝寶可夢讓家中孩子出去幫忙跑腿」，引起網友共鳴。許多玩家把收服的神奇寶貝隻隻進化到最強，但是媽媽也不甘示弱，搭著「寶可夢順風車」，機靈反制家中沉迷手機遊戲的小孩。,,0
ettoday,沒有WiFi怎麼生活？　網：雖懷念以前，但還是要滑手機,https://www.ettoday.net/news/20160818/757916.htm?from=pctaglist,2016-08-18 18:43,你也有網路成癮症嗎？網路漫畫作家「阿啾繪圖同萌」時常於粉絲團上推出逗趣的生活小事，分享圖文中寫道，「以前沒有訊號、沒有WiFi到底是怎麼活過來的？」。由於現代人生活太依賴網路，以致像世外桃源、收訊差的地方都沒有人想去，只想到前往的目的地有沒有WiFi可以使用，一脫離網路世界就非常焦慮啊！,,0
ettoday,好心幫忙反被「迷姦瓦斯」襲擊　網笑：發動童子拜觀音,https://www.ettoday.net/news/20160804/748724.htm?from=pctaglist,2016-08-04 18:24,你是不是也曾經這樣對待朋友呢？網路漫畫作家「阿啾繪圖同萌」時常在粉絲團上推出搞笑的生活趣事，近日上傳一張圖文，PO寫道...無言，學長故意把阿啾叫到身後，看似好像有什麼事要請教幫忙，殊不知下一秒又被學長惡整了，引起網友熱烈迴響。,,0
ettoday,玩遊戲和朋友嘴砲最好玩！　網：我永遠都是破產那一個,https://www.ettoday.net/news/20160725/742091.htm?from=pctaglist,2016-07-25 19:37,「阿啾繪圖同萌」時常在粉絲專頁上推出搞笑的生活趣事，這次分享的漫畫專頁畫出很多網路線上玩家玩遊戲其實不是因為遊戲好玩，而是可以跟朋友一起嘴砲才好玩！不論是不是一起玩遊戲，只要是跟朋友們聚在一起，互相吐槽、嘲笑對方才是遊戲中真正的樂趣。,,0
ettoday,影片趣問蝴蝶的小孩是甚麼？　網友笑：那蝴蝶的姊姊呢！,https://www.ettoday.net/news/20160718/737603.htm?from=pctaglist,2016-07-18 18:55,曾經有朋友跟你開過這些玩笑嗎？還是你就是開玩笑的人？「阿啾繪圖同萌」粉絲專頁推出「我恨這些玩笑」影片後深受網友們歡迎。近期再推出第二彈「我恨這些玩笑2」，累積已有6萬多觀看次數，790多則分享，網友紛紛回應「假的！都是假的」、「開學要整誰？」、「難怪阿啾額頭寬，都是學長拍打出來的」。,,0
ettoday,下面一點...　「高雄癢央的夜晚」正妹騎士幫我搔背,https://www.ettoday.net/news/20140615/367918.htm?from=pctaglist,2014-06-15 00:58,網路上擁有5萬粉絲的漫畫家阿啾，12日分享創作，描述他的朋友晚上騎機車停等紅燈時，突然背後一陣癢卻抓不到，竟然有一名正妹騎士伸手相助幫他抓癢，這段奇遇被PO上網，改編成漫畫意外引發討論。回憶當時情況，當事人尷尬又感激。,,0
