Source,Title,Link,Date,Summary,Text,Like
ettoday,李瑞鎮禿頭上陣「全場大笑歡呼」驕傲：我很滿意！網讚：好努力生活,https://www.ettoday.net/news/20211216/2147789.htm,2021-12-16 15:20,韓星李瑞鎮和羅美蘭合作最新戲劇《內科朴院長》，日前曝光的禿頭裝扮引起了廣大迴響，近日受訪就談到還因此看到有人說「我要跟李瑞鎮一樣努力過活」，但對他來說這是身為演員該做到的一般事情，而且看到現場工作人員的反應更覺得一切都很值得。(影劇 / 2021-12-16 15:20),,0
ettoday,阿滴宣布轉職「2022重心擺新身分」 豪辦200人尾牙…她一晚中30萬！,https://www.ettoday.net/news/20211216/2147649.htm,2021-12-16 13:30,阿滴在YouTuber圈打滾6年經歷各種大小困難，也認識了很多創作者，今年和志祺創辦台灣新媒體影音創作者協會，今（16日）宣布轉職新身分，重心也會放在這之上，年終派對抽禮物更是送得大方。(影劇 / 2021-12-16 13:30),,0
ettoday,阿滴羞穿白婚紗！他裸身「公主抱」學邱澤、許瑋甯放閃：我們結合了,https://www.ettoday.net/news/20211216/2147246.htm,2021-12-16 00:03,YouTuber阿滴與妹妹滴妹一起拍影片教英文，於2019年11月突破200萬訂閱，成為台灣具有影響力的網紅之一，近日他在萬豪酒店盛大舉辦「台灣創作者協會」的尾牙，作為2021年最後的派對，現場還有獎金抽獎，集結大批知名YouTuber，包含反骨男孩成員、黃大謙、Hook等人，他甚至穿上誇張白紗扮女裝，反差的模樣曝光後，引起許多網友熱議。(影劇 / 2021-12-16 00:03),,0
ettoday,房祖名執導處女作被封3年…大陸終於上映！海報曝光「導演變別人」,https://www.ettoday.net/news/20211207/2140964.htm,2021-12-07 23:48,藝人房祖名是香港動作巨星成龍與林鳳嬌的兒子，出生在演藝世家的他，也選擇進入演藝圈，然而卻在事業正要起步時，在2014年爆出呼麻事件，重創形象，近年來也鮮少出現在螢光幕前，甚至還傳出他被列入「劣跡藝人」的名單內，導致先前執導的電影遲遲無法上映，沒想到這一部片經歷了幾次改名後，終於即將在10日於大陸上映，只是相關資料再也沒有他的名字了。(影劇 / 2021-12-07 23:48),,0
ettoday,白癡公主突曬超音波照！曝凍卵1個月「有好消息」理科太太現身給建議,https://www.ettoday.net/news/20211207/2140953.htm,2021-12-07 22:46,YouTuber白癡公主目前30歲，自稱「貧乳界女神」，無厘頭的風格深受網友喜愛，經營個人頻道已有11年時間。她在去年因月經不順，赴醫院檢查被診斷出「多囊性卵巢症」，加上個人的生涯規劃，在11月10日時宣布決定做凍卵手術，7日晚間曬出一張拿著超音波照的畫面，疑似有好消息傳出，引起許多網友熱議。(影劇 / 2021-12-07 22:46),,0
ettoday,歐陽娜娜突曬十指緊扣牽手照！親密躺胸「金髮男」網驚：官宣戀愛？,https://www.ettoday.net/news/20211207/2140922.htm,2021-12-07 21:18,藝人歐陽娜娜外型清純甜美、氣質清新，近年把重心轉往大陸發展，不僅接拍綜藝節目，也不時透過社群媒體和粉絲互動，人氣不斷飆升，近期還她成為節目《奇遇·人間角落》的主角之一，邀請朋友一起探訪社會上的溫暖故事，7日凌晨在社群網站上曬出一系列近況美照，沒想到其中幾張親密畫面，讓網友一看驚呼「談戀愛了嗎」，引起熱議。(影劇 / 2021-12-07 21:18),,0
ettoday,罔腰直奔台中改名！ 新名字狂冒「夢幻、甜美」風…先前就曝光過,https://www.ettoday.net/news/20211207/2140900.htm,2021-12-07 19:50,網紅鳳梨（吳泓毅）和罔腰（江嘉文）曾有過一段4年戀情，2019年分手後，如今各自發展新的感情，彼此之間也都維持友好互動。近日罔腰決定要改名，煩惱著該選什麼新名字，還為此發文徵詢網友意見，怎料鳳梨突給出無厘頭的建議「江薑漿槳」，幾日之後罔腰終於曝光新的名字，意外散發出夢幻氣息，引起熱議。(影劇 / 2021-12-07 19:50),,0
ettoday,台劇3女神脫光合體泡湯！ 一轉身露雪白美背「外洩渾圓胸型」辣翻,https://www.ettoday.net/news/20211207/2140857.htm,2021-12-07 18:17,藝人臧芮軒演出電視劇《甘味人生》、《一家人》漸漸走紅，吸引數十萬名粉絲關注，她平時常透過網路分享生活照，跟粉絲互動，日前在31歲生日時拓展副業，開設一間餐廳，私底下和黃云歆、吳季璇因為拍攝《三明治女孩的逆襲》結緣，3人成為演藝圈的好閨蜜，近日還一起脫光泡湯，姣好的身材吸引許多網友討論。(影劇 / 2021-12-07 18:17),,0
ettoday,一隻阿圓突現身大安戶政事務所 「喜曬身分證」阿滴驚問：結婚了？,https://www.ettoday.net/news/20211207/2140777.htm,2021-12-07 16:58,YouTuber「一隻阿圓」擁有甜美外表和E罩杯的火辣身材，時常分享穿搭美妝資訊，受到許多粉絲追隨，在網路上享有高人氣，還推出全新寫真年曆，在鏡頭前打扮性感、神情誘人，吸引許多粉絲捧場，沒想到7日突然在社群網站上曬出現身戶政事務所的畫面，還貼出身分證照片，瞬間掀起大批網友熱議。(影劇 / 2021-12-07 16:58),,0
ettoday,遇到恐怖情人怎麼辦？「8本自救書單」控制狂、病態人格渣男快走不送,https://www.ettoday.net/news/20211206/2139715.htm,2021-12-06 18:17,很多傷害、侵犯、暴力事件都並非來自陌生人，反而是發生在家人、伴侶、朋友等親近之人間，其實日常相處是可以觀察到蛛絲馬跡的，只是我們未曾留意或在意，編輯為大家整理了「8本自救書單」教你如何辨別身邊的「恐怖份子」，並從這危險關係中脫身。(時尚 / 2021-12-06 18:17),,0
ettoday,【廣編】阿滴代言「長群享享CITY」 首場沙龍談斜槓,https://www.ettoday.net/news/20211129/2134590.htm,2021-11-29 18:00,新媒體時代崛起，從「眼球經濟」延伸「聲音經濟」，只要有拿手內容和個人觀點，人人都可以跳脫固定的個人背景，挑戰斜槓跨界，讓世界聽到自己的聲音！(房產雲 / 2021-11-29 18:00),,0
ettoday,國發會花百萬找阿滴推雙語！觀看數22.5萬 明年想找莫彩曦,https://www.ettoday.net/news/20211129/2134403.htm,2021-11-29 15:22,國發會力推雙語國家政策，日前與人氣YouTuber阿滴合作拍攝10分鐘左右的影片在師生圈中「瘋傳」，國發會主委龔明鑫今（29）日在立法院經濟委員會透露這支影片花了新台幣100萬元，讓立委直呼「有點貴」，不過，國發會國會及新聞聯絡中心主任毛振泰會後接受《ETtoday新聞雲》訪問時指出，效益不錯，上架1個月，觀看次數22.5萬，預料人數還會持續攀升。(財經 / 2021-11-29 15:22),,0
