Source,Title,Link,Date,Summary,Text,Like
ettoday,阿滴宣布轉職「2022重心擺新身分」　豪辦200人尾牙…她一晚中30萬！,https://www.ettoday.net/news/20211216/2147649.htm?from=pctaglist,2021-12-16 13:30,阿滴在YouTuber圈打滾6年經歷各種大小困難，也認識了很多創作者，今年和志祺創辦台灣新媒體影音創作者協會，今（16日）宣布轉職新身分，重心也會放在這之上，年終派對抽禮物更是送得大方。,,0
ettoday,阿滴羞穿白婚紗！他裸身「公主抱」學邱澤、許瑋甯放閃：我們結合了,https://www.ettoday.net/news/20211216/2147246.htm?from=pctaglist,2021-12-16 00:03,YouTuber阿滴與妹妹滴妹一起拍影片教英文，於2019年11月突破200萬訂閱，成為台灣具有影響力的網紅之一，近日他在萬豪酒店盛大舉辦「台灣創作者協會」的尾牙，作為2021年最後的派對，現場還有獎金抽獎，集結大批知名YouTuber，包含反骨男孩成員、黃大謙、Hook等人，他甚至穿上誇張白紗扮女裝，反差的模樣曝光後，引起許多網友熱議。,,0
ettoday,一隻阿圓突現身大安戶政事務所　「喜曬身分證」阿滴驚問：結婚了？,https://www.ettoday.net/news/20211207/2140777.htm?from=pctaglist,2021-12-07 16:58,YouTuber「一隻阿圓」擁有甜美外表和E罩杯的火辣身材，時常分享穿搭美妝資訊，受到許多粉絲追隨，在網路上享有高人氣，還推出全新寫真年曆，在鏡頭前打扮性感、神情誘人，吸引許多粉絲捧場，沒想到7日突然在社群網站上曬出現身戶政事務所的畫面，還貼出身分證照片，瞬間掀起大批網友熱議。,,0
ettoday,【廣編】阿滴代言「長群享享CITY」　首場沙龍談斜槓,https://www.ettoday.net/news/20211129/2134590.htm?from=pctaglist,2021-11-29 18:00,新媒體時代崛起，從「眼球經濟」延伸「聲音經濟」，只要有拿手內容和個人觀點，人人都可以跳脫固定的個人背景，挑戰斜槓跨界，讓世界聽到自己的聲音！,,0
ettoday,國發會花百萬找阿滴推雙語！觀看數22.5萬　明年想找莫彩曦,https://www.ettoday.net/news/20211129/2134403.htm?from=pctaglist,2021-11-29 15:22,國發會力推雙語國家政策，日前與人氣YouTuber阿滴合作拍攝10分鐘左右的影片在師生圈中「瘋傳」，國發會主委龔明鑫今（29）日在立法院經濟委員會透露這支影片花了新台幣100萬元，讓立委直呼「有點貴」，不過，國發會國會及新聞聯絡中心主任毛振泰會後接受《ETtoday新聞雲》訪問時指出，效益不錯，上架1個月，觀看次數22.5萬，預料人數還會持續攀升。,,0
ettoday,台南巧遇「12名百萬級YouTuber」！深夜狂歡被拍　他驚：一群奇怪的人,https://www.ettoday.net/news/20211118/2126406.htm?from=pctaglist,2021-11-18 10:32,繼日前「走鐘獎」吸引各路名人共襄盛舉後，近來多名網紅一起相約前往台南旅遊，其中包括「這群人」、阿滴、眾量級、黃氏兄弟、魚乾等人，一字排開幾乎全是訂閱數超過百萬的大咖人物，強大陣容令不少網友暴動求巧遇，意外掀起不小的討論度。,,0
ettoday,他醉見蛋糕藏「保時捷鑰匙」　友掏30萬頭期款！九妹、阿滴也現身,https://www.ettoday.net/news/20211106/2118072.htm?from=pctaglist,2021-11-06 15:13,兄弟生日就是狂！網紅「Crazy Man 瘋男」由晨灰和Nick組成，日前晨灰舉辦生日趴，Nick霸氣拿出30萬頭期款，還牽一台保時捷給晨灰，超感人畫面曝光後，讓現場好友狂嬉鬧「好羨慕喔～在一起～嫁給他！」而晨灰也感性爆哭直呼「很愛Nick！」,,0
ettoday,誰是台灣男神級YouTuber？　鄉民少女心噴發「點名他」：帥到瘋,https://www.ettoday.net/news/20211016/2102757.htm?from=pctaglist,2021-10-16 17:39,你心目中「最帥YouTuber」是誰呢？有網友在批踢踢上發起討論，好奇詢問眾人「大家覺得台灣哪位YouTuber超帥是男神等級？」貼文曝光後，立刻讓網友一致點名「上班不要看」成員阿傑並且紛紛瘋喊「根本帥到瘋掉！」,,0
ettoday,阿滴、黑嘉嘉「十指緊扣」網暴動！　集郵3女神…他道歉：手都牽了,https://www.ettoday.net/news/20210924/2086508.htm?from=pctaglist,2021-09-24 14:32,YouTuber阿滴在網路上擁有高人氣，經常推出許多逗趣影片，近來陸續集郵3名女神級女星的合照，甚至還拍攝影片「自肥」，其中一張與圍棋女神黑嘉嘉的牽手照，更是掀起網友高度關注，他則幽默寫下道歉文：「我對不起社會大眾、我對不起圍棋界、我對不起所有單身異性戀男性。」,,0
ettoday,果粉阿滴：前所未有的失落感！「預期2基礎功能」iPhone13都沒有：再等吧,https://www.ettoday.net/news/20210915/2080111.htm?from=pctaglist,2021-09-15 13:48,iPhone 13資訊全數曝光，許多人都開始討論是否要購機，身為蘋果手機愛好者的阿滴就在粉絲專頁透露「看完了蘋果的發表會，有種前所未有的失落感」，跳其他廠牌怕麻煩，這次又買不下去，最後決定等明年的iPhone 14。,,0
