Source,Title,Link,Date,Summary,Text,Like
ettoday,31歲就存到目標退休金！Joeman曝金額「至少8位數」PTT震驚,https://www.ettoday.net/news/20211128/2133657.htm,2021-11-28 11:54,百萬YouTuber「WACKYBOYS 反骨男孩」日前參加第3屆走鐘獎時，藉機拍攝訪問企劃，題目則是「YouTuber覺得幾歲退休最適合？」被問到的Joeman就說，他本來是打算35歲退休，沒想到31歲就已經存到退休金目標金額。在酷炫的追問下，Joeman雖沒有直接透露自己存到多少錢，但一句話曝光至少有5千萬，讓網友驚呆。(財經 / 2021-11-28 11:54),,0
ettoday,貓把蚊帳當吊床玩一坨穩穩「垂降半空」！ 網認：這花色出頭最多,https://www.ettoday.net/news/20210815/2056150.htm,2021-08-15 16:53,花色決定一隻貓咪的個性。彰化縣伸港鄉一名飼主飼養的2隻貓咪個性大不同，橘貓阿金大剌剌愛撒嬌，賓士貓阿神則是鬼靈精怪又愛玩，這天家人出門買晚餐，回來竟然發現阿神把蚊帳當吊床來玩，一坨貓從天上垂降到半空中，淡定眼神迎接家人，無厘頭的舉動分享出來，讓千名網友公認，「賓士貓是出頭最多的花色！」 (寵物動物 / 2021-08-15 16:53),,0
ettoday,260萬網紅阿神「退休狀態」 停更YT3個月...發行周邊秒殺,https://www.ettoday.net/news/20210701/2020670.htm,2021-07-01 20:42,擁有260萬訂閱的YouTuber「阿神」今年3月宣布個人頻道進入「退休」狀態，停止日更影片雖然讓許多粉絲大感不捨，但也讓他有更多心力和時間籌備其他企劃。近日阿神推出個人周邊，作為他的退休紀念：「今年對我來說是很重要的轉折點，希望能藉由這次的周邊商品，留給自己一個特別的禮物，同時也感謝粉絲們一路以來的照顧，如果沒有你們就不會有今天的我。」(影劇 / 2021-07-01 20:42),,0
ettoday,台灣第9…《木曜4》破200萬訂閱！聊天室2.3萬人狂刷「一日環島」,https://www.ettoday.net/news/20210221/1923135.htm,2021-02-21 00:46,知名網路實境節目《木曜4超玩》以《一日系列》深得粉絲喜愛，之後突破螢幕限制，舉辦了YARTIST全明星運動會、Rising木曜跨界演唱會。2021年2月20日深夜至21日凌晨0時許，《木曜4》製作人陳百祥開直播和粉絲一起見證頻道200萬訂閱達成，很幸運的，在開播21分鐘就突破200萬訂閱，線上同時還有2.3萬人一起見證。(網搜 / 2021-02-21 00:46),,0
ettoday,社群平台x網紅年度調查出爐！第三類媒體竄出 行銷大遷徙來臨,https://www.ettoday.net/news/20210127/1908530.htm,2021-01-27 17:12,隨著社群平台與網紅已成為現今消費者閱聽與關注的要角，再加上2020年受到疫情影響，加速社群平台與網紅環境變遷，宣告行銷大遷徙來臨！第三類媒體儼然成為現今行銷宣傳不可或缺的要素，今（27）日先勢行銷傳播集團與意藍資訊OpView共同發布第三類媒體年度報告，內容針對網路社群平台的變化及使用者行為改變、2020最新人氣網紅年度排行揭曉、不同領域及各族群的喜愛網紅排名及內容喜好，以及先勢集團分享第三類媒體行銷趨勢，企業品牌應關注社群平台及網紅變遷樣貌，從更全面的觀點就社群平台、網紅合作及公關規劃，達到最佳規劃組合(生活 / 2021-01-27 17:12),,0
ettoday,單厚之／中天YT訂閱衝高 不等於獲利和影響力,https://www.ettoday.net/news/20201217/1878406.htm,2020-12-17 15:04,11月18日，NCC以7：0否決了中天新聞台換照。拜NCC之賜，短短不到一個月的時間，中天電視的YT訂閱戶從70萬暴增到221萬，從原本各家新聞台的後段班，一躍成為各家電視台之冠，遙遙領先TVBS的147萬、東森的144萬、三立的104萬。(論壇 / 2020-12-17 15:04),,0
ettoday,「夏普電競運動會-灌籃高手大賽」圓滿落幕 OG奪冠收下R5G手機,https://www.ettoday.net/news/20200811/1780759.htm,2020-08-11 15:38,為期一周的「夏普電競運動會-灌籃高手大賽」總決賽8月9日在莊敬高職永和校區籃球場火熱開打，4支隊伍OG、老爺不要、放開那母狗、張凱為籃板一路從海選賽過關斬將，闖進四強賽事進行最後的BO3賽事，最後由OG奪下冠軍，獲得10萬點劵以及由夏普提供的首款5G旗艦手機「AQUOS R5G」1支，最後在精彩的「Logo Shot」活動中畫下句點。(電競 / 2020-08-11 15:38),,0
ettoday,「聖火玉尊」走入歷史！2020台灣Youtuber四大天王要有誰？網點名他,https://www.ettoday.net/news/20200729/1771786.htm,2020-07-29 18:47,年輕人喜歡從YouTube觀看各種有趣的影片，各類YouTuber紛紛崛起，從遊戲類、知識型、美妝到親子等通通有。「聖火玉尊」在2019年時被稱作YouTuber界的「四大天王」，有網友因此好奇，聖火玉尊的時代已經過去了，「2020年度的youtuber界四大天王換誰當家？」 (生活 / 2020-07-29 18:47),,0
ettoday,YouTuber走下坡變模仿大會！鄉民分析百萬咖...嘆「最慘的是語言頻道」,https://www.ettoday.net/news/20200430/1703507.htm,2020-04-30 12:35,台灣YouTuber多年前異軍突起，成為超夯新新行業，如今越來越多內容高度相仿，讓許多閱聽眾疲勞，就有鄉民直言，不少YouTuber入行選錯題材，後來又沒有適時轉型，最後紛紛淪為模仿大會。(生活 / 2020-04-30 12:35),,0
ettoday,200萬YouTuber脫單！阿神推特PO女方背影照 牽緊緊「❤」認愛黑長直髮妹,https://www.ettoday.net/news/20200310/1663884.htm,2020-03-10 14:57,台灣知名YouTuber「阿神」從2009年就開設頻道，以Minecraft遊戲系列影片走紅，是許多小朋友心中的孩子王，也靠著充滿磁性的嗓音、斯文外型吸引不少女粉絲，感情生活備受關注。沒想到日前阿神就在推特PO出一名女性的牽手背影照，文中打了一個愛心符號大方認愛，脫單話題在推特和《Dcard》引發熱論。(生活 / 2020-03-10 14:57),,0
ettoday,打趴蔡阿嘎、阿滴！台灣最夯YouTuber頻道排名曝 第一名驚呆網：他誰？,https://www.ettoday.net/news/20191202/1592421.htm,2019-12-02 16:00,近年來各類YouTuber紛紛崛起，從遊戲類、知識型、美妝到親子等通通有，近日就有網友整理出這些創作者近30日的影片觀看量，排名結果卻出乎觀眾意料。(生活 / 2019-12-02 16:00),,0
ettoday,2019電競大賞入圍名單出爐！老皮、阿神入圍最佳電玩影音創作者,https://www.ettoday.net/news/20191105/1573185.htm,2019-11-05 23:44,即將於12月8日舉辦的電競圈盛事「2019亞洲電競大賞AEA－台灣站」（2019 ASIA ESPORTS AWARDS . TAIWAN），最終入圍名單經過評審團謹慎思考、多方激辯下出爐。 (電競 / 2019-11-05 23:44),,0
ettoday,雞排妹情人節超慘！ 「和男友泡鴛鴦浴求慶祝」遭回9字冷語,https://www.ettoday.net/news/20190702/1479880.htm,2019-07-02 08:08,藝人雞排妹（鄭家純，ili）日前到YouTuber黑羽頻道作客，講到愛情觀時，她坦承18歲到22歲時談戀愛都非常火爆，現在就比較理性一點，情侶吵架的時候會主動承認自己錯誤，如此理性的觀念被網友讚：「真的很成熟懂事。」(影劇 / 2019-07-02 08:08),,0
ettoday,知名聲優、製作人登台 PS預告台北電玩展精彩舞台活動,https://www.ettoday.net/news/20190110/1352977.htm,2019-01-10 12:37,SIET今（1/10）日公佈2019台北國際電玩展「PlayStation」攤位活動及嘉賓。在1月25日至28日一連四天，遊戲製作人、聲優、實況主舞台以及電競賽事將在「PlayStation」舞台輪番登場。(遊戲 / 2019-01-10 12:37),,0
ettoday,驚見黃渤「穿絲襪等公車」！轉頭讓網笑翻：X！超像 本人回應了,https://www.ettoday.net/news/20181207/1325667.htm,2018-12-07 22:40,金馬影帝黃渤以精湛的演技、豐沛的情感打動無數影迷。有網友日前等車時，發現前方方正在等車的絲襪女子竟有明星臉，當對方轉過來正面時，就像是黃渤親臨現場，短短15秒的影片也讓網友全笑翻，「X！超像」。事後，黃渤本人也幽默轉發回應。 (大陸 / 2018-12-07 22:40),,0
ettoday,《風之國度》事前登錄達50萬人次 12月4日雙平台公測,https://www.ettoday.net/news/20181130/1320160.htm,2018-11-30 22:37,(遊戲 / 2018-11-30 22:37),,0
ettoday,與實況主戰絕地求生！「雞2遊戲」本週日邀百名玩家一同吃雞,https://www.ettoday.net/news/20180717/1214932.htm,2018-07-17 18:31,CAPSULE.和YouTube Gaming宣布將和《絕地求生》聯合舉辦一百位YouTube創作者及實況主共同交流競賽吃雞比賽「雞2遊戲」。(遊戲 / 2018-07-17 18:31),,0
ettoday,台灣最強YouTuber是他！ 聖結石、放火都輸了,https://www.ettoday.net/news/20180419/1153113.htm,2018-04-19 10:33,台灣以YouTuber為職業的人越來越多，SocialBlade依照訂閱人數，排出台灣區域前250名的Youtube頻道，若去掉經紀公司、藝人明星等帳號，單以素人起家的頻道排名，可發現從2017年年底到2018年4月，超過百萬人訂閱的Youtuber從8位成長為12位，其中成長幅度最大的就屬網紅團體「Wackyboys反骨男孩」了。(影劇 / 2018-04-19 10:33),,0
ettoday,2017網紅爆發年！7組「百萬訂閱YouTuber」聖結石225天就達陣,https://www.ettoday.net/news/20180217/1096720.htm,2018-02-17 11:00,談起台灣YouTuber界的起源，蔡阿嘎可說是始祖，早在2014年就達成「1百萬人訂閱」這項里程碑，而團體「這群人」則是於2016年達標，甚至時隔一年就突破2百萬大關。以下就來盤點出7組在2017年也突破百萬訂閱的YouTuber們，如果你還沒看過他們，可能代表你已經快跟不上時代囉！(影劇 / 2018-02-17 11:00),,0
ettoday,知名實況主製作人齊聚！2018台北電玩展PlayStation舞台活動公開,https://www.ettoday.net/news/20180110/1090224.htm,2018-01-10 18:05,SIET今（1/10）日宣布2018台北國際電玩展(展期：1月26日~1月29日)的PlayStation 攤位，將舉辦多款PlayStation 4(PS4)遊戲新作的舞台活動，海外遊戲製作人將來台與玩家朋友見面，「Gran Turismo Sport台灣盃」和「NBA 2K18 亞洲盃」總決賽也將登場，在PlayStation舞台上展開刺激的最終對決(遊戲 / 2018-01-10 18:05),,0
ettoday,YouTuber爆夯！國小生都想當 業內人揭「成名內幕」勸：想清楚,https://www.ettoday.net/news/20171217/1065753.htm,2017-12-17 15:13,YouTuber為近年來迅速竄紅的新興行業，看著谷阿莫、這群人、HowHow等成功案例，越來越多人投身於此，嘗試經營自己的頻道；但往往我們只看得到，那些站上金字塔頂端的YouTuber，及他們收穫的累累碩果，卻不了解其中辛酸，更別說淹沒在洪流中、不得不向現實低頭的那些人。(生活 / 2017-12-17 15:13),,0
ettoday,阿神成為第一個百萬訂閱遊戲YouTuber Youtube今年大成長,https://www.ettoday.net/news/20171207/1068262.htm,2017-12-07 22:04,YouTube 於今(12/7) 日公布台灣 2017 年度熱門影片排行榜，包括「熱門音樂影片」、「熱門影片」、「熱門創作者影片」、「快速竄紅創作者」共四個榜單。除此之外，也公布許多關於Youtube的數據，今年可以看到許多Youtuber有著大幅度的成長，知名Youtuber「阿神」也成為了台灣第一個超過百萬訂閱的遊戲類別實況主。(遊戲 / 2017-12-07 22:04),,0
ettoday,YouTube公開2017台灣熱門影片！「漂向北方」、「你不紅」最紅,https://www.ettoday.net/news/20171207/1068146.htm,2017-12-07 18:56,YouTube 稍早公布台灣 2017 年度熱門影片排行榜，包括「熱門音樂影片」、「熱門影片」、「熱門創作者影片」、「快速竄紅創作者」共四個榜單，從榜單中可看出，台灣觀眾除了愛看 YouTuber 的獨創內容外，MV、熱議時事、跨平台播出的電視節目等類型的影音也廣受歡迎。(3C家電 / 2017-12-07 18:56),,0
ettoday,破解迷思！Google：YouTube 已取代電視是台灣文化的中心,https://www.ettoday.net/news/20170928/1020890.htm,2017-09-28 17:47,睽違三年，YouTube 在台灣舉辦千人造勢活動 YouTube Pulse，現場就像把 YouTube 內容具現化一般，有LIVE Band、有美妝、還有談話節目，而根據稍早公開的內部調查結果，台灣用戶觀看 YouTube 時數較去年同期成長 41%，每週平均觀看 14.6 小時，一個「YouTube經濟」隱然成形。(3C家電 / 2017-09-28 17:47),,0
ettoday,台灣YouTuber收入曝光！谷阿莫拿第一名 網崩潰：難怪被吉,https://www.ettoday.net/news/20170903/1002988.htm,2017-09-03 01:05,許多民眾都想知道知名網紅YouTuber的收入究竟是多少，就有網友利用觀看次數，利用公式計算收入，不把其他業配納入的情況下，台灣知名的YouTuber從開站以來究竟賺了多少錢，沒想到第一名收入竟然是官司纏身的谷阿莫。(生活 / 2017-09-03 01:05),,0
ettoday,台灣最大遊戲開發論壇TGDF開展！千名遊戲創作者相見歡,https://www.ettoday.net/news/20170630/956816.htm,2017-06-30 18:01,2017 台北遊戲開發者論壇於今日起盛大展開！今年會場聚集超過千名參加者，活動由主辦方 TGDF 執行委員會范明軒、協辦方IGDA 台灣代表林容生、台北市政府產業發展局局長林崇傑、以及資策會教研所副所長蔡義昌致詞開場下，熱烈展開。(遊戲 / 2017-06-30 18:01),,0
ettoday,神PK!百萬光芒太耀眼 九妹大膽發誓：如果百萬就裸奔,https://www.ettoday.net/news/20170405/898400.htm,2017-04-05 20:20,全台第三位youtube訂閱數破百萬的實況主 阿神要來啦！！ 婕翎都說要跪著歡迎他來！ 我想下一季的鳳梨主持人就是非阿神莫屬了～九妹掰掰了ＸＤ 不過似乎要成為百萬實況主沒有那麼簡單，阿神除了分享頻道經營秘訣！ 現場還有重重關卡要突破，要和主持人瘋狂進行PK賽！ 輸的可是要去對方的影片客串一集呢！！！（最喜歡看youtuber互串對方影片了！）(遊戲 / 2017-04-05 20:20),,0
ettoday,九妹拼下去了！超紅Youtuber阿神今晚登鳳梨不累,https://www.ettoday.net/news/20170331/895562.htm,2017-03-31 02:48,由《ETtoday》製播，知名電競主播Joeman（九妹）與知名實況主解婕翎所主持的實況節目《鳳梨不累 Online Play》將於今（3/31）日晚間9時播出，本週邀請到知名youtuber「阿神」，和同樣是youtuber的九妹來個大比拼。(遊戲 / 2017-03-31 02:48),,0
ettoday,「你不知道客人是神嗎！」她點珍珠烤奶+椰果 店員被罵神回應,https://www.ettoday.net/news/20170322/889350.htm,2017-03-22 00:24,男網友po文表示，自己到手搖杯店買飲料時，遇到一位「神客人」，一位婦女要點一杯珍珠烤奶，奶加一半另一半想加椰果。店員客氣回應沒有提供客製化服務，沒想到被女子嗆說「你不知道客人是神嗎！」店員沉默一秒「神回應」，讓婦女氣呼呼地離開，也讓網友大推「可惜沒有親眼看到」。 (生活 / 2017-03-22 00:24),,0
ettoday,實況主瘋挑戰！爆紅聲控遊戲《八分音符》玩家喊燒聲,https://www.ettoday.net/news/20170307/879602.htm,2017-03-07 15:58,由日本遊戲團隊 freedomcrow 所開發的電腦小品遊戲《不要停！八分音符醬！》，讓玩家可以利用聲音控制的方式操作遊戲主角，藉由聲音的音量大小或是音頻高低來控制跳躍的高低，遊戲以趣味的玩法吸引不少實況主和 YouTuber 遊玩，也因此讓這款遊戲在網路之間爆紅，引起不少玩家的話題。(遊戲 / 2017-03-07 15:58),,0
ettoday,YouTube Space攝影棚於華山快閃！不是超級網紅沒得用,https://www.ettoday.net/news/20161208/826302.htm,2016-12-08 21:11,YouTube 2016 台灣熱門影片、音樂排行告訴我們，未來將會是音樂創作人的天下，而就這麼剛好，為了讓有志於在YouTube 平台發光發熱的創作者發揮創意。Google 台灣遠從海外搬來YouTube Space 台北快閃攝影棚，從12月8日到10日限時三天，讓關注度超過 10 萬以上的特定 Youtuber 參與拍攝。(3C家電 / 2016-12-08 21:11),,0
ettoday,酷酷兄弟惡搞「爆漿皮蛋奶茶」 型男法比歐衝出棚嘔吐,https://www.ettoday.net/news/20150915/565057.htm,2015-09-15 19:13,美國型男杜力、日本型男夢多跟法國型男法比歐，以及酷酷兄弟（阿神、阿謙）搭檔主持超視新節目《無敵A噪咖》。節目15日首錄，酷酷兄弟惡搞台灣美食，讓3位國外型男品嚐，雖然有幾樣「食物」讓型男還勉強能下嚥，但當然也不乏型男們「哀嚎」的新吃法！(影劇 / 2015-09-15 19:13),,0
ettoday,國人自製手遊《Dungeon Clash》關卡內容首次揭秘！,https://www.ettoday.net/news/20141013/412605.htm,2014-10-13 13:38,目前正在進行群眾募資的手機戰略遊戲《Dungeon Clash》，其開發團隊 Nomads 公佈了新的進度報告，除了向玩家介紹遊戲的故事背景及遊戲內容設計，也在本次進度報告中說明贊助者回饋項目的變動辦法，並表示將在下次活動中說明《Dungeon Clash》未來的營運方式及合作夥伴。(遊戲 / 2014-10-13 13:38),,0
ettoday,另類新興產業！YouTube 遊戲影音總時數年成長逾一倍,https://www.ettoday.net/news/20140801/385148.htm,2014-08-01 19:36,YouTube 今天（8/1）公布遊戲影音相關資訊與數據，指出全球使用者在 YouTube 觀賞遊戲影音的總時數平均每年成長超過一倍，還找來知名遊戲影音創作者阿神、舞秋風、魚乾及老皮與會，分享如何經營 YouTube 影音頻道提升用戶粘著度創造獲利。(3C家電 / 2014-08-01 19:36),,0
