Source,Title,Link,Date,Summary,Text,Like,id
Dcard,現在有什麼好笑的youtuber,https://www.dcard.tw/service/api/v2/posts/237688805,2021-12-16T18:12:32.753Z,,,26,237688805
Dcard,近期發現超讚的YouTuber 桑潔魚,https://www.dcard.tw/service/api/v2/posts/237575711,2021-12-01T10:01:05.098Z,,,64,237575711
Dcard,更  欸你這週要幹嘛 分享訂閱按讚,https://www.dcard.tw/service/api/v2/posts/237551041,2021-11-28T03:33:30.851Z,,,895,237551041
Dcard,小心沈浸式騙術 愛情交友詐騙,https://www.dcard.tw/service/api/v2/posts/237538366,2021-11-26T06:33:56.878Z,,,4,237538366
Dcard,黃大謙：最討厭youtuber做的事,https://www.dcard.tw/service/api/v2/posts/237523886,2021-11-24T08:54:23.492Z,,,2451,237523886
Dcard,分享對第三屆走鐘獎各獎項的想法與遺珠,https://www.dcard.tw/service/api/v2/posts/237457555,2021-11-15T12:50:08.683Z,,,271,237457555
Dcard,判斷是不是gay,https://www.dcard.tw/service/api/v2/posts/237453503,2021-11-15T02:50:57.104Z,,,16,237453503
Dcard,木子員工明星臉,https://www.dcard.tw/service/api/v2/posts/237450292,2021-11-14T13:31:13.202Z,,,4,237450292
Dcard,哥布林擄掠婦女🥵🥵,https://www.dcard.tw/service/api/v2/posts/237414999,2021-11-09T15:24:43.139Z,,,177,237414999
Dcard,#閒聊 飛輪海最經典的歌曲,https://www.dcard.tw/service/api/v2/posts/237278900,2021-10-22T01:38:28.749Z,,,824,237278900
Dcard,炎上的炎上(更),https://www.dcard.tw/service/api/v2/posts/237193670,2021-10-10T11:22:34.154Z,,,786,237193670
Dcard,分享手機裡的大謙截圖,https://www.dcard.tw/service/api/v2/posts/236987836,2021-09-16T04:29:07.306Z,,,4196,236987836
Dcard,110法轉政大上榜心得,https://www.dcard.tw/service/api/v2/posts/236881588,2021-09-04T04:49:26.407Z,,,33,236881588
Dcard,黃大謙 性向,https://www.dcard.tw/service/api/v2/posts/236728798,2021-08-15T13:16:13.552Z,,,1,236728798
Dcard,你各位啊我個版開了,https://www.dcard.tw/service/api/v2/posts/236650493,2021-08-05T05:37:51.549Z,,,118,236650493
Dcard,黃大謙是幽默大師😂,https://www.dcard.tw/service/api/v2/posts/236639244,2021-08-03T15:05:22.02Z,,,11,236639244
Dcard,群人 展瑞,https://www.dcard.tw/service/api/v2/posts/236628050,2021-08-02T05:47:53.638Z,,,70,236628050
Dcard,推廣YouTuber 展榮展瑞,https://www.dcard.tw/service/api/v2/posts/236609824,2021-07-30T14:48:03.703Z,,,4,236609824
Dcard,黃大謙vs娜娜Q,https://www.dcard.tw/service/api/v2/posts/236542860,2021-07-21T17:14:23.027Z,,,4236,236542860
Dcard,有哪些由黑轉白的Youtuber?,https://www.dcard.tw/service/api/v2/posts/236486765,2021-07-14T14:14:47.545Z,,,7,236486765
Dcard,四年前的Youtuber,https://www.dcard.tw/service/api/v2/posts/236350327,2021-06-26T23:46:48.262Z,,,654,236350327
Dcard,黃大謙的背景音樂,https://www.dcard.tw/service/api/v2/posts/236330380,2021-06-24T09:24:27.547Z,,,3,236330380
Dcard,黃大謙的背景音樂,https://www.dcard.tw/service/api/v2/posts/236330367,2021-06-24T09:23:03.241Z,,,0,236330367
Dcard,根本就不會再見面 過氣名單,https://www.dcard.tw/service/api/v2/posts/236281496,2021-06-18T02:43:13.044Z,,,1945,236281496
Dcard,黃大謙變壯了！？,https://www.dcard.tw/service/api/v2/posts/236228941,2021-06-11T10:40:25.366Z,,,3193,236228941
Dcard,#求生存 疫情下麥當勞員工的挑戰與變動,https://www.dcard.tw/service/api/v2/posts/236227266,2021-06-11T07:02:32.198Z,,,151,236227266
Dcard,想問大家想聽哪些YOUTUBER演講？,https://www.dcard.tw/service/api/v2/posts/236162044,2021-06-03T08:09:20.051Z,,,32,236162044
Dcard,這三個youtuber,https://www.dcard.tw/service/api/v2/posts/236149786,2021-06-01T17:53:47.845Z,,,174,236149786
Dcard,阿滴 我愛你 你可愛又帥 更重要的是有點小傻瓜的感覺,https://www.dcard.tw/service/api/v2/posts/236149290,2021-06-01T16:40:56.526Z,,,110,236149290
Dcard,關於第一次交男友,https://www.dcard.tw/service/api/v2/posts/236108993,2021-05-27T17:49:41.454Z,,,33,236108993
Dcard,無厘頭日常對話,https://www.dcard.tw/service/api/v2/posts/236051191,2021-05-21T06:46:07.067Z,,,2096,236051191
Dcard,存粹又不甘心的愛就是一場虧本生意,https://www.dcard.tw/service/api/v2/posts/236011253,2021-05-16T16:32:16.586Z,,,2,236011253
Dcard,你們最喜歡的youtuber♥️,https://www.dcard.tw/service/api/v2/posts/235981932,2021-05-13T14:31:41.281Z,,,16,235981932
Dcard,更)安利！第32屆金曲獎 最佳新人獎 李友廷,https://www.dcard.tw/service/api/v2/posts/235962213,2021-05-11T09:59:21.727Z,,,70,235962213
Dcard,誰能救救我的臉😩,https://www.dcard.tw/service/api/v2/posts/235917120,2021-05-05T07:26:21.529Z,,,18,235917120
Dcard,想找黃大謙這件衣服,https://www.dcard.tw/service/api/v2/posts/235884222,2021-04-30T14:58:20.15Z,,,20,235884222
Dcard,這樣除了整形以外還有救嗎？,https://www.dcard.tw/service/api/v2/posts/235839791,2021-04-24T15:43:53.655Z,,,804,235839791
Dcard,論我那個奇葩值Pr99的室友,https://www.dcard.tw/service/api/v2/posts/235830448,2021-04-23T08:54:36.255Z,,,86,235830448
Dcard,那……這樣叫妳學姐好了 2,https://www.dcard.tw/service/api/v2/posts/235814237,2021-04-21T04:59:56.584Z,,,25,235814237
