Youtuber,期間,正面情緒,負面情緒,正面情緒(前一天),正面情緒(前二天),正面情緒(後一天),正面情緒(後二天),負面情緒(前一天),負面情緒(前二天),負面情緒(後一天),負面情緒(後二天),當天正負情緒比,前一天正負情緒比,前二天正負情緒比,後一天正負情緒比,後二天正負情緒比,當天情緒比變化量,隔天情緒比變化量,前一後一情緒變化量,前二後二情緒變化量,聲量,前一天聲量,前二天聲量,後一天聲量,後二天聲量,當天聲量變化量,隔天聲量變化量,前一後一聲量變化量,前二後二聲量變化量,Dcard,Dcard內文,PTT,PTT內文,apple_news,apple_news內文,ettoday,ettoday內文,Mobile01,Mobile01內文,opview,g/b,sub,category,sorry
Dinter,2020/01/19,429.0,54.0,21.0,21.0,24.0,8.0,70.0,38.0,58.0,29.0,7.944444444444445,0.3,0.5526315789473685,0.4137931034482758,0.2758620689655172,7.644444444444445,-7.530651340996169,0.1137931034482758,-0.2767695099818512,5715.0,184.0,117.0,203.0,101.0,5531.0,-5512.0,19.0,-16.0,[],[],[],[],[],[],[],[],[],[],Dinter,bad,795000.0,電玩實況類,True
Dinter,2020/04/05,42.0,36.0,13.0,11.0,16.0,63.0,10.0,18.0,11.0,50.0,1.1666666666666667,1.3,0.6111111111111112,1.4545454545454546,1.26,-0.1333333333333333,0.2878787878787878,0.1545454545454545,0.6488888888888888,322.0,63.0,65.0,101.0,339.0,259.0,-221.0,38.0,274.0,[],[],[],[],[],[],[],[],[],[],Dinter,bad,795000.0,電玩實況類,True
Dinter,2020/05/03,464.0,161.0,18.0,17.0,145.0,64.0,34.0,10.0,62.0,54.0,2.881987577639752,0.5294117647058824,1.7,2.338709677419355,1.1851851851851851,2.3525758129338694,-0.5432779002203967,1.8092979127134727,-0.5148148148148148,1246.0,166.0,80.0,409.0,286.0,1080.0,-837.0,243.0,206.0,[],[],[],[],[],[],[],[],[],[],Dinter,bad,795000.0,電玩實況類,True
Dinter,2020/05/16,242.0,173.0,41.0,16.0,56.0,28.0,81.0,72.0,55.0,81.0,1.3988439306358382,0.5061728395061729,0.2222222222222222,1.018181818181818,0.345679012345679,0.8926710911296654,-0.3806621124540201,0.5120089786756452,0.1234567901234567,1090.0,276.0,229.0,341.0,264.0,814.0,-749.0,65.0,35.0,[],[],[],[],[],[],[],[],[],[],Dinter,bad,795000.0,電玩實況類,True
Dinter,2020/10/09,207.0,589.0,13.0,9.0,175.0,90.0,44.0,26.0,561.0,178.0,0.3514431239388794,0.2954545454545454,0.3461538461538461,0.3119429590017825,0.5056179775280899,0.0559885784843339,-0.0395001649370969,0.016488413547237,0.1594641313742437,1792.0,123.0,110.0,1614.0,664.0,1669.0,-178.0,1491.0,554.0,[],[],[],[],[],[],[],[],[],[],Dinter,bad,795000.0,電玩實況類,True
Dinter,2020/10/10,175.0,561.0,207.0,13.0,90.0,48.0,589.0,44.0,178.0,148.0,0.3119429590017825,0.3514431239388794,0.2954545454545454,0.5056179775280899,0.3243243243243243,-0.0395001649370969,0.1936750185263073,0.1541748535892104,0.0288697788697788,1614.0,1792.0,123.0,664.0,489.0,-178.0,-950.0,-1128.0,366.0,[],[],[],[],[],[],[],[],[],[],Dinter,bad,795000.0,電玩實況類,True
Dinter,2020/10/24,102.0,168.0,28.0,29.0,32.0,23.0,38.0,32.0,57.0,43.0,0.6071428571428571,0.7368421052631579,0.90625,0.5614035087719298,0.5348837209302325,-0.1296992481203007,-0.0457393483709273,-0.175438596491228,-0.3713662790697675,780.0,151.0,140.0,242.0,193.0,629.0,-538.0,91.0,53.0,[],[],[],[],[],[],[],[],[],[],Dinter,bad,795000.0,電玩實況類,True
Dinter,2020/10/29,197.0,593.0,47.0,14.0,141.0,78.0,36.0,28.0,367.0,166.0,0.3322091062394603,1.3055555555555556,0.5,0.3841961852861035,0.4698795180722891,-0.9733464493160952,0.0519870790466431,-0.921359370269452,-0.0301204819277108,1653.0,164.0,105.0,1100.0,565.0,1489.0,-553.0,936.0,460.0,[],[],[],[],[],[],['知名實況主收死亡威脅…「我要讓你死」！丁特怕：館長在附近中槍'],[nan],[],[],Dinter,bad,795000.0,電玩實況類,True
Dinter,2020/12/23,73.0,140.0,12.0,13.0,25.0,17.0,19.0,22.0,70.0,34.0,0.5214285714285715,0.631578947368421,0.5909090909090909,0.3571428571428571,0.5,-0.1101503759398495,-0.1642857142857143,-0.2744360902255638,-0.0909090909090909,688.0,105.0,97.0,244.0,142.0,583.0,-444.0,139.0,45.0,[],[],['[問卦] 有沒有丁特上館長節目的八卦'],['上次上九面人洗白失敗這次又上館長節目來洗說什麼痛篇屁話想保護女方這是我私生活干你們屁事看到館長邀這種咖小上節目可憐阿--'],[],[],[],[],[],[],Dinter,bad,795000.0,電玩實況類,True
Dinter,2021/01/04,93.0,243.0,11.0,8.0,18.0,20.0,25.0,26.0,55.0,37.0,0.382716049382716,0.44,0.3076923076923077,0.3272727272727272,0.5405405405405406,-0.0572839506172839,-0.0554433221099887,-0.1127272727272727,0.2328482328482328,1447.0,109.0,87.0,305.0,167.0,1338.0,-1142.0,196.0,80.0,[],[],['[問卦] 蔡桃貴給丁特會怎麼養'],['各位八卦鄉民晚安小網紅菜桃貴吸睛幫把拔賺了不少如果跟電競網紅丁特特哥結合拍個一日爸爸丁特特哥會怎麼樣桃貴？--'],[],[],[],[],[],[],Dinter,bad,795000.0,電玩實況類,True
Dinter,2021/01/14,107.0,142.0,18.0,19.0,35.0,30.0,22.0,18.0,67.0,37.0,0.7535211267605634,0.8181818181818182,1.0555555555555556,0.5223880597014925,0.8108108108108109,-0.0646606914212548,-0.2311330670590708,-0.2957937584803257,-0.2447447447447447,759.0,125.0,94.0,304.0,229.0,634.0,-455.0,179.0,135.0,[],[],[],[],[],[],[],[],[],[],Dinter,bad,795000.0,電玩實況類,True
