Title,Link,Date,Summary
蕾菈走鐘獎突問「胸垂要隆乳嗎」挨轟！　呱吉：理解大家不喜歡的原因,https://www.ettoday.net/news/20211117/2126196.htm?from=pctaglist,2021-11-17 21:48,YouTuber蕾菈日前在第3屆走鐘獎上，突然脫口問全場創作者：「我到底要不要去隆乳？我覺得我的胸部太垂了。」此話一出，收看直播的網友狂刷一排問號，甚至被質疑「蕾菈頒獎是不是走鐘獎最大敗筆？」，對此，身為走鐘獎主辦人的網紅兼台北市議員呱吉（邱威傑）17日在臉書發聲，直言「能理解大家不喜歡這段發言的原因」。
一隻阿圓「走鐘獎發防疫品」2　呱吉砸700萬打造典禮：去年有小瑕疵,https://www.ettoday.net/news/20211113/2123204.htm?from=pctaglist,2021-11-13 18:39,YouTube頻道上班不要看今（13日）舉辦第3屆走鐘獎頒獎典禮，負責人呱吉（邱威傑）表示今年作品比以往多，角逐的作品有1500件，在評選花了非常多時間，最後選出34個獎項，透露這屆規模較往年盛大，花了700萬元打造典禮，「跟以前規模有差10倍左右，上一屆3、400萬左右，第一屆約3、40萬。」
罷昶二階錯假率達三成　呱吉嗆爆鍾小平：不過是政治圈三姓家奴,https://www.ettoday.net/news/20211112/2122754.htm?from=pctaglist,2021-11-12 21:12,罷免林昶佐二階段連署提交3.1萬份連署書，中選會今（12）日公布審查結果，不合格份數有9431分將近三成，引發綠營抨擊「作弊」。對此，無黨籍台北市議員「呱吉」邱威傑諷刺投入「罷昶」的台北市議員鍾小平，不過是政治圈的三姓家奴，要討的公到除了自己的政治路外有啥正當性。
20場公投意見發表會時程曝　連勝文談萊豬、呱吉VS黃士修辯核四,https://www.ettoday.net/news/20211105/2117049.htm?from=pctaglist,2021-11-05 09:16,4大公投12月18日登場，為此中選會自11月13日起至12月11日間各辦理5場意見發表會，總計20場，分別由華視、民視、中視、台視、公視等5家無線電視台進行轉播，並同步於中選會網站直播。
柯文哲「無視」監視器畫面曝光　網看完嗆爆呱吉：雙標打臉自己,https://www.ettoday.net/news/20211103/2115825.htm?from=pctaglist,2021-11-03 17:13,台北市長柯文哲為拚熊好券預算過關，上周赴議員辦公室爭取支持，但卻指控議員都躲起來了，此話一出另台北市議員「呱吉」、邱威傑勃然大怒，反嗆是柯文哲視而不見，揚言要調出監視器畫面還原。不過，網友看到畫面後猛酸呱吉，明明是電梯出口的「擦肩而過」，「這到底是有甚麼好吵的」。
柯文哲突襲議員辦公室　呱吉動怒捶桌：企圖製造「不願見面假象」,https://www.ettoday.net/news/20211028/2111273.htm?from=pctaglist,2021-10-28 12:25,台北市政府推出的「熊好券」因違背預算審查程序，5億預算墊付案被台北市議會暫擱，台北市長柯文哲27日中午拜會台北市議會新黨黨團，臨時決定結束後要拜訪其他台北市議員，但該筆預算最終仍因朝野議員無共識暫割。台北市議員「呱吉」邱威傑28日於議會動怒拍桌，直批市府沒有事先知會，而柯文哲也當場道歉「我們錯了。」
餐被打翻卻要付錢！呱吉超氣「太爛了吧」　下秒愧疚了：真是笑話,https://www.ettoday.net/news/20211023/2107775.htm?from=pctaglist,2021-10-23 14:35,邱威傑（呱吉）昨晚在臉書上發文，提到外送員因為打翻食物而自行取消訂單，然而他向平台申訴時，業者卻要他自行負擔餐點費用，「太爛了吧！」不過，他稍早又發文透露，今早一起床就得知朋友與外送平台公關均嘗試聯繫他，內心也不禁愧疚，其實他並不在意退款問題，只希望平台能將系統性的問題解決。
熊好券預算未審先抽　呱吉開炮柯文哲：情緒勒索算什麼卵蛋正義？,https://www.ettoday.net/news/20211013/2100510.htm?from=pctaglist,2021-10-13 17:25,台北市「熊好券」預算卡關，因此被迫延期至15日抽籤。對此，台北市議員呱吉邱威傑在臉書怒嗆，「X你豬排蛋堡，預算要經過正常民主審查程序，想要跳過程序，在媒體上跟市民和議會情緒勒索，算什麼卵蛋正義？再囉哩八唆三小？！搞到一堆政治白痴來靠杯。」
快訊／呱吉不再參選！她繼承衣缽　投入民進黨2022港湖區議員初選,https://www.ettoday.net/news/20211012/2099707.htm?from=pctaglist,2021-10-12 18:04,各政黨逐步布局2022大選。過去曾以社民黨籍參選2018台北市第五選區（中正、萬華）的無黨籍台北市議員邱威傑（呱吉）辦公室主任許菡芸，傳出投入民進黨港湖區議員的初選。對此，邱威傑12日在臉書證實此事，並表示自己一直說不會繼續參選，但一走了之好像沒給選民交代，有一個辦公室主任願意繼承衣缽，等於扛下他的這棒責任，讓他如釋重負，許菡芸一定可以做得比他更好。
喜劇圈回收龍龍！東區德聲援 …呱吉心疼：就算是Bitch，也是我們的,https://www.ettoday.net/news/20211008/2097236.htm?from=pctaglist,2021-10-08 16:47,龍龍（林千聿）日前控訴遭薩泰爾娛樂班底老K霸凌，沒想到，鄭家純（雞排妹）7日開直播爆氣表示對方後來聲稱「記錯了」，老K當初在炎上現場根本沒提到「前男友」3個字，氣得公司馬上跟她解約，而這一場將近6萬人收看的直播，也讓不少喜劇圈人發聲，語氣中透露「心疼龍龍」的氛圍，引起熱議。
