Source,Title,Link,Date,Summary,Text,Like
PTT,"
Re: [新聞] 黃士修喊絕食抗議！呱吉諷：耍嘴皮來討生
",https://www.ptt.cc/bbs/Gossiping/M.1639353063.A.AB6.html,2021-12-13 07:50:53,,"智力測驗0分....

一樣拿著沒有依據的屁話

我傻眼......

一個網紅議員

變成黨的打手跪舔......

你我繳稅金被這些人浪費

我只能說 公投四同意 邱議員回去

公投四同意 人民才有利

公投四同意 母豬森七七

公投四同意 抓包瀆職狗

公投四同意 血流成河爽

公投四同意 蟑螂很爆氣

公投四同意 蟑螂死滿地

公投四同意 沒有強制力

公投四同意 塔綠班下去

科科

",6
PTT,"
Re: [問卦] 呱吉嘴學歷是不是在作球給人家殺？
",https://www.ptt.cc/bbs/Gossiping/M.1639323980.A.00D.html,2021-12-12 23:46:17,,"
黃士修沒拿到碩士

呱吉還沒拿到碩士

只要呱吉願意

中山大學社會所碩士班永遠歡迎呱吉入學

連焦糖都能念了，呱吉拿1.5個碩士都不為過

",
PTT,"
Re: [新聞] 黃士修喊絕食抗議！呱吉諷：耍嘴皮來討生
",https://www.ptt.cc/bbs/Gossiping/M.1639319488.A.D18.html,2021-12-12 22:31:26,,"※ 引述《zax5566rb (wetland)》之銘言：
: 呱吉的所謂的預判影片查弊篇
: 如果黃士修真的覺得要查弊
: 那為什麼當初不提一個
: 你是否同意調查核四有無閉案
: 廢話
: 別人的訴求就是要核能發電啊
: 查弊還不是辯論會上許永輝自己自爆
: 才知道果然很多疑點
: 為什麼當初認證安全，結果現在卻說以前的安全都是假的
: 所以順序是
: 先提出要核四公投>辯論會>自爆>查弊
: 沒有別人自爆我是要查什麼弊？
: 呱吉的論點就好像我去外面餐廳吃飯然後拉肚子
: 別人就說你會拉肚子怎麼不一開始先跟老闆說？
: 沒吃怎麼知道會拉？
: 呱吉影片裡面一直用類似的無厘頭的論點去模糊焦點
: 黃士修加油
: 你是勇士

一想到許永輝

突然就想到一種場景

某個ODM的project leader做知名大廠的商務型電腦

案子做完後開會宣稱這機台不安全

我當時的想法只是想把這""機台""拼出來  拼成可以出貨的  早日把我的弟兄拉出這個泥沼

看看許永輝那種人講的話

放到這社會上的任何一家公司

他的客戶一定氣到認為這人是個瘋子

現在這些客戶不就是各位納稅人嗎







我支持核四

我也知道黃士修在這次的核四議題公投的推動非常認真

但是推動議題必需要作的  就是讓真正在核四執行的人作為你論述的基礎

並且拉攏更多志同道合的人

可惜的是  黃士修沒有這樣的人作為他的後盾

即便連前廠長王伯輝都不敢出來當正方

只敢躲在後面上上採訪作無效的發言

王伯輝也坦言，自己是深綠，但他對於綠色執政的能源政策，是非常失望的，「所以這部
份我改變了」。王伯輝直言，自己反對權威，希望台灣能更好、更自由，我們努力了半世
紀，「我講龍門(電廠)3、4年，綠色的就說要辦我」，這也令他十分納悶，「我們還有言
論自由嗎？」


清大核工系教授葉宗洸怎麼也不出來擔任其中一場的說明的正方

只會發FB上節目表達立場

說核工系有人才  我信

但哪一個有膽?

核工系的老師們哪一個有膽站到公投說明會跟全民說明核四安全?

如果真的希望核四重啟  麻煩請你們出來開記者會證明

我相信這點是非常重要的

最後  黃士修應該清楚

你的背後如果連國民黨內部都不團結

案子要怎麼成?

朱立倫連自己黨內都無法團結  這不是很可惜嗎

看看民進黨都敢做反悔立場的事  鄭文燦都敢帶頭摧毀藻礁

https://udn.com/news/story/12539/5945537

國民黨做正確的事居然沒有勇氣團結

這國家難怪會缺電

只怪人民智商真的太低






",22
PTT,"
Re: [問卦] 呱吉嘴學歷是不是在作球給人家殺？
",https://www.ptt.cc/bbs/Gossiping/M.1639317651.A.E6B.html,2021-12-12 22:00:49,,"奇怪了

我看那段呱吉的論述

明明就是如果土條對核能的研究這麼正確而透徹

那拿到文憑應該不難吧？

這段主要是針對土條的核能論述

不是在嘴學歷吧？

怎麼八卦版一堆人的邏輯變成高中生不能說人家的文憑啊

莫名其妙耶！

照你們這些人的邏輯

那學歷沒有讀到博士的都不能嘴我們總統啦

是不是？














恩…不過她有沒有博士學歷我好像也不知道


算惹…先這樣 不聊了 掰

",7
PTT,"
Re: [問卦] 呱吉嘴學歷是不是在作球給人家殺？
",https://www.ptt.cc/bbs/Gossiping/M.1639317638.A.66F.html,2021-12-12 22:00:36,,"那些護航的都說
呱吉已經算是認真的議員了
說呱吉算中立
我真的沒想到人民標準這麼低
原來只要看起來比其他藍綠議員好一點就算好？
當初說的監督蔡英文
民主開箱
如今開起來都像是笑話
萊豬 核四 三接還有支持林昶佐陳柏維
我就想問問呱吉你哪個議題跟支持不是跟dpp走的
明明內核綠的要死
還要假裝中立
雙標的不得了
覺青側翼不意外

",3
PTT,"
Re: [新聞] 黃士修喊絕食抗議！呱吉諷：耍嘴皮來討生
",https://www.ptt.cc/bbs/Gossiping/M.1639316215.A.3EC.html,2021-12-12 21:36:53,,"呱吉的所謂的預判影片查弊篇

如果黃士修真的覺得要查弊
那為什麼當初不提一個
你是否同意調查核四有無閉案


廢話

別人的訴求就是要核能發電啊

查弊還不是辯論會上許永輝自己自爆

才知道果然很多疑點

為什麼當初認證安全，結果現在卻說以前的安全都是假的

所以順序是
先提出要核四公投>辯論會>自爆>查弊

沒有別人自爆我是要查什麼弊？




呱吉的論點就好像我去外面餐廳吃飯然後拉肚子

別人就說你會拉肚子怎麼不一開始先跟老闆說？

沒吃怎麼知道會拉？


呱吉影片裡面一直用類似的無厘頭的論點去模糊焦點




黃士修加油

你是勇士






",12
PTT,"
[新聞] 黃士修喊絕食抗議！呱吉諷：耍嘴皮來討生
",https://www.ptt.cc/bbs/Gossiping/M.1639315545.A.0A3.html,2021-12-12 21:25:43,,"黃士修喊絕食抗議！呱吉諷：耍嘴皮來討生活的無業遊民

三立新聞
記者周楷、李政道／台北報導

公投進入倒數階段，中選會今（11）日也舉辦最終場說明會，但重啟核四公投領銜人黃士修，卻在說明會上爆料指出，曾有民進黨高層跟他接觸，希望他入閣，但高層最後考量會讓林飛帆、洪申翰等反核派難做人，所以才作罷。但黃士修的說法，也被總統府發聲明打臉，批評黃士修言論是無稽之談、荒謬絕倫。

重啟核四公投說明會最終回，黃士修突然離題大爆料。重啟核四公投提案領銜人黃士修：「蔡總統連任勝選的第三天，有一位民進黨高層派人徵詢我入閣的意願，蔡英文重啟核四，我沒問題啊，後來那位高層說，這樣要林飛帆跟洪申翰怎麼做人，所以後來那件事作罷。」
自爆曾有民進黨高層主動徵詢入閣意願，但無端被點名的則是嗤之以鼻。

民進黨副秘書長林飛帆：「我覺得他就自己在家裡妄想就好，不要再上電視，到電視機前面妄想給大家看，那這些都對於整個社會討論這些議題是沒有幫助。」
https://i.imgur.com/rLalLyT.jpg
民進黨立委洪申翰：「看到的時候就真的噗哧一笑，我其實以為我看到電視笑話冠軍了，喔，不對這是公投說明會。」
https://i.imgur.com/A1tDlLK.jpg
就連總統府也發聲明駁斥，黃士修說法完全是「無稽之談」、「荒謬絕倫」，「離譜」言論 一點都「不科學」。儘管被狠狠打臉，但黃士修仍堅持有人徵詢過他，但到底是誰？
https://i.imgur.com/3QMfxWR.jpg
重啟核四公投提案領銜人黃士修：：「名字我當然不能透露啦，他（高層）認為洪申翰這種極端的反核人士，某方面來說也綁架了民進黨。」

說不出高層姓名，黃士修卻主動求官 ，向蔡政府喊話願意當政委，還「限時回應」，否則絕食抗議。
重啟核四公投提案領銜人黃士修：「我願意擔任政務委員，全權負責核四重啟，實現真正的抗中保台，我給你們48小時考慮回覆，周一（13日）中午12點起開始絕食。」

台北市議員邱威傑：「黃士修就是一個挺核四、耍嘴皮來討生活的一個無業遊民！注重安全的標準，那就是還要再15年（核四）才能夠蓋好，如果再拖15年，讓核四蓋完，顏寬恒都已經當阿祖了！」
網友嘲諷，「明明是減重硬要說絕食」、「公投竟然是這種搞笑人物在弄的」、「代表他已經被國民黨放棄了」。
https://i.imgur.com/YJ0hIWm.jpg
畢竟看看黃士修2018年也曾絕食抗議，但因為颱風來襲宣布撤退，現在為了重啟核四，一下自爆差點入閣、一下又嗆聲要絕食，也讓外界質疑是不是已經沒招了。

https://reurl.cc/1o6ejG



",X8
PTT,"
Re: [問卦] 呱吉嘴學歷是不是在作球給人家殺？
",https://www.ptt.cc/bbs/Gossiping/M.1639313815.A.AAB.html,2021-12-12 20:56:49,,"※ 引述《Hyuui (修)》之銘言：
: 我以為出社會幾年後，學歷就一點也不重要了，所以我從來不酸呱吉的學歷。
: 呱吉提醒我才想起來，幸好我清華數學和物理有畢業。雖然我出社會用到最多的是經濟和
: 法律的知識，但是數學和物理的訓練還是很有用。
: 另外，呱吉說「我預判你的預判」，上傳五支YouTube影片自稱預測打臉我的說法。其實
: ，他只是把過去四場辯論會反方被我打爆的點，重新再拍一遍，但是苦無證據。
: 而且我已經覆蓋好一張陷阱牌。11月28日，我跟蔡中岳在公視有話好說錄製辯論，網路首
: 播時間就是12月11日。呱吉提到的所有問題，包括他謊稱核災後福島縣民罹患甲狀腺癌比
: 例提升，我都已經預料到並事先做出破解，有影片有真相。
: 公投辯論．網路首播｜核四重啟？｜黃士修 vs. 蔡中岳（公共電視 - 有話好說）
: https://www.youtube.com/watch?v=QUkP_W2gzlk


你這麼厲害怎麼不能說服同邊的侯友宜跟林姿妙支持你??

你這麼厲害怎麼世界各國核工產業沒搶著找你去當顧問

沒事兒
我純好奇發問

理性  中道  愛台灣

",
PTT,"
Re: [問卦] 呱吉嘴學歷是不是在作球給人家殺？
",https://www.ptt.cc/bbs/Gossiping/M.1639312722.A.88C.html,2021-12-12 20:38:40,,"※ 引述《Herlo (無敵的福爾高雷)》之銘言：
: 剛看完核四公投說明會快沒笑死
: 講稿是誰塞給呱吉的阿
: 人類學系肄業的人在那邊嘴土條清大理工科畢業的學歷
: 是當土條背後清大那些核工教授都是空氣喔
: 影片24分18秒開始處
: https://youtu.be/e7CyvqA82N8#t=24m18s
: 那呱吉要不要講一下他反核的背後資料是哪些專家學者餵給他的蛤？
: 跟他買iphone被詐騙的好朋友阿苗拿的嗎
: 可惜第二輪士修沒有反殺這一part
: 可惜了

我以為出社會幾年後，學歷就一點也不重要了，所以我從來不酸呱吉的學歷。

呱吉提醒我才想起來，幸好我清華數學和物理有畢業。雖然我出社會用到最多的是經濟和
法律的知識，但是數學和物理的訓練還是很有用。

另外，呱吉說「我預判你的預判」，上傳五支YouTube影片自稱預測打臉我的說法。其實
，他只是把過去四場辯論會反方被我打爆的點，重新再拍一遍，但是苦無證據。

而且我已經覆蓋好一張陷阱牌。11月28日，我跟蔡中岳在公視有話好說錄製辯論，網路首
播時間就是12月11日。呱吉提到的所有問題，包括他謊稱核災後福島縣民罹患甲狀腺癌比
例提升，我都已經預料到並事先做出破解，有影片有真相。

公投辯論．網路首播｜核四重啟？｜黃士修 vs. 蔡中岳（公共電視 - 有話好說）
https://www.youtube.com/watch?v=QUkP_W2gzlk

",爆
PTT,"
Re: [新聞] 反方「呱吉」邱威傑嗆核四重啟再花15年：
",https://www.ptt.cc/bbs/Gossiping/M.1639295307.A.2C4.html,2021-12-12 15:48:24,,"※ 引述《roex0608 (小梶)》之銘言：
: 反方「呱吉」邱威傑嗆核四重啟再花15年：顏寬恒能當阿祖了
: 中時新聞網 王子瑄
: 核四重啟、反萊豬、公投綁大選、珍愛藻礁四大公投案將於12月18日投票，中央選舉委員
: 會今日（11）舉辦第5場次全國性公民投票案意見發表會，其中第一場為上午10點30分登場
: 的「重啟核四」，由台北市議員「呱吉」邱威傑擔任反方代表。邱痛批正方黃士修總拿過
: 時報告來大放厥詞，提出的數據都不知從何而來，更痛批核四重啟必須再花15年，「顏寬
: 恒都要能當阿祖了」。
: 邱威傑表示，黃士修老是喜歡「預判」問題，展現一副自己很厲害的樣子，但他今天就要
: 「預判黃的預判」，已針對黃會提出的電價、天然氣、仲裁、查弊5大重點，上傳了5支影
: 片在YouTube頻道。
: 針對地質問題，邱威傑質疑，核四底下有沒有S斷層？痛批過去黃士修已承認有活動斷層，
: 可見黃不斷跳針。邱更抨擊黃才是真正的不懂科學的人，因為並非拿出幾個數據就叫科學
: ，科學是一種態度與研究方式；黃總是喜歡丟出一些不知從哪冒出來的數字說這是數學，
: 但這並不是科學，而只是證明你的運算能力很好而已。
: 邱威傑強調，核四到底需要多久才能重啟？這個問題無論黃士修拿出哪一個數字都是錯的
: ，因為都沒有把重新申請證建照、22項地質調查與環評這些時間算進去，黃說這些都能同
: 步一起進行，但黃卻忽略了工程彼此的相依關係，很多工程是有先後、必須按照程序的，
: 等於總共必須再花15年。
: 邱威傑表示，核四已經拖20年了連一度電也沒發，現在又要再花15年，當年出生的小孩都
: 能投票了，顏寬恒也要能當阿祖了。至於核廢料問題，黃士修雖說有很多方法，但事實上
: 就是無法解決，如果黃真的很了解，拿這些去寫一篇博士論文也夠拿個博士回來了，那為
: 何黃去英國卻連個碩士也沒拿回來？連台東、金門、新北、宜蘭都表示反對了，黃到底要
: 把核廢料放到哪？黃總是喜歡拿一些年代久遠的報告來搪塞，比如拿綠盟2013年的報告來
: 講，但時空背景與發展早已不同，根本不具參考性。
: https://www.chinatimes.com/realtimenews/20211211001405-260407?chdtv
: 好了啦！呱吉
: https://i.imgur.com/s1LL1xv.jpg




我比較想知道，

在辯論會上擔任反方，

結果正方中二擺pose JoJo立，

這中二度已經很爆表了。

反方更二，直接cos敵方反派。

雖然說這個反派在故事中人氣很高。


但在設定上是一個

表面上相貌堂堂、和善、文質彬彬、大學畢業，

還深女性歡迎，低調作人作事的覺醒文藝青年。


但骨子裡卻有陰暗性僻、暴力、冷血，

私下會打女人、以屠殺女人來滿足自己欲望，

甚至用各種謊言、詐欺來殺害無辜，

只為保護自已而完全不擇手段的連續變態殺人魔，

低調只是為了他不讓輕易捉到把柄的手段。


然後這角色的最後下場是因為自作孽，

惡貫滿盈而被冤魂給拖到無間地獄之中，

永世不得翻身。


雖然這角色在故事中因為有著很自我的堅持，

不同過去以往的反派就只是單純的邪惡，

而是有點雅痞的文青感。

但本質上，還是個變態啊。


嗯…，所以，cos這種角色，

這是在想什麼嗎？

",2
