,opview,ytr_crawl,g/b,sub,category,sorry
1,Dinter,Dinter,bad,795000,電玩實況類,True
2,Dr.Ivan,Dr. Ivan 6,bad,507000,知識教育類,True
3,Hello Catie,Hello Catie,good,1090000,美妝穿搭類,True
4,HowFun,HowFun,bad,1410000,搞笑類,True
5,Joeman,Joeman,good,2220000,生活類,True
6,NanaQ,NanaQ,bad,118000,生活類,True
7,Pan Piano,Pan Piano,good,2970000,生活類,True
8,Toyz,Toyz,bad,687000,電玩實況類,True
9,heyitsmindy,heyitsmindy,bad,185000,美妝穿搭類,True
10,一隻阿圓,一隻阿圓 I am CIRCLE,good,708000,生活類,True
11,上班不要看,上班不要看 NSFW,good,873000,搞笑類,True
12,丹妮婊姐,丹妮婊姐星球,good,356000,美妝穿搭類,True
13,企鵝妹,Jinnytty 企鵝妹 윰찌,bad,295000,生活類,True
14,博恩,"Stand up, Brian! 博恩站起來！",bad,505000,搞笑類,True
15,反骨男孩,WACKYBOYS 反骨男孩,good,1560000,搞笑類,True
16,古娃娃,古娃娃WawaKu,good,927000,料理美食類,True
18,呱吉,呱吉,bad,604000,生活類,True
19,國動,鼻地大師國動-張葦航,bad,226000,電玩實況類,True
20,大蛇丸,大蛇丸,good,930000,料理美食類,True
21,大麻煩,大麻煩,bad,416000,生活類,True
22,奎丁,奎丁Zamy,good,573000,生活類,True
23,孫安佐,孫安佐,bad,212000,生活類,True
24,孫生,孫生又來了,good,255000,生活類,True
25,尼克,尼克&ASHLY,good,564000,生活類,True
26,愛莉莎莎,愛莉莎莎 Alisasa,bad,1180000,生活類,True
30,放火,放火 Louis,bad,1240000,搞笑類,True
31,木曜4超玩,木曜4超玩,good,2190000,生活類,True
32,本本,本本,bad,669000,生活類,True
34,滴妹,滴妹,good,1420000,生活類,True
35,牛排生活,牛排生活 Steak's Life,bad,579000,料理美食類,True
36,理科太太,理科太太,bad,1120000,知識教育類,True
37,瑀熙,瑀熙 Yuci,good,678000,生活類,True
38,白癡公主,白癡公主,good,1540000,生活類,True
39,眼球中央電視台,眼球中央電視台,bad,1080000,搞笑類,True
41,米砂,米砂Misa,bad,910000,生活類,True
42,統神,統神大戲院,bad,108000,電玩實況類,True
43,綠眼鏡Punk,綠眼鏡Punk,bad,121000,生活類,True
44,維特,VITO維特,good,166000,生活類,True
45,聖結石,聖結石Saint,bad,1340000,生活類,True
46,艾瑞絲,Aries艾瑞絲,good,444000,生活類,True
47,蔡桃貴,蔡桃貴 蔡阿嘎二伯's Family,good,970000,生活類,True
48,見習網美小吳,見習網美小吳,good,1050000,生活類,True
49,許藍方,許藍方博士 Dr. Gracie,good,289000,知識教育類,True
50,谷阿莫,谷阿莫,bad,1980000,搞笑類,True
53,酷炫,酷炫老師,good,624000,生活類,True
54,鍾明軒,鍾明軒,good,1070000,生活類,True
55,阿滴,阿滴英文,good,2690000,知識教育類,True
58,黃大謙,黃大謙,good,903000,搞笑類,True
59,黃氏兄弟,黃氏兄弟,good,1860000,生活類,True
60,龍龍,龍龍LungLung,good,356000,搞笑類,True
