Source,Title,Link,Date,Summary,Text,Like
Dcard,許藍方的新男友,https://www.dcard.tw/service/api/v2/posts/237587246,2021/12/2,,"https://liff.line.me/1454987169-1WAXAP3K/v2/article/eLBVYNB?utm_source=copyshare

還只算是朋友？
希望媒體再追蹤！！！",1
Dcard,小茉vs許藍方,https://www.dcard.tw/service/api/v2/posts/237334409,2021/10/29,,"個人最近跟姐姐交往頗有些感觸
深知姐姐的美好

所以蠻想問大家
喜歡小茉這種 感覺溫柔俏皮多金 但個性方面強勢有主見
還是
喜歡博士這種 感覺平時強勢主導 但個性時而很可愛又浪漫

兩個姐姐我都很喜歡 不知道各位男生女生的想法",0
Dcard,小玉變臉名單,https://www.dcard.tw/service/api/v2/posts/237252870,2021/10/18,,"政治人物：
立委高嘉瑜
議員黃捷
市府副發言人黃瀞瑩

YouTuber：
笑笑（小玉搭檔）
滴妹
咪妃
球球
千千
本本
許瑜
奎丁
阿樂
蕾菈
關關
可凡
阿民
晨晨
品子
米砂
魚乾
媛媛
泥泥汝
艾瑞絲
陸子玄
金魚腦
閃亮亮
安啾咪
Skimmy
一隻阿圓
愛莉莎莎
白癡公主
理科太太
美麗妄娜
這群人木星
這群人茵聲
眾量級家寧
妙見神小茉（老高老婆）
電獺少女宇恩
盛夏微涼Ryo
那個女生KIKI

實況主：
小墨
小熊
小葵
大魚
老王
Mita
葉子
阿寧
月希
蛋捲
瑀熙
阿寧
蝴蝶兒
妮妮子
貝莉莓
喬喬兒
凱琪K7
桃園娜美
開水小姐
學長Abby
LNGLeggy
LNG李迅
LNG老王
Rami瑞咪
Sandykaka

藝人：
峮峮
粿粿
泱泱
溫妮
李優
梓梓
Albee
馬嘉伶
黑嘉嘉
蔡瑞雪
許藍方
鄭家純
張景嵐
解婕翎
鄧福如
柯佳嬿
黃喬歆
郭書瑤
蔡依林
周曉涵
梁凱莉
吳怡霈
曾之喬
陳意涵
夏語心
徐瑋吟
邵雨薇
苗可麗
唐綺陽
瑞瑪席丹
虎牙陳伊
愷樂（蝴蝶姐姐）

網紅：
青青
龍龍
林襄
祈錦鈅

主播：
張齡予

非本國籍藝人：
伊織萌
吳卓源
陳芳語
馮提莫
李元玲
鄧紫棋
林明禎
柏木由紀
新垣結衣
橋本環奈
阿部瑪莉亞

男YouTuber：
館長

未知：
Rita（應為網紅）",472
Dcard,連總統都變臉成AV主角，主嫌為百萬網紅 小玉,https://www.dcard.tw/service/api/v2/posts/237251869,2021/10/18,,"包括「白癡公主」、「千千」、「奎丁」、等知名網紅及黃捷、高嘉瑜等多名政治人物，去年起開始有她們的性愛影片在網路流傳，但警方追查，這些影片都不是她們拍攝，而是從販售換臉謎片的「台灣網紅挖面」所流出，且幕後主使竟然是今年4月引退的百萬YouTuber「小玉」朱玉宸，利用AI Deepfake（換臉）技術客製化牟利，警方昨逮26歲朱玉宸等3嫌，當場搜出458萬元現金，目前正擴大追查受害人及其他共犯。
https://i.imgur.com/RiI9UYw.png
刑事警察局執行網路情蒐時，發現自去年7月起，有多名網紅及政治人物的性愛影片於網路上流傳，透過 AI Deepfake（換臉）技術，將她們的臉部圖像移植到色情片AV女優身上，並製作成色情影片販售得利，且被害人不只女性，連知名網紅「館長」也受害，該行為已涉嫌散播猥褻物及妨害名譽等罪行，警方積極偵辦。



警方專案小組透過科技偵查，發現經營「台灣網紅挖面」推特粉絲團的版主朱玉宸，透過Deepface軟體，以他擅長的AI Deepfake技術，製作女性網紅之換臉性愛影片，並要求會員支付新台幣數百元不等的會員費，就可加入進階的私密聊天群組，瀏覽完整版的網紅換臉色情片。

該粉絲團私密聊天室，還不時會舉辦「票選」或「集資」活動，選出某位知名網紅，再由朱玉宸等人製作該網紅的換臉性愛影片上傳販售，警方追查，遭換臉製作成色情影片的受害網紅及政治人物超過百人，不法獲利高達千萬元以上。
https://i.imgur.com/voHIzlm.jpg
警方專案小組見時機成熟，昨持搜索票前往朱玉宸於新北市樹林區住處與工作室搜索，拘提朱玉宸及莊男及耶女等2名共犯，查扣現金458萬5000元、金融帳戶存簿13本（含金融卡）、電腦2台、硬碟2顆、手機2支及賓士車等證物，並由法院裁定扣押不法金流共3筆，警詢後依涉嫌散播猥褻物與妨害名譽等罪解送新北地檢署偵辦。

https://news.ltn.com.tw/news/society/breakingnews/3707713

高嘉瑜說，關於未經本人同意而發布的「AI換臉」影片，其實就是一種變向散播假訊息的行為，但綜觀我國現行針對假訊息管制的法規中，卻僅針對災害、食品、傳染病等才有特別規範，對於「AI換臉」造假影片目前仍無法可管。

而就個人資料保護法的層面而言，高嘉瑜表示，因現行遭「AI換臉」的受害者多為公眾人物，照片等資料取得相對容易，臉部圖像若為合法公開或自行公開，自然也不在個資法保護範疇，最後有可能成立的，也只剩下刑法妨害名譽罪了。

但，高嘉瑜認為，網路危害所產生的侵害具有持續性，甚至可能跟隨被害人一輩子。而妨害名譽罪的刑度卻屬相對輕微，因其立法之初，並未考量網路性暴力對被害人所造成的深遠影響，如今繼續用舊條文來處理新的犯罪現象，顯然有罪責不相當的疑慮。

綜觀國際因應「AI換臉」的相關做法，美國不僅要求須以浮水印標明影像是經竄改、以文字明示影像經改動並簡述改動程度，更將濫用「AI換臉」技術散播不實影像的行為納入刑罰規範。若使用該技術而有「意圖以性行為與裸體等類似特徵，侮辱或騷擾特定人者」，可處5年徒刑、罰15萬美金，也應負民事責任。
https://news.ltn.com.tw/news/society/breakingnews/3707816

政治人物：
立委高嘉瑜
議員黃捷
市府副發言人黃瀞瑩

YouTuber：
笑笑（小玉搭檔）
滴妹
咪妃
球球
千千
本本
許瑜
奎丁
阿樂
蕾菈
關關
可凡
阿民
晨晨
品子
米砂
魚乾
媛媛
泥泥汝
艾瑞絲
陸子玄
金魚腦
閃亮亮
安啾咪
Skimmy
一隻阿圓
愛莉莎莎
白癡公主
理科太太
美麗妄娜
這群人木星
這群人茵聲
眾量級家寧
妙見神小茉（老高老婆）
電獺少女宇恩
盛夏微涼Ryo
那個女生KIKI

實況主：
小墨
小熊
小葵
大魚
老王
Mita
葉子
阿寧
月希
蛋捲
瑀熙
阿寧
蝴蝶兒
妮妮子
貝莉莓
喬喬兒
凱琪K7
桃園娜美
開水小姐
學長Abby
LNGLeggy
LNG李迅
LNG老王
Rami瑞咪
Sandykaka

藝人：
峮峮
粿粿
泱泱
溫妮
李優
梓梓
Albee
馬嘉伶
黑嘉嘉
蔡瑞雪
許藍方
鄭家純
張景嵐
解婕翎
鄧福如
柯佳嬿
黃喬歆
郭書瑤
蔡依林
周曉涵
梁凱莉
吳怡霈
曾之喬
陳意涵
夏語心
徐瑋吟
邵雨薇
苗可麗
唐綺陽
瑞瑪席丹
虎牙陳伊
愷樂（蝴蝶姐姐）

網紅：
青青
龍龍
林襄
祈錦鈅

主播：
張齡予

非本國籍藝人：
伊織萌
吳卓源
陳芳語
馮提莫
李元玲
鄧紫棋
林明禎
柏木由紀
新垣結衣
橋本環奈
阿部瑪莉亞

男YouTuber：
館長



原文網址: 名單曝光！小玉換臉謎片「受害者有100+」　驚見S級藝人超多大咖 | ETtoday生活新聞 | ETtoday新聞雲 https://www.ettoday.net/news/20211018/2103773.htm",16
Dcard,許藍方這樣算素顏嗎？,https://www.dcard.tw/service/api/v2/posts/236773049,2021/8/21,,"https://i.imgur.com/GvhdZq3.jpg
(新聞圖片)

我以為這樣是素顏，

我朋友說根本不是，不要被騙了

許藍方這樣算素顏嗎？",242
Dcard,許藍方如果在塔利班下面 會怎麼樣嗎??,https://www.dcard.tw/service/api/v2/posts/236733591,2021/8/16,,"許藍方博士 

人美心善氣質好 

如果今天去歐洲玩

 不小心在阿富汗迫降
 
在塔利班下面 會怎樣嗎?? 
1.覺得這個女人好美
 2.覺得這個女人好有氣質
 3.覺得這個女人充滿知性 
 4.被石刑

大家覺得 1 2 3 4 會是哪一個??

原文轉載：https://moptt.tw/p/Gossiping.M.1629078566.A.37B",0
Dcard,水瓶座又遭殃了？！到底她的後續會怎麼演變呢？,https://www.dcard.tw/service/api/v2/posts/236706590,2021/8/12,,"#最近金牛獅子天蠍水瓶能量真的不太平靜
#上述這些朋友妳們最近還好嗎

「最美博士」許藍方遭爆和已婚康姓醫師發生不倫戀，雖然她隨即反駁該項指控，但康男和劉姓正宮卻先後發表聲明，駁斥許藍方說謊。康男也坦承去年9月到11月與許女外遇，兩人至少三次上摩鐵開房。

上述節錄自網路新聞報導的片段內容，許藍方博士的星盤當中，太陽在水瓶16度，與流年的天王星在金牛14度，精準90度刑剋，代表事業的太陽受剋，名聲受到突如其來的震盪，加上對於感官體驗耽溺的金牛有這個能量進入，就這樣這個性愛醜聞爆發開來。

一名網友在批踢踢八卦板發文，聲稱不意外許藍方捲入不倫戀，爆料許藍方當年就讀景美女中，一直很想要考台大醫科，可惜後來沒考上，於是轉念變成一定要跟台大醫科的在一起，「歷任男友除了醫生還是醫生，小開還不一定追得到的奇女子」，更說許藍方勵志這輩子的行業一定要跟「醫」有關。

許藍方博士的太陽在水瓶座，火星在天蠍座，上述提到會有奇女子的稱號所言不假，對於許博士的擇偶標準，比較會喜歡上有個人限量版風格特色，以及與眾不同充滿特立獨行感覺的對象，另外這個人也必須有霸道總裁或是比較神秘難測的路線，才會吸引到她的目光，另外上述還有提到她選擇的對象都是醫生，這個能量跟天蠍座的醫療、生死、殯葬相關的屬性有強烈的關聯性。

針對許藍方曾向情夫表示，吳宗憲、曾國城和林俊傑都曾經追求過她，吳的助理表示，吳對所有藝人都很照顧，無需理會流言；曾也透過經紀人嚴正否認。至於林的經紀人，電話未接，也未回簡訊，截稿前尚無回應。

前面提到太陽水瓶的能量場一定是有自己特殊領域的專長，才會被許藍方博士喜歡上，另外火星天蠍的能量，守護天蠍的冥王星也代表鉅富權貴人士，吸引到的人通常非富即貴，很可惜的是這個太陽與火星的能量，形成90度的刑剋，內在本能的追求和表面形象的表現有相當大的落差，自己本身在私底下的情緒可能也比較屬於陽剛路線比較直接表達的風格。

許藍方博士的星盤當中，太陽水瓶，月亮白羊，金星魔羯的組合，陽性能量強情緒外放表達也比較直接，三能量組合裡，開創能量最強讓她在自己的事業領域中開疆闢土闖出一片天，加上固定星座的能量讓她維持經營自媒體的續航力，另外缺手變動星座的能量，也讓她在外在的社交手腕或適應能力上比較缺乏彈性或變通能力。

流年土星在水瓶9度逆行，與她的本命火星天蠍12度呈現90度刑剋，逆行通常有檢討反省的涵義，土星又會有嚴苛挑戰讓許藍方博士在這個時間點受到外界的專業形象上的檢視，和現實上面對外遇疑雲的壓力關卡以及阻礙，流年冥王星同樣在逆行階段，落在摩羯座24度的位置，和她本命的水星魔羯24度合相，掌管三角關係的冥王能量與訊息傳播的水星能量，讓她在這個時候陰溝裡翻船。

流年的土星、天王星以及冥王星這些外行星的能量，讓她在這個時候受到媒體和外界以及這對夫妻的這個桃色糾紛的影響到底能不能順利解決，讓後續的狀況突破好轉呢?讓我們靜觀其變，看看後續的報導和結果，期許許藍方博士可以在這次的負面危機中化險為夷。
https://i.imgur.com/UxQZn0a.jpg",88
Dcard,許藍方將告人夫誹謗 PO出完整對話截圖,https://www.dcard.tw/service/api/v2/posts/236706260,2021/8/12,,"https://stars.udn.com/star/story/10088/5666914
越來越精彩了， 我先去微波爆米花",5
Dcard,醫師夫妻817字轟許藍方說謊！　正宮「私密照非常完整」：極大傷害,https://www.dcard.tw/service/api/v2/posts/236697222,2021/8/11,,"https://www.google.com/amp/s/star.ettoday.net/amp/amp_news.php7%3fnews_id=2053415

又是817在搞鬼？民進黨要不要出來道歉🤬",16
Dcard,都沒有人覺得張雅琴很爛嗎,https://www.dcard.tw/service/api/v2/posts/236697160,2021/8/11,,"從以前就沒有很喜歡張雅琴的播報方式
雖然知道她偏綠，我自己也偏綠
但聽他罵人就是覺得很吵而且每次主題都跳來跳去

今天一開始他就拿著許藍方說「許藍方說謊，怎麼還可以繼續上節目？」
後來看她也只拿出
「許藍方說是被騷擾、但康醫師說承認外遇」
這樣子的證據來說「許藍方說謊」

先不管到底誰說謊啦
但都還沒有清楚的調查結果，目前各執一詞的情況下，你一個主播怎麼可以斷定是女方說謊？
原來報新聞是這樣以自己的主觀猜想報的哦？
如果最後許藍方沒說謊，許藍方要不要告一下？

看到氣炸，然後爸爸居然為了他愛的雅琴姐跟我吵架^_^
氣氣氣",22
